locus	direct_type	final_subfamily	evidence_class	final_status	ltr5hs_matched_eligible	published_subfamily	prior_authority_status	local_nearest_exact_label	conflict_resolution	five_prime_evidence	three_prime_evidence	classification_method	source	provenance_sha256	unresolved_reason
1p31.1b	TypeI	LTR5Hs	authoritative_published_crosswalk	resolved_published_coordinate_crosswalk	yes	LTR5Hs	resolved_published_coordinate_crosswalk	NA	none	not_reassessed	not_reassessed	primary-publication assignment carried forward from frozen 64-locus audit	Subramanian et al. 2011 Fig. 1 / official Additional File 1; https://doi.org/10.1186/1742-4690-8-90; coordinate crosswalk using current catalog Source_Identifier and Kyriakou & Magiorkinis 2025 Additional File 1; https://doi.org/10.1186/s13100-025-00359-8	prior_audit_sha256=39b223c0e2c956862267a20d9ed1fb096e1c460383a526b0f4307a106ee2018a	
1p34.3	TypeII	LTR5Hs	authoritative_published	resolved_published	yes	LTR5Hs	resolved_published	NO_EXACT_KEY	none	not_reassessed	not_reassessed	primary-publication assignment carried forward from frozen 64-locus audit	Subramanian et al. 2011 Fig. 1 / official Additional File 1; https://doi.org/10.1186/1742-4690-8-90	prior_audit_sha256=39b223c0e2c956862267a20d9ed1fb096e1c460383a526b0f4307a106ee2018a	
1p36.21b	TypeII	LTR5B	authoritative_published	resolved_published	no	LTR5B	resolved_published	NA	none	not_reassessed	not_reassessed	primary-publication assignment carried forward from frozen 64-locus audit	Subramanian et al. 2011 Fig. 1 / official Additional File 1; https://doi.org/10.1186/1742-4690-8-90	prior_audit_sha256=39b223c0e2c956862267a20d9ed1fb096e1c460383a526b0f4307a106ee2018a	
1p36.21c	TypeII	LTR5B	authoritative_published	resolved_published	no	LTR5B	resolved_published	NA	none	not_reassessed	not_reassessed	primary-publication assignment carried forward from frozen 64-locus audit	Subramanian et al. 2011 Fig. 1 / official Additional File 1; https://doi.org/10.1186/1742-4690-8-90	prior_audit_sha256=39b223c0e2c956862267a20d9ed1fb096e1c460383a526b0f4307a106ee2018a	
1q22	TypeI	LTR5Hs	authoritative_published	resolved_published	yes	LTR5Hs	resolved_published	NA	none	not_reassessed	not_reassessed	primary-publication assignment carried forward from frozen 64-locus audit	Subramanian et al. 2011 Fig. 1 / official Additional File 1; https://doi.org/10.1186/1742-4690-8-90	prior_audit_sha256=39b223c0e2c956862267a20d9ed1fb096e1c460383a526b0f4307a106ee2018a	
1q23.3	TypeI	LTR5Hs	authoritative_published	resolved_published	yes	LTR5Hs	resolved_published	LTR5_Hs	none	not_reassessed	not_reassessed	primary-publication assignment carried forward from frozen 64-locus audit	Subramanian et al. 2011 Fig. 1 / official Additional File 1; https://doi.org/10.1186/1742-4690-8-90	prior_audit_sha256=39b223c0e2c956862267a20d9ed1fb096e1c460383a526b0f4307a106ee2018a	
1q24.1	TypeII	LTR5B	authoritative_published	resolved_published	no	LTR5B	resolved_published	LTR5B	none	not_reassessed	not_reassessed	primary-publication assignment carried forward from frozen 64-locus audit	Subramanian et al. 2011 Fig. 1 / official Additional File 1; https://doi.org/10.1186/1742-4690-8-90	prior_audit_sha256=39b223c0e2c956862267a20d9ed1fb096e1c460383a526b0f4307a106ee2018a	
1q32.2	TypeI	LTR5Hs	authoritative_published	resolved_published	yes	LTR5Hs	resolved_published	NA	none	not_reassessed	not_reassessed	primary-publication assignment carried forward from frozen 64-locus audit	Subramanian et al. 2011 Fig. 1 / official Additional File 1; https://doi.org/10.1186/1742-4690-8-90	prior_audit_sha256=39b223c0e2c956862267a20d9ed1fb096e1c460383a526b0f4307a106ee2018a	
21q21.1	TypeI	LTR5Hs	authoritative_published	resolved_published	yes	LTR5Hs	resolved_published	NA	none	not_reassessed	not_reassessed	primary-publication assignment carried forward from frozen 64-locus audit	Subramanian et al. 2011 Fig. 1 / official Additional File 1; https://doi.org/10.1186/1742-4690-8-90	prior_audit_sha256=39b223c0e2c956862267a20d9ed1fb096e1c460383a526b0f4307a106ee2018a	
22q11.21	TypeI	LTR5Hs	authoritative_published	resolved_published	yes	LTR5Hs	resolved_published	NA	none	not_reassessed	not_reassessed	primary-publication assignment carried forward from frozen 64-locus audit	Subramanian et al. 2011 Fig. 1 / official Additional File 1; https://doi.org/10.1186/1742-4690-8-90	prior_audit_sha256=39b223c0e2c956862267a20d9ed1fb096e1c460383a526b0f4307a106ee2018a	
3p12.3	TypeII	LTR5A	authoritative_published	resolved_published	no	LTR5A	resolved_published	NA	none	not_reassessed	not_reassessed	primary-publication assignment carried forward from frozen 64-locus audit	Subramanian et al. 2011 Fig. 1 / official Additional File 1; https://doi.org/10.1186/1742-4690-8-90	prior_audit_sha256=39b223c0e2c956862267a20d9ed1fb096e1c460383a526b0f4307a106ee2018a	
3p25.3	TypeI	LTR5Hs	authoritative_published	resolved_published	yes	LTR5Hs	resolved_published	LTR5_Hs	none	not_reassessed	not_reassessed	primary-publication assignment carried forward from frozen 64-locus audit	Subramanian et al. 2011 Fig. 1 / official Additional File 1; https://doi.org/10.1186/1742-4690-8-90	prior_audit_sha256=39b223c0e2c956862267a20d9ed1fb096e1c460383a526b0f4307a106ee2018a	
3q12.3	TypeI	LTR5Hs	authoritative_published	resolved_published	yes	LTR5Hs	resolved_published	LTR5_Hs	none	not_reassessed	not_reassessed	primary-publication assignment carried forward from frozen 64-locus audit	Subramanian et al. 2011 Fig. 1 / official Additional File 1; https://doi.org/10.1186/1742-4690-8-90	prior_audit_sha256=39b223c0e2c956862267a20d9ed1fb096e1c460383a526b0f4307a106ee2018a	
3q13.2	TypeI	LTR5Hs	authoritative_published	resolved_published	yes	LTR5Hs	resolved_published	NA	none	not_reassessed	not_reassessed	primary-publication assignment carried forward from frozen 64-locus audit	Subramanian et al. 2011 Fig. 1 / official Additional File 1; https://doi.org/10.1186/1742-4690-8-90	prior_audit_sha256=39b223c0e2c956862267a20d9ed1fb096e1c460383a526b0f4307a106ee2018a	
3q21.2	TypeII	LTR5Hs	authoritative_published	resolved_published	yes	LTR5Hs	resolved_published	NA	none	not_reassessed	not_reassessed	primary-publication assignment carried forward from frozen 64-locus audit	Subramanian et al. 2011 Fig. 1 / official Additional File 1; https://doi.org/10.1186/1742-4690-8-90	prior_audit_sha256=39b223c0e2c956862267a20d9ed1fb096e1c460383a526b0f4307a106ee2018a	
3q27.2	TypeI	LTR5Hs	authoritative_published	resolved_published	yes	LTR5Hs	resolved_published	NA	none	not_reassessed	not_reassessed	primary-publication assignment carried forward from frozen 64-locus audit	Subramanian et al. 2011 Fig. 1 / official Additional File 1; https://doi.org/10.1186/1742-4690-8-90	prior_audit_sha256=39b223c0e2c956862267a20d9ed1fb096e1c460383a526b0f4307a106ee2018a	
4p16.1a	TypeII	LTR5A	authoritative_published	resolved_published	no	LTR5A	resolved_published	NA	none	not_reassessed	not_reassessed	primary-publication assignment carried forward from frozen 64-locus audit	Subramanian et al. 2011 Fig. 1 / official Additional File 1; https://doi.org/10.1186/1742-4690-8-90	prior_audit_sha256=39b223c0e2c956862267a20d9ed1fb096e1c460383a526b0f4307a106ee2018a	
4p16.1b	TypeII	LTR5A	authoritative_published	resolved_published	no	LTR5A	resolved_published	NA	none	not_reassessed	not_reassessed	primary-publication assignment carried forward from frozen 64-locus audit	Subramanian et al. 2011 Fig. 1 / official Additional File 1; https://doi.org/10.1186/1742-4690-8-90	prior_audit_sha256=39b223c0e2c956862267a20d9ed1fb096e1c460383a526b0f4307a106ee2018a	
4p16.3a	TypeII	LTR5A	inferred_sequence_high_confidence	resolved_inferred	no	NA	unresolved	LTR5A	prior unresolved row resolved as sequence-inferred LTR5A; not promoted to published authority	unavailable: no 5-prime LTR bases projected in resident cache	representative HG00097_hap1: 529 canonical bases plus 13 internal N across KCON2[8504,9046); minimum edit distances to published panel LTR tracts LTR5A=27, LTR5B=68, LTR5Hs=100; nearest 4q35.2 LTR5A	partial 3-prime LTR nearest-panel sequence classification; 5-prime unavailable; supported by independent local-nearest LTR5A label	resident array cache; Subramanian et al. 2011 official Additional File 1 sequence panel; https://doi.org/10.1186/1742-4690-8-90	cache_sha256=cccdc0fbdf75052aaa1fb7fe6ca6255ce7ca0b9ceaade0b523a8cfb05219a258;published_panel_sha256=8b9c83e7b1ad796b21a520d12fb747d752767e409cfb79af6dad45ce3e465120	
4p16.3c	TypeII	LTR5A	authoritative_published_crosswalk	resolved_published_coordinate_crosswalk	no	LTR5A	resolved_published_coordinate_crosswalk	NA	none	not_reassessed	not_reassessed	primary-publication assignment carried forward from frozen 64-locus audit	Subramanian et al. 2011 Fig. 1 / official Additional File 1; https://doi.org/10.1186/1742-4690-8-90; coordinate crosswalk using current catalog Source_Identifier and Kyriakou & Magiorkinis 2025 Additional File 1; https://doi.org/10.1186/s13100-025-00359-8	prior_audit_sha256=39b223c0e2c956862267a20d9ed1fb096e1c460383a526b0f4307a106ee2018a	
4q13.2	TypeII	LTR5A	authoritative_published	resolved_published	no	LTR5A	resolved_published	LTR5A	none	not_reassessed	not_reassessed	primary-publication assignment carried forward from frozen 64-locus audit	Subramanian et al. 2011 Fig. 1 / official Additional File 1; https://doi.org/10.1186/1742-4690-8-90	prior_audit_sha256=39b223c0e2c956862267a20d9ed1fb096e1c460383a526b0f4307a106ee2018a	
4q32.3	TypeI	LTR5Hs	authoritative_published	resolved_published	yes	LTR5Hs	resolved_published	LTR5_Hs	none	not_reassessed	not_reassessed	primary-publication assignment carried forward from frozen 64-locus audit	Subramanian et al. 2011 Fig. 1 / official Additional File 1; https://doi.org/10.1186/1742-4690-8-90	prior_audit_sha256=39b223c0e2c956862267a20d9ed1fb096e1c460383a526b0f4307a106ee2018a	
4q35.2_hg38	TypeII	LTR5A	authoritative_published_crosswalk	resolved_published_coordinate_crosswalk	no	LTR5A	resolved_published_coordinate_crosswalk	LTR5A	none	not_reassessed	not_reassessed	primary-publication assignment carried forward from frozen 64-locus audit	Subramanian et al. 2011 Fig. 1 / official Additional File 1; https://doi.org/10.1186/1742-4690-8-90; coordinate crosswalk using current catalog Source_Identifier and Kyriakou & Magiorkinis 2025 Additional File 1; https://doi.org/10.1186/s13100-025-00359-8	prior_audit_sha256=39b223c0e2c956862267a20d9ed1fb096e1c460383a526b0f4307a106ee2018a	
5p12	TypeI	LTR5Hs	authoritative_published	resolved_published	yes	LTR5Hs	resolved_published	LTR5_Hs	none	not_reassessed	not_reassessed	primary-publication assignment carried forward from frozen 64-locus audit	Subramanian et al. 2011 Fig. 1 / official Additional File 1; https://doi.org/10.1186/1742-4690-8-90	prior_audit_sha256=39b223c0e2c956862267a20d9ed1fb096e1c460383a526b0f4307a106ee2018a	
5p13.3	TypeII	LTR5Hs	authoritative_published	resolved_published	yes	LTR5Hs	resolved_published	NA	none	not_reassessed	not_reassessed	primary-publication assignment carried forward from frozen 64-locus audit	Subramanian et al. 2011 Fig. 1 / official Additional File 1; https://doi.org/10.1186/1742-4690-8-90	prior_audit_sha256=39b223c0e2c956862267a20d9ed1fb096e1c460383a526b0f4307a106ee2018a	
5q33.2	TypeII	LTR5A	authoritative_published	resolved_published	no	LTR5A	resolved_published	LTR5A	none	not_reassessed	not_reassessed	primary-publication assignment carried forward from frozen 64-locus audit	Subramanian et al. 2011 Fig. 1 / official Additional File 1; https://doi.org/10.1186/1742-4690-8-90	prior_audit_sha256=39b223c0e2c956862267a20d9ed1fb096e1c460383a526b0f4307a106ee2018a	
5q33.3	TypeI	LTR5Hs	authoritative_published	resolved_published	yes	LTR5Hs	resolved_published	NA	none	not_reassessed	not_reassessed	primary-publication assignment carried forward from frozen 64-locus audit	Subramanian et al. 2011 Fig. 1 / official Additional File 1; https://doi.org/10.1186/1742-4690-8-90	prior_audit_sha256=39b223c0e2c956862267a20d9ed1fb096e1c460383a526b0f4307a106ee2018a	
6p21.1	TypeII	LTR5B	authoritative_published	resolved_published	no	LTR5B	resolved_published	LTR5B	none	not_reassessed	not_reassessed	primary-publication assignment carried forward from frozen 64-locus audit	Subramanian et al. 2011 Fig. 1 / official Additional File 1; https://doi.org/10.1186/1742-4690-8-90	prior_audit_sha256=39b223c0e2c956862267a20d9ed1fb096e1c460383a526b0f4307a106ee2018a	
6p22.1	TypeII	LTR5Hs	authoritative_published	resolved_published	yes	LTR5Hs	resolved_published	NA	none	not_reassessed	not_reassessed	primary-publication assignment carried forward from frozen 64-locus audit	Subramanian et al. 2011 Fig. 1 / official Additional File 1; https://doi.org/10.1186/1742-4690-8-90	prior_audit_sha256=39b223c0e2c956862267a20d9ed1fb096e1c460383a526b0f4307a106ee2018a	
6q14.1	TypeII	LTR5Hs	authoritative_published	resolved_published	yes	LTR5Hs	resolved_published	NA	none	not_reassessed	not_reassessed	primary-publication assignment carried forward from frozen 64-locus audit	Subramanian et al. 2011 Fig. 1 / official Additional File 1; https://doi.org/10.1186/1742-4690-8-90	prior_audit_sha256=39b223c0e2c956862267a20d9ed1fb096e1c460383a526b0f4307a106ee2018a	
7p22.1	TypeII	LTR5Hs	authoritative_published_crosswalk	resolved_published_coordinate_crosswalk	yes	LTR5Hs	resolved_published_coordinate_crosswalk	NA	none	not_reassessed	not_reassessed	primary-publication assignment carried forward from frozen 64-locus audit	Subramanian et al. 2011 Fig. 1 / official Additional File 1; https://doi.org/10.1186/1742-4690-8-90; coordinate crosswalk using current catalog Source_Identifier and Kyriakou & Magiorkinis 2025 Additional File 1; https://doi.org/10.1186/s13100-025-00359-8	prior_audit_sha256=39b223c0e2c956862267a20d9ed1fb096e1c460383a526b0f4307a106ee2018a	
7q11.21	TypeII	LTR5B	authoritative_published	resolved_published	no	LTR5B	resolved_published	NO_EXACT_KEY	none	not_reassessed	not_reassessed	primary-publication assignment carried forward from frozen 64-locus audit	Subramanian et al. 2011 Fig. 1 / official Additional File 1; https://doi.org/10.1186/1742-4690-8-90	prior_audit_sha256=39b223c0e2c956862267a20d9ed1fb096e1c460383a526b0f4307a106ee2018a	
8p22	TypeII	not_applicable	authoritative_non_LTR5	resolved_non_LTR5	not_applicable	not_applicable	resolved_non_LTR5	NO_EXACT_KEY	none	not_reassessed	not_reassessed	primary-publication assignment carried forward from frozen 64-locus audit	Subramanian et al. 2011 Fig. 1 / official Additional File 1; https://doi.org/10.1186/1742-4690-8-90	prior_audit_sha256=39b223c0e2c956862267a20d9ed1fb096e1c460383a526b0f4307a106ee2018a	
8p23.1a_hg38	TypeII	LTR5Hs	authoritative_published_crosswalk	resolved_published_coordinate_crosswalk	yes	LTR5Hs	resolved_published_coordinate_crosswalk	NA	none	not_reassessed	not_reassessed	primary-publication assignment carried forward from frozen 64-locus audit	Subramanian et al. 2011 Fig. 1 / official Additional File 1; https://doi.org/10.1186/1742-4690-8-90; coordinate crosswalk using current catalog Source_Identifier and Kyriakou & Magiorkinis 2025 Additional File 1; https://doi.org/10.1186/s13100-025-00359-8	prior_audit_sha256=39b223c0e2c956862267a20d9ed1fb096e1c460383a526b0f4307a106ee2018a	
8p23.1b	TypeII	LTR5A	authoritative_published	resolved_published	no	LTR5A	resolved_published	NA	none	not_reassessed	not_reassessed	primary-publication assignment carried forward from frozen 64-locus audit	Subramanian et al. 2011 Fig. 1 / official Additional File 1; https://doi.org/10.1186/1742-4690-8-90	prior_audit_sha256=39b223c0e2c956862267a20d9ed1fb096e1c460383a526b0f4307a106ee2018a	
8p23.1c	TypeII	LTR5A	authoritative_published	resolved_published	no	LTR5A	resolved_published	NA	none	not_reassessed	not_reassessed	primary-publication assignment carried forward from frozen 64-locus audit	Subramanian et al. 2011 Fig. 1 / official Additional File 1; https://doi.org/10.1186/1742-4690-8-90	prior_audit_sha256=39b223c0e2c956862267a20d9ed1fb096e1c460383a526b0f4307a106ee2018a	
8p23.1d	TypeII	LTR5A	authoritative_published	resolved_published	no	LTR5A	resolved_published	NA	none	not_reassessed	not_reassessed	primary-publication assignment carried forward from frozen 64-locus audit	Subramanian et al. 2011 Fig. 1 / official Additional File 1; https://doi.org/10.1186/1742-4690-8-90	prior_audit_sha256=39b223c0e2c956862267a20d9ed1fb096e1c460383a526b0f4307a106ee2018a	
8p23.1e	TypeII	LTR5A	authoritative_published_crosswalk	resolved_published_coordinate_crosswalk	no	LTR5A	resolved_published_coordinate_crosswalk	NA	none	not_reassessed	not_reassessed	primary-publication assignment carried forward from frozen 64-locus audit	Subramanian et al. 2011 Fig. 1 / official Additional File 1; https://doi.org/10.1186/1742-4690-8-90; coordinate crosswalk using current catalog Source_Identifier and Kyriakou & Magiorkinis 2025 Additional File 1; https://doi.org/10.1186/s13100-025-00359-8	prior_audit_sha256=39b223c0e2c956862267a20d9ed1fb096e1c460383a526b0f4307a106ee2018a	
8q11.21	TypeII	LTR5A	authoritative_published_crosswalk	resolved_published_coordinate_crosswalk	no	LTR5A	resolved_published_coordinate_crosswalk	NA	none	not_reassessed	not_reassessed	primary-publication assignment carried forward from frozen 64-locus audit	Subramanian et al. 2011 Fig. 1 / official Additional File 1; https://doi.org/10.1186/1742-4690-8-90; coordinate crosswalk using current catalog Source_Identifier and Kyriakou & Magiorkinis 2025 Additional File 1; https://doi.org/10.1186/s13100-025-00359-8	prior_audit_sha256=39b223c0e2c956862267a20d9ed1fb096e1c460383a526b0f4307a106ee2018a	
8q11.23_new	TypeI	LTR5Hs	inferred_sequence_high_confidence	resolved_inferred	yes	NA	unresolved	NO_EXACT_KEY	prior project-specific unresolved row resolved as sequence-inferred LTR5Hs; no primary publication assignment located	HG03098_pat: 954/954 canonical bases across KCON2[14,968); minimum edit distances LTR5Hs=3, LTR5B=167, LTR5A=218; nearest 11q22.1 LTR5Hs	HG03098_pat: 961/961 canonical bases across KCON2[8504,9465); minimum edit distances LTR5Hs=4, LTR5B=166, LTR5A=223; nearest 11q22.1 LTR5Hs; concordant with 5-prime call	concordant 5-prime and 3-prime LTR nearest-panel sequence classification	resident array cache; Subramanian et al. 2011 official Additional File 1 sequence panel; https://doi.org/10.1186/1742-4690-8-90	cache_sha256=1dc3d9db8d0409339f22e7e7981043c4b43e6b1f134d10f2cc48379f56077dd7;published_panel_sha256=8b9c83e7b1ad796b21a520d12fb747d752767e409cfb79af6dad45ce3e465120	
8q24.3c	TypeII	LTR5Hs	authoritative_published	resolved_published	yes	LTR5Hs	resolved_published	NA	none	not_reassessed	not_reassessed	primary-publication assignment carried forward from frozen 64-locus audit	Wildschutte et al. 2016 LTR5Hs discovery panel; https://doi.org/10.1073/pnas.1602336113	prior_audit_sha256=39b223c0e2c956862267a20d9ed1fb096e1c460383a526b0f4307a106ee2018a	
