locus	Absent	Solo-LTR	Fragment	Provirus	Multi-copy	Unknown	known_haplotypes	variability_score
HML-2_4p16.1a	2	0	48	532	1	1	583	0.08747855917667235
HML-2_4p16.1b	0	0	0	582	0	2	582	0.0
HML-2_4p16.3a	458	11	108	0	4	3	581	0.2117039586919105
HML-2_4p16.3b	1	0	583	0	0	0	584	0.001712328767123239
HML-2_4p16.3c	1	0	0	583	0	0	584	0.001712328767123239
HML-2_4q13.2	228	0	314	0	0	42	542	0.4206642066420664
HML-2_4q32.1	0	0	584	0	0	0	584	0.0
HML-2_4q32.3	0	0	584	0	0	0	584	0.0
HML-2_4q35.2_hg38	280	0	182	0	1	121	463	0.3952483801295896
HML-2_5p12	2	0	0	579	1	2	582	0.005154639175257714
HML-2_5p13.3	0	8	0	576	0	0	584	0.013698630136986356
HML-2_5q11.2	0	462	0	0	0	122	462	0.0
HML-2_5q33.2	5	0	0	578	0	1	583	0.00857632933104635
HML-2_5q33.3	0	27	0	552	4	1	583	0.053173241852487174
HML-2_6p21.1	0	0	0	584	0	0	584	0.0
HML-2_6p22.1	0	0	0	584	0	0	584	0.0
HML-2_6q11.1	136	0	448	0	0	0	584	0.23287671232876717
HML-2_6q14.1	3	93	0	482	4	2	582	0.17182130584192434
HML-2_6q25.1	0	1	583	0	0	0	584	0.001712328767123239
HML-2_7p22.1	1	2	0	334	247	0	584	0.42808219178082196
HML-2_7q11.21	0	2	581	0	1	0	584	0.005136986301369828
HML-2_7q22.2	0	0	584	0	0	0	584	0.0
HML-2_7q34	0	0	584	0	0	0	584	0.0
HML-2_8p22	0	0	4	580	0	0	584	0.006849315068493178
HML-2_8p23.1_duplicate_group_unresolved	578	0	0	6	0	0	584	0.010273972602739767
HML-2_8p23.1a_hg38	473	0	0	42	0	69	515	0.08155339805825246
HML-2_8p23.1b	247	0	0	280	0	57	527	0.4686907020872866
HML-2_8p23.1c	264	0	0	236	0	84	500	0.472
HML-2_8p23.1d	253	0	0	276	5	50	534	0.4831460674157303
HML-2_8p23.1e	224	0	0	328	1	31	553	0.40687160940325495
HML-2_8q11.21	0	0	584	0	0	0	584	0.0
HML-2_8q11.23_new	0	583	0	1	0	0	584	0.001712328767123239
HML-2_8q24.3a	0	0	584	0	0	0	584	0.0
HML-2_8q24.3c	4	0	577	0	1	2	582	0.00859106529209619
HML-2_9q34.11	1	0	581	0	0	2	582	0.0017182130584192379
HML-2_9q34.3	2	0	210	370	0	2	582	0.36426116838487976
HML-2_Xq11.1	115	91	344	0	2	32	552	0.37681159420289856
HML-2_Xq12	115	0	438	0	0	31	553	0.20795660036166363
HML-2_Xq21.33	547	0	0	6	0	31	553	0.010849909584086825
HML-2_Xq28a	335	0	214	0	0	35	549	0.38979963570127507
HML-2_Xq28b	262	0	286	0	1	35	549	0.47905282331511845
HML-2_Yp11.2	367	0	125	0	0	92	492	0.25406504065040647
HML-2_Yq11.23_duplicate_group_unresolved	578	6	0	0	0	0	584	0.010273972602739767
HML-2_Yq11.23a	424	36	0	0	2	122	462	0.08225108225108224
HML-2_Yq11.23b	365	91	0	0	6	122	462	0.20995670995671
HML-2_acro_type1	89	32	106	113	244	0	584	0.5821917808219178
HML-2_acro_type2	67	0	49	0	468	0	584	0.1986301369863014
