locus	sample	region	body_start	body_end	body_median_all	flank_median_all	diploid_cov_all	hapcopies_all	hap_class	hapcopies_dedup	nucfreq_total_sites	nucfreq_het_sites	nucfreq_het_frac	nucfreq_mean_alt_depth	nucfreq_available	sample_ref_cov	low_baseline	called_cn
HML-2_13p13	HG00133	2	3639900	3649162	56.0000	48.0000	48.0000	2.3333	diploid	2.2222	9263	110	0.0119	14.6455	True	39.0000	False	3
HML-2_13p13	HG00146	1	2699266	2708531	89.0000	81.0000	81.0000	2.1975	diploid	2.2222	9266	0	0.0000		True	37.0000	False	3
HML-2_13p13	HG00146	2	2429534	2438752	35.0000	33.0000	33.0000	2.1212	diploid	2.1379	9219	0	0.0000		True	37.0000	False	3
HML-2_13p13	HG00272	1	2565241	2574459	32.0000	29.0000	29.0000	2.2069	diploid	2.2963	9219	0	0.0000		True	26.0000	False	3
HML-2_13p13	HG00272	2	1898060	1907323	31.0000	23.0000	23.0000	2.6957	diploid	2.7778	9264	16	0.0017	5.0625	True	26.0000	False	3
HML-2_13p13	HG03050	1	2793832	2803097	80.0000	70.0000	70.0000	2.2857	diploid	2.3103	9266	36	0.0039	21.5556	True	29.0000	False	5
HML-2_13p13	HG03050	2	3053009	3065268	34.0000	29.0000	29.0000	2.3448	diploid	2.4000	12260	165	0.0135	8.1636	True	29.0000	False	5
HML-2_13p13	HG03050	3	4550576	4559841	27.0000	22.0000	22.0000	2.4545	diploid	2.4444	9266	55	0.0059	4.9273	True	29.0000	False	5
HML-2_13p13	HG03050	4	3726609	3735872	43.0000	39.0000	39.0000	2.2051	diploid	2.2424	9264	25	0.0027	12.1600	True	29.0000	False	5
HML-2_13p13	HG03050	5	2974875	2984138	24.0000	24.0000	24.0000	2.0000	diploid	2.2105	9264	37	0.0040	4.1622	True	29.0000	False	5
HML-2_14q11.2	NA20282	1	20264829	20272780	59.0000	56.0000	56.0000	2.1071	diploid	2.0769	7952	17	0.0021	16.4118	True	54.0000	False	4
HML-2_14q11.2	NA20282	2	20270190	20281690	55.0000	54.0000	54.0000	2.0370	diploid	2.0000	11501	15	0.0013	14.6667	True	54.0000	False	4
HML-2_14q11.2	NA20282	3	20305300	20313252	43.0000	46.0000	46.0000	1.8696	diploid	1.9512	7953	17	0.0021	10.5882	True	54.0000	False	4
HML-2_14q32.33	HG00140	1	103881838	103887843	14.0000	13.0000	13.0000		NA		6006	12	0.0020	3.0833	True	40.5000	True	3
HML-2_14q32.33	HG00140	2	41074	47079	6.0000	5.0000	5.0000		NA		6006	0	0.0000		True	40.5000	True	3
HML-2_14q32.33	HG00272	1	97998332	98004337	26.0000	24.0000	24.0000	2.1667	diploid	2.1905	6006	2	0.0003	4.0000	True	26.0000	False	3
HML-2_14q32.33	HG00272	2	101352	107357	20.0000	19.0000	19.0000	2.1053	diploid	2.0000	6006	29	0.0048	4.3448	True	26.0000	False	3
HML-2_14q32.33	HG00597	1	95829615	95835620	49.0000	47.0000	47.0000	2.0851	diploid	2.1500	6006	12	0.0020	12.9167	True	47.0000	False	3
HML-2_14q32.33	HG00597	2	1	17739	9.0000		0.0000		NA		17738	16	0.0009	3.1250	True	47.0000	True	3
HML-2_14q32.33	HG01255	1	98532383	98538383	46.0000	44.0000	44.0000	2.0909	diploid	2.1026	6001	13	0.0022	17.5385	True	62.0000	False	3
HML-2_14q32.33	HG01255	2	13872	19872	10.0000	9.0000	9.0000		NA		6001	12	0.0020	3.4167	True	62.0000	True	3
HML-2_14q32.33	HG01784	1	13767	19772	5.0000	4.0000	4.0000		NA		6006	0	0.0000		True	26.0000	True	4
HML-2_14q32.33	HG01784	2	12591	18596	30.0000	26.0000	26.0000	2.3077	diploid	2.2609	6006	10	0.0017	6.2000	True	26.0000	False	4
HML-2_14q32.33	HG01784	3	99875115	99881120	23.0000	4.0000	4.0000		NA		5178	3	0.0006	5.6667	True	26.0000	True	4
HML-2_14q32.33	HG02074	1	97393983	97399988	47.0000	38.0000	38.0000	2.4737	diploid	2.5625	6006	59	0.0098	12.3559	True	38.0000	False	3
HML-2_14q32.33	HG02074	2	1	16066	1.0000		0.0000		NA		8796	0	0.0000		True	38.0000	True	3
HML-2_14q32.33	HG02273	1	97113820	97119825	42.0000	39.0000	39.0000	2.1538	diploid	2.1818	6006	11	0.0018	7.5455	True	22.5000	False	3
HML-2_14q32.33	HG02273	2	68796	74801	8.0000	6.0000	6.0000		NA		6006	6	0.0010	3.0000	True	22.5000	True	3
HML-2_14q32.33	HG02523	1	1	16858	5.0000		0.0000		NA		16857	0	0.0000		True	48.0000	True	3
HML-2_14q32.33	HG02523	2	98387050	98393055	57.0000	48.0000	48.0000	2.3750	diploid	2.3810	6006	3	0.0005	11.0000	True	48.0000	False	3
HML-2_14q32.33	HG02818	1	91767905	91772711	36.0000	32.0000	32.0000	2.2500	diploid	2.2857	4807	3	0.0006	6.0000	True	46.0000	False	3
HML-2_14q32.33	HG02818	2	91784430	91788039	2.0000	12.0000	12.0000		NA		3359	0	0.0000		True	46.0000	True	3
HML-2_14q32.33	HG02965	1	96977789	96983790	44.0000	41.0000	41.0000	2.1463	diploid	2.2286	6002	11	0.0018	15.1818	True	26.5000	False	3
HML-2_14q32.33	HG02965	2	10378	16383	14.0000	9.0000	9.0000		NA		6006	11	0.0018	3.2727	True	26.5000	True	3
HML-2_14q32.33	HG03471	1	97839848	97845849	32.0000	24.5000	24.5000	2.6122	diploid	2.4348	6002	34	0.0057	6.8824	True	31.2500	False	3
HML-2_14q32.33	HG03471	2	10001	14646	37.0000	38.0000	38.0000	1.9474	diploid	2.0625	4646	2	0.0004	6.5000	True	31.2500	False	3
HML-2_14q32.33	HG03521	1	95215868	95221873	59.0000	53.0000	53.0000	2.2264	diploid	2.3043	6006	1	0.0002	14.0000	True	31.0000	False	3
HML-2_14q32.33	HG03521	2	10001	13319	11.0000	9.0000	9.0000		NA		3319	4	0.0012	3.0000	True	31.0000	True	3
HML-2_14q32.33	HG03834	1	16267	22272	16.0000	14.0000	14.0000	2.2857	diploid	2.1667	6006	20	0.0033	3.3500	True	18.0000	False	3
HML-2_14q32.33	HG03834	2	96416058	96422063	24.0000	22.0000	22.0000	2.1818	diploid	2.3333	6006	27	0.0045	4.7778	True	18.0000	False	3
HML-2_14q32.33	HG04157	1	94777811	94783816	19.0000	15.0000	15.0000	2.5333	diploid	2.6154	6006	68	0.0113	4.2794	True	28.0000	False	3
HML-2_14q32.33	HG04157	2	94527	100532	40.0000	34.0000	34.0000	2.3529	diploid	2.3704	6006	24	0.0040	10.3333	True	28.0000	False	3
HML-2_14q32.33	NA18879	1	100826691	100832692	39.0000	37.0000	37.0000	2.1081	diploid	2.1818	6002	59	0.0098	10.2712	True	37.0000	False	3
HML-2_14q32.33	NA18879	2	1	19568	3.0000		0.0000		NA		19557	0	0.0000		True	37.0000	True	3
HML-2_14q32.33	NA18906	1	69987809	69993810	48.0000	43.0000	43.0000	2.2326	diploid	2.2105	6002	10	0.0017	18.8000	True	25.0000	False	3
HML-2_14q32.33	NA18906	2	10001	11876	6.0000	7.0000	7.0000		NA		1876	0	0.0000		True	25.0000	True	3
HML-2_14q32.33	NA18967	1	96865653	96871658	23.0000	18.0000	18.0000	2.5556	diploid	2.3529	6006	5	0.0008	3.4000	True	30.5000	False	3
HML-2_14q32.33	NA18967	2	118382	124387	30.0000	29.0000	29.0000	2.0690	diploid	2.1481	6006	1	0.0002	15.0000	True	30.5000	False	3
HML-2_14q32.33	NA19043	1	12017	18022	10.0000	7.0000	7.0000		NA		6006	1	0.0002	4.0000	True	28.5000	True	3
HML-2_14q32.33	NA19043	2	96048055	96054060	53.0000	50.0000	50.0000	2.1200	diploid	2.1818	6006	7	0.0012	11.2857	True	28.5000	False	3
HML-2_14q32.33	NA19338	1	102596490	102602495	31.0000	30.0000	30.0000	2.0667	diploid	2.2400	6006	8	0.0013	8.0000	True	52.0000	False	3
HML-2_14q32.33	NA19338	2	22143	28148	7.0000	6.0000	6.0000		NA		6006	6	0.0010	3.1667	True	52.0000	True	3
HML-2_14q32.33	NA21102	1	97745186	97751191	61.0000	57.0000	57.0000	2.1404	diploid	2.0755	6006	5	0.0008	20.2000	True	46.5000	False	4
HML-2_14q32.33	NA21102	2	103857	120300	9.0000		0.0000		NA		16443	2	0.0001	3.0000	True	46.5000	True	4
HML-2_14q32.33	NA21102	3	97940943	97946948	38.0000	36.0000	36.0000	2.1111	diploid	2.0606	6006	5	0.0008	15.4000	True	46.5000	False	4
HML-2_14q32.33	NA21102	4	81840	98283	5.0000		0.0000		NA		16442	0	0.0000		True	46.5000	True	4
HML-2_15p13a	HG00097	1	10940	20611	0.0000	0.0000	0.0000		NA		0	0			True	52.5000	True	3
HML-2_15p13a	HG00097	2	13248	22919	0.0000	0.0000	0.0000		NA		0	0			True	52.5000	True	3
HML-2_15p13a	HG00099	1	20109	29780	0.0000	0.0000	0.0000		NA		0	0			True	40.0000	True	3
HML-2_15p13a	HG00099	2	14814	24473	0.0000	0.0000	0.0000		NA		0	0			True	40.0000	True	3
HML-2_15p13a	HG00126	1	17226	26893	0.0000	0.0000	0.0000		NA		0	0			True	43.0000	True	4
HML-2_15p13a	HG00126	2	11457	21124	0.0000	0.0000	0.0000		NA		0	0			True	43.0000	True	4
HML-2_15p13a	HG00126	3	10001	19596	0.0000	0.0000	0.0000		NA		0	0			True	43.0000	True	4
HML-2_15p13a	HG00133	1	15277	25262	0.0000	0.0000	0.0000		NA		0	0			True	39.0000	True	4
HML-2_15p13a	HG00133	2	10001	18402	0.0000	0.0000	0.0000		NA		0	0			True	39.0000	True	4
HML-2_15p13a	HG00133	3	11540	21199	0.0000	0.0000	0.0000		NA		0	0			True	39.0000	True	4
HML-2_15p13a	HG00253	1	11858	21525	0.0000	0.0000	0.0000		NA		0	0			True	36.0000	True	3
HML-2_15p13a	HG00253	2	10001	19380	0.0000	0.0000	0.0000		NA		0	0			True	36.0000	True	3
HML-2_15p13a	HG00290	1	15104	24761	0.0000	0.0000	0.0000		NA		0	0			True	62.0000	True	3
HML-2_15p13a	HG00290	2	10001	14651	0.0000	0.0000	0.0000		NA		0	0			True	62.0000	True	3
HML-2_15p13a	HG00344	1	10001	19012	42.0000	41.0000	41.0000	2.0488	diploid	2.0000	9012	32	0.0036	11.6875	True	30.5000	False	3
HML-2_15p13a	HG00344	2	12944	22608	44.0000	42.0000	42.0000	2.0952	diploid	2.1000	9665	52	0.0054	14.4808	True	30.5000	False	3
HML-2_15p13a	NA18620	1	10001	18017	61.0000	49.0000	49.0000	2.4898	diploid	2.4783	8017	19	0.0024	17.7368	True	36.0000	False	8
HML-2_15p13a	NA18620	2	15935	25602	81.0000	73.0000	73.0000	2.2192	diploid	2.1791	9668	32	0.0033	17.8438	True	36.0000	False	8
HML-2_15p13a	NA18620	3	18529	28200	175.0000	161.0000	161.0000	2.1739	diploid	2.1579	9672	22	0.0023	48.7273	True	36.0000	False	8
HML-2_15p13a	NA18620	4	10001	10533	10.0000	7.0000	7.0000		NA		533	2	0.0038	3.0000	True	36.0000	True	8
HML-2_15p13a	NA18620	5	10001	17765	31.0000	27.0000	27.0000	2.2963	diploid	2.3200	7765	2	0.0003	4.5000	True	36.0000	False	8
HML-2_15p13a	NA18620	6	10001	17447	66.0000	61.0000	61.0000	2.1639	diploid	2.1404	7447	0	0.0000		True	36.0000	False	8
HML-2_15p13a	NA18620	7	10001	18016	34.0000	30.0000	30.0000	2.2667	diploid	2.3077	8016	14	0.0017	6.6429	True	36.0000	False	8
HML-2_15p13a	NA18620	8	10001	16803	39.0000	34.0000	34.0000	2.2941	diploid	2.1765	6803	0	0.0000		True	36.0000	False	8
HML-2_15p13a	NA18747	1	19609	29276	70.0000	61.0000	61.0000	2.2951	diploid	2.2909	9668	26	0.0027	14.7692	True	52.5000	False	6
HML-2_15p13a	NA18747	2	13170	22845	43.0000	39.0000	39.0000	2.2051	diploid	2.1667	9676	16	0.0017	9.5000	True	52.5000	False	6
HML-2_15p13a	NA18747	3	17391	27058	49.0000	48.0000	48.0000	2.0417	diploid	2.0465	9668	42	0.0043	12.7143	True	52.5000	False	6
HML-2_15p13a	NA18747	4	19215	28886	35.0000	35.0000	35.0000	2.0000	diploid	2.0000	9672	44	0.0045	7.0455	True	52.5000	False	6
HML-2_15p13a	NA18747	5	17751	27422	126.0000	112.0000	112.0000	2.2500	diploid	2.2157	9672	46	0.0048	38.0652	True	52.5000	False	6
HML-2_15p13a	NA18747	6	14627	24294	71.0000	57.0000	57.0000	2.4912	diploid	2.5098	9668	9	0.0009	17.7778	True	52.5000	False	6
HML-2_15p13a	NA20850	1	13250	22917	36.0000	44.0000	44.0000	1.6364	diploid	1.5385	9668	35	0.0036	12.2857	True	51.0000	False	5
HML-2_15p13a	NA20850	2	11250	20917	103.0000	97.0000	97.0000	2.1237	diploid	2.0930	9668	10	0.0010	25.6000	True	51.0000	False	5
HML-2_15p13a	NA20850	3	10001	16646	18.0000	14.0000	14.0000		NA		6646	5	0.0008	3.0000	True	51.0000	True	5
HML-2_15p13a	NA20850	4	11138	20805	35.0000	25.0000	25.0000	2.8000	diploid	2.6667	9668	4	0.0004	7.2500	True	51.0000	False	5
HML-2_15p13a	NA20905	1	15303	24966	39.0000	35.0000	35.0000	2.2286	diploid	2.2500	9664	39	0.0040	10.0513	True	35.5000	False	5
HML-2_15p13a	NA20905	2	14628	24295	38.0000	31.0000	31.0000	2.4516	diploid	2.4138	9668	10	0.0010	7.3000	True	35.5000	False	5
HML-2_15p13a	NA20905	3	11572	21231	45.0000	38.0000	38.0000	2.3684	diploid	2.3429	9660	11	0.0011	9.2727	True	35.5000	False	5
HML-2_15p13a	NA20905	4	18182	27853	38.0000	36.0000	36.0000	2.1111	diploid	2.1212	9672	24	0.0025	9.5833	True	35.5000	False	5
HML-2_15p13b	HG00099	1	2228506	2240814	0.0000	0.0000	0.0000		NA		0	0			True	40.0000	True	3
HML-2_15p13b	HG00099	2	2664856	2677164	0.0000	0.0000	0.0000		NA		0	0			True	40.0000	True	3
HML-2_15p13b	HG00126	1	2614251	2626571	0.0000	0.0000	0.0000		NA		0	0			True	43.0000	True	3
HML-2_15p13b	HG00126	2	2580305	2592625	0.0000	0.0000	0.0000		NA		0	0			True	43.0000	True	3
HML-2_15p13b	HG00128	1	3842844	3855163	42.0000	38.0000	38.0000	2.2105	diploid	2.2424	12320	1	0.0001	7.0000	True	44.5000	False	3
HML-2_15p13b	HG00128	2	2423625	2435933	58.0000	51.0000	51.0000	2.2745	diploid	2.3556	12309	31	0.0025	22.0968	True	44.5000	False	3
HML-2_15p13b	HG00146	1	942746	952011	0.0000	0.0000	0.0000		NA		0	0			True	37.0000	True	3
HML-2_15p13b	HG00146	2	2429534	2438752	35.0000	33.0000	33.0000	2.1212	diploid	2.1379	9219	0	0.0000		True	37.0000	False	3
HML-2_15p13b	HG00235	1	2259727	2268945	0.0000	0.0000	0.0000		NA		0	0			True	58.0000	True	3
HML-2_15p13b	HG00235	2	3084890	3094155	0.0000	0.0000	0.0000		NA		0	0			True	58.0000	True	3
HML-2_15p13b	HG00280	1	3521385	3530650	0.0000	0.0000	0.0000		NA		0	0			True	39.5000	True	4
HML-2_15p13b	HG00280	2	2521879	2531144	0.0000	0.0000	0.0000		NA		0	0			True	39.5000	True	4
HML-2_15p13b	HG00280	3	1445000	1454265	0.0000	0.0000	0.0000		NA		0	0			True	39.5000	True	4
HML-2_15p13b	HG00290	1	2431344	2440606	0.0000	0.0000	0.0000		NA		0	0			True	62.0000	True	3
HML-2_15p13b	HG00290	2	3224058	3233323	0.0000	0.0000	0.0000		NA		0	0			True	62.0000	True	3
HML-2_15p13b	HG00621	1	1907577	1916795	52.0000	44.0000	44.0000	2.3636	diploid	2.3590	9219	14	0.0015	10.8571	True	44.0000	False	4
HML-2_15p13b	HG00621	2	2216478	2225740	31.0000	31.0000	31.0000	2.0000	diploid	2.0769	9263	79	0.0085	8.6709	True	44.0000	False	4
HML-2_15p13b	HG00621	3	2103206	2112424	81.0000	76.0000	76.0000	2.1316	diploid	2.1212	9219	12	0.0013	17.8333	True	44.0000	False	4
HML-2_15p13b	HG02668	1	3099054	3111313	41.0000	39.0000	39.0000	2.1026	diploid	2.1212	12260	80	0.0065	8.9750	True	38.0000	False	5
HML-2_15p13b	HG02668	2	2178055	2190375	17.0000	21.0000	21.0000	1.6190	diploid	1.7647	12321	98	0.0080	5.0714	True	38.0000	False	5
HML-2_15p13b	HG02668	3	2063958	2076278	30.0000	37.0000	37.0000	1.6216	diploid	1.7419	12321	82	0.0067	9.7439	True	38.0000	False	5
HML-2_15p13b	HG02668	4	2219524	2231844	51.0000	53.0000	53.0000	1.9245	diploid	1.9565	12321	150	0.0122	20.4667	True	38.0000	False	5
HML-2_15p13b	HG04184	1	2639561	2651869	12.0000	13.0000	13.0000	1.8462	diploid	2.0000	12309	25	0.0020	3.1200	True	32.5000	False	5
HML-2_15p13b	HG04184	2	2643660	2655968	20.0000	19.0000	19.0000	2.1053	diploid	2.2500	12309	41	0.0033	3.5854	True	32.5000	False	5
HML-2_15p13b	HG04184	3	5414134	5426450	33.0000	58.0000	58.0000	1.1379	haploid	1.2500	12317	125	0.0101	18.5040	True	32.5000	False	5
HML-2_15p13b	HG04184	4	2476737	2489057	28.0000	46.0000	46.0000	1.2174	haploid	1.2973	12321	111	0.0090	16.2252	True	32.5000	False	5
HML-2_15p13b	NA18967	1	2386557	2395775	36.0000	33.0000	33.0000	2.1818	diploid	2.2000	9219	0	0.0000		True	30.5000	False	5
HML-2_15p13b	NA18967	2	2205197	2214415	44.0000	38.0000	38.0000	2.3158	diploid	2.3429	9219	0	0.0000		True	30.5000	False	5
HML-2_15p13b	NA18967	3	1990578	1999796	26.0000	22.0000	22.0000	2.3636	diploid	2.3000	9219	1	0.0001	4.0000	True	30.5000	False	5
HML-2_15p13b	NA18967	4	2287129	2296347	35.0000	32.0000	32.0000	2.1875	diploid	2.2857	9219	0	0.0000		True	30.5000	False	5
HML-2_15q25.2	HG04115	1	75404119	75408537	56.0000	52.0000	52.0000	2.1538	diploid	2.2791	4419	7	0.0016	10.1429	True	44.0000	False	3
HML-2_15q25.2	HG04115	2	19693	24111	17.0000	15.0000	15.0000		NA		4419	26	0.0059	3.5385	True	44.0000	True	3
HML-2_16p11.2	HG00140	1	38714336	38720261	37.0000	35.0000	35.0000	2.1143	diploid	2.0625	5926	3	0.0005	8.0000	True	40.5000	False	3
HML-2_16p11.2	HG00140	2	4383577	4389502	36.0000	33.0000	33.0000	2.1818	diploid	2.1333	5926	2	0.0003	5.5000	True	40.5000	False	3
HML-2_16p11.2	HG00253	1	3557839	3563764	40.0000	36.0000	36.0000	2.2222	diploid	2.1818	5926	0	0.0000		True	36.0000	False	3
HML-2_16p11.2	HG00253	2	4090490	4096415	48.0000	45.0000	45.0000	2.1333	diploid	2.1538	5926	0	0.0000		True	36.0000	False	3
HML-2_16p11.2	HG00280	1	38418253	38424178	29.0000	28.0000	28.0000	2.0714	diploid	2.1600	5926	3	0.0005	4.3333	True	39.5000	False	3
HML-2_16p11.2	HG00280	2	3539372	3545297	22.0000	19.0000	19.0000	2.3158	diploid	2.3529	5926	3	0.0005	4.0000	True	39.5000	False	3
HML-2_19q12	HG00609	1	29654613	29666688	64.0000	59.0000	59.0000	2.1695	diploid	2.0784	12076	11	0.0009	11.7273	True	33.0000	False	3
HML-2_19q12	HG00609	2	26924	38999	12.0000	7.0000	7.0000		NA		12076	17	0.0014	3.2353	True	33.0000	True	3
HML-2_19q12	HG02984	1	131244	143321	41.0000	36.0000	36.0000	2.2778	diploid	2.2581	12078	20	0.0017	6.4500	True	30.0000	False	3
HML-2_19q12	HG02984	2	29709767	29721844	29.0000	24.0000	24.0000	2.4167	diploid	2.2857	12078	27	0.0022	4.6296	True	30.0000	False	3
HML-2_19q12	HG03942	1	30229588	30241665	64.0000	58.0000	58.0000	2.2069	diploid	2.1176	12078	10	0.0008	13.5000	True	58.0000	False	3
HML-2_19q12	HG03942	2	1	12977	3.0000		0.0000		NA		12441	0	0.0000		True	58.0000	True	3
HML-2_1p31.1a	HG02965	1	73281637	73293944	28.0000	27.0000	27.0000	2.0741	diploid	2.0000	12308	15	0.0012	6.4667	True	26.5000	False	3
HML-2_1p31.1a	HG02965	2	251968	264275	32.0000	26.0000	26.0000	2.4615	diploid	2.3333	12308	18	0.0015	6.5000	True	26.5000	False	3
HML-2_1q22	HG00423	1	13434524	13446888	63.0000	58.0000	58.0000	2.1724	diploid	2.0392	12365	18	0.0015	12.9444	True	41.0000	False	3
HML-2_1q22	HG00423	2	25014	37378	6.0000	1.0000	1.0000		NA		12331	3	0.0002	3.0000	True	41.0000	True	3
HML-2_20q11.22	NA21106	1	36862478	36873765	60.0000	56.0000	56.0000	2.1429	diploid	2.1569	11288	1	0.0001	19.0000	True	39.5000	False	3
HML-2_20q11.22	NA21106	2	12253	23540	26.0000	23.0000	23.0000	2.2609	diploid	2.1818	11288	5	0.0004	4.0000	True	39.5000	False	3
HML-2_21p13	HG00097	1	10001	18919	69.0000	62.0000	62.0000	2.2258	diploid	2.1887	8919	23	0.0026	18.0870	True	52.5000	False	4
HML-2_21p13	HG00097	2	10001	19386	15.0000	14.0000	14.0000		NA		9386	19	0.0020	3.1053	True	52.5000	True	4
HML-2_21p13	HG00097	3	11873	21536	103.0000	93.0000	93.0000	2.2151	diploid	2.2000	9664	45	0.0047	26.4889	True	52.5000	False	4
HML-2_21p13	HG00097	4	10001	17881	47.0000	43.0000	43.0000	2.1860	diploid	2.1951	7881	21	0.0027	15.0952	True	52.5000	False	4
HML-2_21p13	HG00099	1	13336	23003	89.0000	69.0000	69.0000	2.5797	diploid	2.5397	9668	21	0.0022	22.1905	True	40.0000	False	5
HML-2_21p13	HG00099	2	16953	26620	80.0000	72.0000	72.0000	2.2222	diploid	2.2154	9668	56	0.0058	18.5000	True	40.0000	False	5
HML-2_21p13	HG00099	3	14794	24461	55.0000	47.0000	47.0000	2.3404	diploid	2.3810	9668	30	0.0031	13.1000	True	40.0000	False	5
HML-2_21p13	HG00099	4	15466	25141	33.0000	29.0000	29.0000	2.2759	diploid	2.3077	9676	37	0.0038	8.2703	True	40.0000	False	5
HML-2_21p13	HG00099	5	10001	16461	60.0000	51.0000	51.0000	2.3529	diploid	2.3478	6461	7	0.0011	15.4286	True	40.0000	False	5
