ID_Full	Locus	orig_Locus	ID	Haplotype	type	longest_ATG_ORF_aa	start_gene	genes_spanned	start_nt0	end_nt0	start_KCON_nt0	frame0	end_reason	sequence_bases	noncanonical_bases	alignment_path	regional_reach
HG00290_hap1_hprc_r2_v1.0.1_HML-2_10q24.2	HML-2_10q24.2	HML-2_10q24.2	HG00290	h1	type2	521	gag	gag	1217	2780	1489	2	stop_codon	7843	0	/cluster/tufts/coffinlab/dworst01/HML2_project/orf_analysis_combined/HML-2_10q24.2/HML-2_10q24.2_all_haplotypes_aligned_type2_KCON.fasta	gag only
HG00290_hap2_hprc_r2_v1.0.1_HML-2_10q24.2	HML-2_10q24.2	HML-2_10q24.2	HG00290	h2	type2	521	gag	gag	1217	2780	1489	2	stop_codon	7843	0	/cluster/tufts/coffinlab/dworst01/HML2_project/orf_analysis_combined/HML-2_10q24.2/HML-2_10q24.2_all_haplotypes_aligned_type2_KCON.fasta	gag only
HG00320_hap1_hprc_r2_v1.0.1_HML-2_10q24.2	HML-2_10q24.2	HML-2_10q24.2	HG00320	h1	type2	521	gag	gag	1217	2780	1489	2	stop_codon	7843	0	/cluster/tufts/coffinlab/dworst01/HML2_project/orf_analysis_combined/HML-2_10q24.2/HML-2_10q24.2_all_haplotypes_aligned_type2_KCON.fasta	gag only
HG00320_hap2_hprc_r2_v1.0.1_HML-2_10q24.2	HML-2_10q24.2	HML-2_10q24.2	HG00320	h2	type2	521	gag	gag	1217	2780	1489	2	stop_codon	7843	0	/cluster/tufts/coffinlab/dworst01/HML2_project/orf_analysis_combined/HML-2_10q24.2/HML-2_10q24.2_all_haplotypes_aligned_type2_KCON.fasta	gag only
HG00321_hap1_hprc_r2_v1.0.1_HML-2_10q24.2	HML-2_10q24.2	HML-2_10q24.2	HG00321	h1	type2	521	gag	gag	1217	2780	1489	2	stop_codon	7843	0	/cluster/tufts/coffinlab/dworst01/HML2_project/orf_analysis_combined/HML-2_10q24.2/HML-2_10q24.2_all_haplotypes_aligned_type2_KCON.fasta	gag only
HG00321_hap2_hprc_r2_v1.0.1_HML-2_10q24.2	HML-2_10q24.2	HML-2_10q24.2	HG00321	h2	type2	521	gag	gag	1217	2780	1489	2	stop_codon	7843	0	/cluster/tufts/coffinlab/dworst01/HML2_project/orf_analysis_combined/HML-2_10q24.2/HML-2_10q24.2_all_haplotypes_aligned_type2_KCON.fasta	gag only
HG00323_hap1_hprc_r2_v1.0.1_HML-2_10q24.2	HML-2_10q24.2	HML-2_10q24.2	HG00323	h1	type2	521	gag	gag	1217	2780	1489	2	stop_codon	7843	0	/cluster/tufts/coffinlab/dworst01/HML2_project/orf_analysis_combined/HML-2_10q24.2/HML-2_10q24.2_all_haplotypes_aligned_type2_KCON.fasta	gag only
HG00323_hap2_hprc_r2_v1.0.1_HML-2_10q24.2	HML-2_10q24.2	HML-2_10q24.2	HG00323	h2	type2	521	gag	gag	1217	2780	1489	2	stop_codon	7843	0	/cluster/tufts/coffinlab/dworst01/HML2_project/orf_analysis_combined/HML-2_10q24.2/HML-2_10q24.2_all_haplotypes_aligned_type2_KCON.fasta	gag only
HG00329_hap1_hprc_r2_v1.0.1_HML-2_10q24.2	HML-2_10q24.2	HML-2_10q24.2	HG00329	h1	type2	521	gag	gag	1217	2780	1489	2	stop_codon	7843	0	/cluster/tufts/coffinlab/dworst01/HML2_project/orf_analysis_combined/HML-2_10q24.2/HML-2_10q24.2_all_haplotypes_aligned_type2_KCON.fasta	gag only
HG00329_hap2_hprc_r2_v1.0.1_HML-2_10q24.2	HML-2_10q24.2	HML-2_10q24.2	HG00329	h2	type2	519	gag	gag	1217	2774	1489	2	stop_codon	7837	0	/cluster/tufts/coffinlab/dworst01/HML2_project/orf_analysis_combined/HML-2_10q24.2/HML-2_10q24.2_all_haplotypes_aligned_type2_KCON.fasta	gag only
HG00344_hap1_hprc_r2_v1.0.1_HML-2_10q24.2	HML-2_10q24.2	HML-2_10q24.2	HG00344	h1	type2	521	gag	gag	1217	2780	1489	2	stop_codon	7843	0	/cluster/tufts/coffinlab/dworst01/HML2_project/orf_analysis_combined/HML-2_10q24.2/HML-2_10q24.2_all_haplotypes_aligned_type2_KCON.fasta	gag only
HG00344_hap2_hprc_r2_v1.0.1_HML-2_10q24.2	HML-2_10q24.2	HML-2_10q24.2	HG00344	h2	type2	521	gag	gag	1217	2780	1489	2	stop_codon	7843	0	/cluster/tufts/coffinlab/dworst01/HML2_project/orf_analysis_combined/HML-2_10q24.2/HML-2_10q24.2_all_haplotypes_aligned_type2_KCON.fasta	gag only
HG00350_hap1_hprc_r2_v1.0.1_HML-2_10q24.2	HML-2_10q24.2	HML-2_10q24.2	HG00350	h1	type2	521	gag	gag	1217	2780	1489	2	stop_codon	7843	0	/cluster/tufts/coffinlab/dworst01/HML2_project/orf_analysis_combined/HML-2_10q24.2/HML-2_10q24.2_all_haplotypes_aligned_type2_KCON.fasta	gag only
HG00350_hap2_hprc_r2_v1.0.1_HML-2_10q24.2	HML-2_10q24.2	HML-2_10q24.2	HG00350	h2	type2	521	gag	gag	1217	2780	1489	2	stop_codon	7842	0	/cluster/tufts/coffinlab/dworst01/HML2_project/orf_analysis_combined/HML-2_10q24.2/HML-2_10q24.2_all_haplotypes_aligned_type2_KCON.fasta	gag only
HG00358_h1_HML-2_10q24.2_graph_hgsvc3-2024-02-23-mc-chm13	HML-2_10q24.2	HML-2_10q24.2	HG00358	h1	type2	521	gag	gag	1217	2780	1489	2	stop_codon	7843	0	/cluster/tufts/coffinlab/dworst01/HML2_project/orf_analysis_combined/HML-2_10q24.2/HML-2_10q24.2_all_haplotypes_aligned_type2_KCON.fasta	gag only
HG00358_h2_HML-2_10q24.2_graph_hgsvc3-2024-02-23-mc-chm13	HML-2_10q24.2	HML-2_10q24.2	HG00358	h2	type2	521	gag	gag	1217	2780	1489	2	stop_codon	7843	0	/cluster/tufts/coffinlab/dworst01/HML2_project/orf_analysis_combined/HML-2_10q24.2/HML-2_10q24.2_all_haplotypes_aligned_type2_KCON.fasta	gag only
HG00408_mat_hprc_r2_v1.0.1_HML-2_10q24.2	HML-2_10q24.2	HML-2_10q24.2	HG00408	mat	type2	521	gag	gag	1217	2780	1489	2	stop_codon	7843	0	/cluster/tufts/coffinlab/dworst01/HML2_project/orf_analysis_combined/HML-2_10q24.2/HML-2_10q24.2_all_haplotypes_aligned_type2_KCON.fasta	gag only
HG00408_pat_hprc_r2_v1.0.1_HML-2_10q24.2	HML-2_10q24.2	HML-2_10q24.2	HG00408	pat	type2	521	gag	gag	1217	2780	1489	2	stop_codon	7843	0	/cluster/tufts/coffinlab/dworst01/HML2_project/orf_analysis_combined/HML-2_10q24.2/HML-2_10q24.2_all_haplotypes_aligned_type2_KCON.fasta	gag only
HG00423_mat_hprc_r2_v1.0.1_HML-2_10q24.2	HML-2_10q24.2	HML-2_10q24.2	HG00423	mat	type2	521	gag	gag	1217	2780	1489	2	stop_codon	7843	0	/cluster/tufts/coffinlab/dworst01/HML2_project/orf_analysis_combined/HML-2_10q24.2/HML-2_10q24.2_all_haplotypes_aligned_type2_KCON.fasta	gag only
HG00423_pat_hprc_r2_v1.0.1_HML-2_10q24.2	HML-2_10q24.2	HML-2_10q24.2	HG00423	pat	type2	521	gag	gag	1217	2780	1489	2	stop_codon	7843	0	/cluster/tufts/coffinlab/dworst01/HML2_project/orf_analysis_combined/HML-2_10q24.2/HML-2_10q24.2_all_haplotypes_aligned_type2_KCON.fasta	gag only
HG00438_mat_hprc_r2_v1.0.1_HML-2_10q24.2	HML-2_10q24.2	HML-2_10q24.2	HG00438	mat	type2	521	gag	gag	1217	2780	1489	2	stop_codon	7843	0	/cluster/tufts/coffinlab/dworst01/HML2_project/orf_analysis_combined/HML-2_10q24.2/HML-2_10q24.2_all_haplotypes_aligned_type2_KCON.fasta	gag only
HG00438_pat_hprc_r2_v1.0.1_HML-2_10q24.2	HML-2_10q24.2	HML-2_10q24.2	HG00438	pat	type2	521	gag	gag	1217	2780	1489	2	stop_codon	7843	0	/cluster/tufts/coffinlab/dworst01/HML2_project/orf_analysis_combined/HML-2_10q24.2/HML-2_10q24.2_all_haplotypes_aligned_type2_KCON.fasta	gag only
HG005_mat_hprc_r2_v1.0.1_HML-2_10q24.2	HML-2_10q24.2	HML-2_10q24.2	HG005	mat	type2	521	gag	gag	1217	2780	1489	2	stop_codon	7843	0	/cluster/tufts/coffinlab/dworst01/HML2_project/orf_analysis_combined/HML-2_10q24.2/HML-2_10q24.2_all_haplotypes_aligned_type2_KCON.fasta	gag only
HG005_pat_hprc_r2_v1.0.1_HML-2_10q24.2	HML-2_10q24.2	HML-2_10q24.2	HG005	pat	type2	521	gag	gag	1217	2780	1489	2	stop_codon	7843	0	/cluster/tufts/coffinlab/dworst01/HML2_project/orf_analysis_combined/HML-2_10q24.2/HML-2_10q24.2_all_haplotypes_aligned_type2_KCON.fasta	gag only
HG00512_h1_HML-2_10q24.2_graph_hgsvc3-2024-02-23-mc-chm13	HML-2_10q24.2	HML-2_10q24.2	HG00512	h1	type2	521	gag	gag	1217	2780	1489	2	stop_codon	7843	0	/cluster/tufts/coffinlab/dworst01/HML2_project/orf_analysis_combined/HML-2_10q24.2/HML-2_10q24.2_all_haplotypes_aligned_type2_KCON.fasta	gag only
HG00512_h2_HML-2_10q24.2_graph_hgsvc3-2024-02-23-mc-chm13	HML-2_10q24.2	HML-2_10q24.2	HG00512	h2	type2	521	gag	gag	1217	2780	1489	2	stop_codon	7843	0	/cluster/tufts/coffinlab/dworst01/HML2_project/orf_analysis_combined/HML-2_10q24.2/HML-2_10q24.2_all_haplotypes_aligned_type2_KCON.fasta	gag only
HG00513_h1_HML-2_10q24.2_graph_hgsvc3-2024-02-23-mc-chm13	HML-2_10q24.2	HML-2_10q24.2	HG00513	h1	type2	521	gag	gag	1217	2780	1489	2	stop_codon	7843	0	/cluster/tufts/coffinlab/dworst01/HML2_project/orf_analysis_combined/HML-2_10q24.2/HML-2_10q24.2_all_haplotypes_aligned_type2_KCON.fasta	gag only
HG00513_h2_HML-2_10q24.2_graph_hgsvc3-2024-02-23-mc-chm13	HML-2_10q24.2	HML-2_10q24.2	HG00513	h2	type2	521	gag	gag	1217	2780	1489	2	stop_codon	7843	0	/cluster/tufts/coffinlab/dworst01/HML2_project/orf_analysis_combined/HML-2_10q24.2/HML-2_10q24.2_all_haplotypes_aligned_type2_KCON.fasta	gag only
HG00514_h1_HML-2_10q24.2_graph_hgsvc3-2024-02-23-mc-chm13	HML-2_10q24.2	HML-2_10q24.2	HG00514	h1	type2	521	gag	gag	1217	2780	1489	2	stop_codon	7843	0	/cluster/tufts/coffinlab/dworst01/HML2_project/orf_analysis_combined/HML-2_10q24.2/HML-2_10q24.2_all_haplotypes_aligned_type2_KCON.fasta	gag only
HG00514_h2_HML-2_10q24.2_graph_hgsvc3-2024-02-23-mc-chm13	HML-2_10q24.2	HML-2_10q24.2	HG00514	h2	type2	521	gag	gag	1217	2780	1489	2	stop_codon	7843	0	/cluster/tufts/coffinlab/dworst01/HML2_project/orf_analysis_combined/HML-2_10q24.2/HML-2_10q24.2_all_haplotypes_aligned_type2_KCON.fasta	gag only
HG00544_mat_hprc_r2_v1.0.1_HML-2_10q24.2	HML-2_10q24.2	HML-2_10q24.2	HG00544	mat	type2	521	gag	gag	1217	2780	1489	2	stop_codon	7843	0	/cluster/tufts/coffinlab/dworst01/HML2_project/orf_analysis_combined/HML-2_10q24.2/HML-2_10q24.2_all_haplotypes_aligned_type2_KCON.fasta	gag only
HG00544_pat_hprc_r2_v1.0.1_HML-2_10q24.2	HML-2_10q24.2	HML-2_10q24.2	HG00544	pat	type2	521	gag	gag	1217	2780	1489	2	stop_codon	7843	0	/cluster/tufts/coffinlab/dworst01/HML2_project/orf_analysis_combined/HML-2_10q24.2/HML-2_10q24.2_all_haplotypes_aligned_type2_KCON.fasta	gag only
HG00558_mat_hprc_r2_v1.0.1_HML-2_10q24.2	HML-2_10q24.2	HML-2_10q24.2	HG00558	mat	type2	521	gag	gag	1217	2780	1489	2	stop_codon	7843	0	/cluster/tufts/coffinlab/dworst01/HML2_project/orf_analysis_combined/HML-2_10q24.2/HML-2_10q24.2_all_haplotypes_aligned_type2_KCON.fasta	gag only
HG00558_pat_hprc_r2_v1.0.1_HML-2_10q24.2	HML-2_10q24.2	HML-2_10q24.2	HG00558	pat	type2	521	gag	gag	1217	2780	1489	2	stop_codon	7843	0	/cluster/tufts/coffinlab/dworst01/HML2_project/orf_analysis_combined/HML-2_10q24.2/HML-2_10q24.2_all_haplotypes_aligned_type2_KCON.fasta	gag only
HG00597_mat_hprc_r2_v1.0.1_HML-2_10q24.2	HML-2_10q24.2	HML-2_10q24.2	HG00597	mat	type2	521	gag	gag	1217	2780	1489	2	stop_codon	7843	0	/cluster/tufts/coffinlab/dworst01/HML2_project/orf_analysis_combined/HML-2_10q24.2/HML-2_10q24.2_all_haplotypes_aligned_type2_KCON.fasta	gag only
HG00597_pat_hprc_r2_v1.0.1_HML-2_10q24.2	HML-2_10q24.2	HML-2_10q24.2	HG00597	pat	type2	521	gag	gag	1217	2780	1489	2	stop_codon	7843	0	/cluster/tufts/coffinlab/dworst01/HML2_project/orf_analysis_combined/HML-2_10q24.2/HML-2_10q24.2_all_haplotypes_aligned_type2_KCON.fasta	gag only
HG00609_mat_hprc_r2_v1.0.1_HML-2_10q24.2	HML-2_10q24.2	HML-2_10q24.2	HG00609	mat	type2	521	gag	gag	1217	2780	1489	2	stop_codon	7843	0	/cluster/tufts/coffinlab/dworst01/HML2_project/orf_analysis_combined/HML-2_10q24.2/HML-2_10q24.2_all_haplotypes_aligned_type2_KCON.fasta	gag only
HG00609_pat_hprc_r2_v1.0.1_HML-2_10q24.2	HML-2_10q24.2	HML-2_10q24.2	HG00609	pat	type2	521	gag	gag	1217	2780	1489	2	stop_codon	7843	0	/cluster/tufts/coffinlab/dworst01/HML2_project/orf_analysis_combined/HML-2_10q24.2/HML-2_10q24.2_all_haplotypes_aligned_type2_KCON.fasta	gag only
HG00621_mat_hprc_r2_v1.0.1_HML-2_10q24.2	HML-2_10q24.2	HML-2_10q24.2	HG00621	mat	type2	521	gag	gag	1217	2780	1489	2	stop_codon	7843	0	/cluster/tufts/coffinlab/dworst01/HML2_project/orf_analysis_combined/HML-2_10q24.2/HML-2_10q24.2_all_haplotypes_aligned_type2_KCON.fasta	gag only
HG00621_pat_hprc_r2_v1.0.1_HML-2_10q24.2	HML-2_10q24.2	HML-2_10q24.2	HG00621	pat	type2	521	gag	gag	1217	2780	1489	2	stop_codon	7843	0	/cluster/tufts/coffinlab/dworst01/HML2_project/orf_analysis_combined/HML-2_10q24.2/HML-2_10q24.2_all_haplotypes_aligned_type2_KCON.fasta	gag only
HG00639_mat_hprc_r2_v1.0.1_HML-2_10q24.2	HML-2_10q24.2	HML-2_10q24.2	HG00639	mat	type2	521	gag	gag	1217	2780	1489	2	stop_codon	7839	0	/cluster/tufts/coffinlab/dworst01/HML2_project/orf_analysis_combined/HML-2_10q24.2/HML-2_10q24.2_all_haplotypes_aligned_type2_KCON.fasta	gag only
HG00639_pat_hprc_r2_v1.0.1_HML-2_10q24.2	HML-2_10q24.2	HML-2_10q24.2	HG00639	pat	type2	521	gag	gag	1217	2780	1489	2	stop_codon	7843	0	/cluster/tufts/coffinlab/dworst01/HML2_project/orf_analysis_combined/HML-2_10q24.2/HML-2_10q24.2_all_haplotypes_aligned_type2_KCON.fasta	gag only
HG00642_mat_hprc_r2_v1.0.1_HML-2_10q24.2	HML-2_10q24.2	HML-2_10q24.2	HG00642	mat	type2	521	gag	gag	1217	2780	1489	2	stop_codon	7843	0	/cluster/tufts/coffinlab/dworst01/HML2_project/orf_analysis_combined/HML-2_10q24.2/HML-2_10q24.2_all_haplotypes_aligned_type2_KCON.fasta	gag only
HG00642_pat_hprc_r2_v1.0.1_HML-2_10q24.2	HML-2_10q24.2	HML-2_10q24.2	HG00642	pat	type2	521	gag	gag	1217	2780	1489	2	stop_codon	7843	0	/cluster/tufts/coffinlab/dworst01/HML2_project/orf_analysis_combined/HML-2_10q24.2/HML-2_10q24.2_all_haplotypes_aligned_type2_KCON.fasta	gag only
HG00658_mat_hprc_r2_v1.0.1_HML-2_10q24.2	HML-2_10q24.2	HML-2_10q24.2	HG00658	mat	type2	521	gag	gag	1217	2780	1489	2	stop_codon	7843	0	/cluster/tufts/coffinlab/dworst01/HML2_project/orf_analysis_combined/HML-2_10q24.2/HML-2_10q24.2_all_haplotypes_aligned_type2_KCON.fasta	gag only
