observation	ascertainment_scenario	dirichlet_alpha_per_lesion	source_opportunity_cv	posterior_source_ratio_q025	posterior_source_ratio_q25	posterior_source_ratio_median	posterior_source_ratio_q75	posterior_source_ratio_q975	interpretation
orthology_aware_floor	broad	2.0	0.7071067811865475	0.9666429594304977	1.6925806027464274	2.268553145201812	3.027542217674692	5.38392664630106	latent Delta292 source opportunity divided by the mean latent opportunity of the six age-matched rival lesions, conditional on no focal propagation effect
orthology_aware_floor	broad	5.0	0.4472135954999579	0.8387607265361712	1.3102734611075144	1.6320518432969875	1.980856550196553	2.9481127833308283	latent Delta292 source opportunity divided by the mean latent opportunity of the six age-matched rival lesions, conditional on no focal propagation effect
orthology_aware_floor	broad	20.0	0.22360679774997896	0.7213942731181897	0.8525875014410186	0.8634591106812042	1.1171204396415326	1.5505382783015709	latent Delta292 source opportunity divided by the mean latent opportunity of the six age-matched rival lesions, conditional on no focal propagation effect
inclusive_ceiling	narrow	0.1	3.162277660168379	5.946743805469751	11.100097906510408	15.691542626366115	22.45739173599917	46.24694392461538	latent Delta292 source opportunity divided by the mean latent opportunity of the six age-matched rival lesions, conditional on no focal propagation effect
inclusive_ceiling	narrow	0.25	2.0	5.350846124739009	9.703004754637425	13.487553850988197	18.96143135199762	37.578231346681	latent Delta292 source opportunity divided by the mean latent opportunity of the six age-matched rival lesions, conditional on no focal propagation effect
inclusive_ceiling	narrow	0.5	1.414213562373095	4.607369227709796	8.052924185109545	10.930249772620005	14.971466491219951	28.15540436873872	latent Delta292 source opportunity divided by the mean latent opportunity of the six age-matched rival lesions, conditional on no focal propagation effect
inclusive_ceiling	narrow	1.0	1.0	3.706094393274116	6.139038625025768	8.047189265425025	10.633013137198114	18.504210888151356	latent Delta292 source opportunity divided by the mean latent opportunity of the six age-matched rival lesions, conditional on no focal propagation effect
inclusive_ceiling	narrow	2.0	0.7071067811865475	2.8038604568642613	4.374657713807637	5.524890897292093	6.98805995549977	11.108056807826094	latent Delta292 source opportunity divided by the mean latent opportunity of the six age-matched rival lesions, conditional on no focal propagation effect
inclusive_ceiling	narrow	5.0	0.4472135954999579	1.8655665527974568	2.694156555159053	3.2546738700199893	3.9174811916019063	5.580277717413681	latent Delta292 source opportunity divided by the mean latent opportunity of the six age-matched rival lesions, conditional on no focal propagation effect
inclusive_ceiling	narrow	20.0	0.22360679774997896	1.1384232112621122	1.4657836417341532	1.6669447508700814	1.8883061773875727	2.4147299567102833	latent Delta292 source opportunity divided by the mean latent opportunity of the six age-matched rival lesions, conditional on no focal propagation effect
inclusive_ceiling	broad	0.1	3.162277660168379	2.8408690363290288	6.65175851004247	12.12649232331378	24.33008749940074	76.01907174048449	latent Delta292 source opportunity divided by the mean latent opportunity of the six age-matched rival lesions, conditional on no focal propagation effect
inclusive_ceiling	broad	0.25	2.0	2.4718942644692325	5.135438062979517	8.261286084013964	14.631687434621131	47.75990199581801	latent Delta292 source opportunity divided by the mean latent opportunity of the six age-matched rival lesions, conditional on no focal propagation effect
inclusive_ceiling	broad	0.5	1.414213562373095	2.1538520201459925	4.054895108694638	5.909495577686639	9.066278840103232	24.512529617229717	latent Delta292 source opportunity divided by the mean latent opportunity of the six age-matched rival lesions, conditional on no focal propagation effect
inclusive_ceiling	broad	1.0	1.0	1.8348348101580731	3.1732761376022074	4.304213824767296	5.943794287647698	11.886845538971139	latent Delta292 source opportunity divided by the mean latent opportunity of the six age-matched rival lesions, conditional on no focal propagation effect
inclusive_ceiling	broad	2.0	0.7071067811865475	1.5409813231778144	2.477453007478187	3.185796353450979	4.108559996095679	6.962345503559314	latent Delta292 source opportunity divided by the mean latent opportunity of the six age-matched rival lesions, conditional on no focal propagation effect
inclusive_ceiling	broad	5.0	0.4472135954999579	1.2206382664012718	1.803765567353887	2.18387582461347	2.6713557614574746	4.042154870287911	latent Delta292 source opportunity divided by the mean latent opportunity of the six age-matched rival lesions, conditional on no focal propagation effect
inclusive_ceiling	broad	20.0	0.22360679774997896	0.8232771268436533	1.0855922713261552	1.1842729243759271	1.2121438194822538	1.5337005798811176	latent Delta292 source opportunity divided by the mean latent opportunity of the six age-matched rival lesions, conditional on no focal propagation effect
