sample	superpopulation	gag	gag_pro_route	gag_pro_pol_route	env_type2	np9_type1	rec_type2
HG01784	EUR	18	10	3	9	24	42
HG01786	EUR	18	8	2	10	24	41
HG01884	AFR	20	13	5	9	22	40
HG01890	AFR	15	7	2	8	23	33
HG01891	AFR	13	6	2	9	23	40
HG01928	AMR	21	11	5	8	26	31
HG01934	AMR	18	10	4	7	24	36
HG01940	AMR	19	12	6	8	23	36
HG01943	AMR	15	8	4	7	25	34
HG01952	AMR	18	10	5	8	25	34
HG01960	AFR	20	15	7	11	26	40
HG01969	AMR	16	8	3	7	28	31
HG01975	AMR	15	7	4	8	24	36
HG01978	AMR	20	11	6	8	23	35
HG01981	AMR	22	14	5	9	25	35
HG01993	AMR	19	10	6	9	25	37
HG02004	AMR	18	10	4	9	24	35
HG02011	AFR	14	8	5	8	23	38
HG02015	EAS	19	10	6	7	26	36
HG02018	EAS	17	8	3	9	23	35
HG02027	EAS	21	12	4	10	25	36
HG02040	EAS	17	6	3	8	26	33
HG02055	AFR	18	10	6	10	22	41
HG02056	EAS	17	9	3	9	25	39
HG02059	EAS	18	9	3	9	23	36
HG02071	EAS	17	8	3	6	26	35
HG02074	EAS	19	10	4	9	25	35
HG02080	EAS	17	7	2	9	23	39
HG02083	EAS	18	8	2	8	24	36
HG02106	AMR	18	9	6	5	23	31
HG02109	Unknown	17	7	4	6	25	33
HG02129	EAS	20	11	5	8	25	35
HG02132	EAS	18	11	5	7	23	35
HG02135	EAS	19	11	5	7	25	34
HG02145	AFR	15	9	5	8	24	39
HG02148	AMR	20	11	7	9	26	34
HG02155	EAS	14	6	3	7	23	32
HG02165	EAS	18	10	3	9	25	39
HG02178	EAS	15	4	1	9	24	37
HG02257	AFR	13	7	4	7	26	39
HG02258	AFR	15	10	3	10	24	37
HG02273	AMR	17	9	5	9	25	36
HG02280	AFR	20	12	6	10	25	43
HG02282	AFR	14	8	5	8	22	37
HG02293	AMR	15	8	2	10	22	36
HG02300	AMR	21	12	6	10	26	38
HG02391	EAS	17	9	5	8	25	37
HG02392	EAS	19	8	4	6	23	35
HG02451	AFR	16	7	5	7	24	37
HG02486	AFR	16	8	3	8	26	35
HG02492	SAS	18	10	5	10	27	35
HG02514	EAS	18	10	5	9	24	36
HG02523	EAS	18	8	3	8	24	39
HG02554	AFR	18	12	7	8	25	37
HG02559	AFR	18	12	5	8	23	39
HG02572	AFR	15	7	3	8	23	39
HG02583	AFR	15	7	3	7	23	43
HG02587	AFR	16	9	4	7	24	30
HG02602	SAS	17	10	6	6	23	36
HG02615	AFR	16	7	2	8	26	40
HG02622	AFR	13	7	3	7	23	38
HG02630	AFR	13	6	4	6	24	31
HG02647	AFR	17	8	3	10	25	42
HG02666	AFR	16	9	4	7	22	32
HG02668	AFR	15	9	3	8	26	38
HG02698	SAS	16	8	3	7	27	37
HG02717	AFR	15	8	4	11	26	38
HG02723	AFR	19	12	7	8	22	39
HG02735	SAS	14	7	4	7	27	34
HG02738	SAS	17	11	7	7	28	39
HG02769	AFR	15	7	3	8	23	34
HG02809	AFR	12	4	2	8	22	38
HG02818	AFR	16	10	5	9	24	39
HG02841	AFR	19	11	7	9	24	44
HG02886	AFR	15	8	3	12	22	40
HG02922	AFR	17	9	5	8	24	37
HG02953	AFR	13	5	4	4	20	28
HG02965	AFR	10	5	1	5	21	34
HG02976	AFR	14	6	3	7	24	36
HG02984	AFR	15	5	3	6	21	36
HG03009	SAS	17	9	4	9	26	32
HG03017	SAS	16	9	5	6	28	33
HG03041	AFR	18	11	6	10	23	37
HG03050	AFR	16	9	4	6	26	37
HG03065	AFR	19	9	5	9	24	35
HG03098	AFR	15	7	4	4	25	38
HG03130	AFR	18	10	5	8	25	40
HG03139	AFR	13	4	4	6	22	34
HG03195	AFR	14	5	4	6	25	41
HG03209	AFR	16	6	3	7	28	36
HG03225	AFR	16	8	3	7	22	37
HG03239	SAS	18	10	4	7	23	33
HG03248	AFR	15	7	4	6	20	30
HG03270	AFR	13	6	3	9	22	39
HG03369	AFR	15	8	3	9	24	41
HG03371	AFR	15	7	3	9	22	34
HG03452	AFR	15	8	6	6	23	33
HG03453	AFR	17	10	5	8	28	39
HG03456	AFR	18	12	7	8	25	34
HG03470	AFR	15	10	5	9	27	36
HG03471	AFR	18	12	9	13	24	43
HG03486	AFR	15	5	4	7	19	40
HG03516	AFR	15	7	4	7	24	42
HG03520	AFR	18	10	6	8	25	36
HG03521	AFR	14	8	5	9	25	39
HG03540	AFR	16	9	5	7	24	38
HG03579	AFR	11	6	3	9	18	36
HG03583	AFR	15	7	4	8	24	37
HG03654	SAS	18	10	2	10	23	39
HG03669	SAS	16	10	3	10	23	38
HG03683	SAS	18	11	5	8	25	33
HG03688	SAS	18	11	6	8	26	35
HG03704	SAS	15	8	3	8	25	35
HG03710	SAS	18	10	4	7	25	36
HG03732	SAS	19	12	4	9	27	34
HG03742	SAS	19	12	5	8	24	38
HG03784	SAS	18	12	4	10	24	37
HG03804	SAS	14	7	5	5	24	31
HG03807	SAS	17	11	6	8	23	33
HG03816	SAS	18	10	6	7	24	37
HG03831	SAS	15	6	2	8	24	36
HG03834	SAS	16	11	5	10	23	42
HG03874	SAS	16	10	4	6	24	34
HG03927	SAS	18	11	2	11	23	42
HG03942	SAS	17	10	5	7	25	38
HG04036	SAS	15	8	4	6	23	33
HG04115	SAS	20	11	4	15	28	43
HG04157	SAS	21	13	4	10	26	37
HG04160	SAS	13	6	3	7	22	36
HG04184	SAS	19	10	5	7	29	35
HG04187	SAS	17	10	3	10	23	38
HG04199	SAS	15	7	4	5	24	33
HG04204	SAS	17	11	6	9	24	38
HG04217	SAS	15	7	3	8	25	36
HG04228	SAS	20	11	4	8	24	35
HG06807	Unknown	16	8	4	6	24	37
NA12329	EUR	18	10	5	8	23	34
NA18505	AFR	15	6	3	7	23	39
NA18508	AFR	14	9	5	9	24	37
NA18522	AFR	14	8	5	7	26	38
NA18534	EAS	18	9	3	7	24	28
NA18565	EAS	17	7	1	8	25	39
NA18570	EAS	20	11	5	9	25	37
NA18608	EAS	18	9	5	8	26	34
NA18620	EAS	14	7	2	7	24	35
NA18747	EAS	16	6	3	6	23	32
NA18879	AFR	16	9	6	6	24	37
NA18906	AFR	19	11	6	10	23	43
NA18939	EAS	14	4	1	9	24	33
NA18940	EAS	21	11	4	8	23	37
NA18943	EAS	16	8	4	5	24	32
NA18944	EAS	16	10	4	7	26	32
NA18945	EAS	19	9	4	7	24	34
NA18948	EAS	18	9	3	8	26	36
NA18952	EAS	16	8	3	8	24	39
NA18959	EAS	17	7	1	7	23	36
NA18960	EAS	18	10	4	9	22	37
NA18967	EAS	20	11	3	9	27	40
NA18970	EAS	21	11	4	9	26	38
NA18971	EAS	17	8	3	7	23	38
NA18974	EAS	16	9	5	8	24	37
NA18976	EAS	19	8	2	10	27	36
NA18982	EAS	17	9	4	6	24	35
NA18983	EAS	18	10	6	7	25	33
NA18989	EAS	17	11	7	9	22	33
NA19036	AFR	18	11	5	12	25	45
NA19043	AFR	17	8	6	10	21	40
NA19087	EAS	17	8	3	8	23	35
NA19129	AFR	17	10	7	8	24	34
NA19159	AFR	18	8	3	9	23	39
NA19185	AFR	19	12	5	9	23	38
NA19238	AFR	14	8	5	6	20	32
NA19239	AFR	18	11	6	9	24	36
NA19240	AFR	17	10	5	9	25	40
NA19317	AFR	17	10	3	9	23	33
NA19331	AFR	15	7	3	8	23	31
NA19338	AFR	15	7	3	7	20	36
NA19347	AFR	15	8	6	7	21	33
NA19384	AFR	17	8	5	7	23	33
NA19391	AFR	14	6	5	4	24	37
NA19434	AFR	15	9	4	8	22	30
NA19443	AFR	18	10	5	10	25	44
NA19468	AFR	15	9	6	8	26	39
NA19650	AMR	20	9	4	7	25	33
NA19682	AMR	19	11	6	9	24	35
NA19700	AFR	17	6	2	7	25	40
NA19705	AFR	11	6	4	8	22	33
NA19776	AMR	17	8	5	8	27	37
NA19835	AFR	15	8	3	9	26	40
NA19836	AFR	17	8	5	7	24	35
NA19909	AFR	17	6	3	8	23	42
NA19983	AFR	17	9	5	6	23	31
NA20129	AFR	19	12	6	11	23	42
NA20282	AFR	17	8	2	10	23	38
NA20346	AFR	15	7	4	5	24	34
NA20355	AFR	13	6	3	7	22	32
NA20503	EUR	15	7	2	10	27	40
NA20509	EUR	18	9	3	9	22	33
NA20752	EUR	20	12	3	10	26	38
NA20762	EUR	20	12	5	9	27	37
NA20799	EUR	19	10	6	7	27	34
NA20805	EUR	20	11	4	8	26	37
NA20806	EUR	21	13	6	10	26	40
NA20809	EUR	19	10	4	7	24	36
NA20827	EUR	18	10	5	7	24	35
NA20847	SAS	17	9	3	9	25	36
NA20850	SAS	17	9	4	8	26	34
NA20870	SAS	17	10	5	7	23	32
NA20905	SAS	20	11	4	8	29	37
NA21093	SAS	19	12	5	9	29	38
NA21102	SAS	15	9	6	7	24	35
NA21106	SAS	15	10	5	8	31	37
NA21110	SAS	18	11	4	9	24	35
NA21144	SAS	18	10	5	6	26	34
NA21309	Unknown	17	8	4	8	25	39
NA21487	Unknown	20	12	4	8	26	35
NA24385	Unknown	16	8	4	6	24	33
