locus	display_locus	analysis_rows	paired_accepted	paired_with_different_copies	fraction_different	directly_supported_pairs	directly_supported_different_pairs	directly_supported_fraction_different
HML-2_1q21.3	1q21.3	588	0	0		0	0	
HML-2_1q22	1q22	588	588	0	0.0	585	0	0.0
HML-2_1q23.3	1q23.3	588	588	0	0.0	588	0	0.0
HML-2_1q24.1	1q24.1	588	0	0		0	0	
HML-2_1q32.2	1q32.2	588	0	0		0	0	
HML-2_1q43	1q43	588	0	0		0	0	
HML-2_20q11.22	20q11.22	589	0	0		0	0	
HML-2_21p13	21p13	1171	0	0		0	0	
HML-2_21q21.1	21q21.1	588	0	0		0	0	
HML-2_22p13	22p13	694	0	0		0	0	
HML-2_22q11.21	22q11.21	588	582	0	0.0	557	0	0.0
HML-2_22q11.23	22q11.23	592	0	0		0	0	
HML-2_2q21.1	2q21.1	588	0	0		0	0	
HML-2_3p12.3	3p12.3	588	0	0		0	0	
HML-2_3p25.3	3p25.3	588	0	0		0	0	
HML-2_3q12.3	3q12.3	588	580	20	0.034482758620689655	575	18	0.03130434782608696
HML-2_3q13.2	3q13.2	591	591	0	0.0	534	0	0.0
HML-2_3q21.2	3q21.2	588	587	587	1.0	587	587	1.0
HML-2_3q24_hg38	3q24	588	0	0		0	0	
HML-2_3q27.2	3q27.2	590	590	0	0.0	569	0	0.0
HML-2_4p16.1a	4p16.1a	589	0	0		0	0	
HML-2_4p16.1b	4p16.1b	588	0	0		0	0	
HML-2_4p16.3a	4p16.3a	592	5	5	1.0	0	0	
HML-2_4p16.3b	4p16.3b	588	0	0		0	0	
HML-2_4p16.3c	4p16.3c	588	0	0		0	0	
HML-2_4q13.2	4q13.2	588	0	0		0	0	
HML-2_4q32.1	4q32.1	588	0	0		0	0	
HML-2_4q32.3	4q32.3	588	588	588	1.0	588	588	1.0
HML-2_4q35.2_hg38	4q35.2	593	0	0		0	0	
HML-2_5p12	5p12	589	585	585	1.0	585	585	1.0
HML-2_5p13.3	5p13.3	588	588	0	0.0	580	0	0.0
HML-2_5q11.2	5q11.2	588	588	14	0.023809523809523808	0	0	
HML-2_5q33.2	5q33.2	588	0	0		0	0	
HML-2_5q33.3	5q33.3	594	592	0	0.0	565	0	0.0
HML-2_6p21.1	6p21.1	588	0	0		0	0	
HML-2_6p22.1	6p22.1	588	0	0		0	0	
HML-2_6q11.1	6q11.1	588	0	0		0	0	
HML-2_6q14.1	6q14.1	593	584	0	0.0	492	0	0.0
HML-2_6q25.1	6q25.1	588	0	0		0	0	
HML-2_7p22.1	7p22.1	860	860	1	0.0011627906976744186	858	1	0.0011655011655011655
HML-2_7q11.21	7q11.21	589	0	0		0	0	
HML-2_7q22.2	7q22.2	588	0	0		0	0	
HML-2_7q34	7q34	588	0	0		0	0	
HML-2_8p22	8p22	588	0	0		0	0	
HML-2_8p23.1a_hg38	8p23.1a	588	43	43	1.0	43	43	1.0
HML-2_8p23.1b	8p23.1b	588	0	0		0	0	
HML-2_8p23.1c	8p23.1c	588	0	0		0	0	
HML-2_8p23.1d	8p23.1d	593	0	0		0	0	
HML-2_8p23.1e	8p23.1e	589	0	0		0	0	
HML-2_8q11.21	8q11.21	588	0	0		0	0	
HML-2_8q11.23_new	8q11.23	588	588	0	0.0	1	0	0.0
HML-2_8q24.3a	8q24.3a	588	0	0		0	0	
HML-2_8q24.3c	8q24.3c	589	1	1	1.0	1	1	1.0
HML-2_9q34.11	9q34.11	588	0	0		0	0	
HML-2_9q34.3	9q34.3	588	0	0		0	0	
HML-2_Xq11.1	Xq11.1	590	0	0		0	0	
HML-2_Xq12	Xq12	588	0	0		0	0	
HML-2_Xq21.33	Xq21.33	588	6	0	0.0	6	0	0.0
HML-2_Xq28a	Xq28a	588	0	0		0	0	
HML-2_Xq28b	Xq28b	589	0	0		0	0	
HML-2_Yp11.2	Yp11.2	588	0	0		0	0	
HML-2_Yq11.23a	Yq11.23a	590	0	0		0	0	
HML-2_Yq11.23b	Yq11.23b	595	0	0		0	0	
HML-2_acro_type1	Acrocentric Type I	833	350	10	0.02857142857142857	305	0	0.0
HML-2_acro_type2	Acrocentric Type II	2025	0	0		0	0	
