locus	provirus_type	proviral_copy_rows	gag_callable	gag_compatible	gag_fraction	gag_pro_route_callable	gag_pro_route_compatible	gag_pro_route_fraction	gag_pro_pol_route_callable	gag_pro_pol_route_compatible	gag_pro_pol_route_fraction	env_callable	env_compatible	env_fraction	accessory_callable	accessory_compatible	accessory_fraction	max_compatible_fraction
HML-2_6p21.1	type2	584	584	0	0.0	584	0	0.0	584	0	0.0	584	0	0.0	584	0	0.0	0.0
HML-2_6p22.1	type2	584	584	0	0.0	584	0	0.0	584	0	0.0	584	0	0.0	584	0	0.0	0.0
HML-2_19q13.12b	type2	582	582	0	0.0	582	0	0.0	582	0	0.0	582	0	0.0	582	0	0.0	0.0
HML-2_5p12	type1	581	581	0	0.0	581	0	0.0	581	0	0.0	581	0	0.0	581	0	0.0	0.0
HML-2_8p22	type2	580	580	0	0.0	580	0	0.0	580	0	0.0	580	0	0.0	580	0	0.0	0.0
HML-2_22q11.23	type2	575	575	0	0.0	575	0	0.0	575	0	0.0	575	0	0.0	575	0	0.0	0.0
HML-2_1p36.21b	type2	558	558	0	0.0	558	0	0.0	558	0	0.0	558	0	0.0	558	0	0.0	0.0
HML-2_1p31.1a	type1	525	525	0	0.0	525	0	0.0	525	0	0.0	525	0	0.0	525	0	0.0	0.0
HML-2_17p13.1_hg38	type2	462	462	0	0.0	462	0	0.0	462	0	0.0	462	0	0.0	462	0	0.0	0.0
HML-2_11q12.3	type2	381	381	0	0.0	381	0	0.0	381	0	0.0	381	0	0.0	381	0	0.0	0.0
HML-2_9q34.3	type2	370	370	0	0.0	370	0	0.0	370	0	0.0	370	0	0.0	370	0	0.0	0.0
HML-2_12q24.33	type2	28	28	0	0.0	28	0	0.0	28	0	0.0	28	0	0.0	28	0	0.0	0.0
HML-2_14q11.2	type2	2	2	0	0.0	2	0	0.0	2	0	0.0	2	0	0.0	2	0	0.0	0.0
HML-2_1p36.21a	type2	1	1	0	0.0	1	0	0.0	1	0	0.0	1	0	0.0	1	0	0.0	0.0
