ID_Full	ID	Haplotype	Source_Identifier	original_locus	physical_locus	retained_alignment_candidates_at_original_slot	partition	reason	admitted_alignment	admitted_record
HG00321_hap1_hprc_r2_v1.0.1_HML-2_10p12.1	HG00321	h1	HG00321#1#CM089545.1:26918842-26929208	10p12.1	10p12.1	1	admitted	unique_original_catalog_slot	10p12.1_carrier_kcon.aln.fa	HG00321_hap1
HG00321_hap2_hprc_r2_v1.0.1_HML-2_10p12.1	HG00321	h2	HG00321#2#CM089576.1:26904059-26914425	10p12.1	10p12.1	1	admitted	unique_original_catalog_slot	10p12.1_carrier_kcon.aln.fa	HG00321_hap2
HG00323_hap1_hprc_r2_v1.0.1_HML-2_10p12.1	HG00323	h1	HG00323#1#JBHDWM010000050.1:26911311-26921677	10p12.1	10p12.1	0	no_retained_original_slot_alignment	No retained alignment with this original extraction locus, public sample, and haplotype		
HG00323_hap2_hprc_r2_v1.0.1_HML-2_10p12.1	HG00323	h2	HG00323#2#JBHDWN010000046.1:26915528-26925894	10p12.1	10p12.1	0	no_retained_original_slot_alignment	No retained alignment with this original extraction locus, public sample, and haplotype		
HG00329_hap1_hprc_r2_v1.0.1_HML-2_10p12.1	HG00329	h1	HG00329#1#CM094230.1:26903139-26913505	10p12.1	10p12.1	1	admitted	unique_original_catalog_slot	10p12.1_carrier_kcon.aln.fa	HG00329_hap1
HG00329_hap2_hprc_r2_v1.0.1_HML-2_10p12.1	HG00329	h2	HG00329#2#JBIRDQ010000005.1:26962686-26973052	10p12.1	10p12.1	0	no_retained_original_slot_alignment	No retained alignment with this original extraction locus, public sample, and haplotype		
HG00344_hap1_hprc_r2_v1.0.1_HML-2_10p12.1	HG00344	h1	HG00344#1#JBIREN010000045.1:26918206-26928572	10p12.1	10p12.1	0	no_retained_original_slot_alignment	No retained alignment with this original extraction locus, public sample, and haplotype		
HG00344_hap2_hprc_r2_v1.0.1_HML-2_10p12.1	HG00344	h2	HG00344#2#CM094516.1:26911555-26921921	10p12.1	10p12.1	1	admitted	unique_original_catalog_slot	10p12.1_carrier_kcon.aln.fa	HG00344_hap2
HG00350_hap1_hprc_r2_v1.0.1_HML-2_10p12.1	HG00350	h1	HG00350#1#CM094475.1:26915600-26925966	10p12.1	10p12.1	1	admitted	unique_original_catalog_slot	10p12.1_carrier_kcon.aln.fa	HG00350_hap1
HG00350_hap2_hprc_r2_v1.0.1_HML-2_10p12.1	HG00350	h2	HG00350#2#CM094494.1:26891963-26902329	10p12.1	10p12.1	1	admitted	unique_original_catalog_slot	10p12.1_carrier_kcon.aln.fa	HG00350_hap2
HG00358_h1_HML-2_10p12.1_graph_hgsvc3-2024-02-23-mc-chm13	HG00358	h1	HG00358#1#haplotype1-0000023#0:109361292-109400713	10p12.1	10p12.1	1	admitted	unique_original_catalog_slot	10p12.1_carrier_kcon.aln.fa	HG00358_h1
HG00358_h2_HML-2_10p12.1_graph_hgsvc3-2024-02-23-mc-chm13	HG00358	h2	HG00358#2#haplotype2-0000103#0:107672587-107711994	10p12.1	10p12.1	1	admitted	unique_original_catalog_slot	10p12.1_carrier_kcon.aln.fa	HG00358_h2
HG00408_mat_hprc_r2_v1.0.1_HML-2_10p12.1	HG00408	mat	HG00408#2#JBHDVL010000044.1:26914136-26924502	10p12.1	10p12.1	0	no_retained_original_slot_alignment	No retained alignment with this original extraction locus, public sample, and haplotype		
HG00408_pat_hprc_r2_v1.0.1_HML-2_10p12.1	HG00408	pat	HG00408#1#JBHDVK010000060.1:26896790-26907156	10p12.1	10p12.1	0	no_retained_original_slot_alignment	No retained alignment with this original extraction locus, public sample, and haplotype		
HG00423_mat_hprc_r2_v1.0.1_HML-2_10p12.1	HG00423	mat	HG00423#2#CM089419.1:26912304-26922670	10p12.1	10p12.1	1	admitted	unique_original_catalog_slot	10p12.1_carrier_kcon.aln.fa	HG00423_mat
HG00423_pat_hprc_r2_v1.0.1_HML-2_10p12.1	HG00423	pat	HG00423#1#CM089404.1:26910835-26921201	10p12.1	10p12.1	1	admitted	unique_original_catalog_slot	10p12.1_carrier_kcon.aln.fa	HG00423_pat
HG00438_mat_hprc_r2_v1.0.1_HML-2_10p12.1	HG00438	mat	HG00438#2#CM089194.1:26908659-26919025	10p12.1	10p12.1	1	admitted	unique_original_catalog_slot	10p12.1_carrier_kcon.aln.fa	HG00438_mat
HG00438_pat_hprc_r2_v1.0.1_HML-2_10p12.1	HG00438	pat	HG00438#1#CM089176.1:26883970-26894336	10p12.1	10p12.1	1	admitted	unique_original_catalog_slot	10p12.1_carrier_kcon.aln.fa	HG00438_pat
HG005_mat_hprc_r2_v1.0.1_HML-2_10p12.1	HG005	mat	HG005#2#CM099979.1:26898031-26908397	10p12.1	10p12.1	1	admitted	unique_original_catalog_slot	10p12.1_carrier_kcon.aln.fa	HG005_mat
HG005_pat_hprc_r2_v1.0.1_HML-2_10p12.1	HG005	pat	HG005#1#CM099990.1:26896551-26906917	10p12.1	10p12.1	1	admitted	unique_original_catalog_slot	10p12.1_carrier_kcon.aln.fa	HG005_pat
HG00512_h1_HML-2_10p12.1_graph_hgsvc3-2024-02-23-mc-chm13	HG00512	h1	HG00512#1#haplotype1-0000010#0:107696735-107736160	10p12.1	10p12.1	1	admitted	unique_original_catalog_slot	10p12.1_carrier_kcon.aln.fa	HG00512_h1
HG00512_h2_HML-2_10p12.1_graph_hgsvc3-2024-02-23-mc-chm13	HG00512	h2	HG00512#2#haplotype2-0000277#0:107055756-107095163	10p12.1	10p12.1	1	admitted	unique_original_catalog_slot	10p12.1_carrier_kcon.aln.fa	HG00512_h2
HG00513_h1_HML-2_10p12.1_graph_hgsvc3-2024-02-23-mc-chm13	HG00513	h1	HG00513#1#haplotype1-0000015#0:26877843-26917238	10p12.1	10p12.1	1	admitted	unique_original_catalog_slot	10p12.1_carrier_kcon.aln.fa	HG00513_h1
HG00513_h2_HML-2_10p12.1_graph_hgsvc3-2024-02-23-mc-chm13	HG00513	h2	HG00513#2#haplotype2-0000119#0:109319704-109359112	10p12.1	10p12.1	1	admitted	unique_original_catalog_slot	10p12.1_carrier_kcon.aln.fa	HG00513_h2
HG00514_h1_HML-2_10p12.1_graph_hgsvc3-2024-02-23-mc-chm13	HG00514	h1	HG00514#1#haplotype1-0000040#0:107454635-107494042	10p12.1	10p12.1	0	no_retained_original_slot_alignment	No retained alignment with this original extraction locus, public sample, and haplotype		
HG00514_h2_HML-2_10p12.1_graph_hgsvc3-2024-02-23-mc-chm13	HG00514	h2	HG00514#2#haplotype2-0000188#0:108177770-108217165	10p12.1	10p12.1	0	no_retained_original_slot_alignment	No retained alignment with this original extraction locus, public sample, and haplotype		
HG00544_mat_hprc_r2_v1.0.1_HML-2_10p12.1	HG00544	mat	HG00544#2#JBHIIN010000009.1:26907132-26917498	10p12.1	10p12.1	0	no_retained_original_slot_alignment	No retained alignment with this original extraction locus, public sample, and haplotype		
HG00544_pat_hprc_r2_v1.0.1_HML-2_10p12.1	HG00544	pat	HG00544#1#JBHIIM010000028.1:26898556-26908922	10p12.1	10p12.1	0	no_retained_original_slot_alignment	No retained alignment with this original extraction locus, public sample, and haplotype		
HG00558_mat_hprc_r2_v1.0.1_HML-2_10p12.1	HG00558	mat	HG00558#2#CM088528.1:26893640-26904006	10p12.1	10p12.1	1	admitted	unique_original_catalog_slot	10p12.1_carrier_kcon.aln.fa	HG00558_mat
HG00558_pat_hprc_r2_v1.0.1_HML-2_10p12.1	HG00558	pat	HG00558#1#JBHIHC010000061.1:26908160-26918525	10p12.1	10p12.1	0	no_retained_original_slot_alignment	No retained alignment with this original extraction locus, public sample, and haplotype		
HG00597_mat_hprc_r2_v1.0.1_HML-2_10p12.1	HG00597	mat	HG00597#2#CM085787.1:26917873-26928239	10p12.1	10p12.1	1	admitted	unique_original_catalog_slot	10p12.1_carrier_kcon.aln.fa	HG00597_mat
HG00597_pat_hprc_r2_v1.0.1_HML-2_10p12.1	HG00597	pat	HG00597#1#CM085773.1:26910684-26921050	10p12.1	10p12.1	1	admitted	unique_original_catalog_slot	10p12.1_carrier_kcon.aln.fa	HG00597_pat
HG00609_mat_hprc_r2_v1.0.1_HML-2_10p12.1	HG00609	mat	HG00609#2#CM086365.1:26904673-26915039	10p12.1	10p12.1	1	admitted	unique_original_catalog_slot	10p12.1_carrier_kcon.aln.fa	HG00609_mat
HG00609_pat_hprc_r2_v1.0.1_HML-2_10p12.1	HG00609	pat	HG00609#1#CM086353.1:26899380-26909746	10p12.1	10p12.1	1	admitted	unique_original_catalog_slot	10p12.1_carrier_kcon.aln.fa	HG00609_pat
HG00621_mat_hprc_r2_v1.0.1_HML-2_10p12.1	HG00621	mat	HG00621#2#CM087868.1:26897750-26908116	10p12.1	10p12.1	1	admitted	unique_original_catalog_slot	10p12.1_carrier_kcon.aln.fa	HG00621_mat
HG00621_pat_hprc_r2_v1.0.1_HML-2_10p12.1	HG00621	pat	HG00621#1#CM087855.1:26906853-26917219	10p12.1	10p12.1	1	admitted	unique_original_catalog_slot	10p12.1_carrier_kcon.aln.fa	HG00621_pat
HG00639_mat_hprc_r2_v1.0.1_HML-2_10p12.1	HG00639	mat	HG00639#2#CM088558.1:26898925-26909291	10p12.1	10p12.1	1	admitted	unique_original_catalog_slot	10p12.1_carrier_kcon.aln.fa	HG00639_mat
HG00639_pat_hprc_r2_v1.0.1_HML-2_10p12.1	HG00639	pat	HG00639#1#CM088544.1:26904541-26914907	10p12.1	10p12.1	1	admitted	unique_original_catalog_slot	10p12.1_carrier_kcon.aln.fa	HG00639_pat
HG00642_mat_hprc_r2_v1.0.1_HML-2_10p12.1	HG00642	mat	HG00642#2#CM086624.1:26908796-26919162	10p12.1	10p12.1	1	admitted	unique_original_catalog_slot	10p12.1_carrier_kcon.aln.fa	HG00642_mat
HG00642_pat_hprc_r2_v1.0.1_HML-2_10p12.1	HG00642	pat	HG00642#1#JBHDST010000005.1:26908267-26918633	10p12.1	10p12.1	0	no_retained_original_slot_alignment	No retained alignment with this original extraction locus, public sample, and haplotype		
HG00658_mat_hprc_r2_v1.0.1_HML-2_10p12.1	HG00658	mat	HG00658#2#CM088802.1:26907680-26918046	10p12.1	10p12.1	1	admitted	unique_original_catalog_slot	10p12.1_carrier_kcon.aln.fa	HG00658_mat
HG00658_pat_hprc_r2_v1.0.1_HML-2_10p12.1	HG00658	pat	HG00658#1#CM088780.1:26895882-26906248	10p12.1	10p12.1	1	admitted	unique_original_catalog_slot	10p12.1_carrier_kcon.aln.fa	HG00658_pat
HG00673_mat_hprc_r2_v1.0.1_HML-2_10p12.1	HG00673	mat	HG00673#2#CM089161.1:26908098-26918464	10p12.1	10p12.1	1	admitted	unique_original_catalog_slot	10p12.1_carrier_kcon.aln.fa	HG00673_mat
HG00673_pat_hprc_r2_v1.0.1_HML-2_10p12.1	HG00673	pat	HG00673#1#CM089148.1:26902492-26912858	10p12.1	10p12.1	1	admitted	unique_original_catalog_slot	10p12.1_carrier_kcon.aln.fa	HG00673_pat
HG00706_mat_hprc_r2_v1.0.1_HML-2_10p12.1	HG00706	mat	HG00706#2#CM100064.1:26911514-26921880	10p12.1	10p12.1	1	admitted	unique_original_catalog_slot	10p12.1_carrier_kcon.aln.fa	HG00706_mat
HG00706_pat_hprc_r2_v1.0.1_HML-2_10p12.1	HG00706	pat	HG00706#1#JBJXWD010000008.1:26885887-26896253	10p12.1	10p12.1	0	no_retained_original_slot_alignment	No retained alignment with this original extraction locus, public sample, and haplotype		
HG00731_h1_HML-2_10p12.1_graph_hgsvc3-2024-02-23-mc-chm13	HG00731	h1	HG00731#1#haplotype1-0000021#0:26890737-26930154	10p12.1	10p12.1	1	admitted	unique_original_catalog_slot	10p12.1_carrier_kcon.aln.fa	HG00731_h1
HG00731_h2_HML-2_10p12.1_graph_hgsvc3-2024-02-23-mc-chm13	HG00731	h2	HG00731#2#haplotype2-0000056#0:26886465-26925872	10p12.1	10p12.1	1	admitted	unique_original_catalog_slot	10p12.1_carrier_kcon.aln.fa	HG00731_h2
HG00732_h1_HML-2_10p12.1_graph_hgsvc3-2024-02-23-mc-chm13	HG00732	h1	HG00732#1#haplotype1-0000011#0:108334422-108373847	10p12.1	10p12.1	1	admitted	unique_original_catalog_slot	10p12.1_carrier_kcon.aln.fa	HG00732_h1
HG00732_h2_HML-2_10p12.1_graph_hgsvc3-2024-02-23-mc-chm13	HG00732	h2	HG00732#2#haplotype2-0000090#0:107528255-107567662	10p12.1	10p12.1	1	admitted	unique_original_catalog_slot	10p12.1_carrier_kcon.aln.fa	HG00732_h2
HG00733_mat_hprc_r2_v1.0.1_HML-2_10p12.1	HG00733	mat	HG00733#2#CM099645.1:26908461-26918827	10p12.1	10p12.1	0	no_retained_original_slot_alignment	No retained alignment with this original extraction locus, public sample, and haplotype		
HG00733_pat_hprc_r2_v1.0.1_HML-2_10p12.1	HG00733	pat	HG00733#1#JAHEPQ020000007.1:26905945-26916311	10p12.1	10p12.1	0	no_retained_original_slot_alignment	No retained alignment with this original extraction locus, public sample, and haplotype		
HG00735_mat_hprc_r2_v1.0.1_HML-2_10p12.1	HG00735	mat	HG00735#2#CM087891.1:26905725-26916091	10p12.1	10p12.1	1	admitted	unique_original_catalog_slot	10p12.1_carrier_kcon.aln.fa	HG00735_mat
HG00735_pat_hprc_r2_v1.0.1_HML-2_10p12.1	HG00735	pat	HG00735#1#CM087882.1:26901287-26911653	10p12.1	10p12.1	1	admitted	unique_original_catalog_slot	10p12.1_carrier_kcon.aln.fa	HG00735_pat
HG00738_mat_hprc_r2_v1.0.1_HML-2_10p12.1	HG00738	mat	HG00738#2#JBHDSY010000042.1:26910271-26920637	10p12.1	10p12.1	0	no_retained_original_slot_alignment	No retained alignment with this original extraction locus, public sample, and haplotype		
HG00738_pat_hprc_r2_v1.0.1_HML-2_10p12.1	HG00738	pat	HG00738#1#CM086649.1:26936464-26946827	10p12.1	10p12.1	1	admitted	unique_original_catalog_slot	10p12.1_carrier_kcon.aln.fa	HG00738_pat
HG00741_mat_hprc_r2_v1.0.1_HML-2_10p12.1	HG00741	mat	HG00741#2#CM087915.1:26919608-26929974	10p12.1	10p12.1	1	admitted	unique_original_catalog_slot	10p12.1_carrier_kcon.aln.fa	HG00741_mat
HG00741_pat_hprc_r2_v1.0.1_HML-2_10p12.1	HG00741	pat	HG00741#1#CM087902.1:26922815-26933181	10p12.1	10p12.1	1	admitted	unique_original_catalog_slot	10p12.1_carrier_kcon.aln.fa	HG00741_pat
HG00864_h1_HML-2_10p12.1_graph_hgsvc3-2024-02-23-mc-chm13	HG00864	h1	HG00864#1#haplotype1-0000014#0:26869568-26908988	10p12.1	10p12.1	1	admitted	unique_original_catalog_slot	10p12.1_carrier_kcon.aln.fa	HG00864_h1
HG00864_h2_HML-2_10p12.1_graph_hgsvc3-2024-02-23-mc-chm13	HG00864	h2	HG00864#2#haplotype2-0000066#0:26861280-26900690	10p12.1	10p12.1	1	admitted	unique_original_catalog_slot	10p12.1_carrier_kcon.aln.fa	HG00864_h2
HG01071_mat_hprc_r2_v1.0.1_HML-2_10p12.1	HG01071	mat	HG01071#2#CM089134.1:26921195-26931561	10p12.1	10p12.1	1	admitted	unique_original_catalog_slot	10p12.1_carrier_kcon.aln.fa	HG01071_mat
HG01071_pat_hprc_r2_v1.0.1_HML-2_10p12.1	HG01071	pat	HG01071#1#CM089119.1:26912610-26922976	10p12.1	10p12.1	1	admitted	unique_original_catalog_slot	10p12.1_carrier_kcon.aln.fa	HG01071_pat
HG01074_mat_hprc_r2_v1.0.1_HML-2_10p12.1	HG01074	mat	HG01074#2#CM088816.1:26926092-26936458	10p12.1	10p12.1	1	admitted	unique_original_catalog_slot	10p12.1_carrier_kcon.aln.fa	HG01074_mat
HG01074_pat_hprc_r2_v1.0.1_HML-2_10p12.1	HG01074	pat	HG01074#1#CM088790.1:26890800-26901166	10p12.1	10p12.1	1	admitted	unique_original_catalog_slot	10p12.1_carrier_kcon.aln.fa	HG01074_pat
HG01081_mat_hprc_r2_v1.0.1_HML-2_10p12.1	HG01081	mat	HG01081#2#CM088587.1:26897921-26908287	10p12.1	10p12.1	1	admitted	unique_original_catalog_slot	10p12.1_carrier_kcon.aln.fa	HG01081_mat
HG01081_pat_hprc_r2_v1.0.1_HML-2_10p12.1	HG01081	pat	HG01081#1#CM088571.1:26904245-26914611	10p12.1	10p12.1	1	admitted	unique_original_catalog_slot	10p12.1_carrier_kcon.aln.fa	HG01081_pat
HG01099_mat_hprc_r2_v1.0.1_HML-2_10p12.1	HG01099	mat	HG01099#2#JBHDRQ010000051.1:26913855-26924221	10p12.1	10p12.1	0	no_retained_original_slot_alignment	No retained alignment with this original extraction locus, public sample, and haplotype		
HG01099_pat_hprc_r2_v1.0.1_HML-2_10p12.1	HG01099	pat	HG01099#1#CM086263.1:26903190-26913556	10p12.1	10p12.1	1	admitted	unique_original_catalog_slot	10p12.1_carrier_kcon.aln.fa	HG01099_pat
HG01106_mat_hprc_r2_v1.0.1_HML-2_10p12.1	HG01106	mat	HG01106#2#CM087968.1:26922040-26932406	10p12.1	10p12.1	1	admitted	unique_original_catalog_slot	10p12.1_carrier_kcon.aln.fa	HG01106_mat
HG01106_pat_hprc_r2_v1.0.1_HML-2_10p12.1	HG01106	pat	HG01106#1#CM087956.1:26914597-26924963	10p12.1	10p12.1	1	admitted	unique_original_catalog_slot	10p12.1_carrier_kcon.aln.fa	HG01106_pat
HG01109_mat_hprc_r2_v1.0.1_HML-2_10p12.1	HG01109	mat	HG01109#2#CM092079.1:26906167-26916533	10p12.1	10p12.1	1	admitted	unique_original_catalog_slot	10p12.1_carrier_kcon.aln.fa	HG01109_mat
HG01109_pat_hprc_r2_v1.0.1_HML-2_10p12.1	HG01109	pat	HG01109#1#CM092091.1:26907152-26917518	10p12.1	10p12.1	1	admitted	unique_original_catalog_slot	10p12.1_carrier_kcon.aln.fa	HG01109_pat
HG01114_h1_HML-2_10p12.1_graph_hgsvc3-2024-02-23-mc-chm13	HG01114	h1	HG01114#1#haplotype1-0000035#0:26887543-26926951	10p12.1	10p12.1	1	admitted	unique_original_catalog_slot	10p12.1_carrier_kcon.aln.fa	HG01114_h1
HG01114_h2_HML-2_10p12.1_graph_hgsvc3-2024-02-23-mc-chm13	HG01114	h2	HG01114#2#haplotype2-0000294#0:108218510-108257918	10p12.1	10p12.1	1	admitted	unique_original_catalog_slot	10p12.1_carrier_kcon.aln.fa	HG01114_h2
HG01123_mat_hprc_r2_v1.0.1_HML-2_10p12.1	HG01123	mat	HG01123#2#JAGYYY020000039.1:26911963-26914122	10p12.1	10p12.1	0	no_retained_original_slot_alignment	No retained alignment with this original extraction locus, public sample, and haplotype		
HG01123_pat_hprc_r2_v1.0.1_HML-2_10p12.1	HG01123	pat	HG01123#1#CM089087.1:26911414-26921780	10p12.1	10p12.1	1	admitted	unique_original_catalog_slot	10p12.1_carrier_kcon.aln.fa	HG01123_pat
HG01150_mat_hprc_r2_v1.0.1_HML-2_10p12.1	HG01150	mat	HG01150#2#CM088618.1:26907198-26917561	10p12.1	10p12.1	1	admitted	unique_original_catalog_slot	10p12.1_carrier_kcon.aln.fa	HG01150_mat
