alignment	record	candidate_ID_Full	Source_Identifier	physical_locus	source_path	source_fasta_sha256	exact_alignment_projection	source_available	source_alignment_metrics
12q24.33_carrier_kcon.aln.fa	NA20850_hap2	NA20850_hap2_hprc_r2_v1.0.1_HML-2_12q24.33_MULTI_part1	NA20850#2#CM094311.1:133886547-133892066	HML-2_12q24.33			0	0	[]
12q24.33_carrier_kcon.aln.fa	NA20850_hap2	NA20850_hap2_hprc_r2_v1.0.1_HML-2_12q24.33_MULTI_part2	NA20850#2#CM094311.1:133881614-133887133	HML-2_12q24.33			0	0	[]
12q24.33_carrier_kcon.aln.fa	HG00513_h1	HG00513_h1_HML-2_12q24.33_graph_hgsvc3-2024-02-23-mc-chm13_MULTI_part1	HG00513#1#haplotype1-0000012#0:206946-212467	HML-2_12q24.33			0	0	[]
12q24.33_carrier_kcon.aln.fa	HG00513_h1	HG00513_h1_HML-2_12q24.33_graph_hgsvc3-2024-02-23-mc-chm13_MULTI_part2	HG00513#1#haplotype1-0000012#0:202011-207532	HML-2_12q24.33			0	0	[]
12q24.33_carrier_kcon.aln.fa	HG00731_h1	HG00731_h1_HML-2_12q24.33_graph_hgsvc3-2024-02-23-mc-chm13_MULTI_part1	HG00731#1#haplotype1-0000022#0:133096486-133102006	HML-2_12q24.33			0	0	[]
12q24.33_carrier_kcon.aln.fa	HG00731_h1	HG00731_h1_HML-2_12q24.33_graph_hgsvc3-2024-02-23-mc-chm13_MULTI_part2	HG00731#1#haplotype1-0000022#0:133091552-133097073	HML-2_12q24.33			0	0	[]
12q24.33_carrier_kcon.aln.fa	HG03248_h1	HG03248_h1_HML-2_12q24.33_graph_hgsvc3-2024-02-23-mc-chm13_MULTI_part1	HG03248#1#haplotype1-0000045#0:197349-202870	HML-2_12q24.33			0	0	[]
12q24.33_carrier_kcon.aln.fa	HG03248_h1	HG03248_h1_HML-2_12q24.33_graph_hgsvc3-2024-02-23-mc-chm13_MULTI_part2	HG03248#1#haplotype1-0000045#0:192414-197935	HML-2_12q24.33			0	0	[]
12q24.33_carrier_kcon.aln.fa	NA19317_h1	NA19317_h1_HML-2_12q24.33_graph_hgsvc3-2024-02-23-mc-chm13_MULTI_part1	NA19317#1#haplotype1-0000015#0:133520051-133525572	HML-2_12q24.33			0	0	[]
12q24.33_carrier_kcon.aln.fa	NA19317_h1	NA19317_h1_HML-2_12q24.33_graph_hgsvc3-2024-02-23-mc-chm13_MULTI_part2	NA19317#1#haplotype1-0000015#0:133515116-133520637	HML-2_12q24.33			0	0	[]
12q24.33_carrier_kcon.aln.fa	NA19384_h2	NA19384_h2_HML-2_12q24.33_graph_hgsvc3-2024-02-23-mc-chm13_MULTI_part1	NA19384#2#haplotype2-0000138#0:194176-199697	HML-2_12q24.33			0	0	[]
12q24.33_carrier_kcon.aln.fa	NA19384_h2	NA19384_h2_HML-2_12q24.33_graph_hgsvc3-2024-02-23-mc-chm13_MULTI_part2	NA19384#2#haplotype2-0000138#0:189241-194762	HML-2_12q24.33			0	0	[]
12q24.33_carrier_kcon.aln.fa	NA19434_h2	NA19434_h2_HML-2_12q24.33_graph_hgsvc3-2024-02-23-mc-chm13_MULTI_part1	NA19434#2#haplotype2-0000112#0:93067258-93072779	HML-2_12q24.33			0	0	[]
12q24.33_carrier_kcon.aln.fa	NA19434_h2	NA19434_h2_HML-2_12q24.33_graph_hgsvc3-2024-02-23-mc-chm13_MULTI_part2	NA19434#2#haplotype2-0000112#0:93062323-93067844	HML-2_12q24.33			0	0	[]
13p13_carrier_kcon.aln.fa	HG00329_hap1#c1	HG00329_hap1_hprc_r2_v1.0.1_HML-2_13p13_alt1	HG00329#1#CM094233.1:3761925-3769189	HML-2_13p13	historical_source/Documents/HML2_project_data/processed_loci/HML-2_13p13/HG00329_hap1_hprc_r2_v1.0.1_HML-2_13p13_alt1.fa	c3bbd59165d345957052148f19366f963194e786609cd2d5662c432bf526a6f5	1	1	"[{""query_start"": 0, ""query_end"": 6056, ""query_bases"": 6056, ""source_start"": 100, ""source_end"": 6165, ""strand"": ""+"", ""cigar"": ""98=2D392=3D289=1D60=1D1303=1D3175=1D739="", ""matching_bases"": 6056, ""mismatching_bases"": 0, ""query_inserted_bases"": 0, ""omitted_source_bases"": 9, ""exact"": 1}]"
13p13_carrier_kcon.aln.fa	HG00329_hap1#c1	HG00329_hap1_hprc_r2_v1.0.1_HML-2_13p13_alt2	HG00329#1#JBIRDP010000046.1:4019091-4026355	HML-2_13p13	historical_source/Documents/HML2_project_data/processed_loci/HML-2_13p13/HG00329_hap1_hprc_r2_v1.0.1_HML-2_13p13_alt2.fa	c9408be15dcb539b846a283fec94ae74a2da8d9fe81402c2adb3e28a5f7c0151	0	1	"[{""query_start"": 0, ""query_end"": 6056, ""query_bases"": 6056, ""source_start"": 100, ""source_end"": 6165, ""strand"": ""+"", ""cigar"": ""98=2D392=3D289=1D60=1D1303=1D435=1X298=1I9=1D2431=1D739="", ""matching_bases"": 6054, ""mismatching_bases"": 1, ""query_inserted_bases"": 1, ""omitted_source_bases"": 10, ""exact"": 0}]"
13p13_carrier_kcon.aln.fa	HG00423_pat#c2	HG00423_pat_hprc_r2_v1.0.1_HML-2_13p13_alt1	HG00423#1#JBHIIO010000012.1:3873725-3880991	HML-2_13p13	historical_source/Documents/HML2_project_data/processed_loci/HML-2_13p13/HG00423_pat_hprc_r2_v1.0.1_HML-2_13p13_alt1.fa	46306ec3c5819b284fb717c2aa4b4c2116b538a979d6e19d13bb463c8549d0d8	0	1	"[{""query_start"": 0, ""query_end"": 6056, ""query_bases"": 6056, ""source_start"": 100, ""source_end"": 6167, ""strand"": ""+"", ""cigar"": ""98=2D380=2D12=3D289=1D60=1D37=1X122=1X497=1X584=1X59=1D59=1X258=1X365=1X857=1X309=1X597=1X173=1X550=1D127=1X611="", ""matching_bases"": 6044, ""mismatching_bases"": 12, ""query_inserted_bases"": 0, ""omitted_source_bases"": 11, ""exact"": 0}]"
13p13_carrier_kcon.aln.fa	HG00423_pat#c2	HG00423_pat_hprc_r2_v1.0.1_HML-2_13p13_alt2	HG00423#1#CM089407.1:3144173-3151437	HML-2_13p13	historical_source/Documents/HML2_project_data/processed_loci/HML-2_13p13/HG00423_pat_hprc_r2_v1.0.1_HML-2_13p13_alt2.fa	4cb7605030ec772c8bba1c164d12684b1fabf1bd8c1fbd3337f0f9e509856cba	1	1	"[{""query_start"": 0, ""query_end"": 6056, ""query_bases"": 6056, ""source_start"": 100, ""source_end"": 6165, ""strand"": ""+"", ""cigar"": ""98=2D392=3D289=1D60=1D1303=1D3175=1D739="", ""matching_bases"": 6056, ""mismatching_bases"": 0, ""query_inserted_bases"": 0, ""omitted_source_bases"": 9, ""exact"": 1}]"
13p13_carrier_kcon.aln.fa	HG00642_mat#c1	HG00642_mat_hprc_r2_v1.0.1_HML-2_13p13_alt1	HG00642#2#CM086627.1:3139022-3146288	HML-2_13p13	historical_source/Documents/HML2_project_data/processed_loci/HML-2_13p13/HG00642_mat_hprc_r2_v1.0.1_HML-2_13p13_alt1.fa	21be4be14ced9162245d719e2c88ad548b43d65391ed472eaa4c57e385af785e	1	1	"[{""query_start"": 0, ""query_end"": 6058, ""query_bases"": 6058, ""source_start"": 100, ""source_end"": 6167, ""strand"": ""+"", ""cigar"": ""98=2D394=3D289=1D60=1D1303=1D3175=1D739="", ""matching_bases"": 6058, ""mismatching_bases"": 0, ""query_inserted_bases"": 0, ""omitted_source_bases"": 9, ""exact"": 1}]"
13p13_carrier_kcon.aln.fa	HG00642_mat#c1	HG00642_mat_hprc_r2_v1.0.1_HML-2_13p13_alt2	HG00642#2#JBHDSU010000018.1:267645-274864	HML-2_13p13	historical_source/Documents/HML2_project_data/processed_loci/HML-2_13p13/HG00642_mat_hprc_r2_v1.0.1_HML-2_13p13_alt2.fa	44e6684e9fd83f97bfa85368b8a3dc5430d7a8ca80700248585c0dd85f5c0a4a	0	1	"[{""query_start"": 14, ""query_end"": 6058, ""query_bases"": 6058, ""source_start"": 67, ""source_end"": 6120, ""strand"": ""+"", ""cigar"": ""84=2D394=3D29=1X259=1D60=1D37=1X1265=1D260=1X2914=1D149=1X12=1X244=1X331="", ""matching_bases"": 6038, ""mismatching_bases"": 6, ""query_inserted_bases"": 0, ""omitted_source_bases"": 9, ""exact"": 0}]"
13p13_carrier_kcon.aln.fa	HG01361_mat	HG01361_mat_hprc_r2_v1.0.1_HML-2_13p13	HG01361#2#CM089049.1:4108268-4115532	HML-2_13p13	historical_source/Documents/HML2_project_data/processed_loci/HML-2_13p13/HG01361_mat_hprc_r2_v1.0.1_HML-2_13p13.fa	f2a2a84bc67e4ce74ad0ef765094266b709cd03906b64a08d721e5a4e50a70fa	1	1	"[{""query_start"": 0, ""query_end"": 6056, ""query_bases"": 6056, ""source_start"": 100, ""source_end"": 6165, ""strand"": ""+"", ""cigar"": ""98=2D392=3D289=1D60=1D1303=1D3175=1D739="", ""matching_bases"": 6056, ""mismatching_bases"": 0, ""query_inserted_bases"": 0, ""omitted_source_bases"": 9, ""exact"": 1}]"
13p13_carrier_kcon.aln.fa	HG01969_mat	HG01969_mat_hprc_r2_v1.0.1_HML-2_13p13	HG01969#2#CM088709.1:2051592-2058811	HML-2_13p13	historical_source/Documents/HML2_project_data/processed_loci/HML-2_13p13/HG01969_mat_hprc_r2_v1.0.1_HML-2_13p13.fa	b4b6cbe0d167b80d721f63cd38dbea92bd5701c428e036a2048d1bad3fb31303	1	1	"[{""query_start"": 0, ""query_end"": 6011, ""query_bases"": 6011, ""source_start"": 100, ""source_end"": 6120, ""strand"": ""+"", ""cigar"": ""51=2D394=3D289=1D60=1D1303=1D3175=1D739="", ""matching_bases"": 6011, ""mismatching_bases"": 0, ""query_inserted_bases"": 0, ""omitted_source_bases"": 9, ""exact"": 1}]"
13p13_carrier_kcon.aln.fa	HG02056_mat	HG02056_mat_hprc_r2_v1.0.1_HML-2_13p13	HG02056#2#CM085889.1:1962823-1970086	HML-2_13p13	historical_source/Documents/HML2_project_data/processed_loci/HML-2_13p13/HG02056_mat_hprc_r2_v1.0.1_HML-2_13p13.fa	878241632df5947e34e3993902060dfe6c35f1ede242b0d0d83448084503873c	1	1	"[{""query_start"": 0, ""query_end"": 6058, ""query_bases"": 6058, ""source_start"": 100, ""source_end"": 6164, ""strand"": ""+"", ""cigar"": ""98=2D683=1D60=1D1303=1D3175=1D739="", ""matching_bases"": 6058, ""mismatching_bases"": 0, ""query_inserted_bases"": 0, ""omitted_source_bases"": 6, ""exact"": 1}]"
13p13_carrier_kcon.aln.fa	HG02165_hap1	HG02165_hap1_hprc_r2_v1.0.1_HML-2_13p13	HG02165#1#CM087450.1:2464952-2472171	HML-2_13p13	historical_source/Documents/HML2_project_data/processed_loci/HML-2_13p13/HG02165_hap1_hprc_r2_v1.0.1_HML-2_13p13.fa	031d8ec806762c1d19655eabf34cb1ba4f9fe51d86bf11a3d900b1dea21a3350	1	1	"[{""query_start"": 0, ""query_end"": 6011, ""query_bases"": 6011, ""source_start"": 100, ""source_end"": 6120, ""strand"": ""+"", ""cigar"": ""51=2D394=3D289=1D60=1D1303=1D3175=1D739="", ""matching_bases"": 6011, ""mismatching_bases"": 0, ""query_inserted_bases"": 0, ""omitted_source_bases"": 9, ""exact"": 1}]"
13p13_carrier_kcon.aln.fa	HG02602_pat#c2	HG02602_pat_hprc_r2_v1.0.1_HML-2_13p13_alt1	HG02602#1#JBJUVK010000071.1:3836705-3843971	HML-2_13p13	historical_source/Documents/HML2_project_data/processed_loci/HML-2_13p13/HG02602_pat_hprc_r2_v1.0.1_HML-2_13p13_alt1.fa	dc17c92310a37cb0ad6493ed248a4be7c792e7fcd1d285074a6e9b1f74c91e20	0	1	"[{""query_start"": 0, ""query_end"": 6058, ""query_bases"": 6058, ""source_start"": 100, ""source_end"": 6167, ""strand"": ""+"", ""cigar"": ""98=2D213=1X146=1X33=3D2X6=1X48=1X207=1X23=1D60=1D501=1X79=1X404=1X8=1X93=1X213=1D69=1X65=1X167=1X6=1X10=1X362=1X27=1X26=1X2=1X9=1X5=1X204=1X82=1X107=1X46=1X19=1X212=1X185=1X172=1X247=1X228=1X55=1X123=1X278=1X111=1X11=1X58=1X35=1X226=1D58=1X66=1X1=1X7=1X44=1X50=1X1=1X13=1X47=2X41=1X42=1X1=1X178=1X149=1X26="", ""matching_bases"": 6003, ""mismatching_bases"": 55, ""query_inserted_bases"": 0, ""omitted_source_bases"": 9, ""exact"": 0}]"
13p13_carrier_kcon.aln.fa	HG02602_pat#c2	HG02602_pat_hprc_r2_v1.0.1_HML-2_13p13_alt2	HG02602#1#CM099697.1:3308213-3315476	HML-2_13p13	historical_source/Documents/HML2_project_data/processed_loci/HML-2_13p13/HG02602_pat_hprc_r2_v1.0.1_HML-2_13p13_alt2.fa	9043f265973be691ec1b43503b2481c4d2f72a1e3e908f1b8efb152da94abf34	1	1	"[{""query_start"": 0, ""query_end"": 6058, ""query_bases"": 6058, ""source_start"": 100, ""source_end"": 6164, ""strand"": ""+"", ""cigar"": ""98=2D683=1D60=1D1303=1D3175=1D739="", ""matching_bases"": 6058, ""mismatching_bases"": 0, ""query_inserted_bases"": 0, ""omitted_source_bases"": 6, ""exact"": 1}]"
13p13_carrier_kcon.aln.fa	HG02984_mat#c2	HG02984_mat_hprc_r2_v1.0.1_HML-2_13p13_alt1	HG02984#2#JBJKON010000065.1:383436-390702	HML-2_13p13	historical_source/Documents/HML2_project_data/processed_loci/HML-2_13p13/HG02984_mat_hprc_r2_v1.0.1_HML-2_13p13_alt1.fa	f1afbadf3327bebbf2006a6fac88f19c3370136b961e694ba576edc4185f8907	0	1	"[{""query_start"": 0, ""query_end"": 6056, ""query_bases"": 6056, ""source_start"": 100, ""source_end"": 6167, ""strand"": ""+"", ""cigar"": ""98=2D204=1X37=1X137=2D12=3D194=1X94=1D60=1D257=1X46=1X347=1X650=1D59=1X637=1X259=1X285=1X389=1X1077=1X429=1X33=1D66=1X60=1X611="", ""matching_bases"": 6041, ""mismatching_bases"": 15, ""query_inserted_bases"": 0, ""omitted_source_bases"": 11, ""exact"": 0}]"
13p13_carrier_kcon.aln.fa	HG02984_mat#c2	HG02984_mat_hprc_r2_v1.0.1_HML-2_13p13_alt2	HG02984#2#CM098815.1:3591607-3598871	HML-2_13p13	historical_source/Documents/HML2_project_data/processed_loci/HML-2_13p13/HG02984_mat_hprc_r2_v1.0.1_HML-2_13p13_alt2.fa	686f9d9a947fcdbf541d6d4b20096bea45e4c5834b184bc9f5d7e3dacc7cddb0	1	1	"[{""query_start"": 0, ""query_end"": 6056, ""query_bases"": 6056, ""source_start"": 100, ""source_end"": 6165, ""strand"": ""+"", ""cigar"": ""98=2D392=3D289=1D60=1D1303=1D3175=1D739="", ""matching_bases"": 6056, ""mismatching_bases"": 0, ""query_inserted_bases"": 0, ""omitted_source_bases"": 9, ""exact"": 1}]"
13p13_carrier_kcon.aln.fa	HG03139_hap2	HG03139_hap2_hprc_r2_v1.0.1_HML-2_13p13	HG03139#2#CM091844.1:3287470-3294736	HML-2_13p13	historical_source/Documents/HML2_project_data/processed_loci/HML-2_13p13/HG03139_hap2_hprc_r2_v1.0.1_HML-2_13p13.fa	0296e05e687e7dc931b79cf0114a95c40762fb59fa7fd35fd8fee8a64946d4b3	1	1	"[{""query_start"": 0, ""query_end"": 6058, ""query_bases"": 6058, ""source_start"": 100, ""source_end"": 6167, ""strand"": ""+"", ""cigar"": ""98=2D394=3D289=1D60=1D1303=1D3175=1D739="", ""matching_bases"": 6058, ""mismatching_bases"": 0, ""query_inserted_bases"": 0, ""omitted_source_bases"": 9, ""exact"": 1}]"
13p13_carrier_kcon.aln.fa	HG03874_hap1#c1	HG03874_hap1_hprc_r2_v1.0.1_HML-2_13p13_alt1	HG03874#1#CM089442.1:1979514-1986780	HML-2_13p13	historical_source/Documents/HML2_project_data/processed_loci/HML-2_13p13/HG03874_hap1_hprc_r2_v1.0.1_HML-2_13p13_alt1.fa	a2191e578b3dbfbf68dd58f89b0aa60d7b0e286d4541b73cb959c14dd5fa3e27	1	1	"[{""query_start"": 0, ""query_end"": 6058, ""query_bases"": 6058, ""source_start"": 100, ""source_end"": 6167, ""strand"": ""+"", ""cigar"": ""98=2D394=3D289=1D60=1D1303=1D3175=1D739="", ""matching_bases"": 6058, ""mismatching_bases"": 0, ""query_inserted_bases"": 0, ""omitted_source_bases"": 9, ""exact"": 1}]"
13p13_carrier_kcon.aln.fa	HG03874_hap1#c1	HG03874_hap1_hprc_r2_v1.0.1_HML-2_13p13_alt2	HG03874#1#JBHIIS010000051.1:2515049-2522315	HML-2_13p13	historical_source/Documents/HML2_project_data/processed_loci/HML-2_13p13/HG03874_hap1_hprc_r2_v1.0.1_HML-2_13p13_alt2.fa	e333725779b556455db148f61deecafc1e2946453a46b2f6d7646fb5c8f8b8fb	1	1	"[{""query_start"": 0, ""query_end"": 6058, ""query_bases"": 6058, ""source_start"": 100, ""source_end"": 6167, ""strand"": ""+"", ""cigar"": ""98=2D394=3D289=1D60=1D1303=1D3175=1D739="", ""matching_bases"": 6058, ""mismatching_bases"": 0, ""query_inserted_bases"": 0, ""omitted_source_bases"": 9, ""exact"": 1}]"
13p13_carrier_kcon.aln.fa	NA18945_hap2	NA18945_hap2_hprc_r2_v1.0.1_HML-2_13p13	NA18945#2#CM101639.1:2357522-2364741	HML-2_13p13	historical_source/Documents/HML2_project_data/processed_loci/HML-2_13p13/NA18945_hap2_hprc_r2_v1.0.1_HML-2_13p13.fa	290bf3f6e686d9f598431e8e65a9bcd07e162430aa3fa529f7066e3315df83f9	1	1	"[{""query_start"": 0, ""query_end"": 6011, ""query_bases"": 6011, ""source_start"": 100, ""source_end"": 6120, ""strand"": ""+"", ""cigar"": ""51=2D394=3D289=1D60=1D1303=1D3175=1D739="", ""matching_bases"": 6011, ""mismatching_bases"": 0, ""query_inserted_bases"": 0, ""omitted_source_bases"": 9, ""exact"": 1}]"
13p13_carrier_kcon.aln.fa	NA19043_hap1#c1	NA19043_hap1_hprc_r2_v1.0.1_HML-2_13p13_alt1	NA19043#1#CM087052.1:4564083-4571349	HML-2_13p13	historical_source/Documents/HML2_project_data/processed_loci/HML-2_13p13/NA19043_hap1_hprc_r2_v1.0.1_HML-2_13p13_alt1.fa	79b8348cfd5af5888b59d4a84e9add0c18390f495df5249a5ee8125abf09a21b	1	1	"[{""query_start"": 0, ""query_end"": 6058, ""query_bases"": 6058, ""source_start"": 100, ""source_end"": 6167, ""strand"": ""+"", ""cigar"": ""98=2D394=3D289=1D60=1D1303=1D3175=1D739="", ""matching_bases"": 6058, ""mismatching_bases"": 0, ""query_inserted_bases"": 0, ""omitted_source_bases"": 9, ""exact"": 1}]"
13p13_carrier_kcon.aln.fa	NA19043_hap1#c1	NA19043_hap1_hprc_r2_v1.0.1_HML-2_13p13_alt2	NA19043#1#JBHDVS010000053.1:2301213-2308432	HML-2_13p13	historical_source/Documents/HML2_project_data/processed_loci/HML-2_13p13/NA19043_hap1_hprc_r2_v1.0.1_HML-2_13p13_alt2.fa	91c918f52559d62756be6700f461b182eb88207d4f85536fcd8ba93031305519	0	1	"[{""query_start"": 14, ""query_end"": 6058, ""query_bases"": 6058, ""source_start"": 67, ""source_end"": 6120, ""strand"": ""+"", ""cigar"": ""84=2D394=3D29=1X259=1D60=1D37=1X1265=1D1079=1X2095=1D149=1X12=1X244=1X331="", ""matching_bases"": 6038, ""mismatching_bases"": 6, ""query_inserted_bases"": 0, ""omitted_source_bases"": 9, ""exact"": 0}]"
13p13_carrier_kcon.aln.fa	NA19043_hap2#c1	NA19043_hap2_hprc_r2_v1.0.1_HML-2_13p13_alt1	NA19043#2#CM087083.1:2578863-2586129	HML-2_13p13	historical_source/Documents/HML2_project_data/processed_loci/HML-2_13p13/NA19043_hap2_hprc_r2_v1.0.1_HML-2_13p13_alt1.fa	a00be2b117c34588d490a6bc496baa3ab3865ef2bbbba73141ec066465ddeb9d	1	1	"[{""query_start"": 0, ""query_end"": 6058, ""query_bases"": 6058, ""source_start"": 100, ""source_end"": 6167, ""strand"": ""+"", ""cigar"": ""98=2D394=3D289=1D60=1D1303=1D3175=1D739="", ""matching_bases"": 6058, ""mismatching_bases"": 0, ""query_inserted_bases"": 0, ""omitted_source_bases"": 9, ""exact"": 1}]"
13p13_carrier_kcon.aln.fa	NA19043_hap2#c1	NA19043_hap2_hprc_r2_v1.0.1_HML-2_13p13_alt2	NA19043#2#JBHDVT010000051.1:4154347-4161613	HML-2_13p13	historical_source/Documents/HML2_project_data/processed_loci/HML-2_13p13/NA19043_hap2_hprc_r2_v1.0.1_HML-2_13p13_alt2.fa	7672e5fd954acac402d5e4db5bb32213f5ab8e7f38bd783de16535402acfb54a	0	1	"[{""query_start"": 0, ""query_end"": 6058, ""query_bases"": 6058, ""source_start"": 100, ""source_end"": 6167, ""strand"": ""+"", ""cigar"": ""98=2D394=3D62=1X226=1D60=1D1303=1D899=1X2275=1D739="", ""matching_bases"": 6056, ""mismatching_bases"": 2, ""query_inserted_bases"": 0, ""omitted_source_bases"": 9, ""exact"": 0}]"
