region	focal_locus	focal_tip	candidate_locus	candidate_tip	patristic_distance	candidate_in_both_regions
LTR	19p12c	19p12c__hap1__n69	12q13.2	12q13.2__hap1__n216	0.0213863126631627	True
LTR	19p12c	19p12c__hap1__n69	12q13.2	12q13.2__hap2__n61	0.02142788333874921	True
LTR	19p12c	19p12c__hap1__n69	8q24.3a	8q24.3a__hap2__n159	0.021909557781410748	False
LTR	19p12c	19p12c__hap1__n69	5q33.3	5q33.3__hap1__n307	0.02256103233457454	True
LTR	19p12c	19p12c__hap1__n69	8q24.3a	8q24.3a__hap1__n174	0.02269309024222771	False
LTR	19p12c	19p12c__hap1__n69	19q12	19q12__hap2__n40	0.0227481203896427	True
LTR	19p12c	19p12c__hap1__n69	19p12b	19p12b__hap1__n57	0.023187936181395048	True
LTR	19p12c	19p12c__hap1__n69	8p23.1a_hg38	8p23.1a_hg38__hap1__n25	0.023361292560266554	True
LTR	19p12c	19p12c__hap1__n69	5q33.3	5q33.3__hap2__n53	0.023557844382448012	True
LTR	19p12c	19p12c__hap1__n69	16p11.2	16p11.2__hap2__n30	0.023660477467399382	False
LTR	19p12c	19p12c__hap1__n69	1q22	1q22__hap1__n256	0.023725657511804273	True
LTR	19p12c	19p12c__hap1__n69	1q22	1q22__hap2__n40	0.02373315929326817	True
LTR	19p12c	19p12c__hap1__n69	16p11.2	16p11.2__hap1__n315	0.0237447892538167	False
LTR	19p12c	19p12c__hap1__n69	8p23.1a_hg38	8p23.1a_hg38__hap2__n4	0.024091911820707093	True
LTR	19p12c	19p12c__hap1__n69	19p12b	19p12b__hap2__n3	0.024126159632578963	True
LTR	19p12c	19p12c__hap1__n69	5p13.3	5p13.3__hap1__n245	0.02688605183739807	True
LTR	19p12c	19p12c__hap1__n69	5p13.3	5p13.3__hap2__n147	0.028771430758149898	True
LTR	19p12c	19p12c__hap1__n69	21q21.1	21q21.1__hap1__n82	0.030112154854986972	True
LTR	19p12c	19p12c__hap1__n69	21q21.1	21q21.1__hap2__n31	0.031167622551997683	True
LTR	19p12c	19p12c__hap1__n69	3q21.2	3q21.2__hap1__n194	0.03380573383706767	True
LTR	19p12c	19p12c__hap1__n69	3q21.2	3q21.2__hap2__n63	0.03512162575161936	True
LTR	19p12c	19p12c__hap1__n69	10q24.2	10q24.2__hap2__n114	0.03582656857102207	True
LTR	19p12c	19p12c__hap1__n69	10q24.2	10q24.2__hap1__n189	0.03673266116398741	True
LTR	19p12c	19p12c__hap1__n69	19p12d	19p12d__hap1__n264	0.03836944900215319	False
LTR	19p12c	19p12c__hap1__n69	19p12d	19p12d__hap2__n193	0.03921838165227193	False
LTR	19p12c	19p12c__hap1__n69	11q23.3	11q23.3__hap1__n159	0.03951365135175888	True
LTR	19p12c	19p12c__hap1__n69	19p13.3	19p13.3__hap1__n107	0.04013563835313661	False
LTR	19p12c	19p12c__hap1__n69	11q23.3	11q23.3__hap2__n147	0.04183424171957764	True
LTR	19p12c	19p12c__hap1__n69	2q21.1	2q21.1__hap2__n143	0.04196204744341988	False
LTR	19p12c	19p12c__hap1__n69	19p13.3	19p13.3__hap2__n70	0.04295825439525298	False
LTR	19p12c	19p12c__hap1__n69	2q21.1	2q21.1__hap1__n236	0.0430372179554522	False
LTR	19p12c	19p12c__hap1__n69	5q11.2	5q11.2__hap1__n331	0.0437280087068374	False
LTR	19p12c	19p12c__hap1__n69	5q11.2	5q11.2__hap2__n108	0.04481704311959181	False
LTR	19p12c	19p12c__hap1__n69	3q12.3	3q12.3__hap2__n105	0.04728444668949836	True
LTR	19p12c	19p12c__hap1__n69	3q12.3	3q12.3__hap1__n184	0.04762353871090133	True
LTR	19p12c	19p12c__hap1__n69	1q23.3	1q23.3__hap1__n195	0.050226572812673176	True
LTR	19p12c	19p12c__hap1__n69	15p13b	15p13b__hap2__n5	0.05097339924316137	True
LTR	19p12c	19p12c__hap1__n69	1q23.3	1q23.3__hap2__n71	0.051352121544411926	True
LTR	19p12c	19p12c__hap1__n69	15p13b	15p13b__hap1__n9	0.05154910646224648	True
LTR	19p12c	19p12c__hap1__n69	13p13	13p13__hap1__n7	0.05268625379793488	True
LTR	19p12c	19p12c__hap1__n69	13p13	13p13__hap2__n4	0.05594023696856465	True
LTR	19p12c	19p12c__hap1__n69	1p31.1a	1p31.1a__hap1__n173	0.05792452576581956	True
LTR	19p12c	19p12c__hap1__n69	3p25.3	3p25.3__hap1__n279	0.058011199883954374	False
LTR	19p12c	19p12c__hap1__n69	3p25.3	3p25.3__hap2__n49	0.05910327397860713	False
LTR	19p12c	19p12c__hap1__n69	4q32.3	4q32.3__hap1__n157	0.062042648375574064	False
LTR	19p12c	19p12c__hap1__n69	1p31.1a	1p31.1a__hap2__n106	0.06275428140955483	True
LTR	19p12c	19p12c__hap1__n69	4q32.3	4q32.3__hap2__n141	0.06284995651263398	False
LTR	19p12c	19p12c__hap1__n69	10p14	10p14__hap1__n252	0.0652696140843562	True
LTR	19p12c	19p12c__hap1__n69	19p12e	19p12e__hap1__n315	0.06980703688688024	False
LTR	19p12c	19p12c__hap1__n69	10p14	10p14__hap2__n42	0.07009091819435317	True
LTR	19p12c	19p12c__hap1__n69	19p12e	19p12e__hap2__n93	0.07068937474293166	False
LTR	19p12c	19p12c__hap1__n69	1q32.2	1q32.2__hap2__n12	0.08966658752896296	False
LTR	19p12c	19p12c__hap1__n69	1q32.2	1q32.2__hap1__n331	0.09015329581179535	False
LTR	19p12c	19p12c__hap1__n69	5p12	5p12__hap1__n225	0.11174110598195178	True
LTR	19p12c	19p12c__hap1__n69	5p12	5p12__hap2__n175	0.11291959557870872	True
LTR	19p12c	19p12c__hap1__n69	1p34.3	1p34.3__hap1__n2	0.14008998229501468	False
LTR	19p12c	19p12c__hap1__n69	11q12.3	11q12.3__hap1__n361	0.1575796038456682	True
LTR	19p12c	19p12c__hap1__n69	11q12.3	11q12.3__hap2__n65	0.1578244786994535	True
LTR	19p12c	19p12c__hap1__n69	19q13.12b	19q13.12b__hap1__n245	0.16167431414559497	True
LTR	19p12c	19p12c__hap1__n69	6p22.1	6p22.1__hap2__n116	0.16170256331224706	True
LTR	19p12c	19p12c__hap1__n69	6p22.1	6p22.1__hap1__n169	0.16207086929060074	True
LTR	19p12c	19p12c__hap1__n69	19q13.12b	19q13.12b__hap2__n81	0.16312463824610915	True
LTR	19p12c	19p12c__hap1__n69	19p12a	19p12a__hap1__n256	0.1657477576084982	True
LTR	19p12c	19p12c__hap1__n69	19p12a	19p12a__hap2__n111	0.16687881986387135	True
LTR	19p12c	19p12c__hap1__n69	9q34.3	9q34.3__hap1__n196	0.20802570828511557	True
LTR	19p12c	19p12c__hap1__n69	9q34.3	9q34.3__hap2__n131	0.20891575899410417	True
LTR	19p12c	19p12c__hap1__n69	19q13.41	19q13.41__hap1__n201	0.2101928621539941	True
LTR	19p12c	19p12c__hap1__n69	19q13.41	19q13.41__hap2__n133	0.210650489689525	True
LTR	19p12c	19p12c__hap1__n69	1p36.21c	1p36.21c__hap1__n249	0.21366544573836554	True
LTR	19p12c	19p12c__hap1__n69	6p21.1	6p21.1__hap1__n319	0.21402349631783207	True
LTR	19p12c	19p12c__hap1__n69	1p36.21c	1p36.21c__hap2__n48	0.2147366086608781	True
LTR	19p12c	19p12c__hap1__n69	1q43	1q43__hap1__n143	0.2152575206609607	False
LTR	19p12c	19p12c__hap1__n69	1q43	1q43__hap2__n126	0.21613748721550688	False
LTR	19p12c	19p12c__hap1__n69	22q11.23	22q11.23__hap1__n95	0.21683203306352072	True
LTR	19p12c	19p12c__hap1__n69	22q11.23	22q11.23__hap2__n67	0.21712701519123123	True
LTR	19p12c	19p12c__hap1__n69	6p21.1	6p21.1__hap2__n60	0.2172933235763621	True
LTR	19p12c	19p12c__hap1__n69	1q24.1	1q24.1__hap1__n335	0.21883672532755702	True
LTR	19p12c	19p12c__hap1__n69	12p11.21	12p11.21__hap2__n103	0.2191730915242938	True
LTR	19p12c	19p12c__hap1__n69	1p36.21b	1p36.21b__hap2__n60	0.2195365674490189	True
LTR	19p12c	19p12c__hap1__n69	1p36.21b	1p36.21b__hap1__n147	0.2196948504387355	True
LTR	19p12c	19p12c__hap1__n69	12p11.21	12p11.21__hap1__n345	0.220138836041768	True
LTR	19p12c	19p12c__hap1__n69	7q11.21	7q11.21__hap2__n66	0.22034525827916318	False
LTR	19p12c	19p12c__hap1__n69	7q11.21	7q11.21__hap1__n350	0.22040906150849937	False
LTR	19p12c	19p12c__hap1__n69	14q32.33	14q32.33__hap1__n46	0.22132636626767202	True
LTR	19p12c	19p12c__hap1__n69	14q32.33	14q32.33__hap2__n1	0.22246831881514578	True
LTR	19p12c	19p12c__hap1__n69	11p15.4b	11p15.4b__hap1__n389	0.2232704789797752	False
LTR	19p12c	19p12c__hap1__n69	1q24.1	1q24.1__hap2__n4	0.2235536355037114	True
LTR	19p12c	19p12c__hap1__n69	11p15.4b	11p15.4b__hap2__n59	0.22493118447793656	False
LTR	19p12c	19p12c__hap1__n69	19q13.42	19q13.42__hap2__n80	0.22732021907362437	True
LTR	19p12c	19p12c__hap1__n69	19q13.42	19q13.42__hap1__n382	0.22902335823068778	True
LTR	19p12c	19p12c__hap1__n69	1p36.21a	1p36.21a__hap1__n306	0.2323381054567173	True
LTR	19p12c	19p12c__hap1__n69	1p36.21a	1p36.21a__hap2__n10	0.2335529799030222	True
LTR	19p12c	19p12c__hap1__n69	9q34.11	9q34.11__hap1__n413	0.23844461275764156	True
LTR	19p12c	19p12c__hap1__n69	9q34.11	9q34.11__hap2__n22	0.23986650885313626	True
LTR	19p12c	19p12c__hap1__n69	4q13.2	4q13.2__hap1__n85	0.241026880920105	True
LTR	19p12c	19p12c__hap1__n69	8q24.3c	8q24.3c__hap2__n52	0.2413673502521897	True
LTR	19p12c	19p12c__hap1__n69	6q11.1	6q11.1__hap1__n159	0.24157426231791482	True
LTR	19p12c	19p12c__hap1__n69	8q24.3c	8q24.3c__hap1__n185	0.24167050148222854	True
LTR	19p12c	19p12c__hap1__n69	12q24.33	12q24.33__hap1__n62	0.2418327440787366	False
LTR	19p12c	19p12c__hap1__n69	4q13.2	4q13.2__hap2__n65	0.24203238134350358	True
LTR	19p12c	19p12c__hap1__n69	4p16.3c	4p16.3c__hap2__n79	0.24274159747314736	True
LTR	19p12c	19p12c__hap1__n69	12q24.33	12q24.33__hap2__n14	0.2429515960223034	False
LTR	19p12c	19p12c__hap1__n69	6q11.1	6q11.1__hap2__n113	0.24300939781967004	True
LTR	19p12c	19p12c__hap1__n69	5q33.2	5q33.2__hap1__n356	0.24340992840569103	True
LTR	19p12c	19p12c__hap1__n69	4p16.3c	4p16.3c__hap1__n125	0.24429738125250514	True
LTR	19p12c	19p12c__hap1__n69	21p13	21p13__hap1__n28	0.2454629723104856	True
LTR	19p12c	19p12c__hap1__n69	5q33.2	5q33.2__hap2__n50	0.24586330179754787	True
LTR	19p12c	19p12c__hap1__n69	4p16.3a	4p16.3a__hap2__n9	0.24647169858558235	True
LTR	19p12c	19p12c__hap1__n69	15p13a	15p13a__hap1__n12	0.24647752804975384	True
LTR	19p12c	19p12c__hap1__n69	22p13	22p13__hap1__n16	0.2471598993799498	True
LTR	19p12c	19p12c__hap1__n69	22p13	22p13__hap2__n15	0.24734010796196668	True
LTR	19p12c	19p12c__hap1__n69	4q35.2_hg38	4q35.2_hg38__hap2__n16	0.24803515519285085	True
LTR	19p12c	19p12c__hap1__n69	4p16.1b	4p16.1b__hap1__n114	0.2482019782309451	True
LTR	19p12c	19p12c__hap1__n69	21p13	21p13__hap2__n22	0.24924959495961518	True
LTR	19p12c	19p12c__hap1__n69	4p16.1b	4p16.1b__hap2__n96	0.249856424661652	True
LTR	19p12c	19p12c__hap1__n69	15p13a	15p13a__hap2__n11	0.25019061816863564	True
LTR	19p12c	19p12c__hap1__n69	14q11.2	14q11.2__hap2__n26	0.250657524164886	False
LTR	19p12c	19p12c__hap1__n69	4q35.2_hg38	4q35.2_hg38__hap1__n61	0.25082409321292065	True
LTR	19p12c	19p12c__hap1__n69	14q11.2	14q11.2__hap1__n49	0.25187304482546075	False
LTR	19p12c	19p12c__hap1__n69	4p16.1a	4p16.1a__hap2__n84	0.2524580038215346	True
LTR	19p12c	19p12c__hap1__n69	4p16.3a	4p16.3a__hap1__n10	0.25263287967433323	True
LTR	19p12c	19p12c__hap1__n69	4p16.1a	4p16.1a__hap1__n177	0.2539885534691118	True
LTR	19p12c	19p12c__hap1__n69	3p12.3	3p12.3__hap1__n159	0.2563874447861787	True
LTR	19p12c	19p12c__hap1__n69	3p12.3	3p12.3__hap2__n53	0.2581493603230796	True
LTR	19p12c	19p12c__hap1__n69	8p23.1d	8p23.1d__hap1__n106	0.25821081614462205	True
LTR	19p12c	19p12c__hap1__n69	8p23.1e	8p23.1e__hap1__n153	0.25821081614462205	True
LTR	19p12c	19p12c__hap1__n69	8p23.1c	8p23.1c__hap1__n114	0.25854251766144243	True
LTR	19p12c	19p12c__hap1__n69	8p23.1d	8p23.1d__hap2__n34	0.25957055098138043	True
LTR	19p12c	19p12c__hap1__n69	8p23.1e	8p23.1e__hap2__n34	0.25957055098138043	True
LTR	19p12c	19p12c__hap1__n69	8p23.1b	8p23.1b__hap1__n59	0.26041737161502454	True
LTR	19p12c	19p12c__hap1__n69	11p15.4	11p15.4__hap1__n117	0.2611649831280022	True
LTR	19p12c	19p12c__hap1__n69	8q11.21	8q11.21__hap1__n328	0.2612427404214132	True
LTR	19p12c	19p12c__hap1__n69	8q11.21	8q11.21__hap2__n142	0.2619792535327214	True
LTR	19p12c	19p12c__hap1__n69	8p23.1b	8p23.1b__hap2__n40	0.2622511055030055	True
LTR	19p12c	19p12c__hap1__n69	11p15.4	11p15.4__hap2__n98	0.2631548261393735	True
LTR	19p12c	19p12c__hap1__n69	8p23.1c	8p23.1c__hap2__n18	0.26451734008694794	True
Pol	19p12c	19p12c__hap1__n156	22q11.21	22q11.21__hap2__n37	0.007866693973433404	True
Pol	19p12c	19p12c__hap1__n156	3q27.2	3q27.2__hap2__n73	0.009277605834543803	True
Pol	19p12c	19p12c__hap1__n156	3q27.2	3q27.2__hap1__n191	0.009289759822458455	True
Pol	19p12c	19p12c__hap1__n156	6q14.1	6q14.1__hap1__n128	0.009655003256347824	True
Pol	19p12c	19p12c__hap1__n156	22q11.21	22q11.21__hap1__n84	0.009656673433554844	True
Pol	19p12c	19p12c__hap1__n156	10p12.1	10p12.1__hap2__n72	0.009771585348606542	True
Pol	19p12c	19p12c__hap1__n156	10p12.1	10p12.1__hap1__n198	0.009784529456949867	True
Pol	19p12c	19p12c__hap1__n156	8q11.23_new	8q11.23_new__hap1__n1	0.009987531231981515	True
Pol	19p12c	19p12c__hap1__n156	5q33.3	5q33.3__hap2__n47	0.010104710140356405	True
Pol	19p12c	19p12c__hap1__n156	3q13.2	3q13.2__hap1__n179	0.01030450075236012	True
Pol	19p12c	19p12c__hap1__n156	6q14.1	6q14.1__hap2__n49	0.010367050565305345	True
Pol	19p12c	19p12c__hap1__n156	3q13.2	3q13.2__hap2__n67	0.01059874786496662	True
Pol	19p12c	19p12c__hap1__n156	5q33.3	5q33.3__hap1__n298	0.010867688375310335	True
Pol	19p12c	19p12c__hap1__n156	1q22	1q22__hap2__n30	0.01094524307860882	True
Pol	19p12c	19p12c__hap1__n156	1q22	1q22__hap1__n261	0.011681571009159834	True
Pol	19p12c	19p12c__hap1__n156	11q22.1	11q22.1__hap1__n82	0.012175814182381575	True
Pol	19p12c	19p12c__hap1__n156	11q22.1	11q22.1__hap2__n68	0.01248301705804539	True
Pol	19p12c	19p12c__hap1__n156	7p22.1	7p22.1__hap1__n149	0.012614382881663444	True
Pol	19p12c	19p12c__hap1__n156	7p22.1	7p22.1__hap2__n32	0.012889452368126775	True
Pol	19p12c	19p12c__hap1__n156	12q14.1	12q14.1__hap1__n104	0.01326829296741516	True
Pol	19p12c	19p12c__hap1__n156	19p12b	19p12b__hap2__n10	0.013528604276539964	True
Pol	19p12c	19p12c__hap1__n156	8p23.1a_hg38	8p23.1a_hg38__hap1__n24	0.013534848008448994	True
Pol	19p12c	19p12c__hap1__n156	12q14.1	12q14.1__hap2__n60	0.013784690314334928	True
Pol	19p12c	19p12c__hap1__n156	19q12	19q12__hap2__n40	0.014205426491487904	True
Pol	19p12c	19p12c__hap1__n156	19q12	19q12__hap1__n328	0.014495617383625805	True
Pol	19p12c	19p12c__hap1__n156	19p12b	19p12b__hap1__n30	0.014536646279232141	True
Pol	19p12c	19p12c__hap1__n156	8p23.1a_hg38	8p23.1a_hg38__hap2__n3	0.014596100621191484	True
Pol	19p12c	19p12c__hap1__n156	Xq21.33	Xq21.33__hap1__n3	0.014613422702117854	True
Pol	19p12c	19p12c__hap1__n156	5p13.3	5p13.3__hap1__n101	0.016153090954875295	True
Pol	19p12c	19p12c__hap1__n156	5p13.3	5p13.3__hap2__n74	0.016486845650703748	True
Pol	19p12c	19p12c__hap1__n156	10q24.2	10q24.2__hap1__n127	0.017184297661430398	True
Pol	19p12c	19p12c__hap1__n156	10q24.2	10q24.2__hap2__n83	0.017385690527862593	True
Pol	19p12c	19p12c__hap1__n156	12q13.2	12q13.2__hap1__n138	0.01913793549814741	True
Pol	19p12c	19p12c__hap1__n156	1q23.3	1q23.3__hap1__n185	0.020615026781619833	True
Pol	19p12c	19p12c__hap1__n156	12q13.2	12q13.2__hap2__n26	0.021030414578293265	True
Pol	19p12c	19p12c__hap1__n156	1q23.3	1q23.3__hap2__n75	0.022066117511456484	True
Pol	19p12c	19p12c__hap1__n156	11q23.3	11q23.3__hap1__n153	0.025553498558883805	True
Pol	19p12c	19p12c__hap1__n156	11q23.3	11q23.3__hap2__n139	0.025934995352217237	True
Pol	19p12c	19p12c__hap1__n156	3q21.2	3q21.2__hap1__n92	0.03076983146791806	True
Pol	19p12c	19p12c__hap1__n156	3q21.2	3q21.2__hap2__n84	0.03112544406828985	True
Pol	19p12c	19p12c__hap1__n156	1p31.1a	1p31.1a__hap1__n108	0.03167852817873068	True
Pol	19p12c	19p12c__hap1__n156	1p31.1a	1p31.1a__hap2__n93	0.03242666016446657	True
Pol	19p12c	19p12c__hap1__n156	10p14	10p14__hap1__n232	0.033901488612518405	True
Pol	19p12c	19p12c__hap1__n156	10p14	10p14__hap2__n40	0.03507150061082297	True
Pol	19p12c	19p12c__hap1__n156	13p13	13p13__hap2__n2	0.03618973716633083	True
Pol	19p12c	19p12c__hap1__n156	13p13	13p13__hap1__n7	0.03659138924126533	True
Pol	19p12c	19p12c__hap1__n156	15p13b	15p13b__hap2__n2	0.0367486161016433	True
Pol	19p12c	19p12c__hap1__n156	15p13b	15p13b__hap1__n13	0.0373587288560314	True
Pol	19p12c	19p12c__hap1__n156	21q21.1	21q21.1__hap2__n31	0.03904779935396767	True
Pol	19p12c	19p12c__hap1__n156	21q21.1	21q21.1__hap1__n64	0.03933932742338704	True
Pol	19p12c	19p12c__hap1__n156	11q12.3	11q12.3__hap1__n212	0.05466617308370447	True
Pol	19p12c	19p12c__hap1__n156	11q12.3	11q12.3__hap2__n85	0.055628419216991576	True
Pol	19p12c	19p12c__hap1__n156	19q13.12b	19q13.12b__hap1__n226	0.055857396783377644	True
Pol	19p12c	19p12c__hap1__n156	19q13.12b	19q13.12b__hap2__n135	0.05585934718092614	True
Pol	19p12c	19p12c__hap1__n156	19q13.42	19q13.42__hap2__n84	0.05957481315301218	True
Pol	19p12c	19p12c__hap1__n156	19q13.42	19q13.42__hap1__n132	0.05957785894337976	True
Pol	19p12c	19p12c__hap1__n156	6p22.1	6p22.1__hap1__n132	0.062361385393909896	True
Pol	19p12c	19p12c__hap1__n156	6p22.1	6p22.1__hap2__n81	0.06239014968083942	True
Pol	19p12c	19p12c__hap1__n156	3q12.3	3q12.3__hap2__n77	0.06710169330498637	True
Pol	19p12c	19p12c__hap1__n156	3q12.3	3q12.3__hap1__n80	0.06747564697334939	True
Pol	19p12c	19p12c__hap1__n156	19p12a	19p12a__hap1__n219	0.06932397229542048	True
Pol	19p12c	19p12c__hap1__n156	19p12a	19p12a__hap2__n93	0.06990793436018118	True
Pol	19p12c	19p12c__hap1__n156	5p12	5p12__hap2__n83	0.07531655223656027	True
Pol	19p12c	19p12c__hap1__n156	5p12	5p12__hap1__n215	0.07570660176990444	True
Pol	19p12c	19p12c__hap1__n156	12p11.21	12p11.21__hap2__n84	0.08734219677761428	True
Pol	19p12c	19p12c__hap1__n156	19q13.41	19q13.41__hap2__n133	0.08764689043508164	True
Pol	19p12c	19p12c__hap1__n156	12p11.21	12p11.21__hap1__n243	0.0879764922514737	True
Pol	19p12c	19p12c__hap1__n156	19q13.41	19q13.41__hap1__n169	0.08830720155939493	True
Pol	19p12c	19p12c__hap1__n156	22q11.23	22q11.23__hap1__n61	0.10180141657532552	True
Pol	19p12c	19p12c__hap1__n156	22q11.23	22q11.23__hap2__n40	0.10183935430100964	True
Pol	19p12c	19p12c__hap1__n156	1q21.3	1q21.3__hap1__n310	0.1022636678733758	False
Pol	19p12c	19p12c__hap1__n156	1q21.3	1q21.3__hap2__n7	0.10273388936122652	False
Pol	19p12c	19p12c__hap1__n156	6p21.1	6p21.1__hap2__n65	0.10426594307228626	True
Pol	19p12c	19p12c__hap1__n156	6p21.1	6p21.1__hap1__n238	0.10460007283274109	True
Pol	19p12c	19p12c__hap1__n156	5q33.2	5q33.2__hap1__n231	0.10477386377818546	True
Pol	19p12c	19p12c__hap1__n156	Xq12	Xq12__hap2__n64	0.10481773168397862	False
Pol	19p12c	19p12c__hap1__n156	5q33.2	5q33.2__hap2__n71	0.10513043600000714	True
Pol	19p12c	19p12c__hap1__n156	Xq12	Xq12__hap1__n140	0.10529223846451236	False
Pol	19p12c	19p12c__hap1__n156	1q24.1	1q24.1__hap2__n129	0.10539226212808248	True
Pol	19p12c	19p12c__hap1__n156	8q24.3c	8q24.3c__hap1__n138	0.10563222185273959	True
Pol	19p12c	19p12c__hap1__n156	1q24.1	1q24.1__hap1__n150	0.10591794169708427	True
Pol	19p12c	19p12c__hap1__n156	8q24.3c	8q24.3c__hap2__n113	0.10601071673816101	True
Pol	19p12c	19p12c__hap1__n156	14q32.33	14q32.33__hap1__n51	0.10619884801344612	True
Pol	19p12c	19p12c__hap1__n156	1p36.21a	1p36.21a__hap1__n166	0.10742911553318515	True
Pol	19p12c	19p12c__hap1__n156	1p36.21c	1p36.21c__hap1__n152	0.10754548982568245	True
Pol	19p12c	19p12c__hap1__n156	1p36.21c	1p36.21c__hap2__n96	0.10787351662227164	True
Pol	19p12c	19p12c__hap1__n156	1p36.21a	1p36.21a__hap2__n67	0.10794247123203383	True
Pol	19p12c	19p12c__hap1__n156	11p15.4	11p15.4__hap1__n207	0.10805497263636378	True
Pol	19p12c	19p12c__hap1__n156	11p15.4	11p15.4__hap2__n77	0.10821120005308187	True
Pol	19p12c	19p12c__hap1__n156	1p36.21b	1p36.21b__hap2__n44	0.10836840980293119	True
Pol	19p12c	19p12c__hap1__n156	8p23.1c	8p23.1c__hap1__n105	0.10972516135974367	True
Pol	19p12c	19p12c__hap1__n156	1p36.21b	1p36.21b__hap1__n195	0.10976879909165327	True
Pol	19p12c	19p12c__hap1__n156	8p23.1b	8p23.1b__hap2__n35	0.10979043285903284	True
Pol	19p12c	19p12c__hap1__n156	8p23.1c	8p23.1c__hap2__n12	0.11011729626937236	True
Pol	19p12c	19p12c__hap1__n156	8p23.1d	8p23.1d__hap2__n31	0.11012051113868664	True
Pol	19p12c	19p12c__hap1__n156	8p23.1e	8p23.1e__hap1__n87	0.11037119747412362	True
Pol	19p12c	19p12c__hap1__n156	8p23.1d	8p23.1d__hap1__n58	0.11039031675802453	True
Pol	19p12c	19p12c__hap1__n156	4p16.3c	4p16.3c__hap2__n59	0.11042619589472731	True
Pol	19p12c	19p12c__hap1__n156	8p23.1b	8p23.1b__hap1__n41	0.11043822664971069	True
Pol	19p12c	19p12c__hap1__n156	14q32.33	14q32.33__hap2__n36	0.11062724321986868	True
Pol	19p12c	19p12c__hap1__n156	8p23.1e	8p23.1e__hap2__n39	0.11063812656357391	True
Pol	19p12c	19p12c__hap1__n156	4p16.3c	4p16.3c__hap1__n78	0.11155628243006409	True
Pol	19p12c	19p12c__hap1__n156	4q13.2	4q13.2__hap2__n37	0.11364992234844967	True
Pol	19p12c	19p12c__hap1__n156	Yp11.2	Yp11.2__hap1__n19	0.11410020888551495	False
Pol	19p12c	19p12c__hap1__n156	3p12.3	3p12.3__hap1__n129	0.11450726601692311	True
Pol	19p12c	19p12c__hap1__n156	4p16.1a	4p16.1a__hap1__n174	0.11461622012219584	True
Pol	19p12c	19p12c__hap1__n156	4q35.2_hg38	4q35.2_hg38__hap1__n83	0.11462189186089551	True
Pol	19p12c	19p12c__hap1__n156	Yp11.2	Yp11.2__hap2__n17	0.11464424628601212	False
Pol	19p12c	19p12c__hap1__n156	4q35.2_hg38	4q35.2_hg38__hap2__n16	0.11507595599772194	True
Pol	19p12c	19p12c__hap1__n156	15p13a	15p13a__hap2__n5	0.11510530732715057	True
Pol	19p12c	19p12c__hap1__n156	21p13	21p13__hap2__n13	0.11518876027976567	True
