window	group	locus_a	locus_b	jointly_called_bases	substitutions	p_distance
B1	Type II all	10q24.2	3p12.3	948	201	0.2120253164556962
B1	Type II all	10q24.2	3q21.2	1000	35	0.035
B1	Type II all	10q24.2	4p16.1a	975	209	0.21435897435897436
B1	Type II all	10q24.2	4p16.1b	974	209	0.21457905544147843
B1	Type II all	10q24.2	4p16.3c	973	203	0.20863309352517986
B1	Type II all	10q24.2	5p13.3	1000	37	0.037
B1	Type II all	10q24.2	5q33.2	982	197	0.20061099796334012
B1	Type II all	10q24.2	6p21.1	978	185	0.18916155419222905
B1	Type II all	10q24.2	6p22.1	988	121	0.12246963562753037
B1	Type II all	10q24.2	6q14.1	1000	30	0.03
B1	Type II all	10q24.2	7p22.1	1000	27	0.027
B1	Type II all	10q24.2	8p23.1a_hg38	1000	28	0.028
B1	Type II all	10q24.2	8p23.1b	975	206	0.21128205128205127
B1	Type II all	10q24.2	8p23.1c	972	204	0.20987654320987653
B1	Type II all	10q24.2	8p23.1d	975	206	0.21128205128205127
B1	Type II all	10q24.2	8p23.1e	975	208	0.21333333333333335
B1	Type II all	10q24.2	Xq21.33	1000	28	0.028
B1	Type II all	11p15.4	11q12.3	961	166	0.17273673257023933
B1	Type II all	11p15.4	11q22.1	971	198	0.203913491246138
B1	Type II all	11p15.4	12q14.1	971	198	0.203913491246138
B1	Type II all	11p15.4	19p12a	960	179	0.18645833333333334
B1	Type II all	11p15.4	19p12b	971	199	0.20494335736354274
B1	Type II all	11p15.4	19q12	971	205	0.21112255406797117
B1	Type II all	11p15.4	19q13.12b	966	184	0.19047619047619047
B1	Type II all	11p15.4	1p36.21b	964	138	0.14315352697095435
B1	Type II all	11p15.4	1p36.21c	964	139	0.1441908713692946
B1	Type II all	11p15.4	3p12.3	944	57	0.06038135593220339
B1	Type II all	11p15.4	3q21.2	971	209	0.21524201853759012
B1	Type II all	11p15.4	4p16.1a	971	35	0.03604531410916581
B1	Type II all	11p15.4	4p16.1b	970	45	0.04639175257731959
B1	Type II all	11p15.4	4p16.3c	969	36	0.03715170278637771
B1	Type II all	11p15.4	5p13.3	971	207	0.21318228630278063
B1	Type II all	11p15.4	5q33.2	966	88	0.09109730848861283
B1	Type II all	11p15.4	6p21.1	962	115	0.11954261954261955
B1	Type II all	11p15.4	6p22.1	971	181	0.18640576725025745
B1	Type II all	11p15.4	6q14.1	971	200	0.2059732234809475
B1	Type II all	11p15.4	7p22.1	971	199	0.20494335736354274
B1	Type II all	11p15.4	8p23.1a_hg38	971	199	0.20494335736354274
B1	Type II all	11p15.4	8p23.1b	971	31	0.03192584963954686
B1	Type II all	11p15.4	8p23.1c	968	29	0.029958677685950414
B1	Type II all	11p15.4	8p23.1d	971	31	0.03192584963954686
B1	Type II all	11p15.4	8p23.1e	971	33	0.03398558187435633
B1	Type II all	11p15.4	Xq21.33	971	198	0.203913491246138
B1	Type II all	11q12.3	11q22.1	978	103	0.10531697341513292
B1	Type II all	11q12.3	12q14.1	978	103	0.10531697341513292
B1	Type II all	11q12.3	19p12a	967	55	0.05687693898655636
B1	Type II all	11q12.3	19p12b	978	103	0.10531697341513292
B1	Type II all	11q12.3	19q12	978	108	0.11042944785276074
B1	Type II all	11q12.3	19q13.12b	973	73	0.0750256937307297
B1	Type II all	11q12.3	1p36.21b	970	156	0.16082474226804125
B1	Type II all	11q12.3	1p36.21c	970	154	0.15876288659793814
B1	Type II all	11q12.3	3p12.3	938	163	0.17377398720682302
B1	Type II all	11q12.3	3q21.2	978	110	0.11247443762781185
B1	Type II all	11q12.3	4p16.1a	965	171	0.1772020725388601
B1	Type II all	11q12.3	4p16.1b	964	170	0.17634854771784234
B1	Type II all	11q12.3	4p16.3c	963	168	0.17445482866043613
B1	Type II all	11q12.3	5p13.3	978	109	0.1114519427402863
B1	Type II all	11q12.3	5q33.2	972	144	0.14814814814814814
B1	Type II all	11q12.3	6p21.1	968	143	0.14772727272727273
B1	Type II all	11q12.3	6p22.1	978	64	0.065439672801636
B1	Type II all	11q12.3	6q14.1	978	103	0.10531697341513292
B1	Type II all	11q12.3	7p22.1	978	102	0.10429447852760736
B1	Type II all	11q12.3	8p23.1a_hg38	978	102	0.10429447852760736
B1	Type II all	11q12.3	8p23.1b	965	170	0.17616580310880828
B1	Type II all	11q12.3	8p23.1c	962	167	0.1735966735966736
B1	Type II all	11q12.3	8p23.1d	965	170	0.17616580310880828
B1	Type II all	11q12.3	8p23.1e	965	172	0.17823834196891192
B1	Type II all	11q12.3	Xq21.33	978	103	0.10531697341513292
B1	Type II all	11q22.1	12q14.1	1000	17	0.017
B1	Type II all	11q22.1	19p12a	977	113	0.11566018423746162
B1	Type II all	11q22.1	19p12b	1000	23	0.023
B1	Type II all	11q22.1	19q12	1000	20	0.02
B1	Type II all	11q22.1	19q13.12b	983	110	0.11190233977619532
B1	Type II all	11q22.1	1p36.21b	980	188	0.19183673469387755
B1	Type II all	11q22.1	1p36.21c	980	187	0.19081632653061226
B1	Type II all	11q22.1	3p12.3	948	195	0.20569620253164558
B1	Type II all	11q22.1	3q21.2	1000	22	0.022
B1	Type II all	11q22.1	4p16.1a	975	205	0.21025641025641026
B1	Type II all	11q22.1	4p16.1b	974	203	0.20841889117043122
B1	Type II all	11q22.1	4p16.3c	973	200	0.20554984583761562
B1	Type II all	11q22.1	5p13.3	1000	21	0.021
B1	Type II all	11q22.1	5q33.2	982	193	0.19653767820773932
B1	Type II all	11q22.1	6p21.1	978	179	0.18302658486707565
B1	Type II all	11q22.1	6p22.1	988	118	0.1194331983805668
B1	Type II all	11q22.1	6q14.1	1000	16	0.016
B1	Type II all	11q22.1	7p22.1	1000	15	0.015
B1	Type II all	11q22.1	8p23.1a_hg38	1000	12	0.012
B1	Type II all	11q22.1	8p23.1b	975	200	0.20512820512820512
B1	Type II all	11q22.1	8p23.1c	972	199	0.20473251028806586
B1	Type II all	11q22.1	8p23.1d	975	200	0.20512820512820512
B1	Type II all	11q22.1	8p23.1e	975	202	0.20717948717948717
B1	Type II all	11q22.1	Xq21.33	1000	16	0.016
B1	Type II all	12q14.1	19p12a	977	112	0.11463664278403275
B1	Type II all	12q14.1	19p12b	1000	24	0.024
B1	Type II all	12q14.1	19q12	1000	19	0.019
B1	Type II all	12q14.1	19q13.12b	983	110	0.11190233977619532
B1	Type II all	12q14.1	1p36.21b	980	191	0.19489795918367347
B1	Type II all	12q14.1	1p36.21c	980	190	0.19387755102040816
B1	Type II all	12q14.1	3p12.3	948	190	0.20042194092827004
B1	Type II all	12q14.1	3q21.2	1000	29	0.029
B1	Type II all	12q14.1	4p16.1a	975	203	0.2082051282051282
B1	Type II all	12q14.1	4p16.1b	974	204	0.20944558521560575
B1	Type II all	12q14.1	4p16.3c	973	200	0.20554984583761562
B1	Type II all	12q14.1	5p13.3	1000	30	0.03
B1	Type II all	12q14.1	5q33.2	982	194	0.1975560081466395
B1	Type II all	12q14.1	6p21.1	978	184	0.18813905930470348
B1	Type II all	12q14.1	6p22.1	988	120	0.1214574898785425
B1	Type II all	12q14.1	6q14.1	1000	19	0.019
B1	Type II all	12q14.1	7p22.1	1000	16	0.016
B1	Type II all	12q14.1	8p23.1a_hg38	1000	15	0.015
B1	Type II all	12q14.1	8p23.1b	975	202	0.20717948717948717
B1	Type II all	12q14.1	8p23.1c	972	201	0.20679012345679013
B1	Type II all	12q14.1	8p23.1d	975	202	0.20717948717948717
B1	Type II all	12q14.1	8p23.1e	975	204	0.20923076923076922
B1	Type II all	12q14.1	Xq21.33	1000	19	0.019
B1	Type II all	19p12a	19p12b	977	114	0.11668372569089049
B1	Type II all	19p12a	19q12	977	116	0.1187308085977482
B1	Type II all	19p12a	19q13.12b	977	68	0.06960081883316274
B1	Type II all	19p12a	1p36.21b	969	150	0.15479876160990713
B1	Type II all	19p12a	1p36.21c	969	147	0.15170278637770898
B1	Type II all	19p12a	3p12.3	937	165	0.17609391675560299
B1	Type II all	19p12a	3q21.2	977	119	0.1218014329580348
B1	Type II all	19p12a	4p16.1a	964	181	0.18775933609958506
B1	Type II all	19p12a	4p16.1b	963	179	0.18587746625129803
B1	Type II all	19p12a	4p16.3c	962	177	0.183991683991684
B1	Type II all	19p12a	5p13.3	977	121	0.12384851586489252
B1	Type II all	19p12a	5q33.2	974	148	0.15195071868583163
B1	Type II all	19p12a	6p21.1	968	147	0.1518595041322314
B1	Type II all	19p12a	6p22.1	977	70	0.07164790174002048
B1	Type II all	19p12a	6q14.1	977	113	0.11566018423746162
B1	Type II all	19p12a	7p22.1	977	112	0.11463664278403275
B1	Type II all	19p12a	8p23.1a_hg38	977	113	0.11566018423746162
B1	Type II all	19p12a	8p23.1b	964	177	0.18360995850622408
B1	Type II all	19p12a	8p23.1c	961	175	0.18210197710718
B1	Type II all	19p12a	8p23.1d	964	177	0.18360995850622408
B1	Type II all	19p12a	8p23.1e	964	179	0.18568464730290457
B1	Type II all	19p12a	Xq21.33	977	114	0.11668372569089049
B1	Type II all	19p12b	19q12	1000	21	0.021
B1	Type II all	19p12b	19q13.12b	983	109	0.11088504577822991
B1	Type II all	19p12b	1p36.21b	980	191	0.19489795918367347
B1	Type II all	19p12b	1p36.21c	980	190	0.19387755102040816
B1	Type II all	19p12b	3p12.3	948	199	0.20991561181434598
B1	Type II all	19p12b	3q21.2	1000	31	0.031
B1	Type II all	19p12b	4p16.1a	975	203	0.2082051282051282
B1	Type II all	19p12b	4p16.1b	974	205	0.2104722792607803
B1	Type II all	19p12b	4p16.3c	973	201	0.2065775950668037
B1	Type II all	19p12b	5p13.3	1000	30	0.03
B1	Type II all	19p12b	5q33.2	982	193	0.19653767820773932
B1	Type II all	19p12b	6p21.1	978	184	0.18813905930470348
B1	Type II all	19p12b	6p22.1	988	117	0.11842105263157894
B1	Type II all	19p12b	6q14.1	1000	15	0.015
B1	Type II all	19p12b	7p22.1	1000	18	0.018
B1	Type II all	19p12b	8p23.1a_hg38	1000	17	0.017
B1	Type II all	19p12b	8p23.1b	975	202	0.20717948717948717
B1	Type II all	19p12b	8p23.1c	972	202	0.20781893004115226
B1	Type II all	19p12b	8p23.1d	975	202	0.20717948717948717
B1	Type II all	19p12b	8p23.1e	975	204	0.20923076923076922
B1	Type II all	19p12b	Xq21.33	1000	13	0.013
B1	Type II all	19q12	19q13.12b	983	111	0.11291963377416073
B1	Type II all	19q12	1p36.21b	980	193	0.19693877551020408
B1	Type II all	19q12	1p36.21c	980	192	0.19591836734693877
B1	Type II all	19q12	3p12.3	948	201	0.2120253164556962
B1	Type II all	19q12	3q21.2	1000	26	0.026
B1	Type II all	19q12	4p16.1a	975	210	0.2153846153846154
B1	Type II all	19q12	4p16.1b	974	209	0.21457905544147843
B1	Type II all	19q12	4p16.3c	973	207	0.21274409044193218
B1	Type II all	19q12	5p13.3	1000	29	0.029
B1	Type II all	19q12	5q33.2	982	201	0.20468431771894094
B1	Type II all	19q12	6p21.1	978	188	0.19222903885480572
B1	Type II all	19q12	6p22.1	988	120	0.1214574898785425
B1	Type II all	19q12	6q14.1	1000	18	0.018
B1	Type II all	19q12	7p22.1	1000	15	0.015
B1	Type II all	19q12	8p23.1a_hg38	1000	14	0.014
B1	Type II all	19q12	8p23.1b	975	209	0.21435897435897436
B1	Type II all	19q12	8p23.1c	972	208	0.2139917695473251
B1	Type II all	19q12	8p23.1d	975	209	0.21435897435897436
B1	Type II all	19q12	8p23.1e	975	211	0.2164102564102564
B1	Type II all	19q12	Xq21.33	1000	16	0.016
B1	Type II all	19q13.12b	1p36.21b	975	167	0.1712820512820513
B1	Type II all	19q13.12b	1p36.21c	975	166	0.17025641025641025
B1	Type II all	19q13.12b	3p12.3	943	178	0.18875927889713678
B1	Type II all	19q13.12b	3q21.2	983	117	0.1190233977619532
B1	Type II all	19q13.12b	4p16.1a	970	187	0.19278350515463918
B1	Type II all	19q13.12b	4p16.1b	969	185	0.19091847265221878
B1	Type II all	19q13.12b	4p16.3c	968	181	0.18698347107438015
B1	Type II all	19q13.12b	5p13.3	983	120	0.12207527975584945
B1	Type II all	19q13.12b	5q33.2	977	165	0.16888433981576254
B1	Type II all	19q13.12b	6p21.1	973	155	0.1593011305241521
B1	Type II all	19q13.12b	6p22.1	983	70	0.07121057985757884
B1	Type II all	19q13.12b	6q14.1	983	108	0.10986775178026449
B1	Type II all	19q13.12b	7p22.1	983	109	0.11088504577822991
B1	Type II all	19q13.12b	8p23.1a_hg38	983	107	0.10885045778229908
B1	Type II all	19q13.12b	8p23.1b	970	188	0.19381443298969073
B1	Type II all	19q13.12b	8p23.1c	967	186	0.1923474663908997
B1	Type II all	19q13.12b	8p23.1d	970	188	0.19381443298969073
B1	Type II all	19q13.12b	8p23.1e	970	190	0.1958762886597938
B1	Type II all	19q13.12b	Xq21.33	983	108	0.10986775178026449
B1	Type II all	1p36.21b	1p36.21c	980	7	0.007142857142857143
B1	Type II all	1p36.21b	3p12.3	941	138	0.14665249734325186
B1	Type II all	1p36.21b	3q21.2	980	194	0.19795918367346937
B1	Type II all	1p36.21b	4p16.1a	968	141	0.14566115702479338
B1	Type II all	1p36.21b	4p16.1b	967	146	0.15098241985522234
B1	Type II all	1p36.21b	4p16.3c	966	138	0.14285714285714285
B1	Type II all	1p36.21b	5p13.3	980	199	0.2030612244897959
B1	Type II all	1p36.21b	5q33.2	975	113	0.1158974358974359
B1	Type II all	1p36.21b	6p21.1	971	84	0.08650875386199794
B1	Type II all	1p36.21b	6p22.1	980	169	0.17244897959183675
B1	Type II all	1p36.21b	6q14.1	980	191	0.19489795918367347
B1	Type II all	1p36.21b	7p22.1	980	188	0.19183673469387755
B1	Type II all	1p36.21b	8p23.1a_hg38	980	190	0.19387755102040816
B1	Type II all	1p36.21b	8p23.1b	968	144	0.1487603305785124
B1	Type II all	1p36.21b	8p23.1c	965	143	0.14818652849740932
B1	Type II all	1p36.21b	8p23.1d	968	144	0.1487603305785124
B1	Type II all	1p36.21b	8p23.1e	968	146	0.15082644628099173
B1	Type II all	1p36.21b	Xq21.33	980	190	0.19387755102040816
B1	Type II all	1p36.21c	3p12.3	941	139	0.14771519659936239
B1	Type II all	1p36.21c	3q21.2	980	193	0.19693877551020408
B1	Type II all	1p36.21c	4p16.1a	968	143	0.14772727272727273
B1	Type II all	1p36.21c	4p16.1b	967	148	0.15305067218200621
B1	Type II all	1p36.21c	4p16.3c	966	140	0.14492753623188406
B1	Type II all	1p36.21c	5p13.3	980	198	0.20204081632653062
B1	Type II all	1p36.21c	5q33.2	975	114	0.11692307692307692
B1	Type II all	1p36.21c	6p21.1	971	87	0.08959835221421215
B1	Type II all	1p36.21c	6p22.1	980	170	0.17346938775510204
B1	Type II all	1p36.21c	6q14.1	980	190	0.19387755102040816
B1	Type II all	1p36.21c	7p22.1	980	187	0.19081632653061226
B1	Type II all	1p36.21c	8p23.1a_hg38	980	189	0.19285714285714287
B1	Type II all	1p36.21c	8p23.1b	968	145	0.14979338842975207
B1	Type II all	1p36.21c	8p23.1c	965	144	0.14922279792746113
B1	Type II all	1p36.21c	8p23.1d	968	145	0.14979338842975207
B1	Type II all	1p36.21c	8p23.1e	968	147	0.1518595041322314
B1	Type II all	1p36.21c	Xq21.33	980	189	0.19285714285714287
B1	Type II all	3p12.3	3q21.2	948	205	0.21624472573839662
B1	Type II all	3p12.3	4p16.1a	948	66	0.06962025316455696
B1	Type II all	3p12.3	4p16.1b	947	65	0.06863780359028511
B1	Type II all	3p12.3	4p16.3c	946	59	0.06236786469344609
B1	Type II all	3p12.3	5p13.3	948	204	0.21518987341772153
B1	Type II all	3p12.3	5q33.2	943	90	0.09544008483563096
B1	Type II all	3p12.3	6p21.1	939	118	0.12566560170394037
B1	Type II all	3p12.3	6p22.1	948	177	0.18670886075949367
B1	Type II all	3p12.3	6q14.1	948	196	0.20675105485232068
B1	Type II all	3p12.3	7p22.1	948	196	0.20675105485232068
B1	Type II all	3p12.3	8p23.1a_hg38	948	194	0.20464135021097046
B1	Type II all	3p12.3	8p23.1b	948	63	0.06645569620253164
B1	Type II all	3p12.3	8p23.1c	945	63	0.06666666666666667
B1	Type II all	3p12.3	8p23.1d	948	63	0.06645569620253164
B1	Type II all	3p12.3	8p23.1e	948	65	0.06856540084388185
B1	Type II all	3p12.3	Xq21.33	948	196	0.20675105485232068
B1	Type II all	3q21.2	4p16.1a	975	213	0.21846153846153846
B1	Type II all	3q21.2	4p16.1b	974	214	0.21971252566735114
B1	Type II all	3q21.2	4p16.3c	973	211	0.21685508735868447
B1	Type II all	3q21.2	5p13.3	1000	31	0.031
B1	Type II all	3q21.2	5q33.2	982	200	0.20366598778004075
B1	Type II all	3q21.2	6p21.1	978	189	0.19325153374233128
B1	Type II all	3q21.2	6p22.1	988	121	0.12246963562753037
B1	Type II all	3q21.2	6q14.1	1000	26	0.026
B1	Type II all	3q21.2	7p22.1	1000	25	0.025
B1	Type II all	3q21.2	8p23.1a_hg38	1000	24	0.024
B1	Type II all	3q21.2	8p23.1b	975	211	0.2164102564102564
B1	Type II all	3q21.2	8p23.1c	972	210	0.21604938271604937
B1	Type II all	3q21.2	8p23.1d	975	211	0.2164102564102564
B1	Type II all	3q21.2	8p23.1e	975	213	0.21846153846153846
B1	Type II all	3q21.2	Xq21.33	1000	26	0.026
B1	Type II all	4p16.1a	4p16.1b	974	44	0.045174537987679675
B1	Type II all	4p16.1a	4p16.3c	973	33	0.03391572456320658
B1	Type II all	4p16.1a	5p13.3	975	214	0.2194871794871795
B1	Type II all	4p16.1a	5q33.2	970	87	0.08969072164948454
B1	Type II all	4p16.1a	6p21.1	966	117	0.12111801242236025
B1	Type II all	4p16.1a	6p22.1	975	190	0.19487179487179487
B1	Type II all	4p16.1a	6q14.1	975	207	0.2123076923076923
B1	Type II all	4p16.1a	7p22.1	975	206	0.21128205128205127
B1	Type II all	4p16.1a	8p23.1a_hg38	975	206	0.21128205128205127
B1	Type II all	4p16.1a	8p23.1b	975	36	0.036923076923076927
B1	Type II all	4p16.1a	8p23.1c	972	36	0.037037037037037035
B1	Type II all	4p16.1a	8p23.1d	975	36	0.036923076923076927
B1	Type II all	4p16.1a	8p23.1e	975	38	0.038974358974358976
B1	Type II all	4p16.1a	Xq21.33	975	205	0.21025641025641026
B1	Type II all	4p16.1b	4p16.3c	973	29	0.029804727646454265
B1	Type II all	4p16.1b	5p13.3	974	211	0.2166324435318275
B1	Type II all	4p16.1b	5q33.2	969	92	0.09494324045407637
B1	Type II all	4p16.1b	6p21.1	965	119	0.12331606217616581
B1	Type II all	4p16.1b	6p22.1	974	188	0.19301848049281314
B1	Type II all	4p16.1b	6q14.1	974	205	0.2104722792607803
B1	Type II all	4p16.1b	7p22.1	974	205	0.2104722792607803
B1	Type II all	4p16.1b	8p23.1a_hg38	974	205	0.2104722792607803
B1	Type II all	4p16.1b	8p23.1b	974	43	0.044147843942505136
B1	Type II all	4p16.1b	8p23.1c	971	43	0.044284243048403706
B1	Type II all	4p16.1b	8p23.1d	974	43	0.044147843942505136
B1	Type II all	4p16.1b	8p23.1e	974	45	0.04620123203285421
B1	Type II all	4p16.1b	Xq21.33	974	203	0.20841889117043122
