region	replicate	focal_tip	nearest_loci	nearest_distance
LTR	20	4q35.2_hg38__hap1__n61	15p13a	0.0032701494928915054
LTR	21	19p12c__hap1__n69	8q11.23_new	0.01636703158668365
LTR	21	10q24.2__hap1__n189	8q11.23_new	0.032474719920721026
LTR	21	4q35.2_hg38__hap1__n61	15p13a	0.004851628272250927
LTR	22	19p12c__hap1__n69	8q11.23_new	0.011569035538247247
LTR	22	10q24.2__hap1__n189	3q27.2	0.03177576185121597
LTR	22	4q35.2_hg38__hap1__n61	21p13	0.009224616597499138
LTR	23	19p12c__hap1__n69	3q13.2	0.009096251526578513
LTR	23	10q24.2__hap1__n189	3q27.2	0.023999786622359867
LTR	23	4q35.2_hg38__hap1__n61	15p13a	0.004254386291039178
LTR	24	19p12c__hap1__n69	3q13.2	0.018057285861782096
LTR	24	10q24.2__hap1__n189	3q13.2	0.023081432791770544
LTR	24	4q35.2_hg38__hap1__n61	15p13a	0.008861011798701274
LTR	25	19p12c__hap1__n69	12q14.1	0.01920033689648424
LTR	25	10q24.2__hap1__n189	3q27.2	0.030409088458625017
LTR	25	4q35.2_hg38__hap1__n61	22p13	0.008057746150438805
LTR	26	19p12c__hap1__n69	3q13.2	0.016452310350956904
LTR	26	10q24.2__hap1__n189	3q13.2	0.032250673143329515
LTR	26	4q35.2_hg38__hap1__n61	15p13a	0.0
LTR	27	19p12c__hap1__n69	8q11.23_new	0.00872880995194581
LTR	27	10q24.2__hap1__n189	3q13.2	0.02083925784171597
LTR	27	4q35.2_hg38__hap1__n61	15p13a	0.005525484078981249
LTR	28	19p12c__hap1__n69	8q11.23_new	0.014717399414978523
LTR	28	10q24.2__hap1__n189	3q13.2	0.02166698815465224
LTR	28	4q35.2_hg38__hap1__n61	15p13a	0.005998252774852622
LTR	29	19p12c__hap1__n69	8q11.23_new	0.008204280892961043
LTR	29	10q24.2__hap1__n189	10p12.1	0.03550828157841938
LTR	29	4q35.2_hg38__hap1__n61	15p13a	0.007718884012861291
LTR	30	19p12c__hap1__n69	8q11.23_new	0.0052993594435974956
LTR	30	10q24.2__hap1__n189	12q14.1	0.03362162143986734
LTR	30	4q35.2_hg38__hap1__n61	21p13	0.007882543239886491
LTR	31	19p12c__hap1__n69	8q11.23_new	0.015040017806289808
LTR	31	10q24.2__hap1__n189	12q14.1	0.01698832521685755
LTR	31	4q35.2_hg38__hap1__n61	15p13a	0.017414289739350566
LTR	32	19p12c__hap1__n69	8q11.23_new	0.012808380255316564
LTR	32	10q24.2__hap1__n189	11q23.3	0.02709751540214684
LTR	32	4q35.2_hg38__hap1__n61	15p13a	0.00892084431834518
LTR	33	19p12c__hap1__n69	3q13.2	0.014478682222519234
LTR	33	10q24.2__hap1__n189	11q23.3	0.028629228383808224
LTR	33	4q35.2_hg38__hap1__n61	22p13	0.005091355478560378
LTR	34	19p12c__hap1__n69	3q13.2	0.016763586998321513
LTR	34	10q24.2__hap1__n189	3q13.2	0.03274561449928588
LTR	34	4q35.2_hg38__hap1__n61	15p13a	0.006507244089765385
LTR	35	19p12c__hap1__n69	8q11.23_new	0.01087600532645029
LTR	35	10q24.2__hap1__n189	8q11.23_new	0.024010048625787518
LTR	35	4q35.2_hg38__hap1__n61	15p13a	0.00497004622810715
LTR	36	19p12c__hap1__n69	8q11.23_new	0.014212373465050108
LTR	36	10q24.2__hap1__n189	8q11.23_new	0.04149675861940148
LTR	36	4q35.2_hg38__hap1__n61	15p13a	0.0036868736177394223
LTR	37	19p12c__hap1__n69	8q11.23_new	0.013426517384192966
LTR	37	10q24.2__hap1__n189	12q14.1	0.03272072314630503
LTR	37	4q35.2_hg38__hap1__n61	21p13	0.0065968064446381425
LTR	38	19p12c__hap1__n69	12q14.1	0.012250151684483953
LTR	38	10q24.2__hap1__n189	12q14.1	0.028021108225857527
LTR	38	4q35.2_hg38__hap1__n61	22p13	0.005589871397687074
LTR	39	19p12c__hap1__n69	11q22.1	0.009340954919403137
LTR	39	10q24.2__hap1__n189	10p12.1	0.024298703365803524
LTR	39	4q35.2_hg38__hap1__n61	15p13a	0.010661571511358992
LTR	40	19p12c__hap1__n69	19q12	0.02037727073008904
LTR	40	10q24.2__hap1__n189	3q27.2	0.02485512699991642
LTR	40	4q35.2_hg38__hap1__n61	22p13	0.012209053460694341
LTR	41	19p12c__hap1__n69	3q13.2	0.014724089683297146
LTR	41	10q24.2__hap1__n189	3q13.2	0.019952668143150807
LTR	41	4q35.2_hg38__hap1__n61	22p13	0.013772180380212856
LTR	42	19p12c__hap1__n69	3q13.2	0.01542670240982805
LTR	42	10q24.2__hap1__n189	3q13.2	0.026221029046321412
LTR	42	4q35.2_hg38__hap1__n61	15p13a	0.007302067666274267
LTR	43	19p12c__hap1__n69	22q11.21	0.009161991654154527
LTR	43	10q24.2__hap1__n189	3q27.2	0.03352338935403064
LTR	43	4q35.2_hg38__hap1__n61	21p13	0.003372681327164173
LTR	44	19p12c__hap1__n69	8q11.23_new	0.011378672694237322
LTR	44	10q24.2__hap1__n189	19q12	0.028427190548735215
LTR	44	4q35.2_hg38__hap1__n61	15p13a	0.0068209283469889
LTR	45	19p12c__hap1__n69	12q14.1	0.017623576711930163
LTR	45	10q24.2__hap1__n189	12q14.1	0.027744249464252323
LTR	45	4q35.2_hg38__hap1__n61	22p13	0.006690066712299589
LTR	46	19p12c__hap1__n69	3q13.2	0.022086285161355447
LTR	46	10q24.2__hap1__n189	3q13.2	0.03418346525788137
LTR	46	4q35.2_hg38__hap1__n61	15p13a	0.011819131657164667
LTR	47	19p12c__hap1__n69	8q11.23_new	0.005414270657645413
LTR	47	10q24.2__hap1__n189	8q11.23_new	0.027724692834491513
LTR	47	4q35.2_hg38__hap1__n61	21p13	0.012268289269521712
LTR	48	19p12c__hap1__n69	8q11.23_new	0.011229212939670812
LTR	48	10q24.2__hap1__n189	8q11.23_new	0.018899413925347233
LTR	48	4q35.2_hg38__hap1__n61	15p13a	0.010077411244045709
LTR	49	19p12c__hap1__n69	8q11.23_new	0.011677938753820227
LTR	49	10q24.2__hap1__n189	7p22.1	0.0339558015924583
LTR	49	4q35.2_hg38__hap1__n61	22p13	0.006377045647241175
LTR	50	19p12c__hap1__n69	19q12	0.013886969689658581
LTR	50	10q24.2__hap1__n189	3q13.2	0.019708748701174204
LTR	50	4q35.2_hg38__hap1__n61	22p13	0.01734801770854026
LTR	51	19p12c__hap1__n69	8q11.23_new	0.015823253568681975
LTR	51	10q24.2__hap1__n189	8q11.23_new	0.019201564139288127
LTR	51	4q35.2_hg38__hap1__n61	15p13a	0.007152789633825304
LTR	52	19p12c__hap1__n69	12q14.1	0.01673486496744002
LTR	52	10q24.2__hap1__n189	11q23.3	0.026638504383516143
LTR	52	4q35.2_hg38__hap1__n61	21p13	0.01258134071309601
LTR	53	19p12c__hap1__n69	3q27.2	0.011541115826837499
LTR	53	10q24.2__hap1__n189	3q13.2	0.02357095087456367
LTR	53	4q35.2_hg38__hap1__n61	15p13a	0.0032476326086384177
LTR	54	19p12c__hap1__n69	3q13.2	0.015988925678921635
LTR	54	10q24.2__hap1__n189	3q13.2	0.02498686092825483
LTR	54	4q35.2_hg38__hap1__n61	15p13a	0.0036977052248823167
LTR	55	19p12c__hap1__n69	8q11.23_new	0.012749459208814935
LTR	55	10q24.2__hap1__n189	3q13.2	0.025828642417398132
LTR	55	4q35.2_hg38__hap1__n61	15p13a	0.006851453292350818
LTR	56	19p12c__hap1__n69	11q22.1	0.012426385655587803
LTR	56	10q24.2__hap1__n189	3q13.2	0.016840422252626594
LTR	56	4q35.2_hg38__hap1__n61	22p13	0.00832929452748446
LTR	57	19p12c__hap1__n69	8q11.23_new	0.014377020528500591
LTR	57	10q24.2__hap1__n189	3q13.2	0.03611729272411088
LTR	57	4q35.2_hg38__hap1__n61	15p13a	0.00015024068510621769
LTR	58	19p12c__hap1__n69	12q14.1	0.014419526022964587
LTR	58	10q24.2__hap1__n189	12q14.1	0.02095434607734313
LTR	58	4q35.2_hg38__hap1__n61	15p13a	0.001909079626716506
LTR	59	19p12c__hap1__n69	12q14.1	0.016623115455939082
LTR	59	10q24.2__hap1__n189	11q23.3	0.02595657470140325
LTR	59	4q35.2_hg38__hap1__n61	15p13a	0.007428274721133318
LTR	60	19p12c__hap1__n69	12q14.1	0.0070457173002234745
LTR	60	10q24.2__hap1__n189	12q14.1	0.027895020779230315
LTR	60	4q35.2_hg38__hap1__n61	15p13a	0.008025112739687756
LTR	61	19p12c__hap1__n69	8q11.23_new	0.007590269796722646
LTR	61	10q24.2__hap1__n189	5p13.3	0.030117398200741895
LTR	61	4q35.2_hg38__hap1__n61	15p13a	0.006384680746123195
LTR	62	19p12c__hap1__n69	3q13.2	0.018794125689643483
LTR	62	10q24.2__hap1__n189	11q23.3	0.026975327147658473
LTR	62	4q35.2_hg38__hap1__n61	15p13a	0.003975127678827434
LTR	63	19p12c__hap1__n69	12q14.1	0.022435935365736202
LTR	63	10q24.2__hap1__n189	11q23.3	0.031569519886372854
LTR	63	4q35.2_hg38__hap1__n61	15p13a	9.818415780882273e-05
LTR	64	19p12c__hap1__n69	8q11.23_new	0.014020694532250761
LTR	64	10q24.2__hap1__n189	8q11.23_new	0.03223457184021932
LTR	64	4q35.2_hg38__hap1__n61	15p13a	0.0001630744065291151
LTR	65	19p12c__hap1__n69	22q11.21	0.021670067716612434
LTR	65	10q24.2__hap1__n189	3q27.2	0.030273420494849615
LTR	65	4q35.2_hg38__hap1__n61	22p13	0.005626664054328781
LTR	66	19p12c__hap1__n69	3q13.2	0.010532532265299627
LTR	66	10q24.2__hap1__n189	3q27.2	0.03189829284974255
LTR	66	4q35.2_hg38__hap1__n61	15p13a	0.008132789961521225
LTR	67	19p12c__hap1__n69	12q14.1	0.009859600236635938
LTR	67	10q24.2__hap1__n189	3q27.2	0.024869872524227905
LTR	67	4q35.2_hg38__hap1__n61	15p13a	0.011033573552058834
LTR	68	19p12c__hap1__n69	11q22.1	0.011478566548106701
LTR	68	10q24.2__hap1__n189	3q13.2	0.015364711955343065
LTR	68	4q35.2_hg38__hap1__n61	21p13	0.007577533369962017
LTR	69	19p12c__hap1__n69	12q14.1	0.012311182427452924
LTR	69	10q24.2__hap1__n189	3q13.2	0.025175995702933347
LTR	69	4q35.2_hg38__hap1__n61	22p13	0.010575595610668051
LTR	70	19p12c__hap1__n69	8q11.23_new	0.016259684594982702
LTR	70	10q24.2__hap1__n189	12q14.1	0.0169383507033027
LTR	70	4q35.2_hg38__hap1__n61	22p13	0.00757086799815701
LTR	71	19p12c__hap1__n69	12q14.1	0.01580174911606036
LTR	71	10q24.2__hap1__n189	11q23.3	0.0221854054447984
LTR	71	4q35.2_hg38__hap1__n61	15p13a	0.008403053288930096
LTR	72	19p12c__hap1__n69	11q22.1	0.017452550505408636
LTR	72	10q24.2__hap1__n189	12q14.1	0.023609950748637712
LTR	72	4q35.2_hg38__hap1__n61	15p13a	0.006587172486092266
LTR	73	19p12c__hap1__n69	8q11.23_new	0.008940800293994224
LTR	73	10q24.2__hap1__n189	3q13.2	0.03145842960388517
LTR	73	4q35.2_hg38__hap1__n61	15p13a	0.003556716228426987
LTR	74	19p12c__hap1__n69	22q11.21	0.010224053945358958
LTR	74	10q24.2__hap1__n189	10p12.1	0.03496644291823887
LTR	74	4q35.2_hg38__hap1__n61	15p13a	0.005549401708215884
LTR	75	19p12c__hap1__n69	8q11.23_new	0.011263587339428952
LTR	75	10q24.2__hap1__n189	8q11.23_new	0.02469435696219716
LTR	75	4q35.2_hg38__hap1__n61	21p13	0.006689545171332509
LTR	76	19p12c__hap1__n69	8q11.23_new	0.012218829768771648
LTR	76	10q24.2__hap1__n189	8q11.23_new	0.030975281354189494
LTR	76	4q35.2_hg38__hap1__n61	21p13	0.012728475186053717
LTR	77	19p12c__hap1__n69	8q11.23_new	0.015273791832420048
LTR	77	10q24.2__hap1__n189	8q11.23_new	0.03374906085743323
LTR	77	4q35.2_hg38__hap1__n61	21p13	0.004293201027000676
LTR	78	19p12c__hap1__n69	3q13.2	0.010507138484455664
LTR	78	10q24.2__hap1__n189	3q13.2	0.028484460990980925
LTR	78	4q35.2_hg38__hap1__n61	15p13a	0.0049302612187639705
LTR	79	19p12c__hap1__n69	22q11.21	0.014604996623692048
LTR	79	10q24.2__hap1__n189	11q23.3	0.028342859144815352
LTR	79	4q35.2_hg38__hap1__n61	15p13a	0.004813480190932751
LTR	80	19p12c__hap1__n69	8q11.23_new	0.01031496288083145
LTR	80	10q24.2__hap1__n189	12q14.1	0.01807827995390619
LTR	80	4q35.2_hg38__hap1__n61	15p13a	0.003327786922454834
LTR	81	19p12c__hap1__n69	12q14.1	0.011073792133883107
LTR	81	10q24.2__hap1__n189	10p12.1	0.027935163871068917
LTR	81	4q35.2_hg38__hap1__n61	21p13	0.009485999954904137
LTR	82	19p12c__hap1__n69	12q14.1	0.00878812710649682
LTR	82	10q24.2__hap1__n189	11q23.3	0.03145858200087685
LTR	82	4q35.2_hg38__hap1__n61	15p13a	0.007212187089042255
LTR	83	19p12c__hap1__n69	8q11.23_new	0.015837099957906282
LTR	83	10q24.2__hap1__n189	11q23.3	0.0261535176983673
LTR	83	4q35.2_hg38__hap1__n61	22p13	0.005555991882559008
LTR	84	19p12c__hap1__n69	8q11.23_new	0.011823421763844972
LTR	84	10q24.2__hap1__n189	12q14.1	0.0325714976202344
LTR	84	4q35.2_hg38__hap1__n61	22p13	0.005251644062809646
LTR	85	19p12c__hap1__n69	12q14.1	0.01604720093910603
LTR	85	10q24.2__hap1__n189	12q14.1	0.019523000779202476
LTR	85	4q35.2_hg38__hap1__n61	15p13a	0.005611540144649305
LTR	86	19p12c__hap1__n69	3q13.2	0.01845101312459803
LTR	86	10q24.2__hap1__n189	3q13.2	0.03415293498719266
LTR	86	4q35.2_hg38__hap1__n61	15p13a	0.006636307601266614
LTR	87	19p12c__hap1__n69	8q11.23_new	0.013995972773644089
LTR	87	10q24.2__hap1__n189	8q11.23_new	0.025775873188308266
LTR	87	4q35.2_hg38__hap1__n61	22p13	0.009319774230827069
LTR	88	19p12c__hap1__n69	12q14.1	0.017661474908849034
LTR	88	10q24.2__hap1__n189	12q14.1	0.02249835591944429
LTR	88	4q35.2_hg38__hap1__n61	15p13a	0.011165728422937088
LTR	89	19p12c__hap1__n69	22q11.21	0.014247993577257624
LTR	89	10q24.2__hap1__n189	10p12.1	0.021641450778037398
LTR	89	4q35.2_hg38__hap1__n61	15p13a	0.004908609740752051
LTR	90	19p12c__hap1__n69	3q13.2	0.021633260666404086
LTR	90	10q24.2__hap1__n189	11q23.3	0.021735116293425102
LTR	90	4q35.2_hg38__hap1__n61	15p13a	0.012767072195525878
LTR	91	19p12c__hap1__n69	12q14.1	0.011170196121929338
LTR	91	10q24.2__hap1__n189	12q14.1	0.018309133404904084
LTR	91	4q35.2_hg38__hap1__n61	15p13a	0.0021756883527133675
LTR	92	19p12c__hap1__n69	3q27.2	0.009427241316330808
LTR	92	10q24.2__hap1__n189	12q14.1	0.02892595119997629
LTR	92	4q35.2_hg38__hap1__n61	22p13	0.009876398389875085
LTR	93	19p12c__hap1__n69	3q27.2	0.013690017317091656
LTR	93	10q24.2__hap1__n189	11q23.3	0.027492231661356767
LTR	93	4q35.2_hg38__hap1__n61	15p13a	0.009598376001929865
LTR	94	19p12c__hap1__n69	22q11.21	0.010173027945160099
LTR	94	10q24.2__hap1__n189	3q27.2	0.02983137341877541
LTR	94	4q35.2_hg38__hap1__n61	15p13a	0.00431495146014009
LTR	95	19p12c__hap1__n69	12q14.1	0.01169242251341137
LTR	95	10q24.2__hap1__n189	12q14.1	0.02116719781310229
LTR	95	4q35.2_hg38__hap1__n61	15p13a	0.006488465375234911
LTR	96	19p12c__hap1__n69	12q14.1	0.017035556093904603
LTR	96	10q24.2__hap1__n189	3q13.2	0.026069854681150046
LTR	96	4q35.2_hg38__hap1__n61	22p13	0.004441282711120265
LTR	97	19p12c__hap1__n69	8q11.23_new	0.013340517429369125
LTR	97	10q24.2__hap1__n189	19q12	0.03138908092982537
LTR	97	4q35.2_hg38__hap1__n61	22p13	0.008077104124822654
LTR	98	19p12c__hap1__n69	12q14.1	0.009986963388760475
LTR	98	10q24.2__hap1__n189	11q23.3	0.02205296981306446
LTR	98	4q35.2_hg38__hap1__n61	22p13	0.008086431630973404
LTR	99	19p12c__hap1__n69	8q11.23_new	0.01884673940184336
LTR	99	10q24.2__hap1__n189	8q11.23_new	0.027007505064716095
LTR	99	4q35.2_hg38__hap1__n61	15p13a	0.003401360474526882
LTR	100	19p12c__hap1__n69	3q13.2	0.014225195653068715
LTR	100	10q24.2__hap1__n189	3q13.2	0.028886062732260645
LTR	100	4q35.2_hg38__hap1__n61	22p13	0.006798258901933044
LTR	101	19p12c__hap1__n69	8q11.23_new	0.013300379801326482
LTR	101	10q24.2__hap1__n189	3q12.3	0.02721541157276122
LTR	101	4q35.2_hg38__hap1__n61	15p13a	0.005621294367142413
LTR	102	19p12c__hap1__n69	12q14.1	0.013100819539391509
LTR	102	10q24.2__hap1__n189	12q14.1	0.02527445173241415
LTR	102	4q35.2_hg38__hap1__n61	15p13a	0.0053198093976525584
LTR	103	19p12c__hap1__n69	8q11.23_new	0.0032495704391078202
LTR	103	10q24.2__hap1__n189	11q23.3	0.027902311507731484
LTR	103	4q35.2_hg38__hap1__n61	21p13	0.005653081768438914
LTR	104	19p12c__hap1__n69	22q11.21	0.012275086572890068
LTR	104	10q24.2__hap1__n189	3q27.2	0.027787954460744644
LTR	104	4q35.2_hg38__hap1__n61	15p13a	0.0036091004526176973
LTR	105	19p12c__hap1__n69	22q11.21	0.014220991850036809
LTR	105	10q24.2__hap1__n189	10p12.1	0.03126025356174602
LTR	105	4q35.2_hg38__hap1__n61	21p13	0.009568897812052113
LTR	106	19p12c__hap1__n69	11q22.1	0.015635451482680446
LTR	106	10q24.2__hap1__n189	11q23.3	0.024454429176535352
LTR	106	4q35.2_hg38__hap1__n61	15p13a	0.005556350136339525
LTR	107	19p12c__hap1__n69	3q27.2	0.02505736392024295
LTR	107	10q24.2__hap1__n189	3q27.2	0.03040693382789337
LTR	107	4q35.2_hg38__hap1__n61	15p13a	0.0015835323138162494
LTR	108	19p12c__hap1__n69	12q14.1	0.01017608434109266
LTR	108	10q24.2__hap1__n189	12q14.1	0.02573776572211187
LTR	108	4q35.2_hg38__hap1__n61	22p13	0.009623079516946215
LTR	109	19p12c__hap1__n69	8q11.23_new	0.010406998299195395
LTR	109	10q24.2__hap1__n189	12q14.1	0.03502388824044853
LTR	109	4q35.2_hg38__hap1__n61	15p13a	0.011621548818295885
LTR	110	19p12c__hap1__n69	8q11.23_new	0.009818165260159622
LTR	110	10q24.2__hap1__n189	3q13.2	0.029791781188103668
LTR	110	4q35.2_hg38__hap1__n61	22p13	0.012092719011086633
LTR	111	19p12c__hap1__n69	11q22.1	0.009771293760630422
LTR	111	10q24.2__hap1__n189	3q13.2	0.02789798293946348
LTR	111	4q35.2_hg38__hap1__n61	15p13a	0.008267519753934707
LTR	112	19p12c__hap1__n69	3q13.2	0.014011641722982953
LTR	112	10q24.2__hap1__n189	3q13.2	0.027673724547448056
LTR	112	4q35.2_hg38__hap1__n61	22p13	0.005485394161223678
LTR	113	19p12c__hap1__n69	11q22.1	0.013808295123157016
LTR	113	10q24.2__hap1__n189	11q23.3	0.029621794881226897
LTR	113	4q35.2_hg38__hap1__n61	21p13	0.006170840104624417
LTR	114	19p12c__hap1__n69	12q14.1	0.013589432391105882
LTR	114	10q24.2__hap1__n189	19q12	0.02486336884382053
LTR	114	4q35.2_hg38__hap1__n61	15p13a	0.006705277024888434
LTR	115	19p12c__hap1__n69	11q22.1	0.018637964705596914
LTR	115	10q24.2__hap1__n189	3q13.2	0.024378954305261068
LTR	115	4q35.2_hg38__hap1__n61	22p13	0.013738858343222776
LTR	116	19p12c__hap1__n69	8q11.23_new	0.00891882072107428
LTR	116	10q24.2__hap1__n189	12q14.1	0.022998760283105185
LTR	116	4q35.2_hg38__hap1__n61	15p13a	0.006518763882355991
LTR	117	19p12c__hap1__n69	12q14.1	0.017036827975069314
LTR	117	10q24.2__hap1__n189	12q14.1	0.02159891667584848
LTR	117	4q35.2_hg38__hap1__n61	15p13a	0.00014535035159879417
LTR	118	19p12c__hap1__n69	3q13.2	0.01790152801043359
LTR	118	10q24.2__hap1__n189	11q23.3	0.023008355605342874
LTR	118	4q35.2_hg38__hap1__n61	22p13	0.005274961406016673
LTR	119	19p12c__hap1__n69	3q13.2	0.015088543598841998
LTR	119	10q24.2__hap1__n189	3q13.2	0.030311703665096647
LTR	119	4q35.2_hg38__hap1__n61	15p13a	0.0032947516965645407
LTR	120	19p12c__hap1__n69	3q27.2	0.014070977387227521
LTR	120	10q24.2__hap1__n189	3q27.2	0.024054789041000002
LTR	120	4q35.2_hg38__hap1__n61	15p13a	0.0031106193127386494
LTR	121	19p12c__hap1__n69	22q11.21	0.011549897220168873
LTR	121	10q24.2__hap1__n189	12q14.1	0.023933807360391163
LTR	121	4q35.2_hg38__hap1__n61	15p13a	0.0067436807308082075
LTR	122	19p12c__hap1__n69	12q14.1	0.015138287378643422
LTR	122	10q24.2__hap1__n189	3q13.2	0.026593694658733454
LTR	122	4q35.2_hg38__hap1__n61	22p13	0.009625458675145637
LTR	123	19p12c__hap1__n69	3q13.2	0.018447118597985375
LTR	123	10q24.2__hap1__n189	3q13.2	0.026699753302868036
LTR	123	4q35.2_hg38__hap1__n61	22p13	0.0026566211413750485
LTR	124	19p12c__hap1__n69	12q14.1	0.015827188888316874
LTR	124	10q24.2__hap1__n189	21q21.1	0.028994912176004698
LTR	124	4q35.2_hg38__hap1__n61	15p13a	0.0032746639917604625
LTR	125	19p12c__hap1__n69	8q11.23_new	0.013695266820473284
LTR	125	10q24.2__hap1__n189	3q13.2	0.026872217299491744
LTR	125	4q35.2_hg38__hap1__n61	15p13a	0.007014224648146938
LTR	126	19p12c__hap1__n69	12q14.1	0.011908766439794107
LTR	126	10q24.2__hap1__n189	12q14.1	0.021494023637197886
LTR	126	4q35.2_hg38__hap1__n61	15p13a	0.006796224392019212
LTR	127	19p12c__hap1__n69	3q13.2	0.01573312682239715
LTR	127	10q24.2__hap1__n189	3q13.2	0.026058476540531075
LTR	127	4q35.2_hg38__hap1__n61	22p13	0.0017186669791777603
LTR	128	19p12c__hap1__n69	3q13.2	0.013019056749256838
LTR	128	10q24.2__hap1__n189	11q23.3	0.024112529727164066
LTR	128	4q35.2_hg38__hap1__n61	15p13a	0.011393582948487704
LTR	129	19p12c__hap1__n69	8q11.23_new	0.0162113649490186
LTR	129	10q24.2__hap1__n189	11q23.3	0.027930107352198762
LTR	129	4q35.2_hg38__hap1__n61	15p13a	0.0037717869102368295
LTR	130	19p12c__hap1__n69	12q14.1	0.012946213586864678
LTR	130	10q24.2__hap1__n189	12q14.1	0.024458594249268453
LTR	130	4q35.2_hg38__hap1__n61	15p13a	0.0031731022372060297
LTR	131	19p12c__hap1__n69	8q11.23_new	0.01258853115649986
LTR	131	10q24.2__hap1__n189	11q23.3	0.025580400756603026
LTR	131	4q35.2_hg38__hap1__n61	15p13a	0.0017456138920701608
LTR	132	19p12c__hap1__n69	8q11.23_new	0.014232509336416212
LTR	132	10q24.2__hap1__n189	3q13.2	0.02730056009227688
LTR	132	4q35.2_hg38__hap1__n61	15p13a	0.006151578796561807
LTR	133	19p12c__hap1__n69	12q14.1	0.011676385436445506
LTR	133	10q24.2__hap1__n189	12q14.1	0.026097827809919708
LTR	133	4q35.2_hg38__hap1__n61	21p13	0.006405870689413035
LTR	134	19p12c__hap1__n69	12q14.1	0.009674949264126292
