ID_Full	Locus	orig_Locus	ID	Haplotype	Source_Identifier	physical_locus_assignment	Structure	query	path	header	source_sha256
HG00272_hap2_hprc_r2_v1.0.1_HML-2_Xq28a	HML-2_Xq28a	HML-2_Xq28a	HG00272	h2	HG00272#2#JBIRDO010000040.1:1423555-1431217	Xq28a	Fragment	q5937	historical_source/Documents/HML2_project_data/processed_loci/HML-2_Xq28a/HG00272_hap2_hprc_r2_v1.0.1_HML-2_Xq28a.fa	HG00272_hap2_hprc_r2_v1.0.1_HML-2_Xq28a assembly_coords:HG00272#2#JBIRDO010000040.1:1424055-1430717 genomic_strand:+	dd6df42c773227759a8735b49bdddc21f5d13c67da0849db0220ecfcbeee79dd
HG00290_hap2_hprc_r2_v1.0.1_HML-2_Xq28a	HML-2_Xq28a	HML-2_Xq28a	HG00290	h2	HG00290#2#CM090012.1:153758292-153765954	Xq28a	Fragment	q5938	historical_source/Documents/HML2_project_data/processed_loci/HML-2_Xq28a/HG00290_hap2_hprc_r2_v1.0.1_HML-2_Xq28a.fa	HG00290_hap2_hprc_r2_v1.0.1_HML-2_Xq28a assembly_coords:HG00290#2#CM090012.1:153758792-153765454 genomic_strand:+	0fe815c82a0c6cfce2e9fa9fa9cf6c10f249e0cb44cd314647ce6c1153ec4cee
HG00320_hap2_hprc_r2_v1.0.1_HML-2_Xq28a	HML-2_Xq28a	HML-2_Xq28a	HG00320	h2	HG00320#2#CM089977.1:153049161-153056822	Xq28a	Fragment	q5939	historical_source/Documents/HML2_project_data/processed_loci/HML-2_Xq28a/HG00320_hap2_hprc_r2_v1.0.1_HML-2_Xq28a.fa	HG00320_hap2_hprc_r2_v1.0.1_HML-2_Xq28a assembly_coords:HG00320#2#CM089977.1:153049661-153056322 genomic_strand:+	f1fb2ba76105f7cfb5ea54a4cb9c56bbdadbb75bfa8cb823d530af02ee5df6a8
HG00321_hap2_hprc_r2_v1.0.1_HML-2_Xq28a	HML-2_Xq28a	HML-2_Xq28a	HG00321	h2	HG00321#2#JBHIIZ010000015.1:7719385-7727044	Xq28a	Fragment	q5940	historical_source/Documents/HML2_project_data/processed_loci/HML-2_Xq28a/HG00321_hap2_hprc_r2_v1.0.1_HML-2_Xq28a.fa	HG00321_hap2_hprc_r2_v1.0.1_HML-2_Xq28a assembly_coords:HG00321#2#JBHIIZ010000015.1:7719885-7726544 genomic_strand:+	7d6f68a6faa46ce080714484e91de8175d0f65a597a4178850068ca74b6d5d3f
HG00329_hap2_hprc_r2_v1.0.1_HML-2_Xq28a	HML-2_Xq28a	HML-2_Xq28a	HG00329	h2	HG00329#2#JBIRDQ010000045.1:97784721-97792380	Xq28a	Fragment	q5941	historical_source/Documents/HML2_project_data/processed_loci/HML-2_Xq28a/HG00329_hap2_hprc_r2_v1.0.1_HML-2_Xq28a.fa	HG00329_hap2_hprc_r2_v1.0.1_HML-2_Xq28a assembly_coords:HG00329#2#JBIRDQ010000045.1:97785221-97791880 genomic_strand:+	29ed40e2a03523c176b3a7c75f5b2378605e36a13877060a3960950966b6425a
HG00358_h2_HML-2_Xq28a_graph_hgsvc3-2024-02-23-mc-chm13	HML-2_Xq28a	HML-2_Xq28a	HG00358	h2	HG00358#2#haplotype2-0000099#0:1418409-1458221	Xq28a	Fragment	q5942	historical_source/Documents/HML2_project_data/hgsvc3-2024-02-23-mc-chm13/HML-2_Xq28a/HG00358_h2_HML-2_Xq28a_graph_hgsvc3-2024-02-23-mc-chm13.fa	HG00358_h2_HML-2_Xq28a_graph_hgsvc3-2024-02-23-mc-chm13|HG00358#2#haplotype2-0000099#0:1418409-1458221 genomic_strand:-	9041338ab1019aefe6227ff8b44aa579413873d17daced9525393135bf56d9fe
HG00438_mat_hprc_r2_v1.0.1_HML-2_Xq28a	HML-2_Xq28a	HML-2_Xq28a	HG00438	mat	HG00438#2#JAHBCA020000051.1:91617368-91625027	Xq28a	Fragment	q5943	historical_source/Documents/HML2_project_data/processed_loci/HML-2_Xq28a/HG00438_mat_hprc_r2_v1.0.1_HML-2_Xq28a.fa	HG00438_mat_hprc_r2_v1.0.1_HML-2_Xq28a assembly_coords:HG00438#2#JAHBCA020000051.1:91617868-91624527 genomic_strand:+	09815b3ddf3ef00f08b648cad52b22f267cfbf7a76efad40f5dd4b6daa45ba7e
HG00512_h2_HML-2_Xq28a_graph_hgsvc3-2024-02-23-mc-chm13	HML-2_Xq28a	HML-2_Xq28a	HG00512	h2	HG00512#2#haplotype2-0000269#0:1408485-1448298	Xq28a	Fragment	q5944	historical_source/Documents/HML2_project_data/hgsvc3-2024-02-23-mc-chm13/HML-2_Xq28a/HG00512_h2_HML-2_Xq28a_graph_hgsvc3-2024-02-23-mc-chm13.fa	HG00512_h2_HML-2_Xq28a_graph_hgsvc3-2024-02-23-mc-chm13|HG00512#2#haplotype2-0000269#0:1408485-1448298 genomic_strand:+	936107cba5be483df7886c4a655618bcdc7896e93e93dc083bdf071934d3fa02
HG00513_h1_HML-2_Xq28a_graph_hgsvc3-2024-02-23-mc-chm13	HML-2_Xq28a	HML-2_Xq28a	HG00513	h1	HG00513#1#haplotype1-0000004#0:1411996-1451807	Xq28a	Fragment	q5945	historical_source/Documents/HML2_project_data/hgsvc3-2024-02-23-mc-chm13/HML-2_Xq28a/HG00513_h1_HML-2_Xq28a_graph_hgsvc3-2024-02-23-mc-chm13.fa	HG00513_h1_HML-2_Xq28a_graph_hgsvc3-2024-02-23-mc-chm13|HG00513#1#haplotype1-0000004#0:1411996-1451807 genomic_strand:-	c00372687428dd9ed5f621729936cd9dd1d905af5a0f1faa7cabb161deacabe6
HG00513_h2_HML-2_Xq28a_graph_hgsvc3-2024-02-23-mc-chm13	HML-2_Xq28a	HML-2_Xq28a	HG00513	h2	HG00513#2#haplotype2-0000091#0:1420619-1460434	Xq28a	Fragment	q5946	historical_source/Documents/HML2_project_data/hgsvc3-2024-02-23-mc-chm13/HML-2_Xq28a/HG00513_h2_HML-2_Xq28a_graph_hgsvc3-2024-02-23-mc-chm13.fa	HG00513_h2_HML-2_Xq28a_graph_hgsvc3-2024-02-23-mc-chm13|HG00513#2#haplotype2-0000091#0:1420619-1460434 genomic_strand:-	1380bb837000055e582a0ea7e03ad38d082226f690c16b01c599468d442adceb
HG00514_h1_HML-2_Xq28a_graph_hgsvc3-2024-02-23-mc-chm13	HML-2_Xq28a	HML-2_Xq28a	HG00514	h1	HG00514#1#haplotype1-0000023#0:51571369-51611180	Xq28a	Fragment	q5947	historical_source/Documents/HML2_project_data/hgsvc3-2024-02-23-mc-chm13/HML-2_Xq28a/HG00514_h1_HML-2_Xq28a_graph_hgsvc3-2024-02-23-mc-chm13.fa	HG00514_h1_HML-2_Xq28a_graph_hgsvc3-2024-02-23-mc-chm13|HG00514#1#haplotype1-0000023#0:51571369-51611180 genomic_strand:-	28455f074985c25026767bc93375fd50f6d0bb9d9959efbbee4617d9ede6072a
HG00514_h2_HML-2_Xq28a_graph_hgsvc3-2024-02-23-mc-chm13	HML-2_Xq28a	HML-2_Xq28a	HG00514	h2	HG00514#2#haplotype2-0000148#0:1130168-1169983	Xq28a	Fragment	q5948	historical_source/Documents/HML2_project_data/hgsvc3-2024-02-23-mc-chm13/HML-2_Xq28a/HG00514_h2_HML-2_Xq28a_graph_hgsvc3-2024-02-23-mc-chm13.fa	HG00514_h2_HML-2_Xq28a_graph_hgsvc3-2024-02-23-mc-chm13|HG00514#2#haplotype2-0000148#0:1130168-1169983 genomic_strand:+	5ae29e1b6d119e45066bba7c6492e66694be781cfa7024dba0c73cde0e7fe474
HG00544_pat_hprc_r2_v1.0.1_HML-2_Xq28a	HML-2_Xq28a	HML-2_Xq28a	HG00544	pat	HG00544#1#CM089382.1:152544321-152551982	Xq28a	Fragment	q5949	historical_source/Documents/HML2_project_data/processed_loci/HML-2_Xq28a/HG00544_pat_hprc_r2_v1.0.1_HML-2_Xq28a.fa	HG00544_pat_hprc_r2_v1.0.1_HML-2_Xq28a assembly_coords:HG00544#1#CM089382.1:152544821-152551482 genomic_strand:+	3f2cf98bdd265de90ba50d6e4d1936de05b500f6071e414f3f94ed6a300ea0f0
HG00558_pat_hprc_r2_v1.0.1_HML-2_Xq28a	HML-2_Xq28a	HML-2_Xq28a	HG00558	pat	HG00558#1#CM088504.1:152344603-152352265	Xq28a	Fragment	q5950	historical_source/Documents/HML2_project_data/processed_loci/HML-2_Xq28a/HG00558_pat_hprc_r2_v1.0.1_HML-2_Xq28a.fa	HG00558_pat_hprc_r2_v1.0.1_HML-2_Xq28a assembly_coords:HG00558#1#CM088504.1:152345103-152351765 genomic_strand:+	9ac541cd35f597c3286d609be96f922a9473de1ae74f7cb08cf33026a8589226
HG00731_h1_HML-2_Xq28a_graph_hgsvc3-2024-02-23-mc-chm13	HML-2_Xq28a	HML-2_Xq28a	HG00731	h1	HG00731#1#haplotype1-0000002#0:38611675-38651487	Xq28a	Fragment	q5951	historical_source/Documents/HML2_project_data/hgsvc3-2024-02-23-mc-chm13/HML-2_Xq28a/HG00731_h1_HML-2_Xq28a_graph_hgsvc3-2024-02-23-mc-chm13.fa	HG00731_h1_HML-2_Xq28a_graph_hgsvc3-2024-02-23-mc-chm13|HG00731#1#haplotype1-0000002#0:38611675-38651487 genomic_strand:-	4b47b3c2771e18032a27a79afb83b9fd4d910110f0312a6d3eacef20098cc586
HG00732_h2_HML-2_Xq28a_graph_hgsvc3-2024-02-23-mc-chm13	HML-2_Xq28a	HML-2_Xq28a	HG00732	h2	HG00732#2#haplotype2-0000113#0:764563-804381	Xq28a	Fragment	q5952	historical_source/Documents/HML2_project_data/hgsvc3-2024-02-23-mc-chm13/HML-2_Xq28a/HG00732_h2_HML-2_Xq28a_graph_hgsvc3-2024-02-23-mc-chm13.fa	HG00732_h2_HML-2_Xq28a_graph_hgsvc3-2024-02-23-mc-chm13|HG00732#2#haplotype2-0000113#0:764563-804381 genomic_strand:-	abd91dcaebed6381488f5c288796858716b7515f295fc72db2f73371db7f5715
HG00864_h1_HML-2_Xq28a_graph_hgsvc3-2024-02-23-mc-chm13	HML-2_Xq28a	HML-2_Xq28a	HG00864	h1	HG00864#1#haplotype1-0000004#0:18776750-18816567	Xq28a	Fragment	q5953	historical_source/Documents/HML2_project_data/hgsvc3-2024-02-23-mc-chm13/HML-2_Xq28a/HG00864_h1_HML-2_Xq28a_graph_hgsvc3-2024-02-23-mc-chm13.fa	HG00864_h1_HML-2_Xq28a_graph_hgsvc3-2024-02-23-mc-chm13|HG00864#1#haplotype1-0000004#0:18776750-18816567 genomic_strand:+	93b7fd794ca3a5b7d2acbe76c7beeec1154b214594c9344534a6122a5c9a1d7d
HG00864_h2_HML-2_Xq28a_graph_hgsvc3-2024-02-23-mc-chm13	HML-2_Xq28a	HML-2_Xq28a	HG00864	h2	HG00864#2#haplotype2-0000080#0:1408093-1447906	Xq28a	Fragment	q5954	historical_source/Documents/HML2_project_data/hgsvc3-2024-02-23-mc-chm13/HML-2_Xq28a/HG00864_h2_HML-2_Xq28a_graph_hgsvc3-2024-02-23-mc-chm13.fa	HG00864_h2_HML-2_Xq28a_graph_hgsvc3-2024-02-23-mc-chm13|HG00864#2#haplotype2-0000080#0:1408093-1447906 genomic_strand:+	f2b249157d8d13532e55b999b0fecbfbaff4c0aa18d85537db917e02d2d55f27
HG01106_mat_hprc_r2_v1.0.1_HML-2_Xq28a	HML-2_Xq28a	HML-2_Xq28a	HG01106	mat	HG01106#2#JAHAMB020000021.1:13578799-13586460	Xq28a	Fragment	q5955	historical_source/Documents/HML2_project_data/processed_loci/HML-2_Xq28a/HG01106_mat_hprc_r2_v1.0.1_HML-2_Xq28a.fa	HG01106_mat_hprc_r2_v1.0.1_HML-2_Xq28a assembly_coords:HG01106#2#JAHAMB020000021.1:13579299-13585960 genomic_strand:+	49b5b7884179ba6c09b4a16bb41757863936ebc5ca23137fd7db637790e7d87d
HG01109_mat_hprc_r2_v1.0.1_HML-2_Xq28a	HML-2_Xq28a	HML-2_Xq28a	HG01109	mat	HG01109#2#JAHEOZ020000019.1:7752073-7759732	Xq28a	Fragment	q5956	historical_source/Documents/HML2_project_data/processed_loci/HML-2_Xq28a/HG01109_mat_hprc_r2_v1.0.1_HML-2_Xq28a.fa	HG01109_mat_hprc_r2_v1.0.1_HML-2_Xq28a assembly_coords:HG01109#2#JAHEOZ020000019.1:7752573-7759232 genomic_strand:+	cff4243fc34d494f9fe76a0f82f31d82da6a1109be65edbaeadcab722d74a55a
HG01123_pat_hprc_r2_v1.0.1_HML-2_Xq28a	HML-2_Xq28a	HML-2_Xq28a	HG01123	pat	HG01123#1#CM089094.1:153574663-153582322	Xq28a	Fragment	q5957	historical_source/Documents/HML2_project_data/processed_loci/HML-2_Xq28a/HG01123_pat_hprc_r2_v1.0.1_HML-2_Xq28a.fa	HG01123_pat_hprc_r2_v1.0.1_HML-2_Xq28a assembly_coords:HG01123#1#CM089094.1:153575163-153581822 genomic_strand:+	9df95fdc8ec8244a2c6bb5f73943785a7dbec93888dce4d1df77bf9714020385
HG01150_mat_hprc_r2_v1.0.1_HML-2_Xq28a	HML-2_Xq28a	HML-2_Xq28a	HG01150	mat	HG01150#2#CM088627.1:154014453-154022112	Xq28a	Fragment	q5958	historical_source/Documents/HML2_project_data/processed_loci/HML-2_Xq28a/HG01150_mat_hprc_r2_v1.0.1_HML-2_Xq28a.fa	HG01150_mat_hprc_r2_v1.0.1_HML-2_Xq28a assembly_coords:HG01150#2#CM088627.1:154014953-154021612 genomic_strand:+	d50e2ce40a33edfae64a4f632af41c8b968c5b578b8959c6d972f954eaf9567d
HG01175_mat_hprc_r2_v1.0.1_HML-2_Xq28a	HML-2_Xq28a	HML-2_Xq28a	HG01175	mat	HG01175#2#JAHALZ020000010.1:81585229-81592891	Xq28a	Fragment	q5959	historical_source/Documents/HML2_project_data/processed_loci/HML-2_Xq28a/HG01175_mat_hprc_r2_v1.0.1_HML-2_Xq28a.fa	HG01175_mat_hprc_r2_v1.0.1_HML-2_Xq28a assembly_coords:HG01175#2#JAHALZ020000010.1:81585729-81592391 genomic_strand:+	d05b403c7148d0c076c242903b1d029ec663b4378d7cec1f1caf03140047f8d1
HG01243_mat_hprc_r2_v1.0.1_HML-2_Xq28a	HML-2_Xq28a	HML-2_Xq28a	HG01243	mat	HG01243#2#JAHEOX020000066.1:7796790-7804449	Xq28a	Fragment	q5960	historical_source/Documents/HML2_project_data/processed_loci/HML-2_Xq28a/HG01243_mat_hprc_r2_v1.0.1_HML-2_Xq28a.fa	HG01243_mat_hprc_r2_v1.0.1_HML-2_Xq28a assembly_coords:HG01243#2#JAHEOX020000066.1:7797290-7803949 genomic_strand:+	119bf8a6f3313195b2e542df95212781e2561b01723a2e527d0a4e5de8c71810
HG01255_mat_hprc_r2_v1.0.1_HML-2_Xq28a	HML-2_Xq28a	HML-2_Xq28a	HG01255	mat	HG01255#2#CM086728.1:152892539-152900198	Xq28a	Fragment	q5961	historical_source/Documents/HML2_project_data/processed_loci/HML-2_Xq28a/HG01255_mat_hprc_r2_v1.0.1_HML-2_Xq28a.fa	HG01255_mat_hprc_r2_v1.0.1_HML-2_Xq28a assembly_coords:HG01255#2#CM086728.1:152893039-152899698 genomic_strand:+	a24d69205d6d7555784dce10d12080903758a5c81569902b3fd77c97fa34485e
HG01352_h1_HML-2_Xq28a_graph_hgsvc3-2024-02-23-mc-chm13	HML-2_Xq28a	HML-2_Xq28a	HG01352	h1	HG01352#1#haplotype1-0000034#0:1418176-1457989	Xq28a	Fragment	q5962	historical_source/Documents/HML2_project_data/hgsvc3-2024-02-23-mc-chm13/HML-2_Xq28a/HG01352_h1_HML-2_Xq28a_graph_hgsvc3-2024-02-23-mc-chm13.fa	HG01352_h1_HML-2_Xq28a_graph_hgsvc3-2024-02-23-mc-chm13|HG01352#1#haplotype1-0000034#0:1418176-1457989 genomic_strand:-	29296f36d5a8c49b1bf8812116672cf521412b2118e3df75a25788af95d06a66
HG01352_h2_HML-2_Xq28a_graph_hgsvc3-2024-02-23-mc-chm13	HML-2_Xq28a	HML-2_Xq28a	HG01352	h2	HG01352#2#haplotype2-0000156#0:1418177-1457990	Xq28a	Fragment	q5963	historical_source/Documents/HML2_project_data/hgsvc3-2024-02-23-mc-chm13/HML-2_Xq28a/HG01352_h2_HML-2_Xq28a_graph_hgsvc3-2024-02-23-mc-chm13.fa	HG01352_h2_HML-2_Xq28a_graph_hgsvc3-2024-02-23-mc-chm13|HG01352#2#haplotype2-0000156#0:1418177-1457990 genomic_strand:+	73f89ba3c9c4dd9d98ebaf1c887d8f5af8ceb9d16f3a969d7d32ef9f8db880a1
HG01358_mat_hprc_r2_v1.0.1_HML-2_Xq28a	HML-2_Xq28a	HML-2_Xq28a	HG01358	mat	HG01358#2#JAGYZA020000054.1:33525520-33533179	Xq28a	Fragment	q5964	historical_source/Documents/HML2_project_data/processed_loci/HML-2_Xq28a/HG01358_mat_hprc_r2_v1.0.1_HML-2_Xq28a.fa	HG01358_mat_hprc_r2_v1.0.1_HML-2_Xq28a assembly_coords:HG01358#2#JAGYZA020000054.1:33526020-33532679 genomic_strand:+	40b437bf57ab8f0a3d7cbe13f63de3c7c856bc2ad30911a58dd8f265a3d1cc58
HG01457_h1_HML-2_Xq28a_graph_hgsvc3-2024-02-23-mc-chm13	HML-2_Xq28a	HML-2_Xq28a	HG01457	h1	HG01457#1#haplotype1-0000029#0:1426160-1465977	Xq28a	Fragment	q5965	historical_source/Documents/HML2_project_data/hgsvc3-2024-02-23-mc-chm13/HML-2_Xq28a/HG01457_h1_HML-2_Xq28a_graph_hgsvc3-2024-02-23-mc-chm13.fa	HG01457_h1_HML-2_Xq28a_graph_hgsvc3-2024-02-23-mc-chm13|HG01457#1#haplotype1-0000029#0:1426160-1465977 genomic_strand:-	68bf7dd5ca6459601c238bd5536edd0b9ffd6a93cfcfc32e89f9b149973d41e8
HG01496_pat_hprc_r2_v1.0.1_HML-2_Xq28a	HML-2_Xq28a	HML-2_Xq28a	HG01496	pat	HG01496#1#JBHDRZ010000050.1:153891986-153899645	Xq28a	Fragment	q5966	historical_source/Documents/HML2_project_data/processed_loci/HML-2_Xq28b/HG01496_pat_hprc_r2_v1.0.1_HML-2_Xq28b.fa	HG01496_pat_hprc_r2_v1.0.1_HML-2_Xq28b assembly_coords:HG01496#1#JBHDRZ010000050.1:153892486-153899145 genomic_strand:-	775535754157e4f966c58feca5e0693caaf69e261a52ec7c0ba9148c858877bb
HG01505_h2_HML-2_Xq28a_graph_hgsvc3-2024-02-23-mc-chm13	HML-2_Xq28a	HML-2_Xq28a	HG01505	h2	HG01505#2#haplotype2-0000163#0:1412844-1452663	Xq28a	Fragment	q5967	historical_source/Documents/HML2_project_data/hgsvc3-2024-02-23-mc-chm13/HML-2_Xq28a/HG01505_h2_HML-2_Xq28a_graph_hgsvc3-2024-02-23-mc-chm13.fa	HG01505_h2_HML-2_Xq28a_graph_hgsvc3-2024-02-23-mc-chm13|HG01505#2#haplotype2-0000163#0:1412844-1452663 genomic_strand:+	1e7abad34e90612c35a8b2cdce22c630df9c7defee3fa98fca2ec964fa209078
HG01573_h1_HML-2_Xq28a_graph_hgsvc3-2024-02-23-mc-chm13	HML-2_Xq28a	HML-2_Xq28a	HG01573	h1	HG01573#1#haplotype1-0000026#0:153813525-153853341	Xq28a	Fragment	q5968	historical_source/Documents/HML2_project_data/hgsvc3-2024-02-23-mc-chm13/HML-2_Xq28a/HG01573_h1_HML-2_Xq28a_graph_hgsvc3-2024-02-23-mc-chm13.fa	HG01573_h1_HML-2_Xq28a_graph_hgsvc3-2024-02-23-mc-chm13|HG01573#1#haplotype1-0000026#0:153813525-153853341 genomic_strand:-	f27cf79ca43a8d88d72bed76d9b84d257b66e39da6b15f55184f5515ed15187d
HG01573_h2_HML-2_Xq28a_graph_hgsvc3-2024-02-23-mc-chm13	HML-2_Xq28a	HML-2_Xq28a	HG01573	h2	HG01573#2#haplotype2-0000104#0:153291359-153331171	Xq28a	Fragment	q5969	historical_source/Documents/HML2_project_data/hgsvc3-2024-02-23-mc-chm13/HML-2_Xq28a/HG01573_h2_HML-2_Xq28a_graph_hgsvc3-2024-02-23-mc-chm13.fa	HG01573_h2_HML-2_Xq28a_graph_hgsvc3-2024-02-23-mc-chm13|HG01573#2#haplotype2-0000104#0:153291359-153331171 genomic_strand:-	3e93e97a706ac472b798427d9d8eb0a136965341c22276a8e994c875789c7bc1
HG01596_h2_HML-2_Xq28a_graph_hgsvc3-2024-02-23-mc-chm13	HML-2_Xq28a	HML-2_Xq28a	HG01596	h2	HG01596#2#haplotype2-0000113#0:153764246-153804121	Xq28a	Fragment	q5970	historical_source/Documents/HML2_project_data/hgsvc3-2024-02-23-mc-chm13/HML-2_Xq28a/HG01596_h2_HML-2_Xq28a_graph_hgsvc3-2024-02-23-mc-chm13.fa	HG01596_h2_HML-2_Xq28a_graph_hgsvc3-2024-02-23-mc-chm13|HG01596#2#haplotype2-0000113#0:153764246-153804121 genomic_strand:+	e20b81232c76b9a2f6756bf6e00618138d14367994e42923d7a5c1ae55551424
