region	tip_1	tip_2	mismatches	comparable_positions	nucleotide_difference	tree_distance
LTR	12p11.21__hap1__n345	10p12.1__hap1__n269	177	812	0.21798029556650247	0.21548172094741241
LTR	12p11.21__hap1__n345	10p12.1__hap2__n81	176	812	0.21674876847290642	0.21443123962661959
LTR	12p11.21__hap1__n345	10p14__hap1__n252	139	734	0.1893732970027248	0.2005441686786399
LTR	12p11.21__hap1__n345	10p14__hap2__n42	155	810	0.19135802469135801	0.20536547278863687
LTR	12p11.21__hap1__n345	10q24.2__hap1__n189	177	804	0.22014925373134328	0.2123277901093238
LTR	12p11.21__hap1__n345	10q24.2__hap2__n114	178	804	0.22139303482587064	0.21142169751635848
LTR	12p11.21__hap1__n345	11p15.4__hap1__n117	159	526	0.30228136882129275	0.29017714549017465
LTR	12p11.21__hap1__n345	11p15.4__hap2__n98	160	526	0.3041825095057034	0.292166988501546
LTR	12p11.21__hap1__n345	11p15.4b__hap1__n389	133	546	0.24358974358974358	0.25228264134194767
LTR	12p11.21__hap1__n345	11p15.4b__hap2__n59	134	546	0.2454212454212454	0.253943346840109
LTR	12p11.21__hap1__n345	11q12.3__hap1__n361	108	798	0.13533834586466165	0.13629370644531288
LTR	12p11.21__hap1__n345	11q12.3__hap2__n65	109	798	0.13659147869674185	0.13653858129909824
LTR	12p11.21__hap1__n345	11q22.1__hap1__n160	177	806	0.2196029776674938	0.21750534217244472
LTR	12p11.21__hap1__n345	11q22.1__hap2__n88	177	812	0.21798029556650247	0.2143263781576923
LTR	12p11.21__hap1__n345	11q23.3__hap1__n159	175	811	0.2157829839704069	0.2091360949391971
LTR	12p11.21__hap1__n345	11q23.3__hap2__n147	175	811	0.2157829839704069	0.21145668530701586
LTR	12p11.21__hap2__n103	10p12.1__hap1__n269	176	812	0.21674876847290642	0.21451597642993817
LTR	12p11.21__hap2__n103	10p12.1__hap2__n81	175	812	0.21551724137931033	0.21346549510914534
LTR	12p11.21__hap2__n103	10p14__hap1__n252	138	734	0.1880108991825613	0.19957842416116564
LTR	12p11.21__hap2__n103	10p14__hap2__n42	154	810	0.19012345679012346	0.20439972827116262
LTR	12p11.21__hap2__n103	10q24.2__hap1__n189	176	804	0.21890547263681592	0.21136204559184954
LTR	12p11.21__hap2__n103	10q24.2__hap2__n114	177	804	0.22014925373134328	0.21045595299888423
LTR	12p11.21__hap2__n103	11p15.4__hap1__n117	159	526	0.30228136882129275	0.2892114009727004
LTR	12p11.21__hap2__n103	11p15.4__hap2__n98	160	526	0.3041825095057034	0.29120124398407177
LTR	12p11.21__hap2__n103	11p15.4b__hap1__n389	133	546	0.24358974358974358	0.25131689682447345
LTR	12p11.21__hap2__n103	11p15.4b__hap2__n59	134	546	0.2454212454212454	0.2529776023226348
LTR	12p11.21__hap2__n103	11q12.3__hap1__n361	107	798	0.13408521303258145	0.13532796192783866
LTR	12p11.21__hap2__n103	11q12.3__hap2__n65	108	798	0.13533834586466165	0.13557283678162402
LTR	12p11.21__hap2__n103	11q22.1__hap1__n160	176	806	0.21836228287841192	0.21653959765497047
LTR	12p11.21__hap2__n103	11q22.1__hap2__n88	176	812	0.21674876847290642	0.21336063364021804
LTR	12p11.21__hap2__n103	11q23.3__hap1__n159	174	811	0.21454993834771888	0.20817035042172286
LTR	12p11.21__hap2__n103	11q23.3__hap2__n147	174	811	0.21454993834771888	0.21049094078954161
LTR	12p11.21__hap2__n103	12p11.21__hap1__n345	1	812	0.0012315270935960591	0.001231527093596058
LTR	12q13.2__hap1__n216	10p12.1__hap1__n269	15	950	0.015789473684210527	0.014551623603438202
LTR	12q13.2__hap1__n216	10p12.1__hap2__n81	14	950	0.014736842105263158	0.013501142282645371
LTR	12q13.2__hap1__n216	10p14__hap1__n252	53	811	0.06535141800246609	0.06290297705521893
LTR	12q13.2__hap1__n216	10p14__hap2__n42	62	890	0.0696629213483146	0.0677242811652159
LTR	12q13.2__hap1__n216	10q24.2__hap1__n189	31	938	0.03304904051172708	0.034366024134850126
LTR	12q13.2__hap1__n216	10q24.2__hap2__n114	30	938	0.031982942430703626	0.03345993154188479
LTR	12q13.2__hap1__n216	11p15.4__hap1__n117	148	590	0.25084745762711863	0.2587983460988649
LTR	12q13.2__hap1__n216	11p15.4__hap2__n98	149	590	0.25254237288135595	0.2607881891102362
LTR	12q13.2__hap1__n216	11p15.4b__hap1__n389	132	611	0.2160392798690671	0.22090384195063792
LTR	12q13.2__hap1__n216	11p15.4b__hap2__n59	133	611	0.2176759410801964	0.22256454744879928
LTR	12q13.2__hap1__n216	11q12.3__hap1__n361	135	873	0.15463917525773196	0.15521296681653093
LTR	12q13.2__hap1__n216	11q12.3__hap2__n65	135	873	0.15463917525773196	0.1554578416703163
LTR	12q13.2__hap1__n216	11q22.1__hap1__n160	15	944	0.015889830508474576	0.016575244828470517
LTR	12q13.2__hap1__n216	11q22.1__hap2__n88	12	950	0.01263157894736842	0.013396280813718079
LTR	12q13.2__hap1__n216	11q23.3__hap1__n159	33	945	0.03492063492063492	0.0371470143226216
LTR	12q13.2__hap1__n216	11q23.3__hap2__n147	34	905	0.03756906077348066	0.03946760469044036
LTR	12q13.2__hap1__n216	12p11.21__hap1__n345	179	812	0.2204433497536946	0.21777219901263076
LTR	12q13.2__hap1__n216	12p11.21__hap2__n103	178	812	0.21921182266009853	0.2168064544951565
LTR	12q13.2__hap2__n61	10p12.1__hap1__n269	15	944	0.015889830508474576	0.01459319427902471
LTR	12q13.2__hap2__n61	10p12.1__hap2__n81	14	944	0.014830508474576272	0.01354271295823188
LTR	12q13.2__hap2__n61	10p14__hap1__n252	53	805	0.06583850931677018	0.06294454773080543
LTR	12q13.2__hap2__n61	10p14__hap2__n42	62	884	0.07013574660633484	0.0677658518408024
LTR	12q13.2__hap2__n61	10q24.2__hap1__n189	31	932	0.033261802575107295	0.034407594810436634
LTR	12q13.2__hap2__n61	10q24.2__hap2__n114	30	932	0.032188841201716736	0.0335015022174713
LTR	12q13.2__hap2__n61	11p15.4__hap1__n117	148	590	0.25084745762711863	0.2588399167744514
LTR	12q13.2__hap2__n61	11p15.4__hap2__n98	149	590	0.25254237288135595	0.26082975978582273
LTR	12q13.2__hap2__n61	11p15.4b__hap1__n389	132	611	0.2160392798690671	0.2209454126262244
LTR	12q13.2__hap2__n61	11p15.4b__hap2__n59	133	611	0.2176759410801964	0.22260611812438577
LTR	12q13.2__hap2__n61	11q12.3__hap1__n361	135	867	0.15570934256055363	0.15525453749211743
LTR	12q13.2__hap2__n61	11q12.3__hap2__n65	135	867	0.15570934256055363	0.15549941234590278
LTR	12q13.2__hap2__n61	11q22.1__hap1__n160	15	944	0.015889830508474576	0.016616815504057025
LTR	12q13.2__hap2__n61	11q22.1__hap2__n88	12	944	0.012711864406779662	0.013437851489304587
LTR	12q13.2__hap2__n61	11q23.3__hap1__n159	33	939	0.03514376996805112	0.03718858499820811
LTR	12q13.2__hap2__n61	11q23.3__hap2__n147	34	899	0.03781979977753059	0.03950917536602687
LTR	12q13.2__hap2__n61	12p11.21__hap1__n345	178	806	0.22084367245657568	0.21781376968821725
LTR	12q13.2__hap2__n61	12p11.21__hap2__n103	177	806	0.2196029776674938	0.216848025170743
LTR	12q13.2__hap2__n61	12q13.2__hap1__n216	0	944	0.0	4.15706755865089e-05
LTR	12q14.1__hap1__n260	10p12.1__hap1__n269	8	955	0.008376963350785341	0.00802259138079043
LTR	12q14.1__hap1__n260	10p12.1__hap2__n81	7	955	0.007329842931937173	0.0069721100599976
LTR	12q14.1__hap1__n260	10p14__hap1__n252	48	805	0.05962732919254658	0.05637394483257116
LTR	12q14.1__hap1__n260	10p14__hap2__n42	56	884	0.06334841628959276	0.06119524894256813
LTR	12q14.1__hap1__n260	10q24.2__hap1__n189	25	932	0.02682403433476395	0.027836991912202354
LTR	12q14.1__hap1__n260	10q24.2__hap2__n114	26	932	0.027896995708154508	0.02693089931923702
LTR	12q14.1__hap1__n260	11p15.4__hap1__n117	148	606	0.24422442244224424	0.2522693138762171
LTR	12q14.1__hap1__n260	11p15.4__hap2__n98	149	606	0.24587458745874588	0.25425915688758843
LTR	12q14.1__hap1__n260	11p15.4b__hap1__n389	134	625	0.2144	0.21437480972799014
LTR	12q14.1__hap1__n260	11p15.4b__hap2__n59	135	625	0.216	0.2160355152261515
LTR	12q14.1__hap1__n260	11q12.3__hap1__n361	132	867	0.1522491349480969	0.14868393459388315
LTR	12q14.1__hap1__n260	11q12.3__hap2__n65	132	867	0.1522491349480969	0.1489288094476685
LTR	12q14.1__hap1__n260	11q22.1__hap1__n160	10	960	0.010416666666666666	0.010046212605822747
LTR	12q14.1__hap1__n260	11q22.1__hap2__n88	7	955	0.007329842931937173	0.0068672485910703076
LTR	12q14.1__hap1__n260	11q23.3__hap1__n159	30	939	0.03194888178913738	0.03061798209997383
LTR	12q14.1__hap1__n260	11q23.3__hap2__n147	31	899	0.034482758620689655	0.032938572467792596
LTR	12q14.1__hap1__n260	12p11.21__hap1__n345	174	806	0.21588089330024815	0.21124316678998298
LTR	12q14.1__hap1__n260	12p11.21__hap2__n103	173	806	0.21464019851116625	0.21027742227250873
LTR	12q14.1__hap1__n260	12q13.2__hap1__n216	9	944	0.009533898305084746	0.009870642685048045
LTR	12q14.1__hap1__n260	12q13.2__hap2__n61	9	944	0.009533898305084746	0.009912213360634553
LTR	12q14.1__hap2__n127	10p12.1__hap1__n269	8	961	0.008324661810613945	0.00800285892421968
LTR	12q14.1__hap2__n127	10p12.1__hap2__n81	7	961	0.007284079084287201	0.0069523776034268485
LTR	12q14.1__hap2__n127	10p14__hap1__n252	48	811	0.059186189889025895	0.056354212376000405
LTR	12q14.1__hap2__n127	10p14__hap2__n42	56	890	0.06292134831460675	0.061175516485997374
LTR	12q14.1__hap2__n127	10q24.2__hap1__n189	25	938	0.026652452025586353	0.027817259455631602
LTR	12q14.1__hap2__n127	10q24.2__hap2__n114	26	938	0.02771855010660981	0.02691116686266627
LTR	12q14.1__hap2__n127	11p15.4__hap1__n117	147	601	0.24459234608985025	0.2522495814196464
LTR	12q14.1__hap2__n127	11p15.4__hap2__n98	148	601	0.24625623960066556	0.2542394244310177
LTR	12q14.1__hap2__n127	11p15.4b__hap1__n389	132	620	0.2129032258064516	0.2143550772714194
LTR	12q14.1__hap2__n127	11p15.4b__hap2__n59	133	620	0.21451612903225806	0.21601578276958075
LTR	12q14.1__hap2__n127	11q12.3__hap1__n361	132	873	0.15120274914089346	0.1486642021373124
LTR	12q14.1__hap2__n127	11q12.3__hap2__n65	132	873	0.15120274914089346	0.14890907699109776
LTR	12q14.1__hap2__n127	11q22.1__hap1__n160	10	955	0.010471204188481676	0.010026480149251997
LTR	12q14.1__hap2__n127	11q22.1__hap2__n88	7	961	0.007284079084287201	0.006847516134499556
LTR	12q14.1__hap2__n127	11q23.3__hap1__n159	30	945	0.031746031746031744	0.03059824964340308
LTR	12q14.1__hap2__n127	11q23.3__hap2__n147	31	905	0.03425414364640884	0.03291884001122184
LTR	12q14.1__hap2__n127	12p11.21__hap1__n345	175	812	0.21551724137931033	0.21122343433341223
LTR	12q14.1__hap2__n127	12p11.21__hap2__n103	174	812	0.21428571428571427	0.21025768981593798
LTR	12q14.1__hap2__n127	12q13.2__hap1__n216	9	950	0.009473684210526316	0.009850910228477295
LTR	12q14.1__hap2__n127	12q13.2__hap2__n61	9	944	0.009533898305084746	0.009892480904063803
LTR	12q14.1__hap2__n127	12q14.1__hap1__n260	0	955	0.0	1.9732456570751e-05
LTR	12q24.33__hap1__n62	10p12.1__hap1__n269	204	874	0.2334096109839817	0.237175628984381
LTR	12q24.33__hap1__n62	10p12.1__hap2__n81	203	874	0.2322654462242563	0.23612514766358816
LTR	12q24.33__hap1__n62	10p14__hap1__n252	187	796	0.23492462311557788	0.22223807671560847
LTR	12q24.33__hap1__n62	10p14__hap2__n42	197	872	0.22591743119266056	0.22705938082560545
LTR	12q24.33__hap1__n62	10q24.2__hap1__n189	205	866	0.23672055427251731	0.23402169814629234
LTR	12q24.33__hap1__n62	10q24.2__hap2__n114	206	866	0.23787528868360278	0.23311560555332703
LTR	12q24.33__hap1__n62	11p15.4__hap1__n117	47	528	0.08901515151515152	0.10247787250958854
LTR	12q24.33__hap1__n62	11p15.4__hap2__n98	49	528	0.0928030303030303	0.10446771552095985
LTR	12q24.33__hap1__n62	11p15.4b__hap1__n389	73	547	0.13345521023765997	0.15189190917532025
LTR	12q24.33__hap1__n62	11p15.4b__hap2__n59	74	547	0.13528336380255943	0.1535526146734816
LTR	12q24.33__hap1__n62	11q12.3__hap1__n361	192	860	0.22325581395348837	0.20828567424480923
LTR	12q24.33__hap1__n62	11q12.3__hap2__n65	191	860	0.22209302325581395	0.2085305490985946
LTR	12q24.33__hap1__n62	11q22.1__hap1__n160	204	868	0.2350230414746544	0.2391992502094133
LTR	12q24.33__hap1__n62	11q22.1__hap2__n88	202	874	0.2311212814645309	0.23602028619466087
LTR	12q24.33__hap1__n62	11q23.3__hap1__n159	203	873	0.2325315005727377	0.23083000297616568
LTR	12q24.33__hap1__n62	11q23.3__hap2__n147	204	873	0.23367697594501718	0.23315059334398444
LTR	12q24.33__hap1__n62	12p11.21__hap1__n345	213	802	0.2655860349127182	0.2708449064409091
LTR	12q24.33__hap1__n62	12p11.21__hap2__n103	212	802	0.26433915211970077	0.26987916192343486
LTR	12q24.33__hap1__n62	12q13.2__hap1__n216	203	874	0.2322654462242563	0.23946610704959934
LTR	12q24.33__hap1__n62	12q13.2__hap2__n61	202	868	0.23271889400921658	0.23950767772518583
LTR	12q24.33__hap1__n62	12q14.1__hap1__n260	199	868	0.22926267281105991	0.23293707482695156
LTR	12q24.33__hap1__n62	12q14.1__hap2__n127	200	874	0.2288329519450801	0.2329173423703808
LTR	12q24.33__hap2__n14	10p12.1__hap1__n269	205	875	0.2342857142857143	0.23829448092794783
LTR	12q24.33__hap2__n14	10p12.1__hap2__n81	204	875	0.23314285714285715	0.237243999607155
LTR	12q24.33__hap2__n14	10p14__hap1__n252	188	796	0.23618090452261306	0.2233569286591753
LTR	12q24.33__hap2__n14	10p14__hap2__n42	198	873	0.2268041237113402	0.2281782327691723
LTR	12q24.33__hap2__n14	10q24.2__hap1__n189	206	867	0.23760092272202998	0.23514055008985918
LTR	12q24.33__hap2__n14	10q24.2__hap2__n114	207	867	0.23875432525951557	0.23423445749689387
LTR	12q24.33__hap2__n14	11p15.4__hap1__n117	48	529	0.09073724007561437	0.10359672445315536
LTR	12q24.33__hap2__n14	11p15.4__hap2__n98	50	529	0.0945179584120983	0.10558656746452669
LTR	12q24.33__hap2__n14	11p15.4b__hap1__n389	72	548	0.13138686131386862	0.15301076111888706
LTR	12q24.33__hap2__n14	11p15.4b__hap2__n59	73	548	0.1332116788321168	0.15467146661704845
LTR	12q24.33__hap2__n14	11q12.3__hap1__n361	194	861	0.22531939605110338	0.20940452618837607
LTR	12q24.33__hap2__n14	11q12.3__hap2__n65	193	861	0.22415795586527293	0.2096494010421614
LTR	12q24.33__hap2__n14	11q22.1__hap1__n160	205	869	0.23590333716915995	0.24031810215298013
LTR	12q24.33__hap2__n14	11q22.1__hap2__n88	203	875	0.232	0.2371391381382277
LTR	12q24.33__hap2__n14	11q23.3__hap1__n159	204	874	0.2334096109839817	0.23194885491973252
LTR	12q24.33__hap2__n14	11q23.3__hap2__n147	205	874	0.2345537757437071	0.23426944528755128
