region	locus	original_locus	alignment_record	ID_Full	Source_Identifier	sample	haplotype	newly_admitted	sequence_sha256
pro	8p23.1d	8p23.1d	NA20355_h2_HML-2_8p23.1d_graph_hgsvc3_linked_recovery|NA20355#2#haplotype2-0000188#0:7521524-7531267	NA20355_h2_HML-2_8p23.1d_graph_hgsvc3_linked_recovery	NA20355#2#haplotype2-0000188#0:7521524-7531267	NA20355	h2	1	6e95d868f02c25d5a9b1e31d8859cfcd7eb6e5de2057fcc8066febfd104d7cb8
pol	8p23.1d	8p23.1d	NA20355_h2_HML-2_8p23.1d_graph_hgsvc3_linked_recovery|NA20355#2#haplotype2-0000188#0:7521524-7531267	NA20355_h2_HML-2_8p23.1d_graph_hgsvc3_linked_recovery	NA20355#2#haplotype2-0000188#0:7521524-7531267	NA20355	h2	1	8572c7d7a921aade24d1b31e59311904830a1c1063d6767b139232d5901a13ff
env	8p23.1d	8p23.1d	NA20355_h2_HML-2_8p23.1d_graph_hgsvc3_linked_recovery|NA20355#2#haplotype2-0000188#0:7521524-7531267	NA20355_h2_HML-2_8p23.1d_graph_hgsvc3_linked_recovery	NA20355#2#haplotype2-0000188#0:7521524-7531267	NA20355	h2	1	cc45f9f25b50ebce9feb33009c77020b9ec062a6225a8f412b4e8f8b340645ac
gag	8p23.1d	8p23.1d	HG02554_h1_HML-2_8p23.1d_graph_hgsvc3_linked_recovery|HG02554#1#haplotype1-0000023#0:138538078-138547801	HG02554_h1_HML-2_8p23.1d_graph_hgsvc3_linked_recovery	HG02554#1#haplotype1-0000023#0:138538078-138547801	HG02554	h1	1	270fc6cb1679dd5b550430314418351ffcd16ac3c1bcdffe1c1ac2f9e2d02b12
pro	8p23.1d	8p23.1d	HG02554_h1_HML-2_8p23.1d_graph_hgsvc3_linked_recovery|HG02554#1#haplotype1-0000023#0:138538078-138547801	HG02554_h1_HML-2_8p23.1d_graph_hgsvc3_linked_recovery	HG02554#1#haplotype1-0000023#0:138538078-138547801	HG02554	h1	1	bc0f6355504363b0485fbca877c2fad27907068b424714e590f294b7606c6110
pol	8p23.1d	8p23.1d	HG02554_h1_HML-2_8p23.1d_graph_hgsvc3_linked_recovery|HG02554#1#haplotype1-0000023#0:138538078-138547801	HG02554_h1_HML-2_8p23.1d_graph_hgsvc3_linked_recovery	HG02554#1#haplotype1-0000023#0:138538078-138547801	HG02554	h1	1	0a91c621acfe2e3a9c0134dac7f2e7dc8c380b4c7ecde86741d969378f0c8e51
env	8p23.1d	8p23.1d	HG02554_h1_HML-2_8p23.1d_graph_hgsvc3_linked_recovery|HG02554#1#haplotype1-0000023#0:138538078-138547801	HG02554_h1_HML-2_8p23.1d_graph_hgsvc3_linked_recovery	HG02554#1#haplotype1-0000023#0:138538078-138547801	HG02554	h1	1	330dc105e61cfa217ed64562ceb650b30097a628179db4668f82930b8b2d7ca6
gag	8p23.1c	8p23.1c	HG01457_h2_HML-2_8p23.1c_graph_hgsvc3_linked_recovery|HG01457#2#haplotype2-0000117#0:133788876-133798597	HG01457_h2_HML-2_8p23.1c_graph_hgsvc3_linked_recovery	HG01457#2#haplotype2-0000117#0:133788876-133798597	HG01457	h2	1	ffdb7a7c6a3a93850c8020183b3b6656a8825e55cdd97a246f6b88d75ec31257
pro	8p23.1c	8p23.1c	HG01457_h2_HML-2_8p23.1c_graph_hgsvc3_linked_recovery|HG01457#2#haplotype2-0000117#0:133788876-133798597	HG01457_h2_HML-2_8p23.1c_graph_hgsvc3_linked_recovery	HG01457#2#haplotype2-0000117#0:133788876-133798597	HG01457	h2	1	2a76252724d11be7037f3f8aedcdd568d247758b14148cfcdb4703bda36bb699
pol	8p23.1c	8p23.1c	HG01457_h2_HML-2_8p23.1c_graph_hgsvc3_linked_recovery|HG01457#2#haplotype2-0000117#0:133788876-133798597	HG01457_h2_HML-2_8p23.1c_graph_hgsvc3_linked_recovery	HG01457#2#haplotype2-0000117#0:133788876-133798597	HG01457	h2	1	bafb57b3fc9e14716ef16689659a1967e3245bf84d01d6ed8bb5fb9c7aa7eb5d
env	8p23.1c	8p23.1c	HG01457_h2_HML-2_8p23.1c_graph_hgsvc3_linked_recovery|HG01457#2#haplotype2-0000117#0:133788876-133798597	HG01457_h2_HML-2_8p23.1c_graph_hgsvc3_linked_recovery	HG01457#2#haplotype2-0000117#0:133788876-133798597	HG01457	h2	1	36aca46ce4ecece7409bd0fddc42d9124da1d6df98cb3983fd23fd0d026087e6
gag	8p23.1c	8p23.1c	HG02282_h1_HML-2_8p23.1c_graph_hgsvc3_linked_recovery|HG02282#1#haplotype1-0000034#0:11099783-11109504	HG02282_h1_HML-2_8p23.1c_graph_hgsvc3_linked_recovery	HG02282#1#haplotype1-0000034#0:11099783-11109504	HG02282	h1	1	0cc7d8f6cec49f753b8683198d29fe16703efff2f23f0b13e45db1ea4438d481
pro	8p23.1c	8p23.1c	HG02282_h1_HML-2_8p23.1c_graph_hgsvc3_linked_recovery|HG02282#1#haplotype1-0000034#0:11099783-11109504	HG02282_h1_HML-2_8p23.1c_graph_hgsvc3_linked_recovery	HG02282#1#haplotype1-0000034#0:11099783-11109504	HG02282	h1	1	2a76252724d11be7037f3f8aedcdd568d247758b14148cfcdb4703bda36bb699
pol	8p23.1c	8p23.1c	HG02282_h1_HML-2_8p23.1c_graph_hgsvc3_linked_recovery|HG02282#1#haplotype1-0000034#0:11099783-11109504	HG02282_h1_HML-2_8p23.1c_graph_hgsvc3_linked_recovery	HG02282#1#haplotype1-0000034#0:11099783-11109504	HG02282	h1	1	bafb57b3fc9e14716ef16689659a1967e3245bf84d01d6ed8bb5fb9c7aa7eb5d
env	8p23.1c	8p23.1c	HG02282_h1_HML-2_8p23.1c_graph_hgsvc3_linked_recovery|HG02282#1#haplotype1-0000034#0:11099783-11109504	HG02282_h1_HML-2_8p23.1c_graph_hgsvc3_linked_recovery	HG02282#1#haplotype1-0000034#0:11099783-11109504	HG02282	h1	1	36aca46ce4ecece7409bd0fddc42d9124da1d6df98cb3983fd23fd0d026087e6
gag	8p23.1c	8p23.1c	HG02769_h1_HML-2_8p23.1c_graph_hgsvc3_linked_recovery|HG02769#1#haplotype1-0000006#0:12160015-12169736	HG02769_h1_HML-2_8p23.1c_graph_hgsvc3_linked_recovery	HG02769#1#haplotype1-0000006#0:12160015-12169736	HG02769	h1	1	774f1574b9a4feef137af55755755d60c64da25a5b5b3a5963923c43a5d9e23e
pro	8p23.1c	8p23.1c	HG02769_h1_HML-2_8p23.1c_graph_hgsvc3_linked_recovery|HG02769#1#haplotype1-0000006#0:12160015-12169736	HG02769_h1_HML-2_8p23.1c_graph_hgsvc3_linked_recovery	HG02769#1#haplotype1-0000006#0:12160015-12169736	HG02769	h1	1	2a76252724d11be7037f3f8aedcdd568d247758b14148cfcdb4703bda36bb699
pol	8p23.1c	8p23.1c	HG02769_h1_HML-2_8p23.1c_graph_hgsvc3_linked_recovery|HG02769#1#haplotype1-0000006#0:12160015-12169736	HG02769_h1_HML-2_8p23.1c_graph_hgsvc3_linked_recovery	HG02769#1#haplotype1-0000006#0:12160015-12169736	HG02769	h1	1	bafb57b3fc9e14716ef16689659a1967e3245bf84d01d6ed8bb5fb9c7aa7eb5d
env	8p23.1c	8p23.1c	HG02769_h1_HML-2_8p23.1c_graph_hgsvc3_linked_recovery|HG02769#1#haplotype1-0000006#0:12160015-12169736	HG02769_h1_HML-2_8p23.1c_graph_hgsvc3_linked_recovery	HG02769#1#haplotype1-0000006#0:12160015-12169736	HG02769	h1	1	36aca46ce4ecece7409bd0fddc42d9124da1d6df98cb3983fd23fd0d026087e6
gag	8p23.1c	8p23.1c	HG02953_h2_HML-2_8p23.1c_graph_hgsvc3_linked_recovery|HG02953#2#haplotype2-0000158#0:11239802-11249523	HG02953_h2_HML-2_8p23.1c_graph_hgsvc3_linked_recovery	HG02953#2#haplotype2-0000158#0:11239802-11249523	HG02953	h2	1	774f1574b9a4feef137af55755755d60c64da25a5b5b3a5963923c43a5d9e23e
pro	8p23.1c	8p23.1c	HG02953_h2_HML-2_8p23.1c_graph_hgsvc3_linked_recovery|HG02953#2#haplotype2-0000158#0:11239802-11249523	HG02953_h2_HML-2_8p23.1c_graph_hgsvc3_linked_recovery	HG02953#2#haplotype2-0000158#0:11239802-11249523	HG02953	h2	1	2a76252724d11be7037f3f8aedcdd568d247758b14148cfcdb4703bda36bb699
pol	8p23.1c	8p23.1c	HG02953_h2_HML-2_8p23.1c_graph_hgsvc3_linked_recovery|HG02953#2#haplotype2-0000158#0:11239802-11249523	HG02953_h2_HML-2_8p23.1c_graph_hgsvc3_linked_recovery	HG02953#2#haplotype2-0000158#0:11239802-11249523	HG02953	h2	1	7a7de36487131975ec03abb4e6d0fce6fbe569567e9aa5cb486d9da787401914
env	8p23.1c	8p23.1c	HG02953_h2_HML-2_8p23.1c_graph_hgsvc3_linked_recovery|HG02953#2#haplotype2-0000158#0:11239802-11249523	HG02953_h2_HML-2_8p23.1c_graph_hgsvc3_linked_recovery	HG02953#2#haplotype2-0000158#0:11239802-11249523	HG02953	h2	1	4a2c91c2e02b93a4f4cff19d2c4ab9e02f764c9e62b91ec37ae6b8832a93e11b
gag	8p23.1c	8p23.1c	HG03371_h1_HML-2_8p23.1c_graph_hgsvc3_linked_recovery|HG03371#1#haplotype1-0000003#0:134666649-134676370	HG03371_h1_HML-2_8p23.1c_graph_hgsvc3_linked_recovery	HG03371#1#haplotype1-0000003#0:134666649-134676370	HG03371	h1	1	785e898fb58631eb9ce9fd3cea85dd4de97a6314cb27a81757e54942af5ab198
pro	8p23.1c	8p23.1c	HG03371_h1_HML-2_8p23.1c_graph_hgsvc3_linked_recovery|HG03371#1#haplotype1-0000003#0:134666649-134676370	HG03371_h1_HML-2_8p23.1c_graph_hgsvc3_linked_recovery	HG03371#1#haplotype1-0000003#0:134666649-134676370	HG03371	h1	1	ea23b3e96010e49df11fd7f381e86897360c050fd86d941c3cbb0a4f14ff5632
pol	8p23.1c	8p23.1c	HG03371_h1_HML-2_8p23.1c_graph_hgsvc3_linked_recovery|HG03371#1#haplotype1-0000003#0:134666649-134676370	HG03371_h1_HML-2_8p23.1c_graph_hgsvc3_linked_recovery	HG03371#1#haplotype1-0000003#0:134666649-134676370	HG03371	h1	1	97acd9d572c251649f949c72a8dfb58bbcd5161aa87dcf57faa54f426f85aa34
env	8p23.1c	8p23.1c	HG03371_h1_HML-2_8p23.1c_graph_hgsvc3_linked_recovery|HG03371#1#haplotype1-0000003#0:134666649-134676370	HG03371_h1_HML-2_8p23.1c_graph_hgsvc3_linked_recovery	HG03371#1#haplotype1-0000003#0:134666649-134676370	HG03371	h1	1	0dec910e7f18841230692e9427779504579336abb4eef833d15bb345216f0303
gag	8p23.1c	8p23.1c	NA19705_h1_HML-2_8p23.1c_graph_hgsvc3_linked_recovery|NA19705#1#haplotype1-0000021#0:12145642-12155363	NA19705_h1_HML-2_8p23.1c_graph_hgsvc3_linked_recovery	NA19705#1#haplotype1-0000021#0:12145642-12155363	NA19705	h1	1	e3543f2032a8d2409b0aa96c1daeda499784286f60708c58d05650515867dd70
pro	8p23.1c	8p23.1c	NA19705_h1_HML-2_8p23.1c_graph_hgsvc3_linked_recovery|NA19705#1#haplotype1-0000021#0:12145642-12155363	NA19705_h1_HML-2_8p23.1c_graph_hgsvc3_linked_recovery	NA19705#1#haplotype1-0000021#0:12145642-12155363	NA19705	h1	1	ea23b3e96010e49df11fd7f381e86897360c050fd86d941c3cbb0a4f14ff5632
pol	8p23.1c	8p23.1c	NA19705_h1_HML-2_8p23.1c_graph_hgsvc3_linked_recovery|NA19705#1#haplotype1-0000021#0:12145642-12155363	NA19705_h1_HML-2_8p23.1c_graph_hgsvc3_linked_recovery	NA19705#1#haplotype1-0000021#0:12145642-12155363	NA19705	h1	1	12dbd5059de122ed6c745528d70beb28085af1c1685c3020ad0a7a1559df7591
env	8p23.1c	8p23.1c	NA19705_h1_HML-2_8p23.1c_graph_hgsvc3_linked_recovery|NA19705#1#haplotype1-0000021#0:12145642-12155363	NA19705_h1_HML-2_8p23.1c_graph_hgsvc3_linked_recovery	NA19705#1#haplotype1-0000021#0:12145642-12155363	NA19705	h1	1	9bf96cd9894d2a81c624f067114b74a7cd346618a49d1878cd5f84740a68b8a6
gag	8p23.1c	8p23.1c	NA21487_h2_HML-2_8p23.1c_graph_hgsvc3_linked_recovery|NA21487#2#haplotype2-0000145#0:11934408-11944129	NA21487_h2_HML-2_8p23.1c_graph_hgsvc3_linked_recovery	NA21487#2#haplotype2-0000145#0:11934408-11944129	NA21487	h2	1	774f1574b9a4feef137af55755755d60c64da25a5b5b3a5963923c43a5d9e23e
pro	8p23.1c	8p23.1c	NA21487_h2_HML-2_8p23.1c_graph_hgsvc3_linked_recovery|NA21487#2#haplotype2-0000145#0:11934408-11944129	NA21487_h2_HML-2_8p23.1c_graph_hgsvc3_linked_recovery	NA21487#2#haplotype2-0000145#0:11934408-11944129	NA21487	h2	1	2a76252724d11be7037f3f8aedcdd568d247758b14148cfcdb4703bda36bb699
pol	8p23.1c	8p23.1c	NA21487_h2_HML-2_8p23.1c_graph_hgsvc3_linked_recovery|NA21487#2#haplotype2-0000145#0:11934408-11944129	NA21487_h2_HML-2_8p23.1c_graph_hgsvc3_linked_recovery	NA21487#2#haplotype2-0000145#0:11934408-11944129	NA21487	h2	1	bafb57b3fc9e14716ef16689659a1967e3245bf84d01d6ed8bb5fb9c7aa7eb5d
env	8p23.1c	8p23.1c	NA21487_h2_HML-2_8p23.1c_graph_hgsvc3_linked_recovery|NA21487#2#haplotype2-0000145#0:11934408-11944129	NA21487_h2_HML-2_8p23.1c_graph_hgsvc3_linked_recovery	NA21487#2#haplotype2-0000145#0:11934408-11944129	NA21487	h2	1	36aca46ce4ecece7409bd0fddc42d9124da1d6df98cb3983fd23fd0d026087e6
gag	8p23.1b	8p23.1b	NA21487_h1_HML-2_8p23.1b_graph_hgsvc3_linked_recovery|NA21487#1#haplotype1-0000009#0:12325900-12335620	NA21487_h1_HML-2_8p23.1b_graph_hgsvc3_linked_recovery	NA21487#1#haplotype1-0000009#0:12325900-12335620	NA21487	h1	1	0956fced7ccb1aa77e3162ec83335d74642cf3f43577b6d82cfe5f57d866723a
pro	8p23.1b	8p23.1b	NA21487_h1_HML-2_8p23.1b_graph_hgsvc3_linked_recovery|NA21487#1#haplotype1-0000009#0:12325900-12335620	NA21487_h1_HML-2_8p23.1b_graph_hgsvc3_linked_recovery	NA21487#1#haplotype1-0000009#0:12325900-12335620	NA21487	h1	1	ea23b3e96010e49df11fd7f381e86897360c050fd86d941c3cbb0a4f14ff5632
pol	8p23.1b	8p23.1b	NA21487_h1_HML-2_8p23.1b_graph_hgsvc3_linked_recovery|NA21487#1#haplotype1-0000009#0:12325900-12335620	NA21487_h1_HML-2_8p23.1b_graph_hgsvc3_linked_recovery	NA21487#1#haplotype1-0000009#0:12325900-12335620	NA21487	h1	1	ec71488b9da45c093b744a947dd3aaa4d2a1bbb42d18b9027436c6025d20e7e6
env	8p23.1b	8p23.1b	NA21487_h1_HML-2_8p23.1b_graph_hgsvc3_linked_recovery|NA21487#1#haplotype1-0000009#0:12325900-12335620	NA21487_h1_HML-2_8p23.1b_graph_hgsvc3_linked_recovery	NA21487#1#haplotype1-0000009#0:12325900-12335620	NA21487	h1	1	cb423618c172341f9ef8ee47a70fa1dbfca48a135f02b6f3782fc083b5550565
gag	8p23.1c	8p23.1c	HG00732_h1_HML-2_8p23.1c_graph_hgsvc3_linked_recovery|HG00732#1#haplotype1-0000030#0:134879403-134889123	HG00732_h1_HML-2_8p23.1c_graph_hgsvc3_linked_recovery	HG00732#1#haplotype1-0000030#0:134879403-134889123	HG00732	h1	1	b8fc5d60c9fa3b47728d3f95bbe6ad32aa29593428e3f5f94beeb2bee6c0cd33
pro	8p23.1c	8p23.1c	HG00732_h1_HML-2_8p23.1c_graph_hgsvc3_linked_recovery|HG00732#1#haplotype1-0000030#0:134879403-134889123	HG00732_h1_HML-2_8p23.1c_graph_hgsvc3_linked_recovery	HG00732#1#haplotype1-0000030#0:134879403-134889123	HG00732	h1	1	2a76252724d11be7037f3f8aedcdd568d247758b14148cfcdb4703bda36bb699
pol	8p23.1c	8p23.1c	HG00732_h1_HML-2_8p23.1c_graph_hgsvc3_linked_recovery|HG00732#1#haplotype1-0000030#0:134879403-134889123	HG00732_h1_HML-2_8p23.1c_graph_hgsvc3_linked_recovery	HG00732#1#haplotype1-0000030#0:134879403-134889123	HG00732	h1	1	bafb57b3fc9e14716ef16689659a1967e3245bf84d01d6ed8bb5fb9c7aa7eb5d
env	8p23.1c	8p23.1c	HG00732_h1_HML-2_8p23.1c_graph_hgsvc3_linked_recovery|HG00732#1#haplotype1-0000030#0:134879403-134889123	HG00732_h1_HML-2_8p23.1c_graph_hgsvc3_linked_recovery	HG00732#1#haplotype1-0000030#0:134879403-134889123	HG00732	h1	1	e1389c9351fd292d9e01a631e0eebf53cc0980127b9708c438465b7d5881f98b
gag	8p23.1c	8p23.1c	HG02666_h2_HML-2_8p23.1c_graph_hgsvc3_linked_recovery|HG02666#2#haplotype2-0000080#0:11213933-11223653	HG02666_h2_HML-2_8p23.1c_graph_hgsvc3_linked_recovery	HG02666#2#haplotype2-0000080#0:11213933-11223653	HG02666	h2	1	b8fc5d60c9fa3b47728d3f95bbe6ad32aa29593428e3f5f94beeb2bee6c0cd33
pro	8p23.1c	8p23.1c	HG02666_h2_HML-2_8p23.1c_graph_hgsvc3_linked_recovery|HG02666#2#haplotype2-0000080#0:11213933-11223653	HG02666_h2_HML-2_8p23.1c_graph_hgsvc3_linked_recovery	HG02666#2#haplotype2-0000080#0:11213933-11223653	HG02666	h2	1	2a76252724d11be7037f3f8aedcdd568d247758b14148cfcdb4703bda36bb699
pol	8p23.1c	8p23.1c	HG02666_h2_HML-2_8p23.1c_graph_hgsvc3_linked_recovery|HG02666#2#haplotype2-0000080#0:11213933-11223653	HG02666_h2_HML-2_8p23.1c_graph_hgsvc3_linked_recovery	HG02666#2#haplotype2-0000080#0:11213933-11223653	HG02666	h2	1	bafb57b3fc9e14716ef16689659a1967e3245bf84d01d6ed8bb5fb9c7aa7eb5d
env	8p23.1c	8p23.1c	HG02666_h2_HML-2_8p23.1c_graph_hgsvc3_linked_recovery|HG02666#2#haplotype2-0000080#0:11213933-11223653	HG02666_h2_HML-2_8p23.1c_graph_hgsvc3_linked_recovery	HG02666#2#haplotype2-0000080#0:11213933-11223653	HG02666	h2	1	36aca46ce4ecece7409bd0fddc42d9124da1d6df98cb3983fd23fd0d026087e6
gag	8p23.1c	8p23.1c	HG04217_h1_HML-2_8p23.1c_graph_hgsvc3_linked_recovery|HG04217#1#haplotype1-0000016#0:135518013-135527733	HG04217_h1_HML-2_8p23.1c_graph_hgsvc3_linked_recovery	HG04217#1#haplotype1-0000016#0:135518013-135527733	HG04217	h1	1	37477782ddb75b6696303bdc33d17f966dce010f5d9ed6117288de27272ecc06
pro	8p23.1c	8p23.1c	HG04217_h1_HML-2_8p23.1c_graph_hgsvc3_linked_recovery|HG04217#1#haplotype1-0000016#0:135518013-135527733	HG04217_h1_HML-2_8p23.1c_graph_hgsvc3_linked_recovery	HG04217#1#haplotype1-0000016#0:135518013-135527733	HG04217	h1	1	2a76252724d11be7037f3f8aedcdd568d247758b14148cfcdb4703bda36bb699
pol	8p23.1c	8p23.1c	HG04217_h1_HML-2_8p23.1c_graph_hgsvc3_linked_recovery|HG04217#1#haplotype1-0000016#0:135518013-135527733	HG04217_h1_HML-2_8p23.1c_graph_hgsvc3_linked_recovery	HG04217#1#haplotype1-0000016#0:135518013-135527733	HG04217	h1	1	58b8a8066ba1b75db2b2a26cacc08ecb8ac34101113214942345363ad153b210
env	8p23.1c	8p23.1c	HG04217_h1_HML-2_8p23.1c_graph_hgsvc3_linked_recovery|HG04217#1#haplotype1-0000016#0:135518013-135527733	HG04217_h1_HML-2_8p23.1c_graph_hgsvc3_linked_recovery	HG04217#1#haplotype1-0000016#0:135518013-135527733	HG04217	h1	1	36aca46ce4ecece7409bd0fddc42d9124da1d6df98cb3983fd23fd0d026087e6
gag	8p23.1c	8p23.1c	NA19239_h2_HML-2_8p23.1c_graph_hgsvc3_linked_recovery|NA19239#2#haplotype2-0000075#0:134252942-134262662	NA19239_h2_HML-2_8p23.1c_graph_hgsvc3_linked_recovery	NA19239#2#haplotype2-0000075#0:134252942-134262662	NA19239	h2	1	1c2300d9dc3f8282da758add59ea42c02135fcd23eb83fe24aa9e4569621e45e
pro	8p23.1c	8p23.1c	NA19239_h2_HML-2_8p23.1c_graph_hgsvc3_linked_recovery|NA19239#2#haplotype2-0000075#0:134252942-134262662	NA19239_h2_HML-2_8p23.1c_graph_hgsvc3_linked_recovery	NA19239#2#haplotype2-0000075#0:134252942-134262662	NA19239	h2	1	ea23b3e96010e49df11fd7f381e86897360c050fd86d941c3cbb0a4f14ff5632
pol	8p23.1c	8p23.1c	NA19239_h2_HML-2_8p23.1c_graph_hgsvc3_linked_recovery|NA19239#2#haplotype2-0000075#0:134252942-134262662	NA19239_h2_HML-2_8p23.1c_graph_hgsvc3_linked_recovery	NA19239#2#haplotype2-0000075#0:134252942-134262662	NA19239	h2	1	8e8a8fef4486c42eb5e0b3273822b0278184903dfb455cdc778aeadfd0ce844f
env	8p23.1c	8p23.1c	NA19239_h2_HML-2_8p23.1c_graph_hgsvc3_linked_recovery|NA19239#2#haplotype2-0000075#0:134252942-134262662	NA19239_h2_HML-2_8p23.1c_graph_hgsvc3_linked_recovery	NA19239#2#haplotype2-0000075#0:134252942-134262662	NA19239	h2	1	cb423618c172341f9ef8ee47a70fa1dbfca48a135f02b6f3782fc083b5550565
gag	8p23.1c	8p23.1c	NA19836_h2_HML-2_8p23.1c_graph_hgsvc3_linked_recovery|NA19836#2#haplotype2-0000110#0:133797189-133806909	NA19836_h2_HML-2_8p23.1c_graph_hgsvc3_linked_recovery	NA19836#2#haplotype2-0000110#0:133797189-133806909	NA19836	h2	1	b8fc5d60c9fa3b47728d3f95bbe6ad32aa29593428e3f5f94beeb2bee6c0cd33
pro	8p23.1c	8p23.1c	NA19836_h2_HML-2_8p23.1c_graph_hgsvc3_linked_recovery|NA19836#2#haplotype2-0000110#0:133797189-133806909	NA19836_h2_HML-2_8p23.1c_graph_hgsvc3_linked_recovery	NA19836#2#haplotype2-0000110#0:133797189-133806909	NA19836	h2	1	2a76252724d11be7037f3f8aedcdd568d247758b14148cfcdb4703bda36bb699
