query	locus	gene	length	sha256	ID_Full	Source_Identifier	oriented_source_start	source_strand
q5957	Xq28a	env	2110	d14ba4c51b0904e5664b1a5d25bb128ff57522ce9e538d86ece451d47f2e9ff6	HG01123_pat_hprc_r2_v1.0.1_HML-2_Xq28a	HG01123#1#CM089094.1:153574663-153582322	4054	+
q5958	Xq28a	env	2110	d14ba4c51b0904e5664b1a5d25bb128ff57522ce9e538d86ece451d47f2e9ff6	HG01150_mat_hprc_r2_v1.0.1_HML-2_Xq28a	HG01150#2#CM088627.1:154014453-154022112	4054	+
q5959	Xq28a	env	2110	d14ba4c51b0904e5664b1a5d25bb128ff57522ce9e538d86ece451d47f2e9ff6	HG01175_mat_hprc_r2_v1.0.1_HML-2_Xq28a	HG01175#2#JAHALZ020000010.1:81585229-81592891	4057	+
q5960	Xq28a	env	2110	d14ba4c51b0904e5664b1a5d25bb128ff57522ce9e538d86ece451d47f2e9ff6	HG01243_mat_hprc_r2_v1.0.1_HML-2_Xq28a	HG01243#2#JAHEOX020000066.1:7796790-7804449	4054	+
q5961	Xq28a	env	2110	d14ba4c51b0904e5664b1a5d25bb128ff57522ce9e538d86ece451d47f2e9ff6	HG01255_mat_hprc_r2_v1.0.1_HML-2_Xq28a	HG01255#2#CM086728.1:152892539-152900198	4054	+
q5962	Xq28a	env	2110	d14ba4c51b0904e5664b1a5d25bb128ff57522ce9e538d86ece451d47f2e9ff6	HG01352_h1_HML-2_Xq28a_graph_hgsvc3-2024-02-23-mc-chm13	HG01352#1#haplotype1-0000034#0:1418176-1457989	1728	+
q5963	Xq28a	env	2110	d14ba4c51b0904e5664b1a5d25bb128ff57522ce9e538d86ece451d47f2e9ff6	HG01352_h2_HML-2_Xq28a_graph_hgsvc3-2024-02-23-mc-chm13	HG01352#2#haplotype2-0000156#0:1418177-1457990	4055	+
q5964	Xq28a	env	2110	d14ba4c51b0904e5664b1a5d25bb128ff57522ce9e538d86ece451d47f2e9ff6	HG01358_mat_hprc_r2_v1.0.1_HML-2_Xq28a	HG01358#2#JAGYZA020000054.1:33525520-33533179	4054	+
q5965	Xq28a	env	2110	d14ba4c51b0904e5664b1a5d25bb128ff57522ce9e538d86ece451d47f2e9ff6	HG01457_h1_HML-2_Xq28a_graph_hgsvc3-2024-02-23-mc-chm13	HG01457#1#haplotype1-0000029#0:1426160-1465977	1728	+
q5966	Xq28a	env	2110	d14ba4c51b0904e5664b1a5d25bb128ff57522ce9e538d86ece451d47f2e9ff6	HG01496_pat_hprc_r2_v1.0.1_HML-2_Xq28a	HG01496#1#JBHDRZ010000050.1:153891986-153899645	4054	+
q5967	Xq28a	env	2110	d14ba4c51b0904e5664b1a5d25bb128ff57522ce9e538d86ece451d47f2e9ff6	HG01505_h2_HML-2_Xq28a_graph_hgsvc3-2024-02-23-mc-chm13	HG01505#2#haplotype2-0000163#0:1412844-1452663	4057	+
q5968	Xq28a	env	2110	d14ba4c51b0904e5664b1a5d25bb128ff57522ce9e538d86ece451d47f2e9ff6	HG01573_h1_HML-2_Xq28a_graph_hgsvc3-2024-02-23-mc-chm13	HG01573#1#haplotype1-0000026#0:153813525-153853341	1728	+
q5969	Xq28a	env	2110	d14ba4c51b0904e5664b1a5d25bb128ff57522ce9e538d86ece451d47f2e9ff6	HG01573_h2_HML-2_Xq28a_graph_hgsvc3-2024-02-23-mc-chm13	HG01573#2#haplotype2-0000104#0:153291359-153331171	1728	+
q5970	Xq28a	env	2110	d14ba4c51b0904e5664b1a5d25bb128ff57522ce9e538d86ece451d47f2e9ff6	HG01596_h2_HML-2_Xq28a_graph_hgsvc3-2024-02-23-mc-chm13	HG01596#2#haplotype2-0000113#0:153764246-153804121	4054	+
q5971	Xq28a	env	2110	d14ba4c51b0904e5664b1a5d25bb128ff57522ce9e538d86ece451d47f2e9ff6	HG01784_hap2_hprc_r2_v1.0.1_HML-2_Xq28a	HG01784#2#JBHDXI010000003.1:82677843-82685505	4057	+
q5972	Xq28a	env	2110	d14ba4c51b0904e5664b1a5d25bb128ff57522ce9e538d86ece451d47f2e9ff6	HG01786_hap2_hprc_r2_v1.0.1_HML-2_Xq28a	HG01786#2#JBHIIX010000011.1:100802552-100810214	4057	+
q5973	Xq28a	env	2110	d14ba4c51b0904e5664b1a5d25bb128ff57522ce9e538d86ece451d47f2e9ff6	HG01884_mat_hprc_r2_v1.0.1_HML-2_Xq28a	HG01884#2#CM086433.1:152698080-152705739	4054	+
q5974	Xq28a	env	2110	d14ba4c51b0904e5664b1a5d25bb128ff57522ce9e538d86ece451d47f2e9ff6	HG01884_pat_hprc_r2_v1.0.1_HML-2_Xq28a	HG01884#1#CM086417.1:152868767-152876426	4054	+
q5975	Xq28a	env	2110	c6ea65a6ab827f52fc67ddf8115eddb25199a1ef47b208d5475167f05df567a9	HG01890_h1_HML-2_Xq28a_graph_hgsvc3-2024-02-23-mc-chm13	HG01890#1#haplotype1-0000005#0:153550363-153590154	4056	+
q5976	Xq28a	env	2110	d14ba4c51b0904e5664b1a5d25bb128ff57522ce9e538d86ece451d47f2e9ff6	HG01891_mat_hprc_r2_v1.0.1_HML-2_Xq28a	HG01891#2#CM088214.1:152676757-152684416	4054	+
q5977	Xq28a	env	2110	c6ea65a6ab827f52fc67ddf8115eddb25199a1ef47b208d5475167f05df567a9	HG01891_pat_hprc_r2_v1.0.1_HML-2_Xq28a	HG01891#1#CM088191.1:152939988-152947649	4056	+
q5978	Xq28a	env	2110	d14ba4c51b0904e5664b1a5d25bb128ff57522ce9e538d86ece451d47f2e9ff6	HG01960_mat_hprc_r2_v1.0.1_HML-2_Xq28a	HG01960#2#CM088682.1:151811995-151819654	4054	+
q5979	Xq28a	env	2110	d14ba4c51b0904e5664b1a5d25bb128ff57522ce9e538d86ece451d47f2e9ff6	HG02011_h2_HML-2_Xq28a_graph_hgsvc3-2024-02-23-mc-chm13	HG02011#2#haplotype2-0000088#0:153429666-153469479	1728	+
q5980	Xq28a	env	2110	d14ba4c51b0904e5664b1a5d25bb128ff57522ce9e538d86ece451d47f2e9ff6	HG02015_mat_hprc_r2_v1.0.1_HML-2_Xq28a	HG02015#2#JBHDVF010000009.1:33489914-33497575	4056	+
q5981	Xq28a	env	2110	d14ba4c51b0904e5664b1a5d25bb128ff57522ce9e538d86ece451d47f2e9ff6	HG02018_h1_HML-2_Xq28a_graph_hgsvc3-2024-02-23-mc-chm13	HG02018#1#haplotype1-0000034#0:1413756-1453570	4056	+
q5982	Xq28a	env	2110	d14ba4c51b0904e5664b1a5d25bb128ff57522ce9e538d86ece451d47f2e9ff6	HG02018_h2_HML-2_Xq28a_graph_hgsvc3-2024-02-23-mc-chm13	HG02018#2#haplotype2-0000109#0:1426612-1466425	4056	+
q5983	Xq28a	env	2110	d14ba4c51b0904e5664b1a5d25bb128ff57522ce9e538d86ece451d47f2e9ff6	HG02055_mat_hprc_r2_v1.0.1_HML-2_Xq28a	HG02055#2#CM092204.1:152267068-152274727	4054	+
q5984	Xq28a	env	2110	d14ba4c51b0904e5664b1a5d25bb128ff57522ce9e538d86ece451d47f2e9ff6	HG02056_mat_hprc_r2_v1.0.1_HML-2_Xq28a	HG02056#2#JBHDVD010000006.1:82692068-82699730	4057	+
q5985	Xq28a	env	2110	d14ba4c51b0904e5664b1a5d25bb128ff57522ce9e538d86ece451d47f2e9ff6	HG02059_h1_HML-2_Xq28a_graph_hgsvc3-2024-02-23-mc-chm13	HG02059#1#haplotype1-0000004#0:38953860-38993674	4057	+
q5986	Xq28a	env	2110	d14ba4c51b0904e5664b1a5d25bb128ff57522ce9e538d86ece451d47f2e9ff6	HG02059_h2_HML-2_Xq28a_graph_hgsvc3-2024-02-23-mc-chm13	HG02059#2#haplotype2-0000134#0:1406870-1446687	1728	+
q5987	Xq28a	env	2110	d14ba4c51b0904e5664b1a5d25bb128ff57522ce9e538d86ece451d47f2e9ff6	HG02106_h1_HML-2_Xq28a_graph_hgsvc3-2024-02-23-mc-chm13	HG02106#1#haplotype1-0000045#0:1421974-1461791	1728	+
q5988	Xq28a	env	2110	d14ba4c51b0904e5664b1a5d25bb128ff57522ce9e538d86ece451d47f2e9ff6	HG02106_h2_HML-2_Xq28a_graph_hgsvc3-2024-02-23-mc-chm13	HG02106#2#haplotype2-0000110#0:1410018-1449832	1728	+
q5989	Xq28a	env	2110	5d77e903a5fa72f19a47074f0dcc7978946c06de7e4a1cc0df2b2a192fe61bf5	HG02109_pat_hprc_r2_v1.0.1_HML-2_Xq28a	HG02109#1#CM092171.1:153484160-153491820	4055	+
q5990	Xq28a	env	2110	d14ba4c51b0904e5664b1a5d25bb128ff57522ce9e538d86ece451d47f2e9ff6	HG02257_mat_hprc_r2_v1.1.0_HML-2_Xq28a	HG02257#2#JAGYVI020000011.1:52253271-52260930	4054	+
q5991	Xq28a	env	2110	d14ba4c51b0904e5664b1a5d25bb128ff57522ce9e538d86ece451d47f2e9ff6	HG02257_pat_hprc_r2_v1.1.0_HML-2_Xq28a	HG02257#1#JAGYVH020000079.1:52262529-52270188	4054	+
q5992	Xq28a	env	2110	c6ea65a6ab827f52fc67ddf8115eddb25199a1ef47b208d5475167f05df567a9	HG02258_mat_hprc_r2_v1.0.1_HML-2_Xq28a	HG02258#2#JBHDUZ010000037.1:81650904-81658565	4056	+
q5993	Xq28a	env	2110	d14ba4c51b0904e5664b1a5d25bb128ff57522ce9e538d86ece451d47f2e9ff6	HG02273_hap1_hprc_r2_v1.0.1_HML-2_Xq28a	HG02273#1#CM087032.1:154451888-154459547	4054	+
q5994	Xq28a	env	2110	c6ea65a6ab827f52fc67ddf8115eddb25199a1ef47b208d5475167f05df567a9	HG02280_mat_hprc_r2_v1.0.1_HML-2_Xq28a	HG02280#2#CM086288.1:153343920-153351581	4056	+
q5995	Xq28a	env	2110	d14ba4c51b0904e5664b1a5d25bb128ff57522ce9e538d86ece451d47f2e9ff6	HG02280_pat_hprc_r2_v1.0.1_HML-2_Xq28a	HG02280#1#CM086300.1:152689978-152697637	4054	+
q5996	Xq28a	env	2110	d14ba4c51b0904e5664b1a5d25bb128ff57522ce9e538d86ece451d47f2e9ff6	HG02282_h1_HML-2_Xq28a_graph_hgsvc3-2024-02-23-mc-chm13	HG02282#1#haplotype1-0000023#0:29410392-29450196	4055	+
q5997	Xq28a	env	2110	b4588b7a2c8ff310954f552a8bd54a9cb56c65b0dd8c6276a9a515bbba7e24f3	HG02282_h2_HML-2_Xq28a_graph_hgsvc3-2024-02-23-mc-chm13	HG02282#2#haplotype2-0000108#0:1275596-1315410	1728	+
q5998	Xq28a	env	2110	c6ea65a6ab827f52fc67ddf8115eddb25199a1ef47b208d5475167f05df567a9	HG02451_mat_hprc_r2_v1.0.1_HML-2_Xq28a	HG02451#2#CM086233.1:152606228-152613889	4056	+
q5999	Xq28a	env	2110	d14ba4c51b0904e5664b1a5d25bb128ff57522ce9e538d86ece451d47f2e9ff6	HG02492_h2_HML-2_Xq28a_graph_hgsvc3-2024-02-23-mc-chm13	HG02492#2#haplotype2-0000106#0:1426556-1466386	4054	+
q6000	Xq28a	env	2110	d14ba4c51b0904e5664b1a5d25bb128ff57522ce9e538d86ece451d47f2e9ff6	HG02554_h1_HML-2_Xq28a_graph_hgsvc3-2024-02-23-mc-chm13	HG02554#1#haplotype1-0000024#0:1421635-1461442	1728	+
q6001	Xq28a	env	2110	d14ba4c51b0904e5664b1a5d25bb128ff57522ce9e538d86ece451d47f2e9ff6	HG02559_pat_hprc_r2_v1.0.1_HML-2_Xq28a	HG02559#1#JAGYVK020000041.1:100825712-100833371	4054	+
q6002	Xq28a	env	2110	d14ba4c51b0904e5664b1a5d25bb128ff57522ce9e538d86ece451d47f2e9ff6	HG02572_mat_hprc_r2_v1.0.1_HML-2_Xq28a	HG02572#2#JAHAOV020000022.1:18875623-18883282	4054	+
q6003	Xq28a	env	2110	d14ba4c51b0904e5664b1a5d25bb128ff57522ce9e538d86ece451d47f2e9ff6	HG02583_hap1_hprc_r2_v1.0.1_HML-2_Xq28a	HG02583#1#CM089501.1:153553664-153561324	4055	+
q6004	Xq28a	env	2110	d14ba4c51b0904e5664b1a5d25bb128ff57522ce9e538d86ece451d47f2e9ff6	HG02583_hap2_hprc_r2_v1.0.1_HML-2_Xq28a	HG02583#2#CM089527.1:152943168-152950827	4054	+
q6005	Xq28a	env	2110	d14ba4c51b0904e5664b1a5d25bb128ff57522ce9e538d86ece451d47f2e9ff6	HG02587_h1_HML-2_Xq28a_graph_hgsvc3-2024-02-23-mc-chm13	HG02587#1#haplotype1-0000034#0:152354898-152394704	4056	+
q6006	Xq28a	env	2110	c6ea65a6ab827f52fc67ddf8115eddb25199a1ef47b208d5475167f05df567a9	HG02587_h2_HML-2_Xq28a_graph_hgsvc3-2024-02-23-mc-chm13	HG02587#2#haplotype2-0000046#0:18762802-18802577	4056	+
q6007	Xq28a	env	2110	d14ba4c51b0904e5664b1a5d25bb128ff57522ce9e538d86ece451d47f2e9ff6	HG02602_mat_hprc_r2_v1.0.1_HML-2_Xq28a	HG02602#2#CM099712.1:154218601-154226260	4054	+
q6008	Xq28a	env	2110	c6ea65a6ab827f52fc67ddf8115eddb25199a1ef47b208d5475167f05df567a9	HG02615_mat_hprc_r2_v1.0.1_HML-2_Xq28a	HG02615#2#JBHDTA010000005.1:81520176-81527837	4056	+
q6009	Xq28a	env	2110	d14ba4c51b0904e5664b1a5d25bb128ff57522ce9e538d86ece451d47f2e9ff6	HG02615_pat_hprc_r2_v1.0.1_HML-2_Xq28a	HG02615#1#JBHDSZ010000019.1:81663072-81670733	4056	+
q6010	Xq28a	env	2110	d14ba4c51b0904e5664b1a5d25bb128ff57522ce9e538d86ece451d47f2e9ff6	HG02666_h1_HML-2_Xq28a_graph_hgsvc3-2024-02-23-mc-chm13	HG02666#1#haplotype1-0000029#0:1425134-1464931	1728	+
q6011	Xq28a	env	2110	d14ba4c51b0904e5664b1a5d25bb128ff57522ce9e538d86ece451d47f2e9ff6	HG02698_mat_hprc_r2_v1.0.1_HML-2_Xq28a	HG02698#2#JBHDTM010000050.1:1449165-1456823	4053	+
q6012	Xq28a	env	2110	d14ba4c51b0904e5664b1a5d25bb128ff57522ce9e538d86ece451d47f2e9ff6	HG02738_mat_hprc_r2_v1.0.1_HML-2_Xq28a	HG02738#2#JBJXQK010000036.1:97795717-97803376	4054	+
q6013	Xq28a	env	2110	d14ba4c51b0904e5664b1a5d25bb128ff57522ce9e538d86ece451d47f2e9ff6	HG02809_pat_hprc_r2_v1.0.1_HML-2_Xq28a	HG02809#1#CM088358.1:152138183-152145844	4056	+
q6014	Xq28a	env	2110	d14ba4c51b0904e5664b1a5d25bb128ff57522ce9e538d86ece451d47f2e9ff6	HG02818_pat_hprc_r2_v1.0.1_HML-2_Xq28a	HG02818#1#CM092008.1:152142457-152150116	4054	+
q6015	Xq28a	env	2110	d14ba4c51b0904e5664b1a5d25bb128ff57522ce9e538d86ece451d47f2e9ff6	HG02841_mat_hprc_r2_v1.0.1_HML-2_Xq28a	HG02841#2#JBJKOH010000005.1:100717219-100724878	4054	+
q6016	Xq28a	env	2110	d14ba4c51b0904e5664b1a5d25bb128ff57522ce9e538d86ece451d47f2e9ff6	HG02886_mat_hprc_r2_v1.0.1_HML-2_Xq28a	HG02886#2#CM088138.1:151792794-151800453	4054	+
q6017	Xq28a	env	2110	c6ea65a6ab827f52fc67ddf8115eddb25199a1ef47b208d5475167f05df567a9	HG02922_hap1_hprc_r2_v1.0.1_HML-2_Xq28a	HG02922#1#JBHDVO010000052.1:152347855-152355516	4056	+
q6018	Xq28a	env	2110	d14ba4c51b0904e5664b1a5d25bb128ff57522ce9e538d86ece451d47f2e9ff6	HG02953_h2_HML-2_Xq28a_graph_hgsvc3-2024-02-23-mc-chm13	HG02953#2#haplotype2-0000144#0:1428085-1467901	4054	+
q6019	Xq28a	env	2110	5d77e903a5fa72f19a47074f0dcc7978946c06de7e4a1cc0df2b2a192fe61bf5	HG02965_hap2_hprc_r2_v1.0.1_HML-2_Xq28a	HG02965#2#JBHDWR010000014.1:52040784-52048444	4055	+
q6020	Xq28a	env	2110	d14ba4c51b0904e5664b1a5d25bb128ff57522ce9e538d86ece451d47f2e9ff6	HG02976_hap1_hprc_r2_v1.0.1_HML-2_Xq28a	HG02976#1#JBHDVW010000042.1:100898050-100905709	4054	+
q6021	Xq28a	env	2110	c6ea65a6ab827f52fc67ddf8115eddb25199a1ef47b208d5475167f05df567a9	HG02976_hap2_hprc_r2_v1.0.1_HML-2_Xq28a	HG02976#2#JBHDVX010000015.1:100974675-100982336	4056	+
q6022	Xq28a	env	2110	d14ba4c51b0904e5664b1a5d25bb128ff57522ce9e538d86ece451d47f2e9ff6	HG02984_mat_hprc_r2_v1.0.1_HML-2_Xq28a	HG02984#2#JBJKON010000054.1:104435933-104443592	4054	+
q6023	Xq28a	env	2110	d14ba4c51b0904e5664b1a5d25bb128ff57522ce9e538d86ece451d47f2e9ff6	HG03009_h2_HML-2_Xq28a_graph_hgsvc3-2024-02-23-mc-chm13	HG03009#2#haplotype2-0000066#0:153384546-153424355	1728	+
q6024	Xq28a	env	2110	d14ba4c51b0904e5664b1a5d25bb128ff57522ce9e538d86ece451d47f2e9ff6	HG03017_mat_hprc_r2_v1.0.1_HML-2_Xq28a	HG03017#2#JBHIIF010000004.1:101417853-101425513	4055	+
q6025	Xq28a	env	2110	ad59f089897f1d6d2c3fbf016098afad3d6c17fa2f5e52d5f72d881064104270	HG03065_h2_HML-2_Xq28a_graph_hgsvc3-2024-02-23-mc-chm13	HG03065#2#haplotype2-0000046#0:152262196-152302013	1728	+
q6026	Xq28a	env	2110	d14ba4c51b0904e5664b1a5d25bb128ff57522ce9e538d86ece451d47f2e9ff6	HG03130_hap2_hprc_r2_v1.0.1_HML-2_Xq28a	HG03130#2#JBHDWJ010000050.1:81564616-81572277	4056	+
q6027	Xq28a	env	2110	d14ba4c51b0904e5664b1a5d25bb128ff57522ce9e538d86ece451d47f2e9ff6	HG03195_hap2_hprc_r2_v1.0.1_HML-2_Xq28a	HG03195#2#JBHDVV010000016.1:33748026-33755685	4054	+
q6028	Xq28a	env	2110	d14ba4c51b0904e5664b1a5d25bb128ff57522ce9e538d86ece451d47f2e9ff6	HG03248_h2_HML-2_Xq28a_graph_hgsvc3-2024-02-23-mc-chm13	HG03248#2#haplotype2-0000160#0:153019925-153059759	4054	+
q6029	Xq28a	env	2110	d14ba4c51b0904e5664b1a5d25bb128ff57522ce9e538d86ece451d47f2e9ff6	HG03270_hap1_hprc_r2_v1.0.1_HML-2_Xq28a	HG03270#1#CM089909.1:154031422-154039081	4054	+
q6030	Xq28a	env	2110	d14ba4c51b0904e5664b1a5d25bb128ff57522ce9e538d86ece451d47f2e9ff6	HG03270_hap2_hprc_r2_v1.0.1_HML-2_Xq28a	HG03270#2#CM089921.1:152502520-152510179	4054	+
q6031	Xq28a	env	2110	d14ba4c51b0904e5664b1a5d25bb128ff57522ce9e538d86ece451d47f2e9ff6	HG03369_hap1_hprc_r2_v1.0.1_HML-2_Xq28a	HG03369#1#CM094393.1:153368254-153375916	4057	+
q6032	Xq28a	env	2110	d14ba4c51b0904e5664b1a5d25bb128ff57522ce9e538d86ece451d47f2e9ff6	HG03369_hap2_hprc_r2_v1.0.1_HML-2_Xq28a	HG03369#2#CM094369.1:153262742-153270403	4056	+
q6033	Xq28a	env	2110	d14ba4c51b0904e5664b1a5d25bb128ff57522ce9e538d86ece451d47f2e9ff6	HG03371_h2_HML-2_Xq28a_graph_hgsvc3-2024-02-23-mc-chm13	HG03371#2#haplotype2-0000059#0:1430975-1470780	4056	+
q6034	Xq28a	env	2110	d14ba4c51b0904e5664b1a5d25bb128ff57522ce9e538d86ece451d47f2e9ff6	HG03452_h1_HML-2_Xq28a_graph_hgsvc3-2024-02-23-mc-chm13	HG03452#1#haplotype1-0000002#0:13321471-13361304	4055	+
