locus	orf	position	compatible	assessed	unassessed	frequency
HML-2_1p31.1b	pol	3	0	7	0	0.0
HML-2_1p31.1b	pol	4	0	3	0	0.0
HML-2_1p31.1b	pro	1	0	9	0	0.0
HML-2_1p31.1b	pro	2	0	9	0	0.0
HML-2_1p31.1b	pro	3	0	7	0	0.0
HML-2_1p31.1b	pro	4	0	3	0	0.0
HML-2_3q13.2	env	1	0	3	0	0.0
HML-2_3q13.2	env	2	0	3	0	0.0
HML-2_3q13.2	gag	1	3	3	0	1.0
HML-2_3q13.2	gag	2	3	3	0	1.0
HML-2_3q13.2	np9	1	3	3	0	1.0
HML-2_3q13.2	np9	2	3	3	0	1.0
HML-2_3q13.2	pol	1	0	3	0	0.0
HML-2_3q13.2	pol	2	0	3	0	0.0
HML-2_3q13.2	pro	1	0	3	0	0.0
HML-2_3q13.2	pro	2	0	3	0	0.0
HML-2_3q27.2	env	1	0	2	0	0.0
HML-2_3q27.2	env	2	0	2	0	0.0
HML-2_3q27.2	gag	1	0	2	0	0.0
HML-2_3q27.2	gag	2	0	2	0	0.0
HML-2_3q27.2	np9	1	2	2	0	1.0
HML-2_3q27.2	np9	2	2	2	0	1.0
HML-2_3q27.2	pol	1	2	2	0	1.0
HML-2_3q27.2	pol	2	2	2	0	1.0
HML-2_3q27.2	pro	1	0	2	0	0.0
HML-2_3q27.2	pro	2	0	2	0	0.0
HML-2_5q33.3	env	1	0	4	0	0.0
HML-2_5q33.3	env	2	0	4	0	0.0
HML-2_5q33.3	env	3	0	2	0	0.0
HML-2_5q33.3	gag	1	3	4	0	0.75
HML-2_5q33.3	gag	2	3	4	0	0.75
HML-2_5q33.3	gag	3	2	2	0	1.0
HML-2_5q33.3	np9	1	4	4	0	1.0
HML-2_5q33.3	np9	2	4	4	0	1.0
HML-2_5q33.3	np9	3	2	2	0	1.0
HML-2_5q33.3	pol	1	3	4	0	0.75
HML-2_5q33.3	pol	2	3	4	0	0.75
HML-2_5q33.3	pol	3	2	2	0	1.0
HML-2_5q33.3	pro	1	3	4	0	0.75
HML-2_5q33.3	pro	2	3	4	0	0.75
HML-2_5q33.3	pro	3	2	2	0	1.0
HML-2_6q14.1	K-rev	1	4	4	0	1.0
HML-2_6q14.1	K-rev	2	4	4	0	1.0
HML-2_6q14.1	K-rev	3	1	1	0	1.0
HML-2_6q14.1	env	1	4	4	0	1.0
HML-2_6q14.1	env	2	4	4	0	1.0
HML-2_6q14.1	env	3	1	1	0	1.0
HML-2_6q14.1	gag	1	4	4	0	1.0
HML-2_6q14.1	gag	2	4	4	0	1.0
HML-2_6q14.1	gag	3	1	1	0	1.0
HML-2_6q14.1	pol	1	0	4	0	0.0
HML-2_6q14.1	pol	2	0	4	0	0.0
HML-2_6q14.1	pol	3	0	1	0	0.0
HML-2_6q14.1	pro	1	4	4	0	1.0
HML-2_6q14.1	pro	2	4	4	0	1.0
HML-2_6q14.1	pro	3	1	1	0	1.0
HML-2_7p22.1	K-rev	1	247	247	0	1.0
HML-2_7p22.1	K-rev	2	247	247	0	1.0
HML-2_7p22.1	K-rev	3	17	17	0	1.0
HML-2_7p22.1	K-rev	4	5	5	0	1.0
HML-2_7p22.1	K-rev	5	1	1	0	1.0
HML-2_7p22.1	K-rev	6	1	1	0	1.0
HML-2_7p22.1	env	1	247	247	0	1.0
HML-2_7p22.1	env	2	247	247	0	1.0
HML-2_7p22.1	env	3	17	17	0	1.0
HML-2_7p22.1	env	4	4	5	0	0.8
HML-2_7p22.1	env	5	1	1	0	1.0
HML-2_7p22.1	env	6	1	1	0	1.0
HML-2_7p22.1	gag	1	72	247	0	0.291497975708502
HML-2_7p22.1	gag	2	122	247	0	0.4939271255060729
HML-2_7p22.1	gag	3	4	17	0	0.23529411764705882
HML-2_7p22.1	gag	4	2	5	0	0.4
HML-2_7p22.1	gag	5	0	1	0	0.0
HML-2_7p22.1	gag	6	0	1	0	0.0
HML-2_7p22.1	pol	1	247	247	0	1.0
HML-2_7p22.1	pol	2	246	247	0	0.9959514170040485
HML-2_7p22.1	pol	3	17	17	0	1.0
HML-2_7p22.1	pol	4	4	5	0	0.8
HML-2_7p22.1	pol	5	1	1	0	1.0
HML-2_7p22.1	pol	6	1	1	0	1.0
HML-2_7p22.1	pro	1	77	247	0	0.3117408906882591
HML-2_7p22.1	pro	2	244	247	0	0.9878542510121457
HML-2_7p22.1	pro	3	17	17	0	1.0
HML-2_7p22.1	pro	4	5	5	0	1.0
HML-2_7p22.1	pro	5	1	1	0	1.0
HML-2_7p22.1	pro	6	1	1	0	1.0
