locus	catalog_records	donors	donor_haplotypes	paired_accepted	identical_pairs	one_mismatch_pairs	two_mismatch_pairs	different_pairs	fraction_different	length_robust_candidate_differences	length_ambiguous_differences	one_sided	unavailable	no_exact_retained_record
HML-2_22p13	651	292	559	0	0	0	0	0		0	0	0	650	1
HML-2_22q11.21	584	292	584	578	578	0	0	0	0.0	0	0	0	6	0
HML-2_22q11.23	588	292	584	0	0	0	0	0		0	0	583	5	0
HML-2_2q21.1	584	292	584	0	0	0	0	0		0	0	104	480	0
HML-2_3p12.3	584	292	584	0	0	0	0	0		0	0	0	584	0
HML-2_3p25.3	584	292	584	0	0	0	0	0		0	0	0	584	0
HML-2_3q12.3	584	292	584	0	0	0	0	0		0	0	578	6	0
HML-2_3q13.2	587	292	584	587	587	0	0	0	0.0	0	0	0	0	0
HML-2_3q21.2	584	292	584	0	0	0	0	0		0	0	583	1	0
HML-2_3q24_hg38	635	292	584	0	0	0	0	0		0	0	0	584	51
HML-2_3q27.2	586	292	584	586	586	0	0	0	0.0	0	0	0	0	0
HML-2_4p16.1a	586	292	584	0	0	0	0	0		0	0	0	585	1
HML-2_4p16.1b	584	292	584	0	0	0	0	0		0	0	0	584	0
HML-2_4p16.3a	629	292	575	0	0	0	0	0		0	0	10	569	50
HML-2_4p16.3b	584	292	584	0	0	0	0	0		0	0	0	584	0
HML-2_4p16.3c	584	292	584	0	0	0	0	0		0	0	0	584	0
HML-2_4q13.2	584	292	584	0	0	0	0	0		0	0	0	584	0
HML-2_4q32.1	584	292	584	0	0	0	0	0		0	0	584	0	0
HML-2_4q32.3	584	292	584	0	0	0	0	0		0	0	584	0	0
HML-2_4q35.2_hg38	577	292	576	0	0	0	0	0		0	0	0	553	24
HML-2_5p12	585	292	584	0	0	0	0	0		0	0	581	4	0
HML-2_5p13.3	584	292	584	584	584	0	0	0	0.0	0	0	0	0	0
HML-2_5q11.2	584	292	584	584	570	14	0	14	0.023972602739726026	14	0	0	0	0
HML-2_5q33.2	587	292	584	0	0	0	0	0		0	0	0	584	3
HML-2_5q33.3	590	292	584	588	588	0	0	0	0.0	0	0	1	1	0
HML-2_6p21.1	584	292	584	0	0	0	0	0		0	0	0	584	0
HML-2_6p22.1	584	292	584	0	0	0	0	0		0	0	0	584	0
HML-2_6q11.1	595	292	584	0	0	0	0	0		0	0	0	584	11
HML-2_6q14.1	590	292	584	580	580	0	0	0	0.0	0	0	2	7	1
HML-2_6q25.1	584	292	584	0	0	0	0	0		0	0	1	583	0
HML-2_7p22.1	854	292	583	854	853	1	0	1	0.00117096018735363	1	0	0	0	0
HML-2_7q11.21	585	292	584	0	0	0	0	0		0	0	2	583	0
HML-2_7q22.2	584	292	584	0	0	0	0	0		0	0	584	0	0
HML-2_7q34	584	292	584	0	0	0	0	0		0	0	0	584	0
HML-2_8p23.1_duplicate_group_unresolved	6	6	6	0	0	0	0	0		0	0	0	6	0
HML-2_8p23.1a_hg38	604	292	584	42	0	0	42	42	1.0	0	42	0	542	20
HML-2_8p23.1b	606	292	584	0	0	0	0	0		0	0	0	580	26
HML-2_8p23.1c	580	292	572	0	0	0	0	0		0	0	0	556	24
HML-2_8p23.1d	579	290	546	0	0	0	0	0		0	0	0	546	33
HML-2_8p23.1e	617	292	581	0	0	0	0	0		0	0	0	582	35
HML-2_8q11.21	584	292	584	0	0	0	0	0		0	0	0	584	0
HML-2_8q11.23_new	584	292	584	584	584	0	0	0	0.0	0	0	0	0	0
HML-2_8q24.3a	584	292	584	0	0	0	0	0		0	0	584	0	0
HML-2_8q24.3c	586	292	584	0	0	0	0	0		0	0	0	585	1
HML-2_9q34.11	584	292	584	0	0	0	0	0		0	0	0	584	0
HML-2_9q34.3	586	292	584	0	0	0	0	0		0	0	0	584	2
HML-2_Xq11.1	586	292	584	0	0	0	0	0		0	0	0	586	0
HML-2_Xq12	584	292	584	0	0	0	0	0		0	0	0	584	0
HML-2_Xq21.33	639	292	584	6	6	0	0	0	0.0	0	0	0	578	55
HML-2_Xq28a	584	292	584	0	0	0	0	0		0	0	0	584	0
HML-2_Xq28b	638	292	584	0	0	0	0	0		0	0	0	585	53
HML-2_Yp11.2	584	292	584	0	0	0	0	0		0	0	0	584	0
HML-2_Yq11.23_duplicate_group_unresolved	6	6	6	0	0	0	0	0		0	0	0	6	0
HML-2_Yq11.23a	580	292	578	0	0	0	0	0		0	0	0	464	116
HML-2_Yq11.23b	585	292	578	0	0	0	0	0		0	0	0	469	116
HML-2_acro_type1	215	154	180	39	39	0	0	0	0.0	0	0	128	48	0
HML-2_acro_type2	388	208	277	0	0	0	0	0		0	0	0	388	0
