alignment	record	original_locus	locus	sample	haplotype	newly_admitted	candidate_source_count	ID_Full	Source_Identifier	source_binding_basis	copy_suffixed_record	physical_locus_changed_from_extraction	aligned_canonical_bases	aligned_sequence_sha256
10p12.1_carrier_kcon.aln.fa	HG00321_hap2	10p12.1	10p12.1	HG00321	h2	0	1	HG00321_hap2_hprc_r2_v1.0.1_HML-2_10p12.1	HG00321#2#CM089576.1:26904059-26914425	unique_original_catalog_slot	0	0	9166	52b6d991b1504572447edcc73715e80806dedb46da1419ab7025f9d33fe7f404
10p12.1_carrier_kcon.aln.fa	HG00329_hap1	10p12.1	10p12.1	HG00329	h1	0	1	HG00329_hap1_hprc_r2_v1.0.1_HML-2_10p12.1	HG00329#1#CM094230.1:26903139-26913505	unique_original_catalog_slot	0	0	9166	161cf0b67e90b8d3144e673d9fe9dce03807281bd4328cf07805249ea1cf1300
10p12.1_carrier_kcon.aln.fa	HG00344_hap2	10p12.1	10p12.1	HG00344	h2	0	1	HG00344_hap2_hprc_r2_v1.0.1_HML-2_10p12.1	HG00344#2#CM094516.1:26911555-26921921	unique_original_catalog_slot	0	0	9166	161cf0b67e90b8d3144e673d9fe9dce03807281bd4328cf07805249ea1cf1300
10p12.1_carrier_kcon.aln.fa	HG00350_hap1	10p12.1	10p12.1	HG00350	h1	0	1	HG00350_hap1_hprc_r2_v1.0.1_HML-2_10p12.1	HG00350#1#CM094475.1:26915600-26925966	unique_original_catalog_slot	0	0	9166	160c36ba77dc0bf0390ce2511a245f67a04135ee9fdd17015b0a9048bce16874
10p12.1_carrier_kcon.aln.fa	HG00350_hap2	10p12.1	10p12.1	HG00350	h2	0	1	HG00350_hap2_hprc_r2_v1.0.1_HML-2_10p12.1	HG00350#2#CM094494.1:26891963-26902329	unique_original_catalog_slot	0	0	9166	161cf0b67e90b8d3144e673d9fe9dce03807281bd4328cf07805249ea1cf1300
10p12.1_carrier_kcon.aln.fa	HG00358_h1	10p12.1	10p12.1	HG00358	h1	0	1	HG00358_h1_HML-2_10p12.1_graph_hgsvc3-2024-02-23-mc-chm13	HG00358#1#haplotype1-0000023#0:109361292-109400713	unique_original_catalog_slot	0	0	9166	195a8934d075bd1eee555a2d35e15fc8cbb1223726c8ed595468295072784227
10p12.1_carrier_kcon.aln.fa	HG00358_h2	10p12.1	10p12.1	HG00358	h2	0	1	HG00358_h2_HML-2_10p12.1_graph_hgsvc3-2024-02-23-mc-chm13	HG00358#2#haplotype2-0000103#0:107672587-107711994	unique_original_catalog_slot	0	0	9166	18371835bb394b3094d9ef5f166ba1bb5c250e35a36801a4e8bfbc716969cc7b
10p12.1_carrier_kcon.aln.fa	HG00423_mat	10p12.1	10p12.1	HG00423	mat	0	1	HG00423_mat_hprc_r2_v1.0.1_HML-2_10p12.1	HG00423#2#CM089419.1:26912304-26922670	unique_original_catalog_slot	0	0	9166	87f0f72a2c332b8a580f32a1b4328aab2cf9a30d8567627ecab52685867a9f5d
10p12.1_carrier_kcon.aln.fa	HG00423_pat	10p12.1	10p12.1	HG00423	pat	0	1	HG00423_pat_hprc_r2_v1.0.1_HML-2_10p12.1	HG00423#1#CM089404.1:26910835-26921201	unique_original_catalog_slot	0	0	9166	52b6d991b1504572447edcc73715e80806dedb46da1419ab7025f9d33fe7f404
10p12.1_carrier_kcon.aln.fa	HG00438_mat	10p12.1	10p12.1	HG00438	mat	0	1	HG00438_mat_hprc_r2_v1.0.1_HML-2_10p12.1	HG00438#2#CM089194.1:26908659-26919025	unique_original_catalog_slot	0	0	9166	161cf0b67e90b8d3144e673d9fe9dce03807281bd4328cf07805249ea1cf1300
10p12.1_carrier_kcon.aln.fa	HG00438_pat	10p12.1	10p12.1	HG00438	pat	0	1	HG00438_pat_hprc_r2_v1.0.1_HML-2_10p12.1	HG00438#1#CM089176.1:26883970-26894336	unique_original_catalog_slot	0	0	9166	11354f8803ead733a2d26416079d5e37901ad34e37d9a7dd75f694484607c76c
10p12.1_carrier_kcon.aln.fa	HG00512_h1	10p12.1	10p12.1	HG00512	h1	0	1	HG00512_h1_HML-2_10p12.1_graph_hgsvc3-2024-02-23-mc-chm13	HG00512#1#haplotype1-0000010#0:107696735-107736160	unique_original_catalog_slot	0	0	9166	ccd8fadf337d6beb911357799b28c304acb87efa8de2722c16c4105d7a1073db
10p12.1_carrier_kcon.aln.fa	HG00512_h2	10p12.1	10p12.1	HG00512	h2	0	1	HG00512_h2_HML-2_10p12.1_graph_hgsvc3-2024-02-23-mc-chm13	HG00512#2#haplotype2-0000277#0:107055756-107095163	unique_original_catalog_slot	0	0	9166	ce4af8c56d2de8ca2b3277cfe4b7c42bcf59a0bf3ff3d9096ce60ac968951e9f
10p12.1_carrier_kcon.aln.fa	HG00513_h1	10p12.1	10p12.1	HG00513	h1	0	1	HG00513_h1_HML-2_10p12.1_graph_hgsvc3-2024-02-23-mc-chm13	HG00513#1#haplotype1-0000015#0:26877843-26917238	unique_original_catalog_slot	0	0	9166	7e991423fc5b093c6ddff85364e217d694277945761881302fa2199f8f5c5d16
10p12.1_carrier_kcon.aln.fa	HG00513_h2	10p12.1	10p12.1	HG00513	h2	0	1	HG00513_h2_HML-2_10p12.1_graph_hgsvc3-2024-02-23-mc-chm13	HG00513#2#haplotype2-0000119#0:109319704-109359112	unique_original_catalog_slot	0	0	9166	52b6d991b1504572447edcc73715e80806dedb46da1419ab7025f9d33fe7f404
10p12.1_carrier_kcon.aln.fa	HG00558_mat	10p12.1	10p12.1	HG00558	mat	0	1	HG00558_mat_hprc_r2_v1.0.1_HML-2_10p12.1	HG00558#2#CM088528.1:26893640-26904006	unique_original_catalog_slot	0	0	9166	ccd8fadf337d6beb911357799b28c304acb87efa8de2722c16c4105d7a1073db
10p12.1_carrier_kcon.aln.fa	HG00597_mat	10p12.1	10p12.1	HG00597	mat	0	1	HG00597_mat_hprc_r2_v1.0.1_HML-2_10p12.1	HG00597#2#CM085787.1:26917873-26928239	unique_original_catalog_slot	0	0	9166	52b6d991b1504572447edcc73715e80806dedb46da1419ab7025f9d33fe7f404
10p12.1_carrier_kcon.aln.fa	HG00597_pat	10p12.1	10p12.1	HG00597	pat	0	1	HG00597_pat_hprc_r2_v1.0.1_HML-2_10p12.1	HG00597#1#CM085773.1:26910684-26921050	unique_original_catalog_slot	0	0	9166	87f0f72a2c332b8a580f32a1b4328aab2cf9a30d8567627ecab52685867a9f5d
10p12.1_carrier_kcon.aln.fa	HG005_mat	10p12.1	10p12.1	HG005	mat	0	1	HG005_mat_hprc_r2_v1.0.1_HML-2_10p12.1	HG005#2#CM099979.1:26898031-26908397	unique_original_catalog_slot	0	0	9166	52b6d991b1504572447edcc73715e80806dedb46da1419ab7025f9d33fe7f404
10p12.1_carrier_kcon.aln.fa	HG005_pat	10p12.1	10p12.1	HG005	pat	0	1	HG005_pat_hprc_r2_v1.0.1_HML-2_10p12.1	HG005#1#CM099990.1:26896551-26906917	unique_original_catalog_slot	0	0	9166	87f0f72a2c332b8a580f32a1b4328aab2cf9a30d8567627ecab52685867a9f5d
10p12.1_carrier_kcon.aln.fa	HG00609_mat	10p12.1	10p12.1	HG00609	mat	0	1	HG00609_mat_hprc_r2_v1.0.1_HML-2_10p12.1	HG00609#2#CM086365.1:26904673-26915039	unique_original_catalog_slot	0	0	9166	52b6d991b1504572447edcc73715e80806dedb46da1419ab7025f9d33fe7f404
10p12.1_carrier_kcon.aln.fa	HG00609_pat	10p12.1	10p12.1	HG00609	pat	0	1	HG00609_pat_hprc_r2_v1.0.1_HML-2_10p12.1	HG00609#1#CM086353.1:26899380-26909746	unique_original_catalog_slot	0	0	9166	52b6d991b1504572447edcc73715e80806dedb46da1419ab7025f9d33fe7f404
10p12.1_carrier_kcon.aln.fa	HG00621_mat	10p12.1	10p12.1	HG00621	mat	0	1	HG00621_mat_hprc_r2_v1.0.1_HML-2_10p12.1	HG00621#2#CM087868.1:26897750-26908116	unique_original_catalog_slot	0	0	9166	11354f8803ead733a2d26416079d5e37901ad34e37d9a7dd75f694484607c76c
10p12.1_carrier_kcon.aln.fa	HG00621_pat	10p12.1	10p12.1	HG00621	pat	0	1	HG00621_pat_hprc_r2_v1.0.1_HML-2_10p12.1	HG00621#1#CM087855.1:26906853-26917219	unique_original_catalog_slot	0	0	9166	ccd8fadf337d6beb911357799b28c304acb87efa8de2722c16c4105d7a1073db
10p12.1_carrier_kcon.aln.fa	HG00639_mat	10p12.1	10p12.1	HG00639	mat	0	1	HG00639_mat_hprc_r2_v1.0.1_HML-2_10p12.1	HG00639#2#CM088558.1:26898925-26909291	unique_original_catalog_slot	0	0	9166	793566740dbe9c030ad985ac0d1604c1f5052e9d74d9ad8048b070c2183200ac
10p12.1_carrier_kcon.aln.fa	HG00639_pat	10p12.1	10p12.1	HG00639	pat	0	1	HG00639_pat_hprc_r2_v1.0.1_HML-2_10p12.1	HG00639#1#CM088544.1:26904541-26914907	unique_original_catalog_slot	0	0	9166	52b6d991b1504572447edcc73715e80806dedb46da1419ab7025f9d33fe7f404
10p12.1_carrier_kcon.aln.fa	HG00642_mat	10p12.1	10p12.1	HG00642	mat	0	1	HG00642_mat_hprc_r2_v1.0.1_HML-2_10p12.1	HG00642#2#CM086624.1:26908796-26919162	unique_original_catalog_slot	0	0	9166	ddfda6ca962de592926d477673926795d8be08dab80c24624684135727800523
10p12.1_carrier_kcon.aln.fa	HG00658_mat	10p12.1	10p12.1	HG00658	mat	0	1	HG00658_mat_hprc_r2_v1.0.1_HML-2_10p12.1	HG00658#2#CM088802.1:26907680-26918046	unique_original_catalog_slot	0	0	9166	eab832b3fc9d5cebd1572654786980580f75faa24d2cfe25b93a173c838774b0
10p12.1_carrier_kcon.aln.fa	HG00658_pat	10p12.1	10p12.1	HG00658	pat	0	1	HG00658_pat_hprc_r2_v1.0.1_HML-2_10p12.1	HG00658#1#CM088780.1:26895882-26906248	unique_original_catalog_slot	0	0	9166	11354f8803ead733a2d26416079d5e37901ad34e37d9a7dd75f694484607c76c
10p12.1_carrier_kcon.aln.fa	HG00673_mat	10p12.1	10p12.1	HG00673	mat	0	1	HG00673_mat_hprc_r2_v1.0.1_HML-2_10p12.1	HG00673#2#CM089161.1:26908098-26918464	unique_original_catalog_slot	0	0	9166	ccd8fadf337d6beb911357799b28c304acb87efa8de2722c16c4105d7a1073db
10p12.1_carrier_kcon.aln.fa	HG00673_pat	10p12.1	10p12.1	HG00673	pat	0	1	HG00673_pat_hprc_r2_v1.0.1_HML-2_10p12.1	HG00673#1#CM089148.1:26902492-26912858	unique_original_catalog_slot	0	0	9166	52b6d991b1504572447edcc73715e80806dedb46da1419ab7025f9d33fe7f404
10p12.1_carrier_kcon.aln.fa	HG00706_mat	10p12.1	10p12.1	HG00706	mat	0	1	HG00706_mat_hprc_r2_v1.0.1_HML-2_10p12.1	HG00706#2#CM100064.1:26911514-26921880	unique_original_catalog_slot	0	0	9166	00d06844a60a8ccd03053c5dba20d98e09b85b4090f315a5334adff46d830779
10p12.1_carrier_kcon.aln.fa	HG00731_h1	10p12.1	10p12.1	HG00731	h1	0	1	HG00731_h1_HML-2_10p12.1_graph_hgsvc3-2024-02-23-mc-chm13	HG00731#1#haplotype1-0000021#0:26890737-26930154	unique_original_catalog_slot	0	0	9166	161cf0b67e90b8d3144e673d9fe9dce03807281bd4328cf07805249ea1cf1300
10p12.1_carrier_kcon.aln.fa	HG00731_h2	10p12.1	10p12.1	HG00731	h2	0	1	HG00731_h2_HML-2_10p12.1_graph_hgsvc3-2024-02-23-mc-chm13	HG00731#2#haplotype2-0000056#0:26886465-26925872	unique_original_catalog_slot	0	0	9166	6f030aed5e230c7e1c610f5cfa46e55348342497b08952ffbf0dbdf00f99bb88
10p12.1_carrier_kcon.aln.fa	HG00732_h1	10p12.1	10p12.1	HG00732	h1	0	1	HG00732_h1_HML-2_10p12.1_graph_hgsvc3-2024-02-23-mc-chm13	HG00732#1#haplotype1-0000011#0:108334422-108373847	unique_original_catalog_slot	0	0	9166	638c2964d9f8673cafe976466cda7a047d6a068139e3ce2e804cf677c1539a14
10p12.1_carrier_kcon.aln.fa	HG00732_h2	10p12.1	10p12.1	HG00732	h2	0	1	HG00732_h2_HML-2_10p12.1_graph_hgsvc3-2024-02-23-mc-chm13	HG00732#2#haplotype2-0000090#0:107528255-107567662	unique_original_catalog_slot	0	0	9166	52b6d991b1504572447edcc73715e80806dedb46da1419ab7025f9d33fe7f404
10p12.1_carrier_kcon.aln.fa	HG00735_mat	10p12.1	10p12.1	HG00735	mat	0	1	HG00735_mat_hprc_r2_v1.0.1_HML-2_10p12.1	HG00735#2#CM087891.1:26905725-26916091	unique_original_catalog_slot	0	0	9166	52b6d991b1504572447edcc73715e80806dedb46da1419ab7025f9d33fe7f404
10p12.1_carrier_kcon.aln.fa	HG00735_pat	10p12.1	10p12.1	HG00735	pat	0	1	HG00735_pat_hprc_r2_v1.0.1_HML-2_10p12.1	HG00735#1#CM087882.1:26901287-26911653	unique_original_catalog_slot	0	0	9166	6750fef6323dce52713ce19f39788d920ccde9c29af0f878ad404d0130b9985c
10p12.1_carrier_kcon.aln.fa	HG00738_pat	10p12.1	10p12.1	HG00738	pat	0	1	HG00738_pat_hprc_r2_v1.0.1_HML-2_10p12.1	HG00738#1#CM086649.1:26936464-26946827	unique_original_catalog_slot	0	0	9163	a5ec7a4f2b1c720c3aee303e5031aaba926effa70b191bacf743a238402014a2
10p12.1_carrier_kcon.aln.fa	HG00741_mat	10p12.1	10p12.1	HG00741	mat	0	1	HG00741_mat_hprc_r2_v1.0.1_HML-2_10p12.1	HG00741#2#CM087915.1:26919608-26929974	unique_original_catalog_slot	0	0	9166	52b6d991b1504572447edcc73715e80806dedb46da1419ab7025f9d33fe7f404
10p12.1_carrier_kcon.aln.fa	HG00741_pat	10p12.1	10p12.1	HG00741	pat	0	1	HG00741_pat_hprc_r2_v1.0.1_HML-2_10p12.1	HG00741#1#CM087902.1:26922815-26933181	unique_original_catalog_slot	0	0	9166	161cf0b67e90b8d3144e673d9fe9dce03807281bd4328cf07805249ea1cf1300
10p12.1_carrier_kcon.aln.fa	HG00864_h1	10p12.1	10p12.1	HG00864	h1	0	1	HG00864_h1_HML-2_10p12.1_graph_hgsvc3-2024-02-23-mc-chm13	HG00864#1#haplotype1-0000014#0:26869568-26908988	unique_original_catalog_slot	0	0	9166	1b934066782b606f5ba57a5f0804026605032495399d64e0c4da2c2c50c6534a
10p12.1_carrier_kcon.aln.fa	HG00864_h2	10p12.1	10p12.1	HG00864	h2	0	1	HG00864_h2_HML-2_10p12.1_graph_hgsvc3-2024-02-23-mc-chm13	HG00864#2#haplotype2-0000066#0:26861280-26900690	unique_original_catalog_slot	0	0	9166	11354f8803ead733a2d26416079d5e37901ad34e37d9a7dd75f694484607c76c
10p12.1_carrier_kcon.aln.fa	HG01071_mat	10p12.1	10p12.1	HG01071	mat	0	1	HG01071_mat_hprc_r2_v1.0.1_HML-2_10p12.1	HG01071#2#CM089134.1:26921195-26931561	unique_original_catalog_slot	0	0	9166	52b6d991b1504572447edcc73715e80806dedb46da1419ab7025f9d33fe7f404
10p12.1_carrier_kcon.aln.fa	HG01071_pat	10p12.1	10p12.1	HG01071	pat	0	1	HG01071_pat_hprc_r2_v1.0.1_HML-2_10p12.1	HG01071#1#CM089119.1:26912610-26922976	unique_original_catalog_slot	0	0	9166	161cf0b67e90b8d3144e673d9fe9dce03807281bd4328cf07805249ea1cf1300
10p12.1_carrier_kcon.aln.fa	HG01074_mat	10p12.1	10p12.1	HG01074	mat	0	1	HG01074_mat_hprc_r2_v1.0.1_HML-2_10p12.1	HG01074#2#CM088816.1:26926092-26936458	unique_original_catalog_slot	0	0	9166	161cf0b67e90b8d3144e673d9fe9dce03807281bd4328cf07805249ea1cf1300
10p12.1_carrier_kcon.aln.fa	HG01074_pat	10p12.1	10p12.1	HG01074	pat	0	1	HG01074_pat_hprc_r2_v1.0.1_HML-2_10p12.1	HG01074#1#CM088790.1:26890800-26901166	unique_original_catalog_slot	0	0	9166	52b6d991b1504572447edcc73715e80806dedb46da1419ab7025f9d33fe7f404
10p12.1_carrier_kcon.aln.fa	HG01081_mat	10p12.1	10p12.1	HG01081	mat	0	1	HG01081_mat_hprc_r2_v1.0.1_HML-2_10p12.1	HG01081#2#CM088587.1:26897921-26908287	unique_original_catalog_slot	0	0	9166	52b6d991b1504572447edcc73715e80806dedb46da1419ab7025f9d33fe7f404
10p12.1_carrier_kcon.aln.fa	HG01081_pat	10p12.1	10p12.1	HG01081	pat	0	1	HG01081_pat_hprc_r2_v1.0.1_HML-2_10p12.1	HG01081#1#CM088571.1:26904245-26914611	unique_original_catalog_slot	0	0	9166	52b6d991b1504572447edcc73715e80806dedb46da1419ab7025f9d33fe7f404
10p12.1_carrier_kcon.aln.fa	HG01099_pat	10p12.1	10p12.1	HG01099	pat	0	1	HG01099_pat_hprc_r2_v1.0.1_HML-2_10p12.1	HG01099#1#CM086263.1:26903190-26913556	unique_original_catalog_slot	0	0	9166	34be8e6f6394ce21e216cd97738febf03a4b954b2b4732580df80795f76bc840
10p12.1_carrier_kcon.aln.fa	HG01106_mat	10p12.1	10p12.1	HG01106	mat	0	1	HG01106_mat_hprc_r2_v1.0.1_HML-2_10p12.1	HG01106#2#CM087968.1:26922040-26932406	unique_original_catalog_slot	0	0	9166	52b6d991b1504572447edcc73715e80806dedb46da1419ab7025f9d33fe7f404
10p12.1_carrier_kcon.aln.fa	HG01106_pat	10p12.1	10p12.1	HG01106	pat	0	1	HG01106_pat_hprc_r2_v1.0.1_HML-2_10p12.1	HG01106#1#CM087956.1:26914597-26924963	unique_original_catalog_slot	0	0	9166	ccd8fadf337d6beb911357799b28c304acb87efa8de2722c16c4105d7a1073db
10p12.1_carrier_kcon.aln.fa	HG01109_mat	10p12.1	10p12.1	HG01109	mat	0	1	HG01109_mat_hprc_r2_v1.0.1_HML-2_10p12.1	HG01109#2#CM092079.1:26906167-26916533	unique_original_catalog_slot	0	0	9166	161cf0b67e90b8d3144e673d9fe9dce03807281bd4328cf07805249ea1cf1300
10p12.1_carrier_kcon.aln.fa	HG01109_pat	10p12.1	10p12.1	HG01109	pat	0	1	HG01109_pat_hprc_r2_v1.0.1_HML-2_10p12.1	HG01109#1#CM092091.1:26907152-26917518	unique_original_catalog_slot	0	0	9166	6f030aed5e230c7e1c610f5cfa46e55348342497b08952ffbf0dbdf00f99bb88
