region	focal_locus	focal_tip	other_locus	other_tip	patristic_distance	included_in_shared_locus_comparison
LTR	19p12c	19p12c__hap1__n69	4q32.3	4q32.3__hap2__n141	0.062849956512634	False
LTR	19p12c	19p12c__hap1__n69	10p14	10p14__hap1__n252	0.0652696140843562	True
LTR	19p12c	19p12c__hap1__n69	19p12e	19p12e__hap1__n315	0.0698070368868802	False
LTR	19p12c	19p12c__hap1__n69	10p14	10p14__hap2__n42	0.0700909181943532	True
LTR	19p12c	19p12c__hap1__n69	19p12e	19p12e__hap2__n93	0.0706893747429317	False
LTR	19p12c	19p12c__hap1__n69	1q32.2	1q32.2__hap2__n12	0.089666587528963	False
LTR	19p12c	19p12c__hap1__n69	1q32.2	1q32.2__hap1__n331	0.0901532958117953	False
LTR	19p12c	19p12c__hap1__n69	5p12	5p12__hap1__n225	0.111741105981952	True
LTR	19p12c	19p12c__hap1__n69	5p12	5p12__hap2__n175	0.112919595578709	True
LTR	19p12c	19p12c__hap1__n69	1p34.3	1p34.3__hap1__n2	0.140089982295015	False
LTR	19p12c	19p12c__hap1__n69	11q12.3	11q12.3__hap1__n361	0.157579603845668	True
LTR	19p12c	19p12c__hap1__n69	11q12.3	11q12.3__hap2__n65	0.157824478699454	True
LTR	19p12c	19p12c__hap1__n69	19q13.12b	19q13.12b__hap1__n245	0.161674314145595	True
LTR	19p12c	19p12c__hap1__n69	6p22.1	6p22.1__hap2__n116	0.161702563312247	True
LTR	19p12c	19p12c__hap1__n69	6p22.1	6p22.1__hap1__n169	0.162070869290601	True
LTR	19p12c	19p12c__hap1__n69	19q13.12b	19q13.12b__hap2__n81	0.163124638246109	True
LTR	19p12c	19p12c__hap1__n69	19p12a	19p12a__hap1__n256	0.165747757608498	True
LTR	19p12c	19p12c__hap1__n69	19p12a	19p12a__hap2__n111	0.166878819863871	True
LTR	19p12c	19p12c__hap1__n69	9q34.3	9q34.3__hap1__n196	0.208025708285116	True
LTR	19p12c	19p12c__hap1__n69	9q34.3	9q34.3__hap2__n131	0.208915758994104	True
LTR	19p12c	19p12c__hap1__n69	19q13.41	19q13.41__hap1__n201	0.210192862153994	True
LTR	19p12c	19p12c__hap1__n69	19q13.41	19q13.41__hap2__n133	0.210650489689525	True
LTR	19p12c	19p12c__hap1__n69	1p36.21c	1p36.21c__hap1__n249	0.213665445738366	True
LTR	19p12c	19p12c__hap1__n69	6p21.1	6p21.1__hap1__n319	0.214023496317832	True
LTR	19p12c	19p12c__hap1__n69	1p36.21c	1p36.21c__hap2__n48	0.214736608660878	True
LTR	19p12c	19p12c__hap1__n69	1q43	1q43__hap1__n143	0.215257520660961	False
LTR	19p12c	19p12c__hap1__n69	1q43	1q43__hap2__n126	0.216137487215507	False
LTR	19p12c	19p12c__hap1__n69	22q11.23	22q11.23__hap1__n95	0.216832033063521	True
LTR	19p12c	19p12c__hap1__n69	22q11.23	22q11.23__hap2__n67	0.217127015191231	True
LTR	19p12c	19p12c__hap1__n69	6p21.1	6p21.1__hap2__n60	0.217293323576362	True
LTR	19p12c	19p12c__hap1__n69	1q24.1	1q24.1__hap1__n335	0.218836725327557	True
LTR	19p12c	19p12c__hap1__n69	12p11.21	12p11.21__hap2__n103	0.219173091524294	True
LTR	19p12c	19p12c__hap1__n69	1p36.21b	1p36.21b__hap2__n60	0.219536567449019	True
LTR	19p12c	19p12c__hap1__n69	1p36.21b	1p36.21b__hap1__n147	0.219694850438735	True
LTR	19p12c	19p12c__hap1__n69	12p11.21	12p11.21__hap1__n345	0.220138836041768	True
LTR	19p12c	19p12c__hap1__n69	7q11.21	7q11.21__hap2__n66	0.220345258279163	False
LTR	19p12c	19p12c__hap1__n69	7q11.21	7q11.21__hap1__n350	0.220409061508499	False
LTR	19p12c	19p12c__hap1__n69	14q32.33	14q32.33__hap1__n46	0.221326366267672	True
LTR	19p12c	19p12c__hap1__n69	14q32.33	14q32.33__hap2__n1	0.222468318815146	True
LTR	19p12c	19p12c__hap1__n69	11p15.4b	11p15.4b__hap1__n389	0.223270478979775	False
LTR	19p12c	19p12c__hap1__n69	1q24.1	1q24.1__hap2__n4	0.223553635503711	True
LTR	19p12c	19p12c__hap1__n69	11p15.4b	11p15.4b__hap2__n59	0.224931184477937	False
LTR	19p12c	19p12c__hap1__n69	19q13.42	19q13.42__hap2__n80	0.227320219073624	True
LTR	19p12c	19p12c__hap1__n69	19q13.42	19q13.42__hap1__n382	0.229023358230688	True
LTR	19p12c	19p12c__hap1__n69	1p36.21a	1p36.21a__hap1__n306	0.232338105456717	True
LTR	19p12c	19p12c__hap1__n69	1p36.21a	1p36.21a__hap2__n10	0.233552979903022	True
LTR	19p12c	19p12c__hap1__n69	9q34.11	9q34.11__hap1__n413	0.238444612757642	True
LTR	19p12c	19p12c__hap1__n69	9q34.11	9q34.11__hap2__n22	0.239866508853136	True
LTR	19p12c	19p12c__hap1__n69	4q13.2	4q13.2__hap1__n85	0.241026880920105	True
LTR	19p12c	19p12c__hap1__n69	8q24.3c	8q24.3c__hap2__n52	0.24136735025219	True
LTR	19p12c	19p12c__hap1__n69	6q11.1	6q11.1__hap1__n159	0.241574262317915	True
LTR	19p12c	19p12c__hap1__n69	8q24.3c	8q24.3c__hap1__n185	0.241670501482229	True
LTR	19p12c	19p12c__hap1__n69	12q24.33	12q24.33__hap1__n62	0.241832744078737	False
LTR	19p12c	19p12c__hap1__n69	4q13.2	4q13.2__hap2__n65	0.242032381343504	True
LTR	19p12c	19p12c__hap1__n69	4p16.3c	4p16.3c__hap2__n79	0.242741597473147	True
LTR	19p12c	19p12c__hap1__n69	12q24.33	12q24.33__hap2__n14	0.242951596022303	False
LTR	19p12c	19p12c__hap1__n69	6q11.1	6q11.1__hap2__n113	0.24300939781967	True
LTR	19p12c	19p12c__hap1__n69	5q33.2	5q33.2__hap1__n356	0.243409928405691	True
LTR	19p12c	19p12c__hap1__n69	4p16.3c	4p16.3c__hap1__n125	0.244297381252505	True
LTR	19p12c	19p12c__hap1__n69	21p13	21p13__hap1__n28	0.245462972310486	True
LTR	19p12c	19p12c__hap1__n69	5q33.2	5q33.2__hap2__n50	0.245863301797548	True
LTR	19p12c	19p12c__hap1__n69	4p16.3a	4p16.3a__hap2__n9	0.246471698585582	True
LTR	19p12c	19p12c__hap1__n69	15p13a	15p13a__hap1__n12	0.246477528049754	True
LTR	19p12c	19p12c__hap1__n69	22p13	22p13__hap1__n16	0.24715989937995	True
LTR	19p12c	19p12c__hap1__n69	22p13	22p13__hap2__n15	0.247340107961967	True
LTR	19p12c	19p12c__hap1__n69	4q35.2_hg38	4q35.2_hg38__hap2__n16	0.248035155192851	True
LTR	19p12c	19p12c__hap1__n69	4p16.1b	4p16.1b__hap1__n114	0.248201978230945	True
LTR	19p12c	19p12c__hap1__n69	21p13	21p13__hap2__n22	0.249249594959615	True
LTR	19p12c	19p12c__hap1__n69	4p16.1b	4p16.1b__hap2__n96	0.249856424661652	True
LTR	19p12c	19p12c__hap1__n69	15p13a	15p13a__hap2__n11	0.250190618168636	True
LTR	19p12c	19p12c__hap1__n69	14q11.2	14q11.2__hap2__n26	0.250657524164886	False
LTR	19p12c	19p12c__hap1__n69	4q35.2_hg38	4q35.2_hg38__hap1__n61	0.250824093212921	True
LTR	19p12c	19p12c__hap1__n69	14q11.2	14q11.2__hap1__n49	0.251873044825461	False
LTR	19p12c	19p12c__hap1__n69	4p16.1a	4p16.1a__hap2__n84	0.252458003821535	True
LTR	19p12c	19p12c__hap1__n69	4p16.3a	4p16.3a__hap1__n10	0.252632879674333	True
LTR	19p12c	19p12c__hap1__n69	4p16.1a	4p16.1a__hap1__n177	0.253988553469112	True
LTR	19p12c	19p12c__hap1__n69	3p12.3	3p12.3__hap1__n159	0.256387444786179	True
LTR	19p12c	19p12c__hap1__n69	3p12.3	3p12.3__hap2__n53	0.25814936032308	True
LTR	19p12c	19p12c__hap1__n69	8p23.1d	8p23.1d__hap1__n106	0.258210816144622	True
LTR	19p12c	19p12c__hap1__n69	8p23.1e	8p23.1e__hap1__n153	0.258210816144622	True
LTR	19p12c	19p12c__hap1__n69	8p23.1c	8p23.1c__hap1__n114	0.258542517661442	True
LTR	19p12c	19p12c__hap1__n69	8p23.1d	8p23.1d__hap2__n34	0.25957055098138	True
LTR	19p12c	19p12c__hap1__n69	8p23.1e	8p23.1e__hap2__n34	0.25957055098138	True
LTR	19p12c	19p12c__hap1__n69	8p23.1b	8p23.1b__hap1__n59	0.260417371615025	True
LTR	19p12c	19p12c__hap1__n69	11p15.4	11p15.4__hap1__n117	0.261164983128002	True
LTR	19p12c	19p12c__hap1__n69	8q11.21	8q11.21__hap1__n328	0.261242740421413	True
LTR	19p12c	19p12c__hap1__n69	8q11.21	8q11.21__hap2__n142	0.261979253532721	True
LTR	19p12c	19p12c__hap1__n69	8p23.1b	8p23.1b__hap2__n40	0.262251105503006	True
LTR	19p12c	19p12c__hap1__n69	11p15.4	11p15.4__hap2__n98	0.263154826139374	True
LTR	19p12c	19p12c__hap1__n69	8p23.1c	8p23.1c__hap2__n18	0.264517340086948	True
LTR	19p12d	19p12d__hap1__n264	10q24.2	10q24.2__hap2__n114	0.025924311212522	False
LTR	19p12d	19p12d__hap1__n264	10q24.2	10q24.2__hap1__n189	0.0268304038054874	False
LTR	19p12d	19p12d__hap1__n264	2q21.1	2q21.1__hap2__n143	0.0277084162772073	False
LTR	19p12d	19p12d__hap1__n264	2q21.1	2q21.1__hap1__n236	0.0287835867892396	False
LTR	19p12d	19p12d__hap1__n264	12q14.1	12q14.1__hap2__n127	0.0294540472937974	False
LTR	19p12d	19p12d__hap1__n264	12q14.1	12q14.1__hap1__n260	0.0294737797503681	False
LTR	19p12d	19p12d__hap1__n264	3q13.2	3q13.2__hap1__n261	0.0295893709225136	False
LTR	19p12d	19p12d__hap1__n264	3q13.2	3q13.2__hap2__n32	0.0296081031422896	False
LTR	19p12d	19p12d__hap1__n264	8q11.23_new	8q11.23_new__hap1__n465	0.0303001344616031	False
LTR	19p12d	19p12d__hap1__n264	8q11.23_new	8q11.23_new__hap2__n9	0.0313558440981793	False
LTR	19p12d	19p12d__hap1__n264	16p11.2	16p11.2__hap2__n30	0.0318277372292166	False
LTR	19p12d	19p12d__hap1__n264	16p11.2	16p11.2__hap1__n315	0.031912049015634	False
LTR	19p12d	19p12d__hap1__n264	11q22.1	11q22.1__hap2__n88	0.0325569911180775	False
LTR	19p12d	19p12d__hap1__n264	10p12.1	10p12.1__hap2__n81	0.0326618525870047	False
LTR	19p12d	19p12d__hap1__n264	4q32.1	4q32.1__hap2__n78	0.0326677790008832	False
LTR	19p12d	19p12d__hap1__n264	7p22.1	7p22.1__hap1__n93	0.0333244622921348	False
LTR	19p12d	19p12d__hap1__n264	11q23.3	11q23.3__hap1__n159	0.0333393932574804	False
LTR	19p12d	19p12d__hap1__n264	1p31.1b	1p31.1b__hap1__n97	0.0336073012855247	False
LTR	19p12d	19p12d__hap1__n264	1p31.1b	1p31.1b__hap2__n72	0.03360775750939	False
LTR	19p12d	19p12d__hap1__n264	10p12.1	10p12.1__hap1__n269	0.0337123339077976	False
LTR	19p12d	19p12d__hap1__n264	3q27.2	3q27.2__hap2__n56	0.0337294985319844	False
LTR	19p12d	19p12d__hap1__n264	22q11.21	22q11.21__hap1__n99	0.0338216597197231	False
LTR	19p12d	19p12d__hap1__n264	22q11.21	22q11.21__hap2__n35	0.0338642887433769	False
LTR	19p12d	19p12d__hap1__n264	Xq21.33	Xq21.33__hap1__n3	0.034028292284495	False
LTR	19p12d	19p12d__hap1__n264	7p22.1	7p22.1__hap2__n81	0.0343585314601179	False
LTR	19p12d	19p12d__hap1__n264	19q12	19q12__hap1__n314	0.0344366965892821	False
LTR	19p12d	19p12d__hap1__n264	3q27.2	3q27.2__hap1__n242	0.0346206281002915	False
LTR	19p12d	19p12d__hap1__n264	4q32.1	4q32.1__hap1__n132	0.0347582321697165	False
LTR	19p12d	19p12d__hap1__n264	6q14.1	6q14.1__hap2__n106	0.0348763495742403	False
LTR	19p12d	19p12d__hap1__n264	11q23.3	11q23.3__hap2__n147	0.0356599836252992	False
LTR	19p12d	19p12d__hap1__n264	11q22.1	11q22.1__hap1__n160	0.0357359551328299	False
LTR	19p12d	19p12d__hap1__n264	6q14.1	6q14.1__hap1__n152	0.0359233697371213	False
LTR	19p12d	19p12d__hap1__n264	12q13.2	12q13.2__hap1__n216	0.0360028119730159	False
LTR	19p12d	19p12d__hap1__n264	19p13.3	19p13.3__hap1__n107	0.0360419644481094	False
LTR	19p12d	19p12d__hap1__n264	12q13.2	12q13.2__hap2__n61	0.0360443826486024	False
LTR	19p12d	19p12d__hap1__n264	8q24.3a	8q24.3a__hap2__n159	0.036526057091264	False
LTR	19p12d	19p12d__hap1__n264	5q33.3	5q33.3__hap1__n307	0.0371775316444277	False
LTR	19p12d	19p12d__hap1__n264	8q24.3a	8q24.3a__hap1__n174	0.0373095895520809	False
LTR	19p12d	19p12d__hap1__n264	19q12	19q12__hap2__n40	0.0373646196994959	False
LTR	19p12d	19p12d__hap1__n264	5q11.2	5q11.2__hap1__n331	0.0375537506125589	False
LTR	19p12d	19p12d__hap1__n264	19p12b	19p12b__hap1__n57	0.0378044354912483	False
LTR	19p12d	19p12d__hap1__n264	8p23.1a_hg38	8p23.1a_hg38__hap1__n25	0.0379777918701198	False
LTR	19p12d	19p12d__hap1__n264	5q33.3	5q33.3__hap2__n53	0.0381743436923012	False
LTR	19p12d	19p12d__hap1__n264	1q22	1q22__hap1__n256	0.0383421568216575	False
LTR	19p12d	19p12d__hap1__n264	1q22	1q22__hap2__n40	0.0383496586031214	False
LTR	19p12d	19p12d__hap1__n264	19p12c	19p12c__hap1__n69	0.0383694490021532	False
LTR	19p12d	19p12d__hap1__n264	19p12c	19p12c__hap2__n62	0.0384224062812921	False
LTR	19p12d	19p12d__hap1__n264	5q11.2	5q11.2__hap2__n108	0.0386427850253133	False
LTR	19p12d	19p12d__hap1__n264	8p23.1a_hg38	8p23.1a_hg38__hap2__n4	0.0387084111305603	False
LTR	19p12d	19p12d__hap1__n264	19p12b	19p12b__hap2__n3	0.0387426589424322	False
LTR	19p12d	19p12d__hap1__n264	19p13.3	19p13.3__hap2__n70	0.0388645804902258	False
LTR	19p12d	19p12d__hap1__n264	5p13.3	5p13.3__hap1__n245	0.0392999087592398	False
LTR	19p12d	19p12d__hap1__n264	3q12.3	3q12.3__hap2__n105	0.0411101885952199	False
LTR	19p12d	19p12d__hap1__n264	5p13.3	5p13.3__hap2__n147	0.0411852876799917	False
LTR	19p12d	19p12d__hap1__n264	3q12.3	3q12.3__hap1__n184	0.0414492806166229	False
LTR	19p12d	19p12d__hap1__n264	21q21.1	21q21.1__hap1__n82	0.0425260117768287	False
LTR	19p12d	19p12d__hap1__n264	21q21.1	21q21.1__hap2__n31	0.0435814794738394	False
LTR	19p12d	19p12d__hap1__n264	1q23.3	1q23.3__hap1__n195	0.0440523147183947	False
LTR	19p12d	19p12d__hap1__n264	15p13b	15p13b__hap2__n5	0.0447991411488829	False
LTR	19p12d	19p12d__hap1__n264	1q23.3	1q23.3__hap2__n71	0.0451778634501335	False
LTR	19p12d	19p12d__hap1__n264	15p13b	15p13b__hap1__n9	0.045374848367968	False
LTR	19p12d	19p12d__hap1__n264	3q21.2	3q21.2__hap1__n194	0.0462195907589094	False
LTR	19p12d	19p12d__hap1__n264	13p13	13p13__hap1__n7	0.0465119957036564	False
LTR	19p12d	19p12d__hap1__n264	3q21.2	3q21.2__hap2__n63	0.0475354826734611	False
LTR	19p12d	19p12d__hap1__n264	13p13	13p13__hap2__n4	0.0497659788742862	False
LTR	19p12d	19p12d__hap1__n264	1p31.1a	1p31.1a__hap1__n173	0.0517502676715411	False
LTR	19p12d	19p12d__hap1__n264	3p25.3	3p25.3__hap1__n279	0.0518369417896759	False
LTR	19p12d	19p12d__hap1__n264	3p25.3	3p25.3__hap2__n49	0.0529290158843287	False
LTR	19p12d	19p12d__hap1__n264	4q32.3	4q32.3__hap1__n157	0.0558683902812956	False
LTR	19p12d	19p12d__hap1__n264	1p31.1a	1p31.1a__hap2__n106	0.0565800233152763	False
LTR	19p12d	19p12d__hap1__n264	4q32.3	4q32.3__hap2__n141	0.0566756984183555	False
LTR	19p12d	19p12d__hap1__n264	10p14	10p14__hap1__n252	0.0590953559900777	False
LTR	19p12d	19p12d__hap1__n264	19p12e	19p12e__hap1__n315	0.0636327787926018	False
LTR	19p12d	19p12d__hap1__n264	10p14	10p14__hap2__n42	0.0639166601000747	False
LTR	19p12d	19p12d__hap1__n264	19p12e	19p12e__hap2__n93	0.0645151166486532	False
LTR	19p12d	19p12d__hap1__n264	1q32.2	1q32.2__hap2__n12	0.0834923294346845	False
LTR	19p12d	19p12d__hap1__n264	1q32.2	1q32.2__hap1__n331	0.0839790377175169	False
LTR	19p12d	19p12d__hap1__n264	5p12	5p12__hap1__n225	0.105566847887673	False
LTR	19p12d	19p12d__hap1__n264	5p12	5p12__hap2__n175	0.10674533748443	False
LTR	19p12d	19p12d__hap1__n264	1p34.3	1p34.3__hap1__n2	0.133915724200736	False
LTR	19p12d	19p12d__hap1__n264	11q12.3	11q12.3__hap1__n361	0.15140534575139	False
LTR	19p12d	19p12d__hap1__n264	11q12.3	11q12.3__hap2__n65	0.151650220605175	False
LTR	19p12d	19p12d__hap1__n264	19q13.12b	19q13.12b__hap1__n245	0.155500056051317	False
LTR	19p12d	19p12d__hap1__n264	6p22.1	6p22.1__hap2__n116	0.155528305217969	False
LTR	19p12d	19p12d__hap1__n264	6p22.1	6p22.1__hap1__n169	0.155896611196322	False
LTR	19p12d	19p12d__hap1__n264	19q13.12b	19q13.12b__hap2__n81	0.156950380151831	False
LTR	19p12d	19p12d__hap1__n264	19p12a	19p12a__hap1__n256	0.15957349951422	False
LTR	19p12d	19p12d__hap1__n264	19p12a	19p12a__hap2__n111	0.160704561769593	False
LTR	19p12d	19p12d__hap1__n264	9q34.3	9q34.3__hap1__n196	0.201851450190837	False
LTR	19p12d	19p12d__hap1__n264	9q34.3	9q34.3__hap2__n131	0.202741500899826	False
LTR	19p12d	19p12d__hap1__n264	19q13.41	19q13.41__hap1__n201	0.204018604059716	False
LTR	19p12d	19p12d__hap1__n264	19q13.41	19q13.41__hap2__n133	0.204476231595247	False
LTR	19p12d	19p12d__hap1__n264	1p36.21c	1p36.21c__hap1__n249	0.207491187644087	False
LTR	19p12d	19p12d__hap1__n264	6p21.1	6p21.1__hap1__n319	0.207849238223554	False
LTR	19p12d	19p12d__hap1__n264	1p36.21c	1p36.21c__hap2__n48	0.2085623505666	False
LTR	19p12d	19p12d__hap1__n264	1q43	1q43__hap1__n143	0.209083262566682	False
LTR	19p12d	19p12d__hap1__n264	1q43	1q43__hap2__n126	0.209963229121228	False
LTR	19p12d	19p12d__hap1__n264	22q11.23	22q11.23__hap1__n95	0.210657774969242	False
LTR	19p12d	19p12d__hap1__n264	22q11.23	22q11.23__hap2__n67	0.210952757096953	False
LTR	19p12d	19p12d__hap1__n264	6p21.1	6p21.1__hap2__n60	0.211119065482084	False
LTR	19p12d	19p12d__hap1__n264	1q24.1	1q24.1__hap1__n335	0.212662467233279	False
LTR	19p12d	19p12d__hap1__n264	12p11.21	12p11.21__hap2__n103	0.212998833430015	False
LTR	19p12d	19p12d__hap1__n264	1p36.21b	1p36.21b__hap2__n60	0.21336230935474	False
LTR	19p12d	19p12d__hap1__n264	1p36.21b	1p36.21b__hap1__n147	0.213520592344457	False
LTR	19p12d	19p12d__hap1__n264	12p11.21	12p11.21__hap1__n345	0.21396457794749	False
LTR	19p12d	19p12d__hap1__n264	7q11.21	7q11.21__hap2__n66	0.214171000184885	False
LTR	19p12d	19p12d__hap1__n264	7q11.21	7q11.21__hap1__n350	0.214234803414221	False
LTR	19p12d	19p12d__hap1__n264	14q32.33	14q32.33__hap1__n46	0.215152108173394	False
LTR	19p12d	19p12d__hap1__n264	14q32.33	14q32.33__hap2__n1	0.216294060720867	False
LTR	19p12d	19p12d__hap1__n264	11p15.4b	11p15.4b__hap1__n389	0.217096220885497	False
LTR	19p12d	19p12d__hap1__n264	1q24.1	1q24.1__hap2__n4	0.217379377409433	False
LTR	19p12d	19p12d__hap1__n264	11p15.4b	11p15.4b__hap2__n59	0.218756926383658	False
LTR	19p12d	19p12d__hap1__n264	19q13.42	19q13.42__hap2__n80	0.221145960979346	False
LTR	19p12d	19p12d__hap1__n264	19q13.42	19q13.42__hap1__n382	0.222849100136409	False
LTR	19p12d	19p12d__hap1__n264	1p36.21a	1p36.21a__hap1__n306	0.226163847362439	False
