analysis_id	locus	type_call	id_full	person	haplotype	root	strand_metadata	input_sequence_length	mafft_reverse_complemented	fasta_basename	fasta_sha256
rep011	19p12a	TypeII	HG00097_hap1_hprc_r2_v1.0.1_HML-2_19p12a	HG00097	h1	HPRC_processed_loci	+	9914	false	HG00097_hap1_hprc_r2_v1.0.1_HML-2_19p12a.fa	3381dc16914bb7b331d4d7807c4d734b6c85a1a351fb59422d0c12ba4f1653db
rep012	19p12b	TypeII	HG00097_hap1_hprc_r2_v1.0.1_HML-2_19p12b	HG00097	h1	HPRC_processed_loci	-	9659	false	HG00097_hap1_hprc_r2_v1.0.1_HML-2_19p12b.fa	be25ffb26ccc7f87a9d7d6e54cb587aba07e2bffaa73b62530f3b4ef84f041ec
rep013	19p12c	TypeI	HG00097_hap1_hprc_r2_v1.0.1_HML-2_19p12c	HG00097	h1	HPRC_processed_loci	-	8415	false	HG00097_hap1_hprc_r2_v1.0.1_HML-2_19p12c.fa	71742ce21f9cb2f951a7309519b4bc62b93cb1ec79bd0538a4c83cf8d71ae5b5
rep014	19q12	TypeII	HG00097_hap1_hprc_r2_v1.0.1_HML-2_19q12	HG00097	h1	HPRC_processed_loci	-	9077	false	HG00097_hap1_hprc_r2_v1.0.1_HML-2_19q12.fa	8e1b094e42f774ace38c5b6b2af0285ea3d764878f08b0a64d8cb25f8e45efbe
rep015	19q13.12b	TypeII	HG00097_hap1_hprc_r2_v1.0.1_HML-2_19q13.12b	HG00097	h1	HPRC_processed_loci	-	8957	false	HG00097_hap1_hprc_r2_v1.0.1_HML-2_19q13.12b.fa	9a5dc081c6cc09c7f5b1ef4494528a07697e22051159a06ce4363aabf1bd5f02
rep016	1p31.1a	TypeI	HG00097_hap1_hprc_r2_v1.0.1_HML-2_1p31.1a	HG00097	h1	HPRC_processed_loci	-	9307	false	HG00097_hap1_hprc_r2_v1.0.1_HML-2_1p31.1a.fa	34adde40683b00a7ff2afe5214b7ac75dc2a7c8520363d15ac40afb9097b20ee
rep017	1p36.21b	TypeII	HG00097_hap1_hprc_r2_v1.0.1_HML-2_1p36.21b	HG00097	h1	HPRC_processed_loci	-	9352	false	HG00097_hap1_hprc_r2_v1.0.1_HML-2_1p36.21b.fa	6f2b9f8bc3922ce712106a82effa0e882f756b6af8ffee2c25825902365501c3
rep018	1p36.21c	TypeII	HG00097_hap1_hprc_r2_v1.0.1_HML-2_1p36.21c	HG00097	h1	HPRC_processed_loci	+	9332	false	HG00097_hap1_hprc_r2_v1.0.1_HML-2_1p36.21c.fa	f2b74a61f16cef5df3bca189af714137e2619d7918b8ff0959c80e98a1567fb7
rep019	1q22	TypeI	HG00097_hap1_hprc_r2_v1.0.1_HML-2_1q22	HG00097	h1	HPRC_processed_loci	-	9365	false	HG00097_hap1_hprc_r2_v1.0.1_HML-2_1q22.fa	3e23cba23cb626d0608e558455d83d6dd52d9c235dada68be3681a04e6cb938d
rep020	1q23.3	TypeI	HG00097_hap1_hprc_r2_v1.0.1_HML-2_1q23.3	HG00097	h1	HPRC_processed_loci	+	9324	false	HG00097_hap1_hprc_r2_v1.0.1_HML-2_1q23.3.fa	bdca0b8e73e25edcfa7030c9d56e8043f7dfa131cea664302e15b7abd1999916
rep021	21q21.1	TypeI	HG00097_hap1_hprc_r2_v1.0.1_HML-2_21q21.1	HG00097	h1	HPRC_processed_loci	-	8490	false	HG00097_hap1_hprc_r2_v1.0.1_HML-2_21q21.1.fa	de9819860d49212f8d41c0a8d5dcfa590fb1911f09f7ac2549e6ec804b473f80
rep022	22q11.21	TypeI	HG00097_hap1_hprc_r2_v1.0.1_HML-2_22q11.21	HG00097	h1	HPRC_processed_loci	+	9366	false	HG00097_hap1_hprc_r2_v1.0.1_HML-2_22q11.21.fa	11112759ec7fe6026cfde4689f815a915390b9d848d595af51656bed07912300
rep023	3p12.3	TypeII	HG00097_hap1_hprc_r2_v1.0.1_HML-2_3p12.3	HG00097	h1	HPRC_processed_loci	+	8512	false	HG00097_hap1_hprc_r2_v1.0.1_HML-2_3p12.3.fa	147635e29d7a4586385355509d19e73d55da3475680909a982374d2164dd36b4
rep024	3q12.3	TypeI	HG00097_hap1_hprc_r2_v1.0.1_HML-2_3q12.3	HG00097	h1	HPRC_processed_loci	+	13095	false	HG00097_hap1_hprc_r2_v1.0.1_HML-2_3q12.3.fa	4d3164399b1e14a071904bb3930c82d10c7c39506efde4da5ab4c76afc482390
rep025	3q13.2	TypeI	HG00097_hap1_hprc_r2_v1.0.1_HML-2_3q13.2	HG00097	h1	HPRC_processed_loci	-	9345	false	HG00097_hap1_hprc_r2_v1.0.1_HML-2_3q13.2.fa	63e4ddf39b77977f8858046409a6962a38e4b8911e33e49750dc54669bee893e
rep026	3q21.2	TypeII	HG00097_hap1_hprc_r2_v1.0.1_HML-2_3q21.2	HG00097	h1	HPRC_processed_loci	+	9295	false	HG00097_hap1_hprc_r2_v1.0.1_HML-2_3q21.2.fa	fbec52b146727cd110c48583fc8d6657dfeb1c1de58d413e467b7f1587a78206
rep027	3q27.2	TypeI	HG00097_hap2_hprc_r2_v1.0.1_HML-2_3q27.2	HG00097	h2	HPRC_processed_loci	-	9361	false	HG00097_hap2_hprc_r2_v1.0.1_HML-2_3q27.2.fa	d92f2e2dbf6b5267c8c9882950ec0e7b578fcefc6bd49d5559f0a28ca24d96ca
rep028	4p16.1a	TypeII	HG00097_hap1_hprc_r2_v1.0.1_HML-2_4p16.1a	HG00097	h1	HPRC_processed_loci	+	8865	false	HG00097_hap1_hprc_r2_v1.0.1_HML-2_4p16.1a.fa	2536265ada48a049254ce847a9ea18d4fd44ee77567bb56e5f91f06e21942822
rep029	4p16.1b	TypeII	HG00097_hap1_hprc_r2_v1.0.1_HML-2_4p16.1b	HG00097	h1	HPRC_processed_loci	+	8828	false	HG00097_hap1_hprc_r2_v1.0.1_HML-2_4p16.1b.fa	cb57f03ebfe275e8d877cffb76666765376429c43d9498897a07888ae8fabfa0
rep030	4p16.3c	TypeII	HG00097_hap1_hprc_r2_v1.0.1_HML-2_4p16.3c	HG00097	h1	HPRC_processed_loci	-	8883	false	HG00097_hap1_hprc_r2_v1.0.1_HML-2_4p16.3c.fa	d61abd3f56ab32e4abd986e6e6e27680146958803fecbb7805162e1330577c50
rep031	5p12	TypeI	HG00097_hap1_hprc_r2_v1.0.1_HML-2_5p12	HG00097	h1	HPRC_processed_loci	-	9649	false	HG00097_hap1_hprc_r2_v1.0.1_HML-2_5p12.fa	b4d02f59b16c7f8da889b0661f1efe87eef23aa2cb783c3880feb54bd7daf229
rep032	5p13.3	TypeII	HG00097_hap1_hprc_r2_v1.0.1_HML-2_5p13.3	HG00097	h1	HPRC_processed_loci	-	9618	false	HG00097_hap1_hprc_r2_v1.0.1_HML-2_5p13.3.fa	e5b7a768c4de8d8a90e9c05f33339dd999b7d1f012ded7caa4057551cc3be913
rep033	5q33.2	TypeII	HG00097_hap1_hprc_r2_v1.0.1_HML-2_5q33.2	HG00097	h1	HPRC_processed_loci	-	8083	false	HG00097_hap1_hprc_r2_v1.0.1_HML-2_5q33.2.fa	2764ef066fbd523311f68895fa2ada943418ecc45c42712432fb091cbcb2ae1e
rep034	5q33.3	TypeI	HG00097_hap1_hprc_r2_v1.0.1_HML-2_5q33.3	HG00097	h1	HPRC_processed_loci	-	9347	false	HG00097_hap1_hprc_r2_v1.0.1_HML-2_5q33.3.fa	223649fe8fc3dc34b2f0736c67bd77ef5768fedf09bd9012df81714ed3aa8b05
rep035	6p21.1	TypeII	HG00097_hap1_hprc_r2_v1.0.1_HML-2_6p21.1	HG00097	h1	HPRC_processed_loci	-	9753	false	HG00097_hap1_hprc_r2_v1.0.1_HML-2_6p21.1.fa	a3ce0755be69f578d1246f514c7c99dfb95e951cee0e431564452d338d5ba819
rep036	6p22.1	TypeII	HG00097_hap1_hprc_r2_v1.0.1_HML-2_6p22.1	HG00097	h1	HPRC_processed_loci	+	10369	false	HG00097_hap1_hprc_r2_v1.0.1_HML-2_6p22.1.fa	d35af29591ea4cf2c7e4d919eefc322da617ae0763374d7498e7127bcb1fa673
rep037	6q14.1	TypeII	HG00097_hap1_hprc_r2_v1.0.1_HML-2_6q14.1	HG00097	h1	HPRC_processed_loci	-	9612	false	HG00097_hap1_hprc_r2_v1.0.1_HML-2_6q14.1.fa	063b127dc5d67d6c1f3089bb499e19f9ad4d4117355f417f17cca22a1e426cf5
rep038	7p22.1	TypeII	HG00097_hap1_hprc_r2_v1.0.1_HML-2_7p22.1	HG00097	h1	HPRC_processed_loci	-	9659	false	HG00097_hap1_hprc_r2_v1.0.1_HML-2_7p22.1.fa	d7546536cd1380e6c240a7f2720787a6777a99c901cfb129aef90c769409b592
rep039	8p23.1a_hg38	TypeII	HG00741_pat_hprc_r2_v1.0.1_HML-2_8p23.1a_hg38	HG00741	pat	HPRC_processed_loci	-	9633	false	HG00741_pat_hprc_r2_v1.0.1_HML-2_8p23.1a_hg38.fa	966ebb428434974aeeab2d5042c3b4a0304557c91f9ce9b349dfeee6045a5a34
rep040	8p23.1b	TypeII	HG00097_hap1_hprc_r2_v1.0.1_HML-2_8p23.1b	HG00097	h1	HPRC_processed_loci	+	8829	false	HG00097_hap1_hprc_r2_v1.0.1_HML-2_8p23.1b.fa	914f6e8400ae8c83b4fa24f61d828497d0cd780c5ebd142207ecdf5a7b68181b
rep041	8p23.1c	TypeII	HG00097_hap1_hprc_r2_v1.0.1_HML-2_8p23.1c	HG00097	h1	HPRC_processed_loci	-	8800	false	HG00097_hap1_hprc_r2_v1.0.1_HML-2_8p23.1c.fa	f4e437656718f2bbeb08bcddd0860d616f235b2edae841c3f81cc4f84bc56bcb
rep042	8p23.1d	TypeII	HG00097_hap1_hprc_r2_v1.0.1_HML-2_8p23.1d	HG00097	h1	HPRC_processed_loci	-	8828	false	HG00097_hap1_hprc_r2_v1.0.1_HML-2_8p23.1d.fa	81531b9c071f9abc286fb2083d1eb5c8a323233ba964321a0b312deb3176f786
rep043	8p23.1e	TypeII	HG00126_hap1_hprc_r2_v1.0.1_HML-2_8p23.1e	HG00126	h1	HPRC_processed_loci	-	8828	false	HG00126_hap1_hprc_r2_v1.0.1_HML-2_8p23.1e.fa	33f926052b83110da6dafcea0a2488403a62387478913ef8c4906734f71e6b7e
rep044	8q11.23_new	TypeI	HG03098_pat_hprc_r2_v1.0.1_HML-2_8q11.23_new	HG03098	pat	HPRC_processed_loci	-	9358	false	HG03098_pat_hprc_r2_v1.0.1_HML-2_8q11.23_new.fa	a0c1e2b45bcfcf4626aa93c35814f305e5ba932047f48d6332ea8d03647247d0
rep045	Xq21.33	TypeII	HG00738_mat_hprc_r2_v1.0.1_HML-2_Xq21.33	HG00738	mat	HPRC_processed_loci	-	9659	false	HG00738_mat_hprc_r2_v1.0.1_HML-2_Xq21.33.fa	d63db77b98740953b4a3401582fd3fa0d65bd7edb13d94ee4adbaa3d6c154ff1
