locus	array	sample	haplotype	copy_count	region	complete_called_bases	segregating_substitution_sites	pair_comparisons	mean_pairwise_differences	mean_p_distance	min_pairwise_differences	max_pairwise_differences	any_indel
7p22.1	HG00232_hap2_hprc_r2_v1.0.1_HML-2_7p22.1_MULTI	HG00232	h2	2	pro	1005	0	1	0.0	0.0	0	0	0
7p22.1	HG00232_hap2_hprc_r2_v1.0.1_HML-2_7p22.1_MULTI	HG00232	h2	2	pol	2871	0	1	0.0	0.0	0	0	0
7p22.1	HG00232_hap2_hprc_r2_v1.0.1_HML-2_7p22.1_MULTI	HG00232	h2	2	env	2100	0	1	0.0	0.0	0	0	0
7p22.1	HG00235_hap2_hprc_r2_v1.0.1_HML-2_7p22.1_MULTI	HG00235	h2	2	whole_unit	9458	19	1	19.0	0.0020088813702685555	19	19	1
7p22.1	HG00235_hap2_hprc_r2_v1.0.1_HML-2_7p22.1_MULTI	HG00235	h2	2	internal	7535	11	1	11.0	0.00145985401459854	11	11	1
7p22.1	HG00235_hap2_hprc_r2_v1.0.1_HML-2_7p22.1_MULTI	HG00235	h2	2	5p_LTR	961	1	1	1.0	0.001040582726326743	1	1	0
7p22.1	HG00235_hap2_hprc_r2_v1.0.1_HML-2_7p22.1_MULTI	HG00235	h2	2	3p_LTR	962	7	1	7.0	0.007276507276507277	7	7	0
7p22.1	HG00235_hap2_hprc_r2_v1.0.1_HML-2_7p22.1_MULTI	HG00235	h2	2	gag	2001	4	1	4.0	0.001999000499750125	4	4	0
7p22.1	HG00235_hap2_hprc_r2_v1.0.1_HML-2_7p22.1_MULTI	HG00235	h2	2	pro	1004	4	1	4.0	0.00398406374501992	4	4	1
7p22.1	HG00235_hap2_hprc_r2_v1.0.1_HML-2_7p22.1_MULTI	HG00235	h2	2	pol	2871	2	1	2.0	0.0006966213862765587	2	2	0
7p22.1	HG00235_hap2_hprc_r2_v1.0.1_HML-2_7p22.1_MULTI	HG00235	h2	2	env	2100	1	1	1.0	0.0004761904761904762	1	1	0
7p22.1	HG00268_h2_HML-2_7p22.1_graph_hgsvc3-2024-02-23-mc-chm13_MULTI	HG00268	h2	2	whole_unit	9459	7	1	7.0	0.0007400359446030236	7	7	0
7p22.1	HG00268_h2_HML-2_7p22.1_graph_hgsvc3-2024-02-23-mc-chm13_MULTI	HG00268	h2	2	internal	7536	1	1	1.0	0.0001326963906581741	1	1	0
7p22.1	HG00268_h2_HML-2_7p22.1_graph_hgsvc3-2024-02-23-mc-chm13_MULTI	HG00268	h2	2	5p_LTR	961	5	1	5.0	0.005202913631633715	5	5	0
7p22.1	HG00268_h2_HML-2_7p22.1_graph_hgsvc3-2024-02-23-mc-chm13_MULTI	HG00268	h2	2	3p_LTR	962	1	1	1.0	0.0010395010395010396	1	1	0
7p22.1	HG00268_h2_HML-2_7p22.1_graph_hgsvc3-2024-02-23-mc-chm13_MULTI	HG00268	h2	2	gag	2001	0	1	0.0	0.0	0	0	0
7p22.1	HG00268_h2_HML-2_7p22.1_graph_hgsvc3-2024-02-23-mc-chm13_MULTI	HG00268	h2	2	pro	1005	0	1	0.0	0.0	0	0	0
7p22.1	HG00268_h2_HML-2_7p22.1_graph_hgsvc3-2024-02-23-mc-chm13_MULTI	HG00268	h2	2	pol	2871	0	1	0.0	0.0	0	0	0
7p22.1	HG00268_h2_HML-2_7p22.1_graph_hgsvc3-2024-02-23-mc-chm13_MULTI	HG00268	h2	2	env	2100	1	1	1.0	0.0004761904761904762	1	1	0
7p22.1	HG00290_hap1_hprc_r2_v1.0.1_HML-2_7p22.1_MULTI	HG00290	h1	2	whole_unit	9458	18	1	18.0	0.0019031507718333686	18	18	1
7p22.1	HG00290_hap1_hprc_r2_v1.0.1_HML-2_7p22.1_MULTI	HG00290	h1	2	internal	7535	10	1	10.0	0.0013271400132714001	10	10	1
7p22.1	HG00290_hap1_hprc_r2_v1.0.1_HML-2_7p22.1_MULTI	HG00290	h1	2	5p_LTR	961	1	1	1.0	0.001040582726326743	1	1	0
7p22.1	HG00290_hap1_hprc_r2_v1.0.1_HML-2_7p22.1_MULTI	HG00290	h1	2	3p_LTR	962	7	1	7.0	0.007276507276507277	7	7	0
7p22.1	HG00290_hap1_hprc_r2_v1.0.1_HML-2_7p22.1_MULTI	HG00290	h1	2	gag	2001	4	1	4.0	0.001999000499750125	4	4	0
7p22.1	HG00290_hap1_hprc_r2_v1.0.1_HML-2_7p22.1_MULTI	HG00290	h1	2	pro	1004	3	1	3.0	0.00298804780876494	3	3	1
7p22.1	HG00290_hap1_hprc_r2_v1.0.1_HML-2_7p22.1_MULTI	HG00290	h1	2	pol	2871	2	1	2.0	0.0006966213862765587	2	2	0
7p22.1	HG00290_hap1_hprc_r2_v1.0.1_HML-2_7p22.1_MULTI	HG00290	h1	2	env	2100	1	1	1.0	0.0004761904761904762	1	1	0
7p22.1	HG00321_hap1_hprc_r2_v1.0.1_HML-2_7p22.1_MULTI	HG00321	h1	2	whole_unit	9459	9	1	9.0	0.0009514747859181732	9	9	0
7p22.1	HG00321_hap1_hprc_r2_v1.0.1_HML-2_7p22.1_MULTI	HG00321	h1	2	internal	7536	3	1	3.0	0.0003980891719745223	3	3	0
7p22.1	HG00321_hap1_hprc_r2_v1.0.1_HML-2_7p22.1_MULTI	HG00321	h1	2	5p_LTR	961	0	1	0.0	0.0	0	0	0
7p22.1	HG00321_hap1_hprc_r2_v1.0.1_HML-2_7p22.1_MULTI	HG00321	h1	2	3p_LTR	962	6	1	6.0	0.006237006237006237	6	6	0
7p22.1	HG00321_hap1_hprc_r2_v1.0.1_HML-2_7p22.1_MULTI	HG00321	h1	2	gag	2001	1	1	1.0	0.0004997501249375312	1	1	0
7p22.1	HG00321_hap1_hprc_r2_v1.0.1_HML-2_7p22.1_MULTI	HG00321	h1	2	pro	1005	1	1	1.0	0.0009950248756218905	1	1	0
7p22.1	HG00321_hap1_hprc_r2_v1.0.1_HML-2_7p22.1_MULTI	HG00321	h1	2	pol	2871	1	1	1.0	0.00034831069313827936	1	1	0
7p22.1	HG00321_hap1_hprc_r2_v1.0.1_HML-2_7p22.1_MULTI	HG00321	h1	2	env	2100	0	1	0.0	0.0	0	0	0
7p22.1	HG00323_hap2_hprc_r2_v1.0.1_HML-2_7p22.1_MULTI	HG00323	h2	2	whole_unit	9459	10	1	10.0	0.001057194206575748	10	10	0
7p22.1	HG00323_hap2_hprc_r2_v1.0.1_HML-2_7p22.1_MULTI	HG00323	h2	2	internal	7536	4	1	4.0	0.0005307855626326964	4	4	0
7p22.1	HG00323_hap2_hprc_r2_v1.0.1_HML-2_7p22.1_MULTI	HG00323	h2	2	5p_LTR	961	0	1	0.0	0.0	0	0	0
7p22.1	HG00323_hap2_hprc_r2_v1.0.1_HML-2_7p22.1_MULTI	HG00323	h2	2	3p_LTR	962	6	1	6.0	0.006237006237006237	6	6	0
7p22.1	HG00323_hap2_hprc_r2_v1.0.1_HML-2_7p22.1_MULTI	HG00323	h2	2	gag	2001	1	1	1.0	0.0004997501249375312	1	1	0
7p22.1	HG00323_hap2_hprc_r2_v1.0.1_HML-2_7p22.1_MULTI	HG00323	h2	2	pro	1005	1	1	1.0	0.0009950248756218905	1	1	0
7p22.1	HG00323_hap2_hprc_r2_v1.0.1_HML-2_7p22.1_MULTI	HG00323	h2	2	pol	2871	2	1	2.0	0.0006966213862765587	2	2	0
7p22.1	HG00323_hap2_hprc_r2_v1.0.1_HML-2_7p22.1_MULTI	HG00323	h2	2	env	2100	1	1	1.0	0.0004761904761904762	1	1	0
7p22.1	HG00344_hap1_hprc_r2_v1.0.1_HML-2_7p22.1_MULTI	HG00344	h1	2	whole_unit	9458	19	1	19.0	0.0020088813702685555	19	19	1
7p22.1	HG00344_hap1_hprc_r2_v1.0.1_HML-2_7p22.1_MULTI	HG00344	h1	2	internal	7535	11	1	11.0	0.00145985401459854	11	11	1
7p22.1	HG00344_hap1_hprc_r2_v1.0.1_HML-2_7p22.1_MULTI	HG00344	h1	2	5p_LTR	961	1	1	1.0	0.001040582726326743	1	1	0
7p22.1	HG00344_hap1_hprc_r2_v1.0.1_HML-2_7p22.1_MULTI	HG00344	h1	2	3p_LTR	962	7	1	7.0	0.007276507276507277	7	7	0
7p22.1	HG00344_hap1_hprc_r2_v1.0.1_HML-2_7p22.1_MULTI	HG00344	h1	2	gag	2001	4	1	4.0	0.001999000499750125	4	4	0
7p22.1	HG00344_hap1_hprc_r2_v1.0.1_HML-2_7p22.1_MULTI	HG00344	h1	2	pro	1004	4	1	4.0	0.00398406374501992	4	4	1
7p22.1	HG00344_hap1_hprc_r2_v1.0.1_HML-2_7p22.1_MULTI	HG00344	h1	2	pol	2871	2	1	2.0	0.0006966213862765587	2	2	0
7p22.1	HG00344_hap1_hprc_r2_v1.0.1_HML-2_7p22.1_MULTI	HG00344	h1	2	env	2100	1	1	1.0	0.0004761904761904762	1	1	0
7p22.1	HG00423_mat_hprc_r2_v1.0.1_HML-2_7p22.1_MULTI	HG00423	mat	2	whole_unit	9455	20	1	20.0	0.0021152829190904283	20	20	1
7p22.1	HG00423_mat_hprc_r2_v1.0.1_HML-2_7p22.1_MULTI	HG00423	mat	2	internal	7535	12	1	12.0	0.0015925680159256802	12	12	1
7p22.1	HG00423_mat_hprc_r2_v1.0.1_HML-2_7p22.1_MULTI	HG00423	mat	2	5p_LTR	958	1	1	1.0	0.0010438413361169101	1	1	1
7p22.1	HG00423_mat_hprc_r2_v1.0.1_HML-2_7p22.1_MULTI	HG00423	mat	2	3p_LTR	962	7	1	7.0	0.007276507276507277	7	7	0
7p22.1	HG00423_mat_hprc_r2_v1.0.1_HML-2_7p22.1_MULTI	HG00423	mat	2	gag	2001	4	1	4.0	0.001999000499750125	4	4	0
7p22.1	HG00423_mat_hprc_r2_v1.0.1_HML-2_7p22.1_MULTI	HG00423	mat	2	pro	1004	4	1	4.0	0.00398406374501992	4	4	1
7p22.1	HG00423_mat_hprc_r2_v1.0.1_HML-2_7p22.1_MULTI	HG00423	mat	2	pol	2871	3	1	3.0	0.0010449320794148381	3	3	0
7p22.1	HG00423_mat_hprc_r2_v1.0.1_HML-2_7p22.1_MULTI	HG00423	mat	2	env	2100	1	1	1.0	0.0004761904761904762	1	1	0
7p22.1	HG00423_pat_hprc_r2_v1.0.1_HML-2_7p22.1_MULTI	HG00423	pat	2	whole_unit	9456	19	1	19.0	0.002009306260575296	19	19	1
7p22.1	HG00423_pat_hprc_r2_v1.0.1_HML-2_7p22.1_MULTI	HG00423	pat	2	internal	7533	11	1	11.0	0.0014602416036107793	11	11	1
7p22.1	HG00423_pat_hprc_r2_v1.0.1_HML-2_7p22.1_MULTI	HG00423	pat	2	5p_LTR	961	1	1	1.0	0.001040582726326743	1	1	0
7p22.1	HG00423_pat_hprc_r2_v1.0.1_HML-2_7p22.1_MULTI	HG00423	pat	2	3p_LTR	962	7	1	7.0	0.007276507276507277	7	7	0
7p22.1	HG00423_pat_hprc_r2_v1.0.1_HML-2_7p22.1_MULTI	HG00423	pat	2	gag	1999	5	1	5.0	0.0025012506253126563	5	5	1
7p22.1	HG00423_pat_hprc_r2_v1.0.1_HML-2_7p22.1_MULTI	HG00423	pat	2	pro	1004	4	1	4.0	0.00398406374501992	4	4	1
7p22.1	HG00423_pat_hprc_r2_v1.0.1_HML-2_7p22.1_MULTI	HG00423	pat	2	pol	2871	1	1	1.0	0.00034831069313827936	1	1	0
7p22.1	HG00423_pat_hprc_r2_v1.0.1_HML-2_7p22.1_MULTI	HG00423	pat	2	env	2100	1	1	1.0	0.0004761904761904762	1	1	0
7p22.1	HG00438_pat_hprc_r2_v1.0.1_HML-2_7p22.1_MULTI	HG00438	pat	2	whole_unit	9459	6	1	6.0	0.0006343165239454488	6	6	0
7p22.1	HG00438_pat_hprc_r2_v1.0.1_HML-2_7p22.1_MULTI	HG00438	pat	2	internal	7536	0	1	0.0	0.0	0	0	0
7p22.1	HG00438_pat_hprc_r2_v1.0.1_HML-2_7p22.1_MULTI	HG00438	pat	2	5p_LTR	961	0	1	0.0	0.0	0	0	0
7p22.1	HG00438_pat_hprc_r2_v1.0.1_HML-2_7p22.1_MULTI	HG00438	pat	2	3p_LTR	962	6	1	6.0	0.006237006237006237	6	6	0
7p22.1	HG00438_pat_hprc_r2_v1.0.1_HML-2_7p22.1_MULTI	HG00438	pat	2	gag	2001	0	1	0.0	0.0	0	0	0
7p22.1	HG00438_pat_hprc_r2_v1.0.1_HML-2_7p22.1_MULTI	HG00438	pat	2	pro	1005	0	1	0.0	0.0	0	0	0
7p22.1	HG00438_pat_hprc_r2_v1.0.1_HML-2_7p22.1_MULTI	HG00438	pat	2	pol	2871	0	1	0.0	0.0	0	0	0
7p22.1	HG00438_pat_hprc_r2_v1.0.1_HML-2_7p22.1_MULTI	HG00438	pat	2	env	2100	0	1	0.0	0.0	0	0	0
7p22.1	HG005_mat_hprc_r2_v1.0.1_HML-2_7p22.1_MULTI	HG005	mat	2	whole_unit	9458	20	1	20.0	0.002114611968703743	20	20	1
7p22.1	HG005_mat_hprc_r2_v1.0.1_HML-2_7p22.1_MULTI	HG005	mat	2	internal	7535	11	1	11.0	0.00145985401459854	11	11	1
7p22.1	HG005_mat_hprc_r2_v1.0.1_HML-2_7p22.1_MULTI	HG005	mat	2	5p_LTR	961	1	1	1.0	0.001040582726326743	1	1	0
7p22.1	HG005_mat_hprc_r2_v1.0.1_HML-2_7p22.1_MULTI	HG005	mat	2	3p_LTR	962	8	1	8.0	0.008316008316008316	8	8	0
7p22.1	HG005_mat_hprc_r2_v1.0.1_HML-2_7p22.1_MULTI	HG005	mat	2	gag	2001	4	1	4.0	0.001999000499750125	4	4	0
7p22.1	HG005_mat_hprc_r2_v1.0.1_HML-2_7p22.1_MULTI	HG005	mat	2	pro	1004	4	1	4.0	0.00398406374501992	4	4	1
7p22.1	HG005_mat_hprc_r2_v1.0.1_HML-2_7p22.1_MULTI	HG005	mat	2	pol	2871	2	1	2.0	0.0006966213862765587	2	2	0
7p22.1	HG005_mat_hprc_r2_v1.0.1_HML-2_7p22.1_MULTI	HG005	mat	2	env	2100	1	1	1.0	0.0004761904761904762	1	1	0
7p22.1	HG00512_h1_HML-2_7p22.1_graph_hgsvc3-2024-02-23-mc-chm13_MULTI	HG00512	h1	3	whole_unit	9458	21	3	14.0	0.001480194844759783	9	21	1
7p22.1	HG00512_h1_HML-2_7p22.1_graph_hgsvc3-2024-02-23-mc-chm13_MULTI	HG00512	h1	3	internal	7535	13	3	8.666666666666666	0.0011501762710559027	2	13	1
7p22.1	HG00512_h1_HML-2_7p22.1_graph_hgsvc3-2024-02-23-mc-chm13_MULTI	HG00512	h1	3	5p_LTR	961	1	3	0.6666666666666666	0.0006937218175511621	0	1	0
7p22.1	HG00512_h1_HML-2_7p22.1_graph_hgsvc3-2024-02-23-mc-chm13_MULTI	HG00512	h1	3	3p_LTR	962	7	3	4.666666666666667	0.0048510048510048516	0	7	0
7p22.1	HG00512_h1_HML-2_7p22.1_graph_hgsvc3-2024-02-23-mc-chm13_MULTI	HG00512	h1	3	gag	2001	4	3	2.6666666666666665	0.0013326669998334165	0	4	0
7p22.1	HG00512_h1_HML-2_7p22.1_graph_hgsvc3-2024-02-23-mc-chm13_MULTI	HG00512	h1	3	pro	1004	4	3	2.6666666666666665	0.0026560424966799467	0	4	1
7p22.1	HG00512_h1_HML-2_7p22.1_graph_hgsvc3-2024-02-23-mc-chm13_MULTI	HG00512	h1	3	pol	2871	4	3	2.6666666666666665	0.0009288285150354118	1	4	0
7p22.1	HG00512_h1_HML-2_7p22.1_graph_hgsvc3-2024-02-23-mc-chm13_MULTI	HG00512	h1	3	env	2100	1	3	0.6666666666666666	0.00031746031746031746	0	1	0
7p22.1	HG00513_h1_HML-2_7p22.1_graph_hgsvc3-2024-02-23-mc-chm13_MULTI	HG00513	h1	2	whole_unit	9458	19	1	19.0	0.0020088813702685555	19	19	1
7p22.1	HG00513_h1_HML-2_7p22.1_graph_hgsvc3-2024-02-23-mc-chm13_MULTI	HG00513	h1	2	internal	7535	11	1	11.0	0.00145985401459854	11	11	1
7p22.1	HG00513_h1_HML-2_7p22.1_graph_hgsvc3-2024-02-23-mc-chm13_MULTI	HG00513	h1	2	5p_LTR	961	1	1	1.0	0.001040582726326743	1	1	0
7p22.1	HG00513_h1_HML-2_7p22.1_graph_hgsvc3-2024-02-23-mc-chm13_MULTI	HG00513	h1	2	3p_LTR	962	7	1	7.0	0.007276507276507277	7	7	0
7p22.1	HG00513_h1_HML-2_7p22.1_graph_hgsvc3-2024-02-23-mc-chm13_MULTI	HG00513	h1	2	gag	2001	4	1	4.0	0.001999000499750125	4	4	0
7p22.1	HG00513_h1_HML-2_7p22.1_graph_hgsvc3-2024-02-23-mc-chm13_MULTI	HG00513	h1	2	pro	1004	4	1	4.0	0.00398406374501992	4	4	1
7p22.1	HG00513_h1_HML-2_7p22.1_graph_hgsvc3-2024-02-23-mc-chm13_MULTI	HG00513	h1	2	pol	2871	2	1	2.0	0.0006966213862765587	2	2	0
7p22.1	HG00513_h1_HML-2_7p22.1_graph_hgsvc3-2024-02-23-mc-chm13_MULTI	HG00513	h1	2	env	2100	1	1	1.0	0.0004761904761904762	1	1	0
7p22.1	HG00513_h2_HML-2_7p22.1_graph_hgsvc3-2024-02-23-mc-chm13_MULTI	HG00513	h2	2	whole_unit	9458	18	1	18.0	0.0019031507718333686	18	18	1
7p22.1	HG00513_h2_HML-2_7p22.1_graph_hgsvc3-2024-02-23-mc-chm13_MULTI	HG00513	h2	2	internal	7535	10	1	10.0	0.0013271400132714001	10	10	1
7p22.1	HG00513_h2_HML-2_7p22.1_graph_hgsvc3-2024-02-23-mc-chm13_MULTI	HG00513	h2	2	5p_LTR	961	1	1	1.0	0.001040582726326743	1	1	0
7p22.1	HG00513_h2_HML-2_7p22.1_graph_hgsvc3-2024-02-23-mc-chm13_MULTI	HG00513	h2	2	3p_LTR	962	7	1	7.0	0.007276507276507277	7	7	0
7p22.1	HG00513_h2_HML-2_7p22.1_graph_hgsvc3-2024-02-23-mc-chm13_MULTI	HG00513	h2	2	gag	2001	4	1	4.0	0.001999000499750125	4	4	0
7p22.1	HG00513_h2_HML-2_7p22.1_graph_hgsvc3-2024-02-23-mc-chm13_MULTI	HG00513	h2	2	pro	1004	4	1	4.0	0.00398406374501992	4	4	1
7p22.1	HG00513_h2_HML-2_7p22.1_graph_hgsvc3-2024-02-23-mc-chm13_MULTI	HG00513	h2	2	pol	2871	2	1	2.0	0.0006966213862765587	2	2	0
7p22.1	HG00513_h2_HML-2_7p22.1_graph_hgsvc3-2024-02-23-mc-chm13_MULTI	HG00513	h2	2	env	2100	0	1	0.0	0.0	0	0	0
7p22.1	HG00514_h1_HML-2_7p22.1_graph_hgsvc3-2024-02-23-mc-chm13_MULTI	HG00514	h1	3	whole_unit	9458	21	3	14.0	0.001480194844759783	9	21	1
7p22.1	HG00514_h1_HML-2_7p22.1_graph_hgsvc3-2024-02-23-mc-chm13_MULTI	HG00514	h1	3	internal	7535	13	3	8.666666666666666	0.0011501762710559027	2	13	1
7p22.1	HG00514_h1_HML-2_7p22.1_graph_hgsvc3-2024-02-23-mc-chm13_MULTI	HG00514	h1	3	5p_LTR	961	1	3	0.6666666666666666	0.0006937218175511621	0	1	0
7p22.1	HG00514_h1_HML-2_7p22.1_graph_hgsvc3-2024-02-23-mc-chm13_MULTI	HG00514	h1	3	3p_LTR	962	7	3	4.666666666666667	0.0048510048510048516	0	7	0
7p22.1	HG00514_h1_HML-2_7p22.1_graph_hgsvc3-2024-02-23-mc-chm13_MULTI	HG00514	h1	3	gag	2001	4	3	2.6666666666666665	0.0013326669998334165	0	4	0
7p22.1	HG00514_h1_HML-2_7p22.1_graph_hgsvc3-2024-02-23-mc-chm13_MULTI	HG00514	h1	3	pro	1004	4	3	2.6666666666666665	0.0026560424966799467	0	4	1
7p22.1	HG00514_h1_HML-2_7p22.1_graph_hgsvc3-2024-02-23-mc-chm13_MULTI	HG00514	h1	3	pol	2871	4	3	2.6666666666666665	0.0009288285150354118	1	4	0
