locus	array	sample	haplotype	copy_a	copy_b	substitutions	callable_bases	clock_assumption	rate_slow_per_site_per_My	rate_fast_per_site_per_My	sensitivity_point_age_low_My	sensitivity_point_age_high_My	exact_poisson95_age_lower_at_fast_rate_My	exact_poisson95_age_upper_at_fast_rate_My	exact_poisson95_age_lower_at_slow_rate_My	exact_poisson95_age_upper_at_slow_rate_My	zero_one_sided95_upper_at_fast_rate_My	zero_one_sided95_upper_at_slow_rate_My
7p22.1	HG00323_hap2_hprc_r2_v1.0.1_HML-2_7p22.1_MULTI	HG00323	h2	1	2	4	7536	Neutral internal divergence with pairwise LTR-rate sensitivity, no subsequent sequence exchange	0.0024	0.0045	0.11795234725171032	0.22116065109695685	0.03213804475189677	0.3020048559626002	0.06025883390980645	0.5662591049298754		
7p22.1	HG00344_hap1_hprc_r2_v1.0.1_HML-2_7p22.1_MULTI	HG00344	h1	1	2	11	7535	Neutral internal divergence with pairwise LTR-rate sensitivity, no subsequent sequence exchange	0.0024	0.0045	0.32441200324412006	0.6082725060827251	0.16194530317000178	0.5804626856389281	0.30364744344375333	1.0883675355729903		
7p22.1	HG00423_mat_hprc_r2_v1.0.1_HML-2_7p22.1_MULTI	HG00423	mat	1	2	12	7535	Neutral internal divergence with pairwise LTR-rate sensitivity, no subsequent sequence exchange	0.0024	0.0045	0.35390400353904006	0.6635700066357001	0.18286736293510927	0.6181990724228256	0.34287630550332987	1.159123260792798		
7p22.1	HG00423_pat_hprc_r2_v1.0.1_HML-2_7p22.1_MULTI	HG00423	pat	1	2	11	7533	Neutral internal divergence with pairwise LTR-rate sensitivity, no subsequent sequence exchange	0.0024	0.0045	0.32449813413572876	0.6084340015044913	0.1619882994007651	0.5806167975958215	0.30372806137643454	1.0886564954921651		
7p22.1	HG00438_pat_hprc_r2_v1.0.1_HML-2_7p22.1_MULTI	HG00438	pat	1	2	0	7536	Neutral internal divergence with pairwise LTR-rate sensitivity, no subsequent sequence exchange	0.0024	0.0045			0.0	0.10877799758533663	0.0	0.2039587454725062	0.088338413350849	0.16563452503284187
7p22.1	HG005_mat_hprc_r2_v1.0.1_HML-2_7p22.1_MULTI	HG005	mat	1	2	11	7535	Neutral internal divergence with pairwise LTR-rate sensitivity, no subsequent sequence exchange	0.0024	0.0045	0.32441200324412006	0.6082725060827251	0.16194530317000178	0.5804626856389281	0.30364744344375333	1.0883675355729903		
7p22.1	HG00512_h1_HML-2_7p22.1_graph_hgsvc3-2024-02-23-mc-chm13_MULTI	HG00512	h1	1	2	11	7535	Neutral internal divergence with pairwise LTR-rate sensitivity, no subsequent sequence exchange	0.0024	0.0045	0.32441200324412006	0.6082725060827251	0.16194530317000178	0.5804626856389281	0.30364744344375333	1.0883675355729903		
7p22.1	HG00512_h1_HML-2_7p22.1_graph_hgsvc3-2024-02-23-mc-chm13_MULTI	HG00512	h1	1	3	13	7535	Neutral internal divergence with pairwise LTR-rate sensitivity, no subsequent sequence exchange	0.0024	0.0045	0.38339600383396005	0.7188675071886751	0.2041422249061064	0.65561884297453	0.38276667169894946	1.2292853305772438		
7p22.1	HG00512_h1_HML-2_7p22.1_graph_hgsvc3-2024-02-23-mc-chm13_MULTI	HG00512	h1	2	3	2	7536	Neutral internal divergence with pairwise LTR-rate sensitivity, no subsequent sequence exchange	0.0024	0.0045	0.05897617362585516	0.11058032554847842	0.007142288232600985	0.21304221714213142	0.013391790436126847	0.39945415714149646		
7p22.1	HG00513_h1_HML-2_7p22.1_graph_hgsvc3-2024-02-23-mc-chm13_MULTI	HG00513	h1	1	2	11	7535	Neutral internal divergence with pairwise LTR-rate sensitivity, no subsequent sequence exchange	0.0024	0.0045	0.32441200324412006	0.6082725060827251	0.16194530317000178	0.5804626856389281	0.30364744344375333	1.0883675355729903		
7p22.1	HG00513_h2_HML-2_7p22.1_graph_hgsvc3-2024-02-23-mc-chm13_MULTI	HG00513	h2	1	2	10	7535	Neutral internal divergence with pairwise LTR-rate sensitivity, no subsequent sequence exchange	0.0024	0.0045	0.29492000294920007	0.5529750055297501	0.14142560484059374	0.5423683858148722	0.2651730090761133	1.0169407234028853		
7p22.1	HG00514_h1_HML-2_7p22.1_graph_hgsvc3-2024-02-23-mc-chm13_MULTI	HG00514	h1	1	2	11	7535	Neutral internal divergence with pairwise LTR-rate sensitivity, no subsequent sequence exchange	0.0024	0.0045	0.32441200324412006	0.6082725060827251	0.16194530317000178	0.5804626856389281	0.30364744344375333	1.0883675355729903		
7p22.1	HG00514_h1_HML-2_7p22.1_graph_hgsvc3-2024-02-23-mc-chm13_MULTI	HG00514	h1	1	3	13	7535	Neutral internal divergence with pairwise LTR-rate sensitivity, no subsequent sequence exchange	0.0024	0.0045	0.38339600383396005	0.7188675071886751	0.2041422249061064	0.65561884297453	0.38276667169894946	1.2292853305772438		
7p22.1	HG00514_h1_HML-2_7p22.1_graph_hgsvc3-2024-02-23-mc-chm13_MULTI	HG00514	h1	2	3	2	7536	Neutral internal divergence with pairwise LTR-rate sensitivity, no subsequent sequence exchange	0.0024	0.0045	0.05897617362585516	0.11058032554847842	0.007142288232600985	0.21304221714213142	0.013391790436126847	0.39945415714149646		
7p22.1	HG00514_h2_HML-2_7p22.1_graph_hgsvc3-2024-02-23-mc-chm13_MULTI	HG00514	h2	1	2	11	7535	Neutral internal divergence with pairwise LTR-rate sensitivity, no subsequent sequence exchange	0.0024	0.0045	0.32441200324412006	0.6082725060827251	0.16194530317000178	0.5804626856389281	0.30364744344375333	1.0883675355729903		
7p22.1	HG00558_mat_hprc_r2_v1.0.1_HML-2_7p22.1_MULTI	HG00558	mat	1	2	11	7535	Neutral internal divergence with pairwise LTR-rate sensitivity, no subsequent sequence exchange	0.0024	0.0045	0.32441200324412006	0.6082725060827251	0.16194530317000178	0.5804626856389281	0.30364744344375333	1.0883675355729903		
7p22.1	HG00558_pat_hprc_r2_v1.0.1_HML-2_7p22.1_MULTI	HG00558	pat	1	2	11	7535	Neutral internal divergence with pairwise LTR-rate sensitivity, no subsequent sequence exchange	0.0024	0.0045	0.32441200324412006	0.6082725060827251	0.16194530317000178	0.5804626856389281	0.30364744344375333	1.0883675355729903		
7p22.1	HG00597_pat_hprc_r2_v1.0.1_HML-2_7p22.1_MULTI	HG00597	pat	1	2	11	7535	Neutral internal divergence with pairwise LTR-rate sensitivity, no subsequent sequence exchange	0.0024	0.0045	0.32441200324412006	0.6082725060827251	0.16194530317000178	0.5804626856389281	0.30364744344375333	1.0883675355729903		
7p22.1	HG00609_mat_hprc_r2_v1.0.1_HML-2_7p22.1_MULTI	HG00609	mat	1	2	0	7536	Neutral internal divergence with pairwise LTR-rate sensitivity, no subsequent sequence exchange	0.0024	0.0045			0.0	0.10877799758533663	0.0	0.2039587454725062	0.088338413350849	0.16563452503284187
7p22.1	HG00609_pat_hprc_r2_v1.0.1_HML-2_7p22.1_MULTI	HG00609	pat	1	2	11	7535	Neutral internal divergence with pairwise LTR-rate sensitivity, no subsequent sequence exchange	0.0024	0.0045	0.32441200324412006	0.6082725060827251	0.16194530317000178	0.5804626856389281	0.30364744344375333	1.0883675355729903		
7p22.1	HG00673_mat_hprc_r2_v1.0.1_HML-2_7p22.1_MULTI	HG00673	mat	1	2	11	7535	Neutral internal divergence with pairwise LTR-rate sensitivity, no subsequent sequence exchange	0.0024	0.0045	0.32441200324412006	0.6082725060827251	0.16194530317000178	0.5804626856389281	0.30364744344375333	1.0883675355729903		
7p22.1	HG00673_pat_hprc_r2_v1.0.1_HML-2_7p22.1_MULTI	HG00673	pat	1	2	11	7535	Neutral internal divergence with pairwise LTR-rate sensitivity, no subsequent sequence exchange	0.0024	0.0045	0.32441200324412006	0.6082725060827251	0.16194530317000178	0.5804626856389281	0.30364744344375333	1.0883675355729903		
7p22.1	HG00706_pat_hprc_r2_v1.0.1_HML-2_7p22.1_MULTI	HG00706	pat	1	2	12	7535	Neutral internal divergence with pairwise LTR-rate sensitivity, no subsequent sequence exchange	0.0024	0.0045	0.35390400353904006	0.6635700066357001	0.18286736293510927	0.6181990724228256	0.34287630550332987	1.159123260792798		
7p22.1	HG00735_pat_hprc_r2_v1.0.1_HML-2_7p22.1_MULTI	HG00735	pat	1	2	13	7535	Neutral internal divergence with pairwise LTR-rate sensitivity, no subsequent sequence exchange	0.0024	0.0045	0.38339600383396005	0.7188675071886751	0.2041422249061064	0.65561884297453	0.38276667169894946	1.2292853305772438		
7p22.1	HG00738_mat_hprc_r2_v1.0.1_HML-2_7p22.1_MULTI	HG00738	mat	1	2	11	7535	Neutral internal divergence with pairwise LTR-rate sensitivity, no subsequent sequence exchange	0.0024	0.0045	0.32441200324412006	0.6082725060827251	0.16194530317000178	0.5804626856389281	0.30364744344375333	1.0883675355729903		
7p22.1	HG00741_mat_hprc_r2_v1.0.1_HML-2_7p22.1_MULTI	HG00741	mat	1	2	13	7535	Neutral internal divergence with pairwise LTR-rate sensitivity, no subsequent sequence exchange	0.0024	0.0045	0.38339600383396005	0.7188675071886751	0.2041422249061064	0.65561884297453	0.38276667169894946	1.2292853305772438		
7p22.1	HG00864_h1_HML-2_7p22.1_graph_hgsvc3-2024-02-23-mc-chm13_MULTI	HG00864	h1	1	2	11	7535	Neutral internal divergence with pairwise LTR-rate sensitivity, no subsequent sequence exchange	0.0024	0.0045	0.32441200324412006	0.6082725060827251	0.16194530317000178	0.5804626856389281	0.30364744344375333	1.0883675355729903		
7p22.1	HG01074_mat_hprc_r2_v1.0.1_HML-2_7p22.1_MULTI	HG01074	mat	1	2	0	7536	Neutral internal divergence with pairwise LTR-rate sensitivity, no subsequent sequence exchange	0.0024	0.0045			0.0	0.10877799758533663	0.0	0.2039587454725062	0.088338413350849	0.16563452503284187
7p22.1	HG01099_pat_hprc_r2_v1.0.1_HML-2_7p22.1_MULTI	HG01099	pat	1	2	13	7535	Neutral internal divergence with pairwise LTR-rate sensitivity, no subsequent sequence exchange	0.0024	0.0045	0.38339600383396005	0.7188675071886751	0.2041422249061064	0.65561884297453	0.38276667169894946	1.2292853305772438		
7p22.1	HG01106_mat_hprc_r2_v1.0.1_HML-2_7p22.1_MULTI	HG01106	mat	1	2	0	7536	Neutral internal divergence with pairwise LTR-rate sensitivity, no subsequent sequence exchange	0.0024	0.0045			0.0	0.10877799758533663	0.0	0.2039587454725062	0.088338413350849	0.16563452503284187
7p22.1	HG01106_pat_hprc_r2_v1.0.1_HML-2_7p22.1_MULTI	HG01106	pat	1	2	0	7536	Neutral internal divergence with pairwise LTR-rate sensitivity, no subsequent sequence exchange	0.0024	0.0045			0.0	0.10877799758533663	0.0	0.2039587454725062	0.088338413350849	0.16563452503284187
7p22.1	HG01109_pat_hprc_r2_v1.0.1_HML-2_7p22.1_MULTI	HG01109	pat	1	2	1	7536	Neutral internal divergence with pairwise LTR-rate sensitivity, no subsequent sequence exchange	0.0024	0.0045	0.02948808681292758	0.05529016277423921	0.0007465737197537699	0.16429710400268044	0.0013998257245383186	0.30805707000502586		
7p22.1	HG01150_mat_hprc_r2_v1.0.1_HML-2_7p22.1_MULTI	HG01150	mat	1	2	10	7535	Neutral internal divergence with pairwise LTR-rate sensitivity, no subsequent sequence exchange	0.0024	0.0045	0.29492000294920007	0.5529750055297501	0.14142560484059374	0.5423683858148722	0.2651730090761133	1.0169407234028853		
7p22.1	HG01150_pat_hprc_r2_v1.0.1_HML-2_7p22.1_MULTI	HG01150	pat	1	2	0	7536	Neutral internal divergence with pairwise LTR-rate sensitivity, no subsequent sequence exchange	0.0024	0.0045			0.0	0.10877799758533663	0.0	0.2039587454725062	0.088338413350849	0.16563452503284187
7p22.1	HG01167_hap2_hprc_r2_v1.0.1_HML-2_7p22.1_MULTI	HG01167	h2	1	2	0	7536	Neutral internal divergence with pairwise LTR-rate sensitivity, no subsequent sequence exchange	0.0024	0.0045			0.0	0.10877799758533663	0.0	0.2039587454725062	0.088338413350849	0.16563452503284187
7p22.1	HG01243_mat_hprc_r2_v1.0.1_HML-2_7p22.1_MULTI	HG01243	mat	1	2	8	7535	Neutral internal divergence with pairwise LTR-rate sensitivity, no subsequent sequence exchange	0.0024	0.0045	0.23593600235936002	0.44238000442380004	0.101860419575271	0.4648879811308211	0.19098828670363313	0.8716649646202895		
7p22.1	HG01252_mat_hprc_r2_v1.0.1_HML-2_7p22.1_MULTI	HG01252	mat	1	2	11	7535	Neutral internal divergence with pairwise LTR-rate sensitivity, no subsequent sequence exchange	0.0024	0.0045	0.32441200324412006	0.6082725060827251	0.16194530317000178	0.5804626856389281	0.30364744344375333	1.0883675355729903		
7p22.1	HG01252_pat_hprc_r2_v1.0.1_HML-2_7p22.1_MULTI	HG01252	pat	1	2	0	7536	Neutral internal divergence with pairwise LTR-rate sensitivity, no subsequent sequence exchange	0.0024	0.0045			0.0	0.10877799758533663	0.0	0.2039587454725062	0.088338413350849	0.16563452503284187
7p22.1	HG01258_mat_hprc_r2_v1.0.1_HML-2_7p22.1_MULTI	HG01258	mat	1	2	4	7536	Neutral internal divergence with pairwise LTR-rate sensitivity, no subsequent sequence exchange	0.0024	0.0045	0.11795234725171032	0.22116065109695685	0.03213804475189677	0.3020048559626002	0.06025883390980645	0.5662591049298754		
7p22.1	HG01346_mat_hprc_r2_v1.0.1_HML-2_7p22.1_MULTI	HG01346	mat	1	2	11	7535	Neutral internal divergence with pairwise LTR-rate sensitivity, no subsequent sequence exchange	0.0024	0.0045	0.32441200324412006	0.6082725060827251	0.16194530317000178	0.5804626856389281	0.30364744344375333	1.0883675355729903		
7p22.1	HG01346_pat_hprc_r2_v1.0.1_HML-2_7p22.1_MULTI	HG01346	pat	1	2	13	7535	Neutral internal divergence with pairwise LTR-rate sensitivity, no subsequent sequence exchange	0.0024	0.0045	0.38339600383396005	0.7188675071886751	0.2041422249061064	0.65561884297453	0.38276667169894946	1.2292853305772438		
7p22.1	HG01358_mat_hprc_r2_v1.0.1_HML-2_7p22.1_MULTI	HG01358	mat	1	2	0	7536	Neutral internal divergence with pairwise LTR-rate sensitivity, no subsequent sequence exchange	0.0024	0.0045			0.0	0.10877799758533663	0.0	0.2039587454725062	0.088338413350849	0.16563452503284187
7p22.1	HG01358_pat_hprc_r2_v1.0.1_HML-2_7p22.1_MULTI	HG01358	pat	1	2	0	7536	Neutral internal divergence with pairwise LTR-rate sensitivity, no subsequent sequence exchange	0.0024	0.0045			0.0	0.10877799758533663	0.0	0.2039587454725062	0.088338413350849	0.16563452503284187
7p22.1	HG01433_pat_hprc_r2_v1.0.1_HML-2_7p22.1_MULTI	HG01433	pat	1	2	11	7535	Neutral internal divergence with pairwise LTR-rate sensitivity, no subsequent sequence exchange	0.0024	0.0045	0.32441200324412006	0.6082725060827251	0.16194530317000178	0.5804626856389281	0.30364744344375333	1.0883675355729903		
7p22.1	HG01457_h1_HML-2_7p22.1_graph_hgsvc3-2024-02-23-mc-chm13_MULTI	HG01457	h1	1	2	1	7536	Neutral internal divergence with pairwise LTR-rate sensitivity, no subsequent sequence exchange	0.0024	0.0045	0.02948808681292758	0.05529016277423921	0.0007465737197537699	0.16429710400268044	0.0013998257245383186	0.30805707000502586		
7p22.1	HG01457_h2_HML-2_7p22.1_graph_hgsvc3-2024-02-23-mc-chm13_MULTI	HG01457	h2	1	2	0	7536	Neutral internal divergence with pairwise LTR-rate sensitivity, no subsequent sequence exchange	0.0024	0.0045			0.0	0.10877799758533663	0.0	0.2039587454725062	0.088338413350849	0.16563452503284187
7p22.1	HG01457_h2_HML-2_7p22.1_graph_hgsvc3-2024-02-23-mc-chm13_MULTI	HG01457	h2	1	3	0	7536	Neutral internal divergence with pairwise LTR-rate sensitivity, no subsequent sequence exchange	0.0024	0.0045			0.0	0.10877799758533663	0.0	0.2039587454725062	0.088338413350849	0.16563452503284187
7p22.1	HG01457_h2_HML-2_7p22.1_graph_hgsvc3-2024-02-23-mc-chm13_MULTI	HG01457	h2	1	4	0	7536	Neutral internal divergence with pairwise LTR-rate sensitivity, no subsequent sequence exchange	0.0024	0.0045			0.0	0.10877799758533663	0.0	0.2039587454725062	0.088338413350849	0.16563452503284187
7p22.1	HG01457_h2_HML-2_7p22.1_graph_hgsvc3-2024-02-23-mc-chm13_MULTI	HG01457	h2	2	3	0	7536	Neutral internal divergence with pairwise LTR-rate sensitivity, no subsequent sequence exchange	0.0024	0.0045			0.0	0.10877799758533663	0.0	0.2039587454725062	0.088338413350849	0.16563452503284187
7p22.1	HG01457_h2_HML-2_7p22.1_graph_hgsvc3-2024-02-23-mc-chm13_MULTI	HG01457	h2	2	4	0	7536	Neutral internal divergence with pairwise LTR-rate sensitivity, no subsequent sequence exchange	0.0024	0.0045			0.0	0.10877799758533663	0.0	0.2039587454725062	0.088338413350849	0.16563452503284187
7p22.1	HG01457_h2_HML-2_7p22.1_graph_hgsvc3-2024-02-23-mc-chm13_MULTI	HG01457	h2	3	4	0	7536	Neutral internal divergence with pairwise LTR-rate sensitivity, no subsequent sequence exchange	0.0024	0.0045			0.0	0.10877799758533663	0.0	0.2039587454725062	0.088338413350849	0.16563452503284187
7p22.1	HG01496_pat_hprc_r2_v1.0.1_HML-2_7p22.1_MULTI	HG01496	pat	1	2	8	7535	Neutral internal divergence with pairwise LTR-rate sensitivity, no subsequent sequence exchange	0.0024	0.0045	0.23593600235936002	0.44238000442380004	0.101860419575271	0.4648879811308211	0.19098828670363313	0.8716649646202895		
7p22.1	HG01505_h1_HML-2_7p22.1_graph_hgsvc3-2024-02-23-mc-chm13_MULTI	HG01505	h1	1	2	13	7535	Neutral internal divergence with pairwise LTR-rate sensitivity, no subsequent sequence exchange	0.0024	0.0045	0.38339600383396005	0.7188675071886751	0.2041422249061064	0.65561884297453	0.38276667169894946	1.2292853305772438		
7p22.1	HG01505_h2_HML-2_7p22.1_graph_hgsvc3-2024-02-23-mc-chm13_MULTI	HG01505	h2	1	2	0	7536	Neutral internal divergence with pairwise LTR-rate sensitivity, no subsequent sequence exchange	0.0024	0.0045			0.0	0.10877799758533663	0.0	0.2039587454725062	0.088338413350849	0.16563452503284187
7p22.1	HG01530_hap1_hprc_r2_v1.0.1_HML-2_7p22.1_MULTI	HG01530	h1	1	2	11	7535	Neutral internal divergence with pairwise LTR-rate sensitivity, no subsequent sequence exchange	0.0024	0.0045	0.32441200324412006	0.6082725060827251	0.16194530317000178	0.5804626856389281	0.30364744344375333	1.0883675355729903		
7p22.1	HG01530_hap2_hprc_r2_v1.0.1_HML-2_7p22.1_MULTI	HG01530	h2	1	2	10	7535	Neutral internal divergence with pairwise LTR-rate sensitivity, no subsequent sequence exchange	0.0024	0.0045	0.29492000294920007	0.5529750055297501	0.14142560484059374	0.5423683858148722	0.2651730090761133	1.0169407234028853		
7p22.1	HG01573_h2_HML-2_7p22.1_graph_hgsvc3-2024-02-23-mc-chm13_MULTI	HG01573	h2	1	2	0	7536	Neutral internal divergence with pairwise LTR-rate sensitivity, no subsequent sequence exchange	0.0024	0.0045			0.0	0.10877799758533663	0.0	0.2039587454725062	0.088338413350849	0.16563452503284187
7p22.1	HG01596_h1_HML-2_7p22.1_graph_hgsvc3-2024-02-23-mc-chm13_MULTI	HG01596	h1	1	2	10	7535	Neutral internal divergence with pairwise LTR-rate sensitivity, no subsequent sequence exchange	0.0024	0.0045	0.29492000294920007	0.5529750055297501	0.14142560484059374	0.5423683858148722	0.2651730090761133	1.0169407234028853		
7p22.1	HG01596_h2_HML-2_7p22.1_graph_hgsvc3-2024-02-23-mc-chm13_MULTI	HG01596	h2	1	2	10	7535	Neutral internal divergence with pairwise LTR-rate sensitivity, no subsequent sequence exchange	0.0024	0.0045	0.29492000294920007	0.5529750055297501	0.14142560484059374	0.5423683858148722	0.2651730090761133	1.0169407234028853		
7p22.1	HG01784_hap1_hprc_r2_v1.0.1_HML-2_7p22.1_MULTI	HG01784	h1	1	2	11	7535	Neutral internal divergence with pairwise LTR-rate sensitivity, no subsequent sequence exchange	0.0024	0.0045	0.32441200324412006	0.6082725060827251	0.16194530317000178	0.5804626856389281	0.30364744344375333	1.0883675355729903		
7p22.1	HG01786_hap1_hprc_r2_v1.0.1_HML-2_7p22.1_MULTI	HG01786	h1	1	2	13	7535	Neutral internal divergence with pairwise LTR-rate sensitivity, no subsequent sequence exchange	0.0024	0.0045	0.38339600383396005	0.7188675071886751	0.2041422249061064	0.65561884297453	0.38276667169894946	1.2292853305772438		
7p22.1	HG01786_hap2_hprc_r2_v1.0.1_HML-2_7p22.1_MULTI	HG01786	h2	1	2	10	7535	Neutral internal divergence with pairwise LTR-rate sensitivity, no subsequent sequence exchange	0.0024	0.0045	0.29492000294920007	0.5529750055297501	0.14142560484059374	0.5423683858148722	0.2651730090761133	1.0169407234028853		
7p22.1	HG01884_mat_hprc_r2_v1.0.1_HML-2_7p22.1_MULTI	HG01884	mat	1	2	11	7535	Neutral internal divergence with pairwise LTR-rate sensitivity, no subsequent sequence exchange	0.0024	0.0045	0.32441200324412006	0.6082725060827251	0.16194530317000178	0.5804626856389281	0.30364744344375333	1.0883675355729903		
7p22.1	HG01890_h1_HML-2_7p22.1_graph_hgsvc3-2024-02-23-mc-chm13_MULTI	HG01890	h1	1	2	10	7535	Neutral internal divergence with pairwise LTR-rate sensitivity, no subsequent sequence exchange	0.0024	0.0045	0.29492000294920007	0.5529750055297501	0.14142560484059374	0.5423683858148722	0.2651730090761133	1.0169407234028853		
7p22.1	HG01891_pat_hprc_r2_v1.0.1_HML-2_7p22.1_MULTI	HG01891	pat	1	2	10	7535	Neutral internal divergence with pairwise LTR-rate sensitivity, no subsequent sequence exchange	0.0024	0.0045	0.29492000294920007	0.5529750055297501	0.14142560484059374	0.5423683858148722	0.2651730090761133	1.0169407234028853		
7p22.1	HG01928_mat_hprc_r2_v1.0.1_HML-2_7p22.1_MULTI	HG01928	mat	1	2	0	7536	Neutral internal divergence with pairwise LTR-rate sensitivity, no subsequent sequence exchange	0.0024	0.0045			0.0	0.10877799758533663	0.0	0.2039587454725062	0.088338413350849	0.16563452503284187
7p22.1	HG01940_mat_hprc_r2_v1.0.1_HML-2_7p22.1_MULTI	HG01940	mat	1	2	1	7536	Neutral internal divergence with pairwise LTR-rate sensitivity, no subsequent sequence exchange	0.0024	0.0045	0.02948808681292758	0.05529016277423921	0.0007465737197537699	0.16429710400268044	0.0013998257245383186	0.30805707000502586		
7p22.1	HG01940_pat_hprc_r2_v1.0.1_HML-2_7p22.1_MULTI	HG01940	pat	1	2	0	7536	Neutral internal divergence with pairwise LTR-rate sensitivity, no subsequent sequence exchange	0.0024	0.0045			0.0	0.10877799758533663	0.0	0.2039587454725062	0.088338413350849	0.16563452503284187
7p22.1	HG01943_mat_hprc_r2_v1.0.1_HML-2_7p22.1_MULTI	HG01943	mat	1	2	0	7536	Neutral internal divergence with pairwise LTR-rate sensitivity, no subsequent sequence exchange	0.0024	0.0045			0.0	0.10877799758533663	0.0	0.2039587454725062	0.088338413350849	0.16563452503284187
7p22.1	HG01943_pat_hprc_r2_v1.0.1_HML-2_7p22.1_MULTI	HG01943	pat	1	2	11	7535	Neutral internal divergence with pairwise LTR-rate sensitivity, no subsequent sequence exchange	0.0024	0.0045	0.32441200324412006	0.6082725060827251	0.16194530317000178	0.5804626856389281	0.30364744344375333	1.0883675355729903		
7p22.1	HG01952_pat_hprc_r2_v1.0.1_HML-2_7p22.1_MULTI	HG01952	pat	1	2	0	7536	Neutral internal divergence with pairwise LTR-rate sensitivity, no subsequent sequence exchange	0.0024	0.0045			0.0	0.10877799758533663	0.0	0.2039587454725062	0.088338413350849	0.16563452503284187
7p22.1	HG01960_mat_hprc_r2_v1.0.1_HML-2_7p22.1_MULTI	HG01960	mat	1	2	10	7535	Neutral internal divergence with pairwise LTR-rate sensitivity, no subsequent sequence exchange	0.0024	0.0045	0.29492000294920007	0.5529750055297501	0.14142560484059374	0.5423683858148722	0.2651730090761133	1.0169407234028853		
