key	alignment	record	original_locus	locus	sample	haplotype	newly_admitted	candidate_source_count	ID_Full	Source_Identifier	source_binding_basis	copy_suffixed_record	physical_locus_changed_from_extraction	aligned_canonical_bases	aligned_sequence_sha256
p0041	15p13a_carrier_kcon.aln.fa	NA18970_hap2	15p13a	15p13a	NA18970	h2	1	1	NA18970_hap2_hprc_r2_v1.0.1_HML-2_15p13a	NA18970#2#CM101487.1:3001532-3009200	unique_full_query_zero_mismatch_source_alignment	0	0	6208	68ba9e53986691cd0e212277fec337d518cc285dd1331409d2419fed46ceb6a8
p0042	15p13a_carrier_kcon.aln.fa	NA18971_hap2	15p13a	15p13a	NA18971	h2	1	1	NA18971_hap2_hprc_r2_v1.0.1_HML-2_15p13a	NA18971#2#CM087291.1:15862-23530	unique_full_query_zero_mismatch_source_alignment	0	0	6208	d436dfe36b5e07403c9f2170b3250d90d73d017d8a58e4871dfee11fc88e77a0
p0043	15p13a_carrier_kcon.aln.fa	NA18974_hap1#c1	15p13a	15p13a	NA18974	h1	1	2	NA18974_hap1_hprc_r2_v1.0.1_HML-2_15p13a_alt1	NA18974#1#CM089783.1:10707-18383	unique_full_query_zero_mismatch_source_alignment	1	0	6208	088bf9e99e0372b8dd31fd89b99b3ced85457ece2c72a0dc44e841aa71dd7df9
p0044	15p13a_carrier_kcon.aln.fa	NA19159_hap1	15p13a	15p13a	NA19159	h1	1	1	NA19159_hap1_hprc_r2_v1.0.1_HML-2_15p13a	NA19159#1#CM099951.1:17284-24948	unique_full_query_zero_mismatch_source_alignment	0	0	6207	795f4f208aafb04f7a29f8ffc66eac8c1dc62f314f988e1055300c97ab5ef0af
p0045	15p13a_carrier_kcon.aln.fa	NA19185_hap2	15p13a	15p13a	NA19185	h2	1	1	NA19185_hap2_hprc_r2_v1.0.1_HML-2_15p13a	NA19185#2#CM087747.1:11187-18851	unique_full_query_zero_mismatch_source_alignment	0	0	6208	bba0c8d14ea24a21bafecd5d28f85b9266429505da35916b379b85d42f0cf13d
p0046	15p13a_carrier_kcon.aln.fa	NA19468_hap2#c1	15p13a	15p13a	NA19468	h2	1	2	NA19468_hap2_hprc_r2_v1.0.1_HML-2_15p13a_alt1	NA19468#2#CM087846.1:10115-17787	unique_full_query_zero_mismatch_source_alignment	1	0	6208	6c3727f8cfeba420732dd9656bd8b944af6ad6c8a9b6151a63a1b17ab0353447
p0047	15p13a_carrier_kcon.aln.fa	NA19909_hap2#c1	15p13a	15p13a	NA19909	h2	1	3	NA19909_hap2_hprc_r2_v1.0.1_HML-2_15p13a_alt1	NA19909#2#CM094145.1:8817-16485	unique_full_query_zero_mismatch_source_alignment	1	0	6208	9878853cdc6a9dfbdc31b35aa8615e9ffed930497c976a8d6a0d412ccf06ab33
p0048	15p13a_carrier_kcon.aln.fa	NA20129_mat#c2	15p13a	15p13a	NA20129	mat	1	2	NA20129_mat_hprc_r2_v1.0.1_HML-2_15p13a_alt2	NA20129#2#CM092127.1:26035-33700	unique_full_query_zero_mismatch_source_alignment	1	0	6205	bd976ff75c97589a8eae32dacedaa76bd6720559eaa98d3cb78109e4ab779a3b
p0049	15p13a_carrier_kcon.aln.fa	NA20503_hap2#c3	15p13a	15p13a	NA20503	h2	1	3	NA20503_hap2_hprc_r2_v1.0.1_HML-2_15p13a_alt3	NA20503#2#CM102490.1:15934-23594	unique_full_query_zero_mismatch_source_alignment	1	0	6208	47321e348dd92e4627a4bb36d6ff9e9264f8dbf898617faac4328dd3b249a194
p0050	15p13a_carrier_kcon.aln.fa	NA20762_hap1#c1	15p13a	15p13a	NA20762	h1	1	2	NA20762_hap1_hprc_r2_v1.0.1_HML-2_15p13a_alt1	NA20762#1#CM102519.1:9458-17126	unique_full_query_zero_mismatch_source_alignment	1	0	6208	d436dfe36b5e07403c9f2170b3250d90d73d017d8a58e4871dfee11fc88e77a0
p0051	15p13a_carrier_kcon.aln.fa	NA20806_hap1	15p13a	15p13a	NA20806	h1	1	1	NA20806_hap1_hprc_r2_v1.0.1_HML-2_15p13a	NA20806#1#CM102453.1:21954-29626	unique_full_query_zero_mismatch_source_alignment	0	0	6208	ff05a943dd6a389d4538b4a87cdbc0014566a2a18916aa16ced5464829926c2b
p0052	15p13a_carrier_kcon.aln.fa	NA20827_hap2#c1	15p13a	15p13a	NA20827	h2	1	2	NA20827_hap2_hprc_r2_v1.0.1_HML-2_15p13a_alt1	NA20827#2#CM102579.1:21021-28689	unique_full_query_zero_mismatch_source_alignment	1	0	6208	75019d722736df9cfc42f616767919bb2a2c57f2a5011edd86402434cf6ecf25
p0053	15p13a_carrier_kcon.aln.fa	NA20827_hap2#c2	15p13a	15p13a	NA20827	h2	1	2	NA20827_hap2_hprc_r2_v1.0.1_HML-2_15p13a_alt2	NA20827#2#CM102571.1:20374-28034	unique_full_query_zero_mismatch_source_alignment	1	0	6208	5f3f7e02d29d9c0e2be5f87485a0e3fcdbd8f8a9138d54b8eaf1e74b6b137bd2
p0054	21p13_carrier_kcon.aln.fa	HG00097_hap1#c2	21p13	21p13	HG00097	h1	1	2	HG00097_hap1_hprc_r2_v1.0.1_HML-2_21p13_alt2	HG00097#1#CM094073.1:10714-18386	unique_full_query_zero_mismatch_source_alignment	1	0	6208	c90e3402fc2aff4952e0f1cbfdeacf073963c51eab58a148482a362a2a303973
p0055	21p13_carrier_kcon.aln.fa	HG00097_hap2#c1	21p13	21p13	HG00097	h2	1	2	HG00097_hap2_hprc_r2_v1.0.1_HML-2_21p13_alt1	HG00097#2#CM094087.1:12872-20536	unique_full_query_zero_mismatch_source_alignment	1	0	6208	2ff171a5d82b6adb1bc5e5585d882e44a4ff32504459693aef5338eca19ed69d
p0056	21p13_carrier_kcon.aln.fa	HG00133_hap2#c2	21p13	21p13	HG00133	h2	1	2	HG00133_hap2_hprc_r2_v1.0.1_HML-2_21p13_alt2	HG00133#2#CM090074.1:14382-22040	unique_full_query_zero_mismatch_source_alignment	1	0	6201	6b3acd55611cdac82b9c9046386e682ec4dbcda1a118a6c742de7fb853586b13
p0057	21p13_carrier_kcon.aln.fa	HG00140_hap1#c1	21p13	21p13	HG00140	h1	1	5	HG00140_hap1_hprc_r2_v1.0.1_HML-2_21p13_alt1	HG00140#1#CM087118.1:18038-25706	unique_full_query_zero_mismatch_source_alignment	1	0	6208	dea919e46a656fbc9757d9e3b49690ef14b20e466d04b6c733573e282082f3cd
p0058	21p13_carrier_kcon.aln.fa	HG00140_hap2#c2	21p13	21p13	HG00140	h2	1	3	HG00140_hap2_hprc_r2_v1.0.1_HML-2_21p13_alt2	HG00140#2#CM087147.1:22315-29983	unique_full_query_zero_mismatch_source_alignment	1	0	6208	9b5f26fd48fadca3f5490ed5ce4aa4a5627494421f9855babd16b6ba49c24f34
p0059	21p13_carrier_kcon.aln.fa	HG00235_hap1#c3	21p13	21p13	HG00235	h1	1	3	HG00235_hap1_hprc_r2_v1.0.1_HML-2_21p13_alt3	HG00235#1#CM094380.1:11681-19354	unique_full_query_zero_mismatch_source_alignment	1	0	6205	b8ce8abe51bc64fabba73be624e163d56c3445e5bf8cb70910c429ce775b09b1
p0060	21p13_carrier_kcon.aln.fa	HG00235_hap2#c2	21p13	21p13	HG00235	h2	1	4	HG00235_hap2_hprc_r2_v1.0.1_HML-2_21p13_alt2	HG00235#2#CM094407.1:13615-21283	unique_full_query_zero_mismatch_source_alignment	1	0	6208	8d53fa3ae016b3bf4a648d6c4fa9f15efa708587b510850ac6fde5a2f561af3c
p0061	21p13_carrier_kcon.aln.fa	HG00253_hap1#c1	21p13	21p13	HG00253	h1	1	2	HG00253_hap1_hprc_r2_v1.0.1_HML-2_21p13_alt1	HG00253#1#CM094467.1:13066-20734	unique_full_query_zero_mismatch_source_alignment	1	0	6208	91c2a9cee30235b404f9414d6a56604ddf94fa060db7eef868874a48c1cc7f8b
p0062	21p13_carrier_kcon.aln.fa	HG00272_hap1#c1	21p13	21p13	HG00272	h1	1	4	HG00272_hap1_hprc_r2_v1.0.1_HML-2_21p13_alt1	HG00272#1#CM094196.1:13008-20684	unique_full_query_zero_mismatch_source_alignment	1	0	6208	c90e3402fc2aff4952e0f1cbfdeacf073963c51eab58a148482a362a2a303973
p0063	21p13_carrier_kcon.aln.fa	HG00280_hap2#c1	21p13	21p13	HG00280	h2	1	2	HG00280_hap2_hprc_r2_v1.0.1_HML-2_21p13_alt1	HG00280#2#CM087167.1:19324-26992	unique_full_query_zero_mismatch_source_alignment	1	0	6208	f1911339befe6c6d74e132869da68bcb6654e372086817db8654255355f29240
p0064	21p13_carrier_kcon.aln.fa	HG00321_hap1#c1	21p13	21p13	HG00321	h1	1	3	HG00321_hap1_hprc_r2_v1.0.1_HML-2_21p13_alt1	HG00321#1#CM089548.1:8883-16555	unique_full_query_zero_mismatch_source_alignment	1	0	6208	063b2c019e5cc202017d90be149b03771fb6d9447b0d539da8f913e99bd18149
p0065	21p13_carrier_kcon.aln.fa	HG00321_hap2#c1	21p13	21p13	HG00321	h2	1	2	HG00321_hap2_hprc_r2_v1.0.1_HML-2_21p13_alt1	HG00321#2#CM089579.1:11765-19433	unique_full_query_zero_mismatch_source_alignment	1	0	6208	a840ac8ba7f2b0ceffa5eb093eefa5597f96056aa0adf61001044a66b199c9bc
p0066	21p13_carrier_kcon.aln.fa	HG00329_hap2#c1	21p13	21p13	HG00329	h2	1	5	HG00329_hap2_hprc_r2_v1.0.1_HML-2_21p13_alt1	HG00329#2#CM094245.1:11255-18931	unique_full_query_zero_mismatch_source_alignment	1	0	6208	c90e3402fc2aff4952e0f1cbfdeacf073963c51eab58a148482a362a2a303973
p0067	21p13_carrier_kcon.aln.fa	HG00544_mat#c1	21p13	21p13	HG00544	mat	1	3	HG00544_mat_hprc_r2_v1.0.1_HML-2_21p13_alt1	HG00544#2#CM089395.1:14969-22637	unique_full_query_zero_mismatch_source_alignment	1	0	6208	c90e3402fc2aff4952e0f1cbfdeacf073963c51eab58a148482a362a2a303973
p0068	21p13_carrier_kcon.aln.fa	HG00544_pat#c1	21p13	21p13	HG00544	pat	1	5	HG00544_pat_hprc_r2_v1.0.1_HML-2_21p13_alt1	HG00544#1#CM089381.1:16293-23965	unique_full_query_zero_mismatch_source_alignment	1	0	6208	c90e3402fc2aff4952e0f1cbfdeacf073963c51eab58a148482a362a2a303973
p0069	21p13_carrier_kcon.aln.fa	HG00544_pat#c5	21p13	21p13	HG00544	pat	1	5	HG00544_pat_hprc_r2_v1.0.1_HML-2_21p13_alt5	HG00544#1#CM089380.1:15722-23386	unique_full_query_zero_mismatch_source_alignment	1	0	6204	aafc218963dc516f759c4dc00353a12746adfd4dd16e85e389e842e003808443
p0070	21p13_carrier_kcon.aln.fa	HG00558_mat#c1	21p13	21p13	HG00558	mat	1	2	HG00558_mat_hprc_r2_v1.0.1_HML-2_21p13_alt1	HG00558#2#CM088532.1:22914-30582	unique_full_query_zero_mismatch_source_alignment	1	0	6208	a840ac8ba7f2b0ceffa5eb093eefa5597f96056aa0adf61001044a66b199c9bc
p0071	21p13_carrier_kcon.aln.fa	HG00639_pat#c3	21p13	21p13	HG00639	pat	1	4	HG00639_pat_hprc_r2_v1.0.1_HML-2_21p13_alt3	HG00639#1#CM088547.1:26688-34356	unique_full_query_zero_mismatch_source_alignment	1	0	6208	1728b8e8b4d71aa80c8c3f8160e2887620f9231990931cea46f237bafaa987e6
p0072	21p13_carrier_kcon.aln.fa	HG00642_mat	21p13	21p13	HG00642	mat	1	1	HG00642_mat_hprc_r2_v1.0.1_HML-2_21p13	HG00642#2#CM086628.1:13879-21547	unique_full_query_zero_mismatch_source_alignment	0	0	6208	aeb4f7bfe24f3a37cbcc515eca3e9d91313fc290a136db893437cef2525da2ed
p0073	21p13_carrier_kcon.aln.fa	HG01071_mat#c1	21p13	21p13	HG01071	mat	1	3	HG01071_mat_hprc_r2_v1.0.1_HML-2_21p13_alt1	HG01071#2#CM089140.1:12138-19810	unique_full_query_zero_mismatch_source_alignment	1	0	6208	2961c6b3422f9a9b1798800adf179d01b63edebfd8dec6db03a0ec809581c502
p0074	21p13_carrier_kcon.aln.fa	HG01123_mat	21p13	21p13	HG01123	mat	1	1	HG01123_mat_hprc_r2_v1.0.1_HML-2_21p13	HG01123#2#CM089104.1:17319-24991	unique_full_query_zero_mismatch_source_alignment	0	0	6208	c90e3402fc2aff4952e0f1cbfdeacf073963c51eab58a148482a362a2a303973
