key	locus	sample	ID_Full	is_reference	source_path	source_sha256	strand	reference_start	reference_end	mapped_reference_bases	ltr5_bases	ltr3_bases	mismatches	jointly_called_bases	p_distance	clock_low_My	clock_high_My
p0440	4q35.2_hg38	HG02554	HG02554_h1_HML-2_4q35.2_hg38_graph_hgsvc3_linked_recovery	0	/Users/Daniel/Library/Mobile Documents/com~apple~CloudDocs/Documents/Med_School/PostDoc/Manuscripts/HML2PopGenManuscript/_audit_2026-09-14/source_call_resolution/broad_graph_recovered/validated_calls/caller_inputs/HML-2_4q35.2_hg38/HG02554_h1_HML-2_4q35.2_hg38_graph_hgsvc3_linked_recovery.fa	2c8c341931cbed0f67493b169eba73c5bef5bd9c667704efcec54174a05a4f2a	-	0	7283	7283	994	997	52	993	0.05236656596173213	11.637014658162697	21.819402484055054
p0441	4q35.2_hg38	HG02554	HG02554_h2_HML-2_4q35.2_hg38_graph_hgsvc3_linked_recovery	0	/Users/Daniel/Library/Mobile Documents/com~apple~CloudDocs/Documents/Med_School/PostDoc/Manuscripts/HML2PopGenManuscript/_audit_2026-09-14/source_call_resolution/broad_graph_recovered/validated_calls/caller_inputs/HML-2_4q35.2_hg38/HG02554_h2_HML-2_4q35.2_hg38_graph_hgsvc3_linked_recovery.fa	5754e11eefd5bda67daa5c7f09815dba1bfda7484ac1d9faf78cd5e9fdd156b2	+	0	7283	7283	994	997	52	993	0.05236656596173213	11.637014658162697	21.819402484055054
p0442	4q35.2_hg38	HG03009	HG03009_h1_HML-2_4q35.2_hg38_graph_hgsvc3_linked_recovery	0	/Users/Daniel/Library/Mobile Documents/com~apple~CloudDocs/Documents/Med_School/PostDoc/Manuscripts/HML2PopGenManuscript/_audit_2026-09-14/source_call_resolution/broad_graph_recovered/validated_calls/caller_inputs/HML-2_4q35.2_hg38/HG03009_h1_HML-2_4q35.2_hg38_graph_hgsvc3_linked_recovery.fa	62bb5d635ace725de256bb3bbade7ff65f90bf0966d2fdb3dd6b9b17bea81c14	+	0	7283	7282	994	997	56	993	0.05639476334340383	12.532169631867518	23.497818059751598
p0443	4q35.2_hg38	HG03065	HG03065_h1_HML-2_4q35.2_hg38_graph_hgsvc3_linked_recovery	0	/Users/Daniel/Library/Mobile Documents/com~apple~CloudDocs/Documents/Med_School/PostDoc/Manuscripts/HML2PopGenManuscript/_audit_2026-09-14/source_call_resolution/broad_graph_recovered/validated_calls/caller_inputs/HML-2_4q35.2_hg38/HG03065_h1_HML-2_4q35.2_hg38_graph_hgsvc3_linked_recovery.fa	121f670ee16c2ad819c41fbd4dbb283104cbda59711373affd4c93dfe85d73e1	+	0	7283	7274	998	997	54	997	0.05416248746238716	12.036108324974926	22.567703109327983
p0444	4q35.2_hg38	HG03456	HG03456_h1_HML-2_4q35.2_hg38_graph_hgsvc3_linked_recovery	0	/Users/Daniel/Library/Mobile Documents/com~apple~CloudDocs/Documents/Med_School/PostDoc/Manuscripts/HML2PopGenManuscript/_audit_2026-09-14/source_call_resolution/broad_graph_recovered/validated_calls/caller_inputs/HML-2_4q35.2_hg38/HG03456_h1_HML-2_4q35.2_hg38_graph_hgsvc3_linked_recovery.fa	439762ef1955010b9d8c4fa93c4c36cf33c4dabbe872333eb3421c758e0dee34	-	0	7283	7274	998	997	54	997	0.05416248746238716	12.036108324974926	22.567703109327983
p0445	4q35.2_hg38	HG03732	HG03732_h1_HML-2_4q35.2_hg38_graph_hgsvc3_linked_recovery	0	/Users/Daniel/Library/Mobile Documents/com~apple~CloudDocs/Documents/Med_School/PostDoc/Manuscripts/HML2PopGenManuscript/_audit_2026-09-14/source_call_resolution/broad_graph_recovered/validated_calls/caller_inputs/HML-2_4q35.2_hg38/HG03732_h1_HML-2_4q35.2_hg38_graph_hgsvc3_linked_recovery.fa	3e40ce42116d36238ae3fe27a2c88e44c6c36e40381714896efc02a6a4d9c14f	+	0	7283	7282	994	997	56	993	0.05639476334340383	12.532169631867518	23.497818059751598
p0446	4q35.2_hg38	HG03807	HG03807_h1_HML-2_4q35.2_hg38_graph_hgsvc3_linked_recovery	0	/Users/Daniel/Library/Mobile Documents/com~apple~CloudDocs/Documents/Med_School/PostDoc/Manuscripts/HML2PopGenManuscript/_audit_2026-09-14/source_call_resolution/broad_graph_recovered/validated_calls/caller_inputs/HML-2_4q35.2_hg38/HG03807_h1_HML-2_4q35.2_hg38_graph_hgsvc3_linked_recovery.fa	734b1b49c0c3710e6dee829d9922c3ce480b8f787814ff70890ed385ddf3b4a7	-	0	7283	7282	994	997	57	993	0.05740181268882175	12.755958375293725	23.91742195367573
p0447	4q35.2_hg38	NA12329	NA12329_h2_HML-2_4q35.2_hg38_graph_hgsvc3_linked_recovery	0	/Users/Daniel/Library/Mobile Documents/com~apple~CloudDocs/Documents/Med_School/PostDoc/Manuscripts/HML2PopGenManuscript/_audit_2026-09-14/source_call_resolution/broad_graph_recovered/validated_calls/caller_inputs/HML-2_4q35.2_hg38/NA12329_h2_HML-2_4q35.2_hg38_graph_hgsvc3_linked_recovery.fa	1a4086fa1e08658cb0ae08444a0834ad0fa4409f6694d80c9b9cf9935c6473c8	-	0	7283	7282	994	997	56	993	0.05639476334340383	12.532169631867518	23.497818059751598
p0448	4q35.2_hg38	NA18939	NA18939_h1_HML-2_4q35.2_hg38_graph_hgsvc3_linked_recovery	0	/Users/Daniel/Library/Mobile Documents/com~apple~CloudDocs/Documents/Med_School/PostDoc/Manuscripts/HML2PopGenManuscript/_audit_2026-09-14/source_call_resolution/broad_graph_recovered/validated_calls/caller_inputs/HML-2_4q35.2_hg38/NA18939_h1_HML-2_4q35.2_hg38_graph_hgsvc3_linked_recovery.fa	8927e0dd0cdc20469ad53783dfc6e025ac3123aae0ddeb1188bef95a25b8f094	-	0	7283	7282	994	997	55	993	0.0553877139979859	12.308380888441311	23.07821416582746
p0449	4q35.2_hg38	NA19239	NA19239_h1_HML-2_4q35.2_hg38_graph_hgsvc3_linked_recovery	0	/Users/Daniel/Library/Mobile Documents/com~apple~CloudDocs/Documents/Med_School/PostDoc/Manuscripts/HML2PopGenManuscript/_audit_2026-09-14/source_call_resolution/broad_graph_recovered/validated_calls/caller_inputs/HML-2_4q35.2_hg38/NA19239_h1_HML-2_4q35.2_hg38_graph_hgsvc3_linked_recovery.fa	fd0472f002f010b1cf1ba26d04878fae8939829ae6d54791d87aa410110c00a7	+	0	7283	7274	998	997	54	997	0.05416248746238716	12.036108324974926	22.567703109327983
p0450	4q35.2_hg38	NA19650	NA19650_h2_HML-2_4q35.2_hg38_graph_hgsvc3_linked_recovery	0	/Users/Daniel/Library/Mobile Documents/com~apple~CloudDocs/Documents/Med_School/PostDoc/Manuscripts/HML2PopGenManuscript/_audit_2026-09-14/source_call_resolution/broad_graph_recovered/validated_calls/caller_inputs/HML-2_4q35.2_hg38/NA19650_h2_HML-2_4q35.2_hg38_graph_hgsvc3_linked_recovery.fa	9d770c2548848c24b6ae99e09e9f26aabc8acdfe21d0ab978b528e1fd2ab148d	-	0	7283	7282	994	997	53	993	0.05337361530715005	11.8608034015889	22.239006377979187
p0451	4q35.2_hg38	NA20509	NA20509_h1_HML-2_4q35.2_hg38_graph_hgsvc3_linked_recovery	0	/Users/Daniel/Library/Mobile Documents/com~apple~CloudDocs/Documents/Med_School/PostDoc/Manuscripts/HML2PopGenManuscript/_audit_2026-09-14/source_call_resolution/broad_graph_recovered/validated_calls/caller_inputs/HML-2_4q35.2_hg38/NA20509_h1_HML-2_4q35.2_hg38_graph_hgsvc3_linked_recovery.fa	c4664f5e6fc1d83622d6cea470dfe0ccaa77ebf566eb330e17a66b039d6e0d49	-	0	7283	7282	994	997	55	993	0.0553877139979859	12.308380888441311	23.07821416582746
p0452	4q35.2_hg38	NA20509	NA20509_h2_HML-2_4q35.2_hg38_graph_hgsvc3_linked_recovery	0	/Users/Daniel/Library/Mobile Documents/com~apple~CloudDocs/Documents/Med_School/PostDoc/Manuscripts/HML2PopGenManuscript/_audit_2026-09-14/source_call_resolution/broad_graph_recovered/validated_calls/caller_inputs/HML-2_4q35.2_hg38/NA20509_h2_HML-2_4q35.2_hg38_graph_hgsvc3_linked_recovery.fa	7da94ee064fb867aff71a0b96559958f59ec4573c724c4d48f691ad60cfa4ee4	-	0	7283	7282	994	997	55	993	0.0553877139979859	12.308380888441311	23.07821416582746
p0453	4q35.2_hg38	NA24385	NA24385_h2_HML-2_4q35.2_hg38_graph_hgsvc3_linked_recovery	0	/Users/Daniel/Library/Mobile Documents/com~apple~CloudDocs/Documents/Med_School/PostDoc/Manuscripts/HML2PopGenManuscript/_audit_2026-09-14/source_call_resolution/broad_graph_recovered/validated_calls/caller_inputs/HML-2_4q35.2_hg38/NA24385_h2_HML-2_4q35.2_hg38_graph_hgsvc3_linked_recovery.fa	61677cad12ff98ada97e1a97c68d798f06a6c0d38556169f43e21368c02b6c06	+	0	7283	7282	994	997	54	993	0.054380664652567974	12.084592145015106	22.658610271903324
ref_4q35.2_hg38	4q35.2_hg38	GRCh38	ref_4q35.2_hg38	1	historical_source/HML-2_manuscript_work/project/results/type2_insertion_ancestry_audit_20260802/sequences/4q35.2_hg38.fa		+	0	7282	7282	998	996	52	996	0.05220883534136546	11.601963409192326	21.75368139223561
ref_15p13a	15p13a	CHM13	ref_15p13a	1	historical_source/HML-2_manuscript_work/project/results/type2_insertion_ancestry_audit_20260802/sequences/15p13a.fa		+	0	7283	7283	994	997	53	993	0.05337361530715005	11.8608034015889	22.239006377979187
ref_21p13	21p13	CHM13	ref_21p13	1	historical_source/HML-2_manuscript_work/project/results/type2_insertion_ancestry_audit_20260802/sequences/21p13.fa		+	0	7283	7275	994	997	54	993	0.054380664652567974	12.084592145015106	22.658610271903324
ref_22p13	22p13	CHM13	ref_22p13	1	historical_source/HML-2_manuscript_work/project/results/type2_insertion_ancestry_audit_20260802/sequences/22p13.fa		+	0	7283	7279	994	997	55	993	0.0553877139979859	12.308380888441311	23.07821416582746
