region	key	locus	sample	best_distance	nearest_loci
5p_LTR	p0144	21p13	NA18970	0.0	15p13a|22p13|4p16.3a
5p_LTR	p0145	21p13	NA18982	0.0	15p13a|22p13
5p_LTR	p0146	21p13	NA18982	0.0	15p13a|22p13
5p_LTR	p0147	21p13	NA19087	0.002677376171352075	15p13a|22p13|4p16.3a|4q35.2_hg38
5p_LTR	p0148	21p13	NA19087	0.0	15p13a|22p13
5p_LTR	p0149	21p13	NA19185	0.0	15p13a|22p13|4p16.3a
5p_LTR	p0150	21p13	NA19338	0.0	15p13a|22p13|4p16.3a
5p_LTR	p0151	21p13	NA19338	0.0013386880856760374	15p13a|22p13|4p16.3a
5p_LTR	p0152	21p13	NA19391	0.004016064257028112	15p13a|22p13|4p16.3a|4q35.2_hg38
5p_LTR	p0153	21p13	NA19443	0.0	15p13a|22p13
5p_LTR	p0154	21p13	NA19468	0.0013386880856760374	15p13a|22p13|4p16.3a
5p_LTR	p0155	21p13	NA19468	0.0	22p13|4p16.3a|4q35.2_hg38
5p_LTR	p0156	21p13	NA19468	0.0	15p13a|22p13|4p16.3a
5p_LTR	p0157	21p13	NA19700	0.0	15p13a|22p13
5p_LTR	p0158	21p13	NA20346	0.0	22p13
5p_LTR	p0159	21p13	NA20503	0.0	15p13a|22p13|4p16.3a
5p_LTR	p0160	21p13	NA20503	0.0	15p13a|22p13|4p16.3a
5p_LTR	p0161	21p13	NA20752	0.004016064257028112	4p16.3a
5p_LTR	p0162	21p13	NA20752	0.0	15p13a|22p13|4p16.3a
5p_LTR	p0163	21p13	NA20806	0.0	15p13a|22p13|4p16.3a
5p_LTR	p0164	21p13	NA20806	0.0	15p13a|22p13|4p16.3a
5p_LTR	p0165	21p13	NA20806	0.0	15p13a|22p13|4p16.3a
5p_LTR	p0166	21p13	NA20827	0.0	15p13a|22p13|4p16.3a
5p_LTR	p0167	21p13	NA20827	0.0013386880856760374	15p13a|22p13|4p16.3a
5p_LTR	p0168	21p13	NA20905	0.0	15p13a|22p13|4p16.3a
5p_LTR	p0169	21p13	NA20905	0.0	15p13a|22p13
5p_LTR	p0170	21p13	NA21102	0.0	15p13a|22p13|4p16.3a
5p_LTR	p0171	21p13	NA21102	0.0	15p13a|22p13|4p16.3a
5p_LTR	p0172	21p13	NA21106	0.0	15p13a|22p13
5p_LTR	p0173	21p13	NA21110	0.0	15p13a|22p13
5p_LTR	p0174	22p13	HG00097	0.0013386880856760374	15p13a|21p13|4p16.3a
5p_LTR	p0175	22p13	HG00128	0.0	15p13a|21p13|4p16.3a
5p_LTR	p0176	22p13	HG00140	0.0013386880856760374	15p13a|21p13|4p16.3a
5p_LTR	p0177	22p13	HG00235	0.0	15p13a|21p13|4p16.3a
5p_LTR	p0178	22p13	HG00329	0.0	15p13a|21p13
5p_LTR	p0179	22p13	HG00423	0.0	15p13a|21p13|4p16.3a
5p_LTR	p0180	22p13	HG00423	0.0	15p13a|21p13
5p_LTR	p0181	22p13	HG00438	0.0	15p13a|21p13|4p16.3a
5p_LTR	p0182	22p13	HG00558	0.0	15p13a|21p13|4p16.3a
5p_LTR	p0183	22p13	HG00621	0.0013386880856760374	15p13a|21p13|4p16.3a
5p_LTR	p0184	22p13	HG01150	0.002677376171352075	15p13a|21p13|4p16.3a
5p_LTR	p0185	22p13	HG01150	0.0	21p13|4p16.3a|4q35.2_hg38
5p_LTR	p0186	22p13	HG01358	0.0	21p13|4p16.3a|4q35.2_hg38
5p_LTR	p0187	22p13	HG01358	0.002677376171352075	15p13a|21p13|4p16.3a
5p_LTR	p0188	22p13	HG01361	0.0	15p13a|21p13|4p16.3a
5p_LTR	p0189	22p13	HG01940	0.002677376171352075	15p13a|21p13|4p16.3a
5p_LTR	p0190	22p13	HG01969	0.0	15p13a|21p13|4p16.3a
5p_LTR	p0191	22p13	HG01981	0.0	21p13
5p_LTR	p0192	22p13	HG02056	0.0	15p13a|21p13|4p16.3a
5p_LTR	p0193	22p13	HG02074	0.0	15p13a|21p13
5p_LTR	p0194	22p13	HG02083	0.0	15p13a|21p13
5p_LTR	p0195	22p13	HG02109	0.002677376171352075	15p13a|21p13|4p16.3a|4q35.2_hg38
5p_LTR	p0196	22p13	HG02155	0.0	21p13|4p16.3a|4q35.2_hg38
5p_LTR	p0197	22p13	HG02257	0.0	15p13a|21p13|4p16.3a
5p_LTR	p0198	22p13	HG02258	0.002677376171352075	15p13a|21p13|4p16.3a|4q35.2_hg38
5p_LTR	p0199	22p13	HG02392	0.0	15p13a|21p13|4p16.3a
5p_LTR	p0200	22p13	HG02523	0.0	15p13a|21p13|4p16.3a
5p_LTR	p0201	22p13	HG02559	0.0	21p13|4p16.3a|4q35.2_hg38
5p_LTR	p0202	22p13	HG02583	0.0	21p13
5p_LTR	p0203	22p13	HG02602	0.0	15p13a|21p13|4p16.3a
5p_LTR	p0204	22p13	HG02809	0.0	15p13a|21p13|4p16.3a
5p_LTR	p0205	22p13	HG02841	0.0013386880856760374	15p13a|21p13
5p_LTR	p0206	22p13	HG02965	0.0	15p13a|21p13|4p16.3a
5p_LTR	p0207	22p13	HG02984	0.0013386880856760374	21p13
5p_LTR	p0208	22p13	HG03041	0.0	15p13a|21p13|4p16.3a
5p_LTR	p0209	22p13	HG03130	0.002677376171352075	21p13
5p_LTR	p0210	22p13	HG03139	0.0	21p13|4p16.3a|4q35.2_hg38
5p_LTR	p0211	22p13	HG03195	0.004016064257028112	21p13
5p_LTR	p0212	22p13	HG03209	0.0	15p13a|21p13
5p_LTR	p0213	22p13	HG03470	0.0	15p13a|21p13
5p_LTR	p0214	22p13	HG03742	0.0	15p13a|21p13
5p_LTR	p0215	22p13	HG03816	0.0	15p13a|21p13|4p16.3a
5p_LTR	p0216	22p13	HG04157	0.0	21p13|4p16.3a|4q35.2_hg38
5p_LTR	p0217	22p13	NA18570	0.0	15p13a|21p13
5p_LTR	p0218	22p13	NA18944	0.0	21p13|4p16.3a|4q35.2_hg38
5p_LTR	p0219	22p13	NA18945	0.0	15p13a|21p13|4p16.3a
5p_LTR	p0220	22p13	NA18959	0.0	15p13a|21p13|4p16.3a
5p_LTR	p0221	22p13	NA18960	0.0	21p13|4p16.3a|4q35.2_hg38
5p_LTR	p0222	22p13	NA18970	0.0	15p13a|21p13|4p16.3a
5p_LTR	p0223	22p13	NA18970	0.0	15p13a|21p13|4p16.3a
5p_LTR	p0224	22p13	NA18970	0.0	15p13a|21p13|4p16.3a
5p_LTR	p0225	22p13	NA18971	0.0	15p13a|21p13|4p16.3a
5p_LTR	p0226	22p13	NA18976	0.0	15p13a|21p13|4p16.3a
5p_LTR	p0227	22p13	NA18976	0.0	15p13a|21p13|4p16.3a
5p_LTR	p0228	22p13	NA18982	0.0013386880856760374	15p13a|21p13|4p16.3a
5p_LTR	p0229	22p13	NA19036	0.0013386880856760374	15p13a|21p13|4p16.3a
5p_LTR	p0230	22p13	NA19043	0.0	15p13a|21p13
5p_LTR	p0231	22p13	NA19159	0.0	15p13a|21p13|4p16.3a
5p_LTR	p0232	22p13	NA19391	0.0	21p13|4p16.3a|4q35.2_hg38
5p_LTR	p0233	22p13	NA19682	0.0	15p13a|21p13|4p16.3a
5p_LTR	p0234	22p13	NA19776	0.0	15p13a|21p13|4p16.3a
5p_LTR	p0235	22p13	NA20129	0.0	21p13
5p_LTR	p0236	22p13	NA20503	0.0	15p13a|21p13|4p16.3a
5p_LTR	p0237	22p13	NA20762	0.0	15p13a|21p13|4p16.3a
5p_LTR	p0238	22p13	NA20762	0.0	15p13a|21p13|4p16.3a
5p_LTR	p0239	22p13	NA20799	0.0	15p13a|21p13|4p16.3a
5p_LTR	p0240	22p13	NA20827	0.0	21p13|4p16.3a|4q35.2_hg38
5p_LTR	p0241	22p13	NA20827	0.0	15p13a|21p13|4p16.3a
5p_LTR	p0242	22p13	NA20850	0.0	15p13a|21p13|4p16.3a
5p_LTR	p0243	22p13	NA21093	0.0	15p13a|21p13|4p16.3a
5p_LTR	p0244	22p13	NA21102	0.002677376171352075	15p13a|21p13|4p16.3a
5p_LTR	p0245	4p16.3a	HG00133	0.0013386880856760374	4q35.2_hg38
5p_LTR	p0246	4p16.3a	HG00146	0.002677376171352075	4q35.2_hg38
5p_LTR	p0247	4p16.3a	HG00423	0.004016064257028112	4q35.2_hg38
5p_LTR	p0248	4p16.3a	HG00558	0.0	4q35.2_hg38
5p_LTR	p0249	4p16.3a	HG00673	0.0013386880856760374	4q35.2_hg38
5p_LTR	p0251	4p16.3a	HG00738	0.0	21p13|22p13|4q35.2_hg38
5p_LTR	p0253	4p16.3a	HG01071	0.0013386880856760374	21p13|22p13|4q35.2_hg38
5p_LTR	p0254	4p16.3a	HG01106	0.0	15p13a|21p13|22p13
5p_LTR	p0255	4p16.3a	HG01243	0.0	15p13a|21p13|22p13
5p_LTR	p0260	4p16.3a	HG02015	0.004016064257028112	15p13a|21p13|22p13
5p_LTR	p0261	4p16.3a	HG02040	0.0	4q35.2_hg38
5p_LTR	p0264	4p16.3a	HG02083	0.0	4q35.2_hg38
5p_LTR	p0266	4p16.3a	HG02165	0.0	4q35.2_hg38
5p_LTR	p0267	4p16.3a	HG02257	0.00535475234270415	15p13a|21p13|22p13
5p_LTR	p0268	4p16.3a	HG02257	0.004016064257028112	21p13|22p13|4q35.2_hg38
5p_LTR	p0269	4p16.3a	HG02258	0.00535475234270415	15p13a|21p13|22p13
5p_LTR	p0271	4p16.3a	HG02451	0.0	15p13a|21p13|22p13
5p_LTR	p0272	4p16.3a	HG02486	0.0	21p13|22p13|4q35.2_hg38
5p_LTR	p0274	4p16.3a	HG02514	0.0	15p13a|21p13|22p13
5p_LTR	p0275	4p16.3a	HG02615	0.002677376171352075	4q35.2_hg38
5p_LTR	p0276	4p16.3a	HG02622	0.004016064257028112	21p13
5p_LTR	p0277	4p16.3a	HG02738	0.0013386880856760374	21p13|22p13|4q35.2_hg38
5p_LTR	p0279	4p16.3a	HG02886	0.0	4q35.2_hg38
5p_LTR	p0284	4p16.3a	HG03041	0.00535475234270415	15p13a|21p13|22p13
5p_LTR	p0285	4p16.3a	HG03098	0.004016064257028112	21p13|22p13|4q35.2_hg38
5p_LTR	p0287	4p16.3a	HG03470	0.00535475234270415	15p13a|21p13|22p13
5p_LTR	p0288	4p16.3a	HG03471	0.00535475234270415	15p13a|21p13|22p13
5p_LTR	p0291	4p16.3a	HG03583	0.0013386880856760374	15p13a|21p13|22p13
5p_LTR	p0293	4p16.3a	HG03669	0.0013386880856760374	4q35.2_hg38
5p_LTR	p0295	4p16.3a	HG03804	0.0013386880856760374	4q35.2_hg38
5p_LTR	p0296	4p16.3a	HG03927	0.0013386880856760374	21p13|22p13|4q35.2_hg38
5p_LTR	p0298	4p16.3a	HG04160	0.002677376171352075	15p13a|21p13|22p13|4q35.2_hg38
5p_LTR	p0300	4p16.3a	NA18522	0.00535475234270415	15p13a|21p13|22p13
5p_LTR	p0302	4p16.3a	NA18570	0.0	4q35.2_hg38
5p_LTR	p0303	4p16.3a	NA19159	0.0013386880856760374	15p13a|21p13|22p13|4q35.2_hg38
5p_LTR	p0306	4p16.3a	NA19338	0.004016064257028112	4q35.2_hg38
5p_LTR	p0307	4p16.3a	NA19391	0.0	15p13a|21p13|22p13
5p_LTR	p0308	4p16.3a	NA19909	0.004016064257028112	21p13|22p13|4q35.2_hg38
5p_LTR	p0310	4p16.3a	NA20799	0.002677376171352075	4q35.2_hg38
5p_LTR	p0311	4p16.3a	NA20805	0.0	15p13a|21p13|22p13
5p_LTR	p0313	4p16.3a	NA20850	0.0	21p13|22p13|4q35.2_hg38
5p_LTR	p0314	4q35.2_hg38	HG00099	0.002677376171352075	15p13a
5p_LTR	p0315	4q35.2_hg38	HG00128	0.0	21p13|22p13|4p16.3a
5p_LTR	p0316	4q35.2_hg38	HG00133	0.002677376171352075	15p13a
5p_LTR	p0317	4q35.2_hg38	HG00140	0.002677376171352075	15p13a
5p_LTR	p0318	4q35.2_hg38	HG00140	0.0013386880856760374	21p13|22p13|4p16.3a
5p_LTR	p0319	4q35.2_hg38	HG00146	0.0013386880856760374	21p13|22p13|4p16.3a
5p_LTR	p0320	4q35.2_hg38	HG00272	0.0	21p13|22p13|4p16.3a
5p_LTR	p0321	4q35.2_hg38	HG00272	0.002677376171352075	15p13a
5p_LTR	p0322	4q35.2_hg38	HG00320	0.0	4p16.3a
5p_LTR	p0323	4q35.2_hg38	HG00408	0.004016064257028112	15p13a|21p13|22p13|4p16.3a
5p_LTR	p0324	4q35.2_hg38	HG00423	0.0013386880856760374	15p13a
5p_LTR	p0325	4q35.2_hg38	HG00423	0.0013386880856760374	15p13a
5p_LTR	p0326	4q35.2_hg38	HG00609	0.002677376171352075	15p13a
5p_LTR	p0327	4q35.2_hg38	HG00609	0.002677376171352075	15p13a
5p_LTR	p0328	4q35.2_hg38	HG00621	0.004016064257028112	15p13a
5p_LTR	p0329	4q35.2_hg38	HG00642	0.006693440428380187	15p13a|21p13|4p16.3a
5p_LTR	p0330	4q35.2_hg38	HG00673	0.0013386880856760374	15p13a
5p_LTR	p0331	4q35.2_hg38	HG00673	0.002677376171352075	15p13a
5p_LTR	p0332	4q35.2_hg38	HG00706	0.002677376171352075	15p13a
5p_LTR	p0333	4q35.2_hg38	HG00706	0.002677376171352075	15p13a
5p_LTR	p0334	4q35.2_hg38	HG00735	0.0	21p13|22p13|4p16.3a
5p_LTR	p0335	4q35.2_hg38	HG00738	0.002677376171352075	15p13a
5p_LTR	p0336	4q35.2_hg38	HG01109	0.0	21p13|22p13|4p16.3a
5p_LTR	p0337	4q35.2_hg38	HG01167	0.006693440428380187	15p13a|21p13|4p16.3a
5p_LTR	p0338	4q35.2_hg38	HG01167	0.006693440428380187	15p13a|21p13|4p16.3a
5p_LTR	p0339	4q35.2_hg38	HG01175	0.002677376171352075	15p13a
5p_LTR	p0340	4q35.2_hg38	HG01258	0.002677376171352075	15p13a
5p_LTR	p0341	4q35.2_hg38	HG01258	0.004016064257028112	4p16.3a
5p_LTR	p0342	4q35.2_hg38	HG01261	0.002677376171352075	15p13a
5p_LTR	p0343	4q35.2_hg38	HG01346	0.0013386880856760374	15p13a
5p_LTR	p0344	4q35.2_hg38	HG01358	0.002677376171352075	15p13a
5p_LTR	p0345	4q35.2_hg38	HG01361	0.002677376171352075	15p13a
5p_LTR	p0346	4q35.2_hg38	HG01433	0.0	21p13|22p13|4p16.3a
5p_LTR	p0347	4q35.2_hg38	HG01530	0.002677376171352075	15p13a
5p_LTR	p0348	4q35.2_hg38	HG01784	0.0013386880856760374	15p13a
5p_LTR	p0349	4q35.2_hg38	HG01786	0.002677376171352075	15p13a
5p_LTR	p0350	4q35.2_hg38	HG01928	0.006693440428380187	15p13a|21p13|4p16.3a
5p_LTR	p0351	4q35.2_hg38	HG01940	0.006693440428380187	15p13a|21p13|4p16.3a
5p_LTR	p0352	4q35.2_hg38	HG01940	0.0013386880856760374	21p13|22p13|4p16.3a
5p_LTR	p0353	4q35.2_hg38	HG01952	0.006693440428380187	15p13a|21p13|4p16.3a
5p_LTR	p0354	4q35.2_hg38	HG01981	0.0	21p13|22p13|4p16.3a
5p_LTR	p0355	4q35.2_hg38	HG01981	0.0	21p13|22p13|4p16.3a
5p_LTR	p0356	4q35.2_hg38	HG01993	0.006693440428380187	15p13a|21p13|4p16.3a
5p_LTR	p0357	4q35.2_hg38	HG01993	0.006693440428380187	15p13a|21p13|4p16.3a
5p_LTR	p0358	4q35.2_hg38	HG02004	0.006693440428380187	15p13a|21p13|4p16.3a
5p_LTR	p0359	4q35.2_hg38	HG02015	0.002677376171352075	15p13a
5p_LTR	p0360	4q35.2_hg38	HG02040	0.002677376171352075	15p13a
5p_LTR	p0361	4q35.2_hg38	HG02074	0.002677376171352075	15p13a
5p_LTR	p0362	4q35.2_hg38	HG02074	0.004016064257028112	15p13a
5p_LTR	p0363	4q35.2_hg38	HG02129	0.002677376171352075	15p13a
5p_LTR	p0364	4q35.2_hg38	HG02132	0.002677376171352075	15p13a
5p_LTR	p0365	4q35.2_hg38	HG02155	0.002677376171352075	15p13a
5p_LTR	p0366	4q35.2_hg38	HG02165	0.002677376171352075	15p13a
5p_LTR	p0367	4q35.2_hg38	HG02165	0.002677376171352075	15p13a
5p_LTR	p0368	4q35.2_hg38	HG02178	0.002677376171352075	15p13a
5p_LTR	p0369	4q35.2_hg38	HG02178	0.002677376171352075	15p13a
5p_LTR	p0370	4q35.2_hg38	HG02280	0.0013386880856760374	21p13|22p13|4p16.3a
5p_LTR	p0371	4q35.2_hg38	HG02391	0.002677376171352075	15p13a
5p_LTR	p0372	4q35.2_hg38	HG02392	0.002677376171352075	15p13a
5p_LTR	p0373	4q35.2_hg38	HG02523	0.002677376171352075	15p13a
